,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Flume   Tove Lo, Say It ,Anna Lunoe Remix,0.00149,https://api.spotify.com/v1/audio-analysis/0ONzx0OTt6tKYbk3lBiA0s,0.63,251848.0,0.732,0ONzx0OTt6tKYbk3lBiA0s,0.101,3.0,0.121,-6.341,0.0,0.0445,125.956,4.0,https://api.spotify.com/v1/tracks/0ONzx0OTt6tKYbk3lBiA0s,audio_features,spotify:track:0ONzx0OTt6tKYbk3lBiA0s,0.392
1,Alex Seda Dave Rose, Gone  ,unknown,0.0147,https://api.spotify.com/v1/audio-analysis/4w8lFPN8qr1umohdL2gxaN,0.681,378419.0,0.908,4w8lFPN8qr1umohdL2gxaN,0.612,3.0,0.0857,-4.18,0.0,0.0621,123.99,4.0,https://api.spotify.com/v1/tracks/4w8lFPN8qr1umohdL2gxaN,audio_features,spotify:track:4w8lFPN8qr1umohdL2gxaN,0.797
2,Andy Bianchini RIVAS (BR), Disconap  ,BR,0.00401,https://api.spotify.com/v1/audio-analysis/2F5X4YJohl1E4X8PDJkIkc,0.767,195000.0,0.949,2F5X4YJohl1E4X8PDJkIkc,0.0737,5.0,0.392,-4.629,0.0,0.148,122.003,4.0,https://api.spotify.com/v1/tracks/2F5X4YJohl1E4X8PDJkIkc,audio_features,spotify:track:2F5X4YJohl1E4X8PDJkIkc,0.383
3,Niels Van Gogh, RockIt ,Dominik Koislmeyer Remix,0.00805,https://api.spotify.com/v1/audio-analysis/7w9oKmJMgqziJUnY1FuW9v,0.83,259833.0,0.893,7w9oKmJMgqziJUnY1FuW9v,0.519,5.0,0.142,-3.692,0.0,0.0795,126.025,4.0,https://api.spotify.com/v1/tracks/7w9oKmJMgqziJUnY1FuW9v,audio_features,spotify:track:7w9oKmJMgqziJUnY1FuW9v,0.833
4,King Arthur, Pretty Young Money ,VIP Mix,0.0677,https://api.spotify.com/v1/audio-analysis/5xTAsazkOGV8V8ZEJ43peX,0.608,216000.0,0.888,5xTAsazkOGV8V8ZEJ43peX,0.0,7.0,0.342,-2.559,1.0,0.0427,139.968,4.0,https://api.spotify.com/v1/tracks/5xTAsazkOGV8V8ZEJ43peX,audio_features,spotify:track:5xTAsazkOGV8V8ZEJ43peX,0.397
5,Kid Massive Sevag, Summer In Rio ,Kid Massive Remix,0.000593,https://api.spotify.com/v1/audio-analysis/0GTSZiNX8V8qummDmNAbvP,0.731,349440.0,0.877,0GTSZiNX8V8qummDmNAbvP,0.619,11.0,0.0322,-5.256,0.0,0.0789,125.004,4.0,https://api.spotify.com/v1/tracks/0GTSZiNX8V8qummDmNAbvP,audio_features,spotify:track:0GTSZiNX8V8qummDmNAbvP,0.494
6,Plastik Funk, This Is It  ,unknown,0.0416,https://api.spotify.com/v1/audio-analysis/0XnHPD2TFhAgkEb0xmRMhU,0.473,191306.0,0.786,0XnHPD2TFhAgkEb0xmRMhU,0.0,11.0,0.116,-4.817,0.0,0.0934,128.2,4.0,https://api.spotify.com/v1/tracks/0XnHPD2TFhAgkEb0xmRMhU,audio_features,spotify:track:0XnHPD2TFhAgkEb0xmRMhU,0.333
7,Anne,Marie ,Dave Winnel Remix,0.876,https://api.spotify.com/v1/audio-analysis/0X0RkQ5zRBte48w0wYVMG9,0.371,245493.0,0.19,0X0RkQ5zRBte48w0wYVMG9,0.0,5.0,0.104,-10.738,0.0,0.0474,171.093,5.0,https://api.spotify.com/v1/tracks/0X0RkQ5zRBte48w0wYVMG9,audio_features,spotify:track:0X0RkQ5zRBte48w0wYVMG9,0.522
8,Plastik Funk, Ever  ,unknown,0.0466,https://api.spotify.com/v1/audio-analysis/3Y5rbkNqoorAllmwASJ1rj,0.677,175020.0,0.856,3Y5rbkNqoorAllmwASJ1rj,1.48e-06,7.0,0.0629,-4.528,1.0,0.0514,124.992,4.0,https://api.spotify.com/v1/tracks/3Y5rbkNqoorAllmwASJ1rj,audio_features,spotify:track:3Y5rbkNqoorAllmwASJ1rj,0.712
9,Clean Bandit   Sean Paul Anne,Marie ,Jack Wins Remix,0.00307,https://api.spotify.com/v1/audio-analysis/2EUfYEFlPfssvV8WCaQbte,0.731,305662.0,0.805,2EUfYEFlPfssvV8WCaQbte,0.00133,9.0,0.109,-5.771,0.0,0.0736,123.97,4.0,https://api.spotify.com/v1/tracks/2EUfYEFlPfssvV8WCaQbte,audio_features,spotify:track:2EUfYEFlPfssvV8WCaQbte,0.781
