,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Charlie Puth, How Long ,EDX Dubai Skyline Remix,0.156,https://api.spotify.com/v1/audio-analysis/52lFClZTgHPAhG8B7VXtFZ,0.786,192787.0,0.775,52lFClZTgHPAhG8B7VXtFZ,0.000103,1.0,0.0962,-5.316,0.0,0.0711,122.002,4.0,https://api.spotify.com/v1/tracks/52lFClZTgHPAhG8B7VXtFZ,audio_features,spotify:track:52lFClZTgHPAhG8B7VXtFZ,0.659
1,Calippo, Down With You  ,unknown,0.0681,https://api.spotify.com/v1/audio-analysis/6OECKLpB15Y9IL6UPLesoZ,0.802,189390.0,0.817,6OECKLpB15Y9IL6UPLesoZ,0.0,2.0,0.118,-5.445,1.0,0.266,123.009,4.0,https://api.spotify.com/v1/tracks/6OECKLpB15Y9IL6UPLesoZ,audio_features,spotify:track:6OECKLpB15Y9IL6UPLesoZ,0.557
2,Motez, The Future ,KC Lights Remix,0.00889,https://api.spotify.com/v1/audio-analysis/1pBGCzuwWMxCwcBFnltjMv,0.598,212307.0,0.872,1pBGCzuwWMxCwcBFnltjMv,0.003,0.0,0.627,-6.678,1.0,0.0473,124.983,4.0,https://api.spotify.com/v1/tracks/1pBGCzuwWMxCwcBFnltjMv,audio_features,spotify:track:1pBGCzuwWMxCwcBFnltjMv,0.209
3,Don Diablo   A R I Z O N A, Take Her Place ,Don Diablo VIP Mix,0.107,https://api.spotify.com/v1/audio-analysis/0bvCsfOOLr6ePoHSq6nagL,0.527,189052.0,0.904,0bvCsfOOLr6ePoHSq6nagL,8.23e-06,0.0,0.153,-2.683,1.0,0.149,123.676,4.0,https://api.spotify.com/v1/tracks/0bvCsfOOLr6ePoHSq6nagL,audio_features,spotify:track:0bvCsfOOLr6ePoHSq6nagL,0.301
4,Steff Da Campo SIKS, Make Me Feel  ,unknown,0.0687,https://api.spotify.com/v1/audio-analysis/6h4amzlskB8KKlbTWQ7500,0.66,187143.0,0.926,6h4amzlskB8KKlbTWQ7500,0.000422,8.0,0.166,-3.702,0.0,0.0655,126.083,4.0,https://api.spotify.com/v1/tracks/6h4amzlskB8KKlbTWQ7500,audio_features,spotify:track:6h4amzlskB8KKlbTWQ7500,0.275
5,RetroVision X Raven Kreyn, Nobody Else  ,unknown,0.000976,https://api.spotify.com/v1/audio-analysis/7kLhUM5gJoGha3AudYAlqW,0.617,188571.0,0.914,7kLhUM5gJoGha3AudYAlqW,0.0626,0.0,0.211,-5.988,1.0,0.192,125.855,4.0,https://api.spotify.com/v1/tracks/7kLhUM5gJoGha3AudYAlqW,audio_features,spotify:track:7kLhUM5gJoGha3AudYAlqW,0.466
6,Breathe Carolina Sunstars, DYSYLM  ,unknown,0.136,https://api.spotify.com/v1/audio-analysis/26spYfEUtRfMBWvbHHq84O,0.729,142500.0,0.989,26spYfEUtRfMBWvbHHq84O,0.028,10.0,0.324,-2.259,0.0,0.059,127.974,4.0,https://api.spotify.com/v1/tracks/26spYfEUtRfMBWvbHHq84O,audio_features,spotify:track:26spYfEUtRfMBWvbHHq84O,0.547
7,Lazy Jay, Float My Boat ,Bougenvilla Remix,0.0892,https://api.spotify.com/v1/audio-analysis/6qGDBRJLngK3dLerxiR0br,0.642,161261.0,0.752,6qGDBRJLngK3dLerxiR0br,0.776,11.0,0.0563,-7.157,0.0,0.0397,128.002,4.0,https://api.spotify.com/v1/tracks/6qGDBRJLngK3dLerxiR0br,audio_features,spotify:track:6qGDBRJLngK3dLerxiR0br,0.329
8,Maurice West, Voices In My Head  ,ARMADA,0.0192,https://api.spotify.com/v1/audio-analysis/5TP4H2VbRdfFzglUZYygj7,0.617,192000.0,0.859,5TP4H2VbRdfFzglUZYygj7,0.000233,5.0,0.159,-2.807,0.0,0.0541,127.911,4.0,https://api.spotify.com/v1/tracks/5TP4H2VbRdfFzglUZYygj7,audio_features,spotify:track:5TP4H2VbRdfFzglUZYygj7,0.363
9,Armin van Buuren, This Is A Test ,Julian Jordan Remix,0.00152,https://api.spotify.com/v1/audio-analysis/1fT6W20V6L59xoJBm78oqq,0.643,193125.0,0.985,1fT6W20V6L59xoJBm78oqq,0.814,7.0,0.405,-3.696,1.0,0.0613,128.02,4.0,https://api.spotify.com/v1/tracks/1fT6W20V6L59xoJBm78oqq,audio_features,spotify:track:1fT6W20V6L59xoJBm78oqq,0.0971
10,Tom Jame, Just Like That  ,unknown,0.0147,https://api.spotify.com/v1/audio-analysis/4IeEXYTNyh8Emot0Pfn3RU,0.702,232381.0,0.973,4IeEXYTNyh8Emot0Pfn3RU,0.374,1.0,0.0327,-1.651,1.0,0.104,126.015,4.0,https://api.spotify.com/v1/tracks/4IeEXYTNyh8Emot0Pfn3RU,audio_features,spotify:track:4IeEXYTNyh8Emot0Pfn3RU,0.516
11,SIKS John Walt, The Sky  ,ARMADA,0.106,https://api.spotify.com/v1/audio-analysis/3qWpcOq7M1eMyVFfX71qgp,0.665,166131.0,0.815,3qWpcOq7M1eMyVFfX71qgp,0.00141,5.0,0.0718,-5.452,0.0,0.0681,125.972,4.0,https://api.spotify.com/v1/tracks/3qWpcOq7M1eMyVFfX71qgp,audio_features,spotify:track:3qWpcOq7M1eMyVFfX71qgp,0.578
12,Julian Jordan, Chiba  ,ARMADA,0.0317,https://api.spotify.com/v1/audio-analysis/5SS79ZxmMpxm3ATDyCTqRk,0.606,161646.0,0.727,5SS79ZxmMpxm3ATDyCTqRk,0.036,10.0,0.574,-5.162,0.0,0.294,128.179,4.0,https://api.spotify.com/v1/tracks/5SS79ZxmMpxm3ATDyCTqRk,audio_features,spotify:track:5SS79ZxmMpxm3ATDyCTqRk,0.472
