,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Young Parisians Solarstone,U Write The Rules,Solar Stone Remix,0.000859,https://api.spotify.com/v1/audio-analysis/2aC6BYSUERNgCTbrxD6uno,0.619,545488.0,0.722,2aC6BYSUERNgCTbrxD6uno,0.904,8.0,0.0537,-8.538,1.0,0.0304,128.018,4.0,https://api.spotify.com/v1/tracks/2aC6BYSUERNgCTbrxD6uno,audio_features,spotify:track:2aC6BYSUERNgCTbrxD6uno,0.569
1,Rokk Wild Cay-T Kalmani Pronti,Come Closer,Pronti & Kalmani Remix,,,,,,,,,,,,,,,,,,
2,Solar Factor,Urban Shakedown,Original Mix,9.7e-05,https://api.spotify.com/v1/audio-analysis/1f5Pvm90kudlbeLbWgN2H5,0.589,416203.0,0.604,1f5Pvm90kudlbeLbWgN2H5,0.918,6.0,0.0693,-9.49,1.0,0.062,138.002,4.0,https://api.spotify.com/v1/tracks/1f5Pvm90kudlbeLbWgN2H5,audio_features,spotify:track:1f5Pvm90kudlbeLbWgN2H5,0.508
3,Three Drives,Air Traffic,Original Mix,0.000882,https://api.spotify.com/v1/audio-analysis/16SIhd3sQkiE6LBLMur2Dv,0.572,181693.0,0.884,16SIhd3sQkiE6LBLMur2Dv,0.00133,6.0,0.199,-4.998,0.0,0.0471,136.044,4.0,https://api.spotify.com/v1/tracks/16SIhd3sQkiE6LBLMur2Dv,audio_features,spotify:track:16SIhd3sQkiE6LBLMur2Dv,0.32
4,The Green Martian,Wizardry,Original Mix,,,,,,,,,,,,,,,,,,
5,Armin van Buuren Ray Wilson,Yet Another Day,Original Mix,0.00123,https://api.spotify.com/v1/audio-analysis/7nHsY4gZh1yzwNjHi3JH0u,0.475,207213.0,0.971,7nHsY4gZh1yzwNjHi3JH0u,0.00191,4.0,0.498,-7.998,0.0,0.0529,133.818,4.0,https://api.spotify.com/v1/tracks/7nHsY4gZh1yzwNjHi3JH0u,audio_features,spotify:track:7nHsY4gZh1yzwNjHi3JH0u,0.508
6,Globe Push,Tranceformation,Original Mix,0.00146,https://api.spotify.com/v1/audio-analysis/3t8itpozveFnUb4EGXBWBu,0.542,469013.0,0.859,3t8itpozveFnUb4EGXBWBu,0.941,10.0,0.112,-10.771,0.0,0.0748,138.0,4.0,https://api.spotify.com/v1/tracks/3t8itpozveFnUb4EGXBWBu,audio_features,spotify:track:3t8itpozveFnUb4EGXBWBu,0.542
7,Ayla Yel Tandu Uk,Sun Is Coming Out,Tandu's Uk Dub,0.00108,https://api.spotify.com/v1/audio-analysis/7BoVXZwDCQkaiUoEskJ5Z1,0.78,403413.0,0.58,7BoVXZwDCQkaiUoEskJ5Z1,0.882,11.0,0.0664,-8.629,1.0,0.0451,136.019,4.0,https://api.spotify.com/v1/tracks/7BoVXZwDCQkaiUoEskJ5Z1,audio_features,spotify:track:7BoVXZwDCQkaiUoEskJ5Z1,0.451
8,OceanLab Justine Suissa Signum,Beautiful Together,Signum Remix,,,,,,,,,,,,,,,,,,
9,Dj Danjo Rob Styles,Aragon,Intro Mix,0.00137,https://api.spotify.com/v1/audio-analysis/4ONzr2bVEGXZFQf2ULCXuA,0.767,404956.0,0.816,4ONzr2bVEGXZFQf2ULCXuA,0.893,7.0,0.346,-9.511,1.0,0.101,139.003,4.0,https://api.spotify.com/v1/tracks/4ONzr2bVEGXZFQf2ULCXuA,audio_features,spotify:track:4ONzr2bVEGXZFQf2ULCXuA,0.0328
