,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,OceanLab Justine Suissa,Sky Falls Down,Original Mix,0.00042,https://api.spotify.com/v1/audio-analysis/440NxwOa2wpMT94xtLXFpx,0.49,213105.0,0.772,440NxwOa2wpMT94xtLXFpx,0.00986,0.0,0.0829,-16.069,1.0,0.0335,135.956,3.0,https://api.spotify.com/v1/tracks/440NxwOa2wpMT94xtLXFpx,audio_features,spotify:track:440NxwOa2wpMT94xtLXFpx,0.356
1,KMC Dhany G&M Project,I Feel So Fine,G&M Project Remix,,,,,,,,,,,,,,,,,,
2,DJ Tiësto,Dallas 4Pm,Original Mix,,,,,,,,,,,,,,,,,,
3,The Rapid Eye,Circa-Forever,Original Mix,,,,,,,,,,,,,,,,,,
4,DJ Hooligan Humate,Hear You Now,Humate Remix,0.22,https://api.spotify.com/v1/audio-analysis/0x0SqeVIkY2ks0KzmiTXLL,0.668,396040.0,0.339,0x0SqeVIkY2ks0KzmiTXLL,0.116,10.0,0.0934,-12.119,0.0,0.0398,133.039,4.0,https://api.spotify.com/v1/tracks/0x0SqeVIkY2ks0KzmiTXLL,audio_features,spotify:track:0x0SqeVIkY2ks0KzmiTXLL,0.166
5,Perpetuous Dreamer Robbie Rivera,The Sound Of Goodbye,Robbie Rivera Remix,0.000165,https://api.spotify.com/v1/audio-analysis/6i0XAILWMxXwjtDxGm6Wgu,0.567,649653.0,0.941,6i0XAILWMxXwjtDxGm6Wgu,0.741,10.0,0.0759,-7.357,0.0,0.0503,135.006,4.0,https://api.spotify.com/v1/tracks/6i0XAILWMxXwjtDxGm6Wgu,audio_features,spotify:track:6i0XAILWMxXwjtDxGm6Wgu,0.297
6,DJ Patrick,Unik Drums,Club Mix,,,,,,,,,,,,,,,,,,
7,Opus III Velvet Girl,A Fine Day,Velvet Girl Remix,,,,,,,,,,,,,,,,,,
8,DJ AT Cor Fijneman,Wishful Thinking,Cor Fijneman Remix,,,,,,,,,,,,,,,,,,
9,The Disco Brothers Regeneration,Final Frontier,Regeneration Mix,4.82e-05,https://api.spotify.com/v1/audio-analysis/5LJnCrmRMOneY8N6QMTw1w,0.733,462799.0,0.962,5LJnCrmRMOneY8N6QMTw1w,0.885,7.0,0.344,-7.055,1.0,0.0968,141.975,4.0,https://api.spotify.com/v1/tracks/5LJnCrmRMOneY8N6QMTw1w,audio_features,spotify:track:5LJnCrmRMOneY8N6QMTw1w,0.568
10,Opal,The Snake,Original Mix,,,,,,,,,,,,,,,,,,
11,Adam Dived,Headfirst,Original Mix,0.00609,https://api.spotify.com/v1/audio-analysis/2wFMsZVObpd1m8xADnMhMS,0.649,380853.0,0.906,2wFMsZVObpd1m8xADnMhMS,0.866,1.0,0.042,-5.517,1.0,0.0493,126.989,4.0,https://api.spotify.com/v1/tracks/2wFMsZVObpd1m8xADnMhMS,audio_features,spotify:track:2wFMsZVObpd1m8xADnMhMS,0.41
12,Sub-Channel,Breathe,Original Mix,,,,,,,,,,,,,,,,,,
13,Romanthony NIghtvision Paul van Dyk,Never Fuck,Pvd's Casino Mix,,,,,,,,,,,,,,,,,,
14,DJ Tiësto Suzanne Palmer Oliver Klein,Love's On Fire (643),Oliver Klein Vocal,,,,,,,,,,,,,,,,,,
15,Tangled Universe,Cosmic Synts,Original Mix,0.000436,https://api.spotify.com/v1/audio-analysis/6H3TNmHm444dUu8PNL0kcG,0.66,445787.0,0.965,6H3TNmHm444dUu8PNL0kcG,0.807,10.0,0.178,-11.292,0.0,0.0365,138.007,4.0,https://api.spotify.com/v1/tracks/6H3TNmHm444dUu8PNL0kcG,audio_features,spotify:track:6H3TNmHm444dUu8PNL0kcG,0.688
16,En-motion,Getting Away With It,Original Mix,,,,,,,,,,,,,,,,,,
17,Planisphere,Teardrop,Original Mix,0.0291,https://api.spotify.com/v1/audio-analysis/0pKM9N1JXKDad7glNFIUbc,0.501,682907.0,0.864,0pKM9N1JXKDad7glNFIUbc,0.968,11.0,0.869,-14.772,0.0,0.0417,135.022,4.0,https://api.spotify.com/v1/tracks/0pKM9N1JXKDad7glNFIUbc,audio_features,spotify:track:0pKM9N1JXKDad7glNFIUbc,0.257
18,Eon,Pocket Damage,Original Mix,,,,,,,,,,,,,,,,,,
19,Armin van Buuren,Sunburn,Original Mix,0.000226,https://api.spotify.com/v1/audio-analysis/2aJZYb3yxUaDCtOesGRlDs,0.604,486187.0,0.746,2aJZYb3yxUaDCtOesGRlDs,0.0279,0.0,0.405,-11.24,0.0,0.0672,138.003,4.0,https://api.spotify.com/v1/tracks/2aJZYb3yxUaDCtOesGRlDs,audio_features,spotify:track:2aJZYb3yxUaDCtOesGRlDs,0.224
