,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Double 99 Sneaker Pimps Hydrogen Rockers,7th High,Hydrogen Rockers Mix,,,,,,,,,,,,,,,,,,
1,Body-Shock,Rain In The City,Original Mix,0.00307,https://api.spotify.com/v1/audio-analysis/4pPtflo4d6rV21qc3x7NQx,0.393,597000.0,0.359,4pPtflo4d6rV21qc3x7NQx,0.946,9.0,0.0987,-16.01,1.0,0.0547,130.003,4.0,https://api.spotify.com/v1/tracks/4pPtflo4d6rV21qc3x7NQx,audio_features,spotify:track:4pPtflo4d6rV21qc3x7NQx,0.0786
2,Marco V,Simulated,Original Mix,0.0039,https://api.spotify.com/v1/audio-analysis/15vUqgWhQiOZN67QBP6Scj,0.662,190907.0,0.903,15vUqgWhQiOZN67QBP6Scj,0.829,6.0,0.0933,-8.623,1.0,0.0523,135.015,4.0,https://api.spotify.com/v1/tracks/15vUqgWhQiOZN67QBP6Scj,audio_features,spotify:track:15vUqgWhQiOZN67QBP6Scj,0.453
3,Iio Riva,Rapture,Riva Remix,6.41e-05,https://api.spotify.com/v1/audio-analysis/7Jf9tCso7rOigCPXeNJ3tm,0.593,466840.0,0.943,7Jf9tCso7rOigCPXeNJ3tm,0.396,6.0,0.238,-6.681,1.0,0.04,133.997,4.0,https://api.spotify.com/v1/tracks/7Jf9tCso7rOigCPXeNJ3tm,audio_features,spotify:track:7Jf9tCso7rOigCPXeNJ3tm,0.608
4,King Of Clubs Airwave,Revelation,Airwave Remix,0.000137,https://api.spotify.com/v1/audio-analysis/3jPSazqR3wDPNWxMta78GE,0.577,572667.0,0.681,3jPSazqR3wDPNWxMta78GE,0.704,4.0,0.124,-10.49,0.0,0.0385,135.992,4.0,https://api.spotify.com/v1/tracks/3jPSazqR3wDPNWxMta78GE,audio_features,spotify:track:3jPSazqR3wDPNWxMta78GE,0.529
5,Silverblue,Step Back,Original Mix,2.59e-05,https://api.spotify.com/v1/audio-analysis/5Waayp4TE0LogupxIusXPt,0.532,323814.0,0.791,5Waayp4TE0LogupxIusXPt,0.176,2.0,0.0478,-7.401,0.0,0.0333,139.942,4.0,https://api.spotify.com/v1/tracks/5Waayp4TE0LogupxIusXPt,audio_features,spotify:track:5Waayp4TE0LogupxIusXPt,0.324
6,Dave Davis,Resource,Original Mix,0.00183,https://api.spotify.com/v1/audio-analysis/6SWJoHZ14Ifl2AlksBXKL6,0.767,453933.0,0.77,6SWJoHZ14Ifl2AlksBXKL6,0.917,0.0,0.143,-7.41,1.0,0.0572,141.027,4.0,https://api.spotify.com/v1/tracks/6SWJoHZ14Ifl2AlksBXKL6,audio_features,spotify:track:6SWJoHZ14Ifl2AlksBXKL6,0.287
7,Ayumi Hamasaki Armin van Buuren,Appears,Armin Van Buuren's Sunset Dub,0.00411,https://api.spotify.com/v1/audio-analysis/6aP4vqMrza1CsnB3STEvg5,0.569,330800.0,0.993,6aP4vqMrza1CsnB3STEvg5,0.0101,7.0,0.0579,-7.102,0.0,0.0833,140.014,4.0,https://api.spotify.com/v1/tracks/6aP4vqMrza1CsnB3STEvg5,audio_features,spotify:track:6aP4vqMrza1CsnB3STEvg5,0.116
8,Cygnus X,Orange Theme,Original Mix,0.00109,https://api.spotify.com/v1/audio-analysis/4hCjdIqyAJleqIXvJMgTCU,0.663,209520.0,0.947,4hCjdIqyAJleqIXvJMgTCU,0.747,8.0,0.0898,-10.482,0.0,0.0789,144.995,4.0,https://api.spotify.com/v1/tracks/4hCjdIqyAJleqIXvJMgTCU,audio_features,spotify:track:4hCjdIqyAJleqIXvJMgTCU,0.0598
9,Ultra Gielen Svenson,FreeFree,Svenson & Gielen Remix,,,,,,,,,,,,,,,,,,
10,Tetra Flux,Forever,Original Mix,,,,,,,,,,,,,,,,,,
11,Loafer Blackwatch,Travelogue,Blackwatch Remix,4.19e-05,https://api.spotify.com/v1/audio-analysis/5tWQ5ymfNREfHlYJQrpaKt,0.736,507558.0,0.922,5tWQ5ymfNREfHlYJQrpaKt,0.864,1.0,0.0863,-10.193,0.0,0.0663,133.012,4.0,https://api.spotify.com/v1/tracks/5tWQ5ymfNREfHlYJQrpaKt,audio_features,spotify:track:5tWQ5ymfNREfHlYJQrpaKt,0.103
12,Purple Ronan,Future Blue,Unknown Mix,,,,,,,,,,,,,,,,,,
13,Dj Sandy Sinesweeper Filterheadz,Shake It,Filterheadz Remix,,,,,,,,,,,,,,,,,,
14,M.I.K.E.,Elements Of Life,Original Mix,,,,,,,,,,,,,,,,,,
15,Harry Choo Choo Romero,I Want Out (I Can't Believe),Original Mix,,,,,,,,,,,,,,,,,,
16,Sidewinder,Hidden Flight,Bootleg,,,,,,,,,,,,,,,,,,
17,Simon Foy,Inside Out,Original Mix,1.6e-05,https://api.spotify.com/v1/audio-analysis/7GYeZ2F7ShMgaOTn7MSQTn,0.733,382800.0,0.998,7GYeZ2F7ShMgaOTn7MSQTn,0.916,7.0,0.108,-4.445,1.0,0.0674,139.48,4.0,https://api.spotify.com/v1/tracks/7GYeZ2F7ShMgaOTn7MSQTn,audio_features,spotify:track:7GYeZ2F7ShMgaOTn7MSQTn,0.117
18,System 7 Voyager,High Plains Drifter,Voyager Remix,0.00149,https://api.spotify.com/v1/audio-analysis/52kRSa9nFRZczVXof2TuTm,0.612,729227.0,0.988,52kRSa9nFRZczVXof2TuTm,0.773,7.0,0.646,-6.563,1.0,0.0719,137.159,4.0,https://api.spotify.com/v1/tracks/52kRSa9nFRZczVXof2TuTm,audio_features,spotify:track:52kRSa9nFRZczVXof2TuTm,0.27
19,Graham Fee Remedy,System Overload,Remedy Remix,,,,,,,,,,,,,,,,,,
20,Armin van Buuren,Clear Blue Moon,Original Mix,0.000696,https://api.spotify.com/v1/audio-analysis/71RH5bI7XGwfielLG6JIxN,0.519,252263.0,0.917,71RH5bI7XGwfielLG6JIxN,0.777,10.0,0.0694,-9.093,0.0,0.0516,136.972,4.0,https://api.spotify.com/v1/tracks/71RH5bI7XGwfielLG6JIxN,audio_features,spotify:track:71RH5bI7XGwfielLG6JIxN,0.0631
