,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Kryder, Blade 3000    ,SPINNIN',,,,,,,,,,,,,,,,,,,
1,Sunnery James Ryan Marciano x Nicola Fasano Adam Clay, Born Again ,Babylonia,0.131,https://api.spotify.com/v1/audio-analysis/3DpWPXheVlATN9nPB9VHir,10A,0.638,175264.0,0.791,3DpWPXheVlATN9nPB9VHir,0.000197,11.0,0.567,-6.891,0.0,0.0365,126.042,4.0,https://api.spotify.com/v1/tracks/3DpWPXheVlATN9nPB9VHir,audio_features,spotify:track:3DpWPXheVlATN9nPB9VHir,0.434
2,ID, ID  ,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
3,Kryder Eddie Thoneick, The Chant ,Cato Anaya Remix,0.00722,https://api.spotify.com/v1/audio-analysis/3F91JrM1flxzO4LDT6jFH4,8B,0.553,204062.0,0.965,3F91JrM1flxzO4LDT6jFH4,0.00406,0.0,0.376,-3.07,1.0,0.0536,125.961,4.0,https://api.spotify.com/v1/tracks/3F91JrM1flxzO4LDT6jFH4,audio_features,spotify:track:3F91JrM1flxzO4LDT6jFH4,0.536
4,The Lafayette Afro Rock Band, Darkest Light  ,ID Remix,0.0995,https://api.spotify.com/v1/audio-analysis/5OCUz5Jsq27nGnj3rZAhIs,12B,0.602,276600.0,0.89,5OCUz5Jsq27nGnj3rZAhIs,0.146,4.0,0.11,-5.368,1.0,0.03,136.158,4.0,https://api.spotify.com/v1/tracks/5OCUz5Jsq27nGnj3rZAhIs,audio_features,spotify:track:5OCUz5Jsq27nGnj3rZAhIs,0.686
5,Melé, The Beyonce Track  ,unknown,,,,,,,,,,,,,,,,,,,
6,Tocadisco, Zulu  ,unknown,0.000305,https://api.spotify.com/v1/audio-analysis/4JWaj7jJpO9xamFxOUdeMP,3A,0.654,247805.0,0.954,4JWaj7jJpO9xamFxOUdeMP,0.7,10.0,0.0723,-8.588,0.0,0.0518,122.978,4.0,https://api.spotify.com/v1/tracks/4JWaj7jJpO9xamFxOUdeMP,audio_features,spotify:track:4JWaj7jJpO9xamFxOUdeMP,0.49
7,Kryder Tom Staar The Wulf, De Puta Madre ,The Cube Guys Remix,9.53e-05,https://api.spotify.com/v1/audio-analysis/6EhAQhluXF1D0vJ94hLFSQ,11B,0.654,209032.0,0.948,6EhAQhluXF1D0vJ94hLFSQ,0.678,9.0,0.081,-4.683,1.0,0.119,123.934,4.0,https://api.spotify.com/v1/tracks/6EhAQhluXF1D0vJ94hLFSQ,audio_features,spotify:track:6EhAQhluXF1D0vJ94hLFSQ,0.37
8,The Golden Boy, Some Blokes  ,unknown,,,,,,,,,,,,,,,,,,,
9,Jax Jones Mabel   Rich The Kid, Ring Ring  ,ID Remix,0.172,https://api.spotify.com/v1/audio-analysis/3pSfoP1xZllxEuZ6Oh6ebn,12A,0.779,217613.0,0.641,3pSfoP1xZllxEuZ6Oh6ebn,2.03e-06,1.0,0.102,-4.912,0.0,0.141,107.032,4.0,https://api.spotify.com/v1/tracks/3pSfoP1xZllxEuZ6Oh6ebn,audio_features,spotify:track:3pSfoP1xZllxEuZ6Oh6ebn,0.638
10,ID, ID  ,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
11,Thomas Newson, The Worker  ,unknown,0.000899,https://api.spotify.com/v1/audio-analysis/5tUCCbHktLiVH8h1qpZ5m5,10B,0.79,159360.0,0.918,5tUCCbHktLiVH8h1qpZ5m5,0.92,2.0,0.113,-4.268,1.0,0.0394,125.005,4.0,https://api.spotify.com/v1/tracks/5tUCCbHktLiVH8h1qpZ5m5,audio_features,spotify:track:5tUCCbHktLiVH8h1qpZ5m5,0.669
12,ID, ID  ,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
13,H.O.S.H. Groj, Jedi ,Dani Masi Bootleg,,,,,,,,,,,,,,,,,,,
14,Wheats, Warrior Wall  ,unknown,0.00358,https://api.spotify.com/v1/audio-analysis/3kEpNyn6b84XHiQJQTbo8S,9A,0.679,241953.0,0.978,3kEpNyn6b84XHiQJQTbo8S,0.436,4.0,0.263,-7.475,0.0,0.0688,122.991,4.0,https://api.spotify.com/v1/tracks/3kEpNyn6b84XHiQJQTbo8S,audio_features,spotify:track:3kEpNyn6b84XHiQJQTbo8S,0.364
15,Lifelike Kris Menace, Discopolis 2.0 ,Sander van Doorn Remix,0.000354,https://api.spotify.com/v1/audio-analysis/1G4x8Uz7vnuwY4JASJVRWg,11A,0.484,213601.0,0.735,1G4x8Uz7vnuwY4JASJVRWg,0.167,6.0,0.346,-11.985,0.0,0.0689,130.035,4.0,https://api.spotify.com/v1/tracks/1G4x8Uz7vnuwY4JASJVRWg,audio_features,spotify:track:1G4x8Uz7vnuwY4JASJVRWg,0.201
16,Bedrock, Heaven Scent ,OC & Verde Remix,0.00108,https://api.spotify.com/v1/audio-analysis/5lLpIhfhPGiU45tA5dYyH5,6A,0.657,630354.0,0.866,5lLpIhfhPGiU45tA5dYyH5,0.871,7.0,0.729,-15.268,0.0,0.058,134.988,4.0,https://api.spotify.com/v1/tracks/5lLpIhfhPGiU45tA5dYyH5,audio_features,spotify:track:5lLpIhfhPGiU45tA5dYyH5,0.666
17,David Tort, The Acid Test ,Basement Mix,0.00306,https://api.spotify.com/v1/audio-analysis/6Z3xPYTrNcDvPlgi98TNjV,12A,0.755,377540.0,0.991,6Z3xPYTrNcDvPlgi98TNjV,0.892,1.0,0.109,-5.994,0.0,0.0589,123.998,4.0,https://api.spotify.com/v1/tracks/6Z3xPYTrNcDvPlgi98TNjV,audio_features,spotify:track:6Z3xPYTrNcDvPlgi98TNjV,0.382
18,Chocolate Puma, Reality  ,unknown,0.565,https://api.spotify.com/v1/audio-analysis/1MTGKn3sQoZpiKAVWSCY9y,3B,0.83,397500.0,0.591,1MTGKn3sQoZpiKAVWSCY9y,0.798,1.0,0.125,-11.127,1.0,0.0925,128.068,4.0,https://api.spotify.com/v1/tracks/1MTGKn3sQoZpiKAVWSCY9y,audio_features,spotify:track:1MTGKn3sQoZpiKAVWSCY9y,0.328
19,Yotto   Vok, The One You Left Behind ,Yotto Mirage Mix,0.000498,https://api.spotify.com/v1/audio-analysis/5THXevMA8ERElpcvMUGsCN,10B,0.761,498164.0,0.688,5THXevMA8ERElpcvMUGsCN,0.527,2.0,0.132,-8.896,1.0,0.0437,123.997,4.0,https://api.spotify.com/v1/tracks/5THXevMA8ERElpcvMUGsCN,audio_features,spotify:track:5THXevMA8ERElpcvMUGsCN,0.0636
20,Kryder   Sam Martin, Billionaire  ,unknown,0.0503,https://api.spotify.com/v1/audio-analysis/5JEn6NzjsY4SB5NItyfpYW,4A,0.595,177517.0,0.888,5JEn6NzjsY4SB5NItyfpYW,0.000175,5.0,0.184,-4.629,0.0,0.0391,114.967,4.0,https://api.spotify.com/v1/tracks/5JEn6NzjsY4SB5NItyfpYW,audio_features,spotify:track:5JEn6NzjsY4SB5NItyfpYW,0.39
