,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Lucky Charmes   Kris Kiss, ID  ,unknown,0.989,https://api.spotify.com/v1/audio-analysis/5cd9O2imCdMwtCKDPRE3Lm,9A,0.486,108697.0,0.093,5cd9O2imCdMwtCKDPRE3Lm,0.771,4.0,0.0969,-15.848,0.0,0.0463,80.241,4.0,https://api.spotify.com/v1/tracks/5cd9O2imCdMwtCKDPRE3Lm,audio_features,spotify:track:5cd9O2imCdMwtCKDPRE3Lm,0.15
1,ID, ID  ,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
2,Distinkt, Brands  ,unknown,0.351,https://api.spotify.com/v1/audio-analysis/0IqozZKesmnCjTOmPjrWfG,11A,0.901,334488.0,0.841,0IqozZKesmnCjTOmPjrWfG,0.0689,6.0,0.122,-2.199,0.0,0.0554,126.986,4.0,https://api.spotify.com/v1/tracks/0IqozZKesmnCjTOmPjrWfG,audio_features,spotify:track:0IqozZKesmnCjTOmPjrWfG,0.365
3,Chris Lake Green Velvet, Deceiver  ,unknown,0.0195,https://api.spotify.com/v1/audio-analysis/6RIbDs0p4XusU2PZSiDgeZ,1B,0.881,225884.0,0.883,6RIbDs0p4XusU2PZSiDgeZ,0.148,11.0,0.0825,-5.494,1.0,0.0633,124.016,4.0,https://api.spotify.com/v1/tracks/6RIbDs0p4XusU2PZSiDgeZ,audio_features,spotify:track:6RIbDs0p4XusU2PZSiDgeZ,0.966
4,Jack Back, Grenade  ,unknown,0.027,https://api.spotify.com/v1/audio-analysis/3fiOVMed1MjJvNrEMWsYN5,8B,0.627,212893.0,0.883,3fiOVMed1MjJvNrEMWsYN5,0.172,0.0,0.0917,-6.915,1.0,0.081,124.0,4.0,https://api.spotify.com/v1/tracks/3fiOVMed1MjJvNrEMWsYN5,audio_features,spotify:track:3fiOVMed1MjJvNrEMWsYN5,0.479
5,Bart B More, Wack  ,unknown,0.0291,https://api.spotify.com/v1/audio-analysis/1BQLOOnPSauf3oCiNi03oq,12A,0.942,158537.0,0.67,1BQLOOnPSauf3oCiNi03oq,0.00111,1.0,0.092,-4.773,0.0,0.118,123.032,4.0,https://api.spotify.com/v1/tracks/1BQLOOnPSauf3oCiNi03oq,audio_features,spotify:track:1BQLOOnPSauf3oCiNi03oq,0.562
6,Notion   Cecilia, Real  ,unknown,0.00118,https://api.spotify.com/v1/audio-analysis/7uKXny4bHfpLhFOgYCMsQC,9A,0.629,185617.0,0.734,7uKXny4bHfpLhFOgYCMsQC,7.03e-06,4.0,0.638,-3.969,0.0,0.043,128.089,4.0,https://api.spotify.com/v1/tracks/7uKXny4bHfpLhFOgYCMsQC,audio_features,spotify:track:7uKXny4bHfpLhFOgYCMsQC,0.197
7,Lucky Charmes, Skank  ,unknown,0.111,https://api.spotify.com/v1/audio-analysis/6r6ZFFgsMTLQwtPCBOR2ct,5A,0.866,173810.0,0.907,6r6ZFFgsMTLQwtPCBOR2ct,0.0839,0.0,0.108,-5.072,0.0,0.0429,126.046,4.0,https://api.spotify.com/v1/tracks/6r6ZFFgsMTLQwtPCBOR2ct,audio_features,spotify:track:6r6ZFFgsMTLQwtPCBOR2ct,0.788
8,JOYRYDE, Hot Drum  ,unknown,0.0009,https://api.spotify.com/v1/audio-analysis/0gcPFlSLjkVqz84RcDhyJk,9B,0.625,266880.0,0.981,0gcPFlSLjkVqz84RcDhyJk,0.329,7.0,0.357,-3.799,1.0,0.0597,125.008,4.0,https://api.spotify.com/v1/tracks/0gcPFlSLjkVqz84RcDhyJk,audio_features,spotify:track:0gcPFlSLjkVqz84RcDhyJk,0.156
9,ID, ID  ,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
10,Black Caviar   G.L.A.M, Killa Shit Funk  ,UMG,0.0513,https://api.spotify.com/v1/audio-analysis/3UOhuCRjapAvI58aP3IRf6,1B,0.916,186267.0,0.82,3UOhuCRjapAvI58aP3IRf6,0.000113,11.0,0.162,-2.966,1.0,0.0687,125.001,4.0,https://api.spotify.com/v1/tracks/3UOhuCRjapAvI58aP3IRf6,audio_features,spotify:track:3UOhuCRjapAvI58aP3IRf6,0.527
