,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Charles B VCTRY, House Pride  ,unknown,0.000748,https://api.spotify.com/v1/audio-analysis/16TIAhdRUn51hvO0HGGjn8,10A,0.68,182222.0,0.875,16TIAhdRUn51hvO0HGGjn8,0.643,11.0,0.322,-5.138,0.0,0.0361,127.969,4.0,https://api.spotify.com/v1/tracks/16TIAhdRUn51hvO0HGGjn8,audio_features,spotify:track:16TIAhdRUn51hvO0HGGjn8,0.366
1,Antoine Delvig AYOR, Low Rider  ,unknown,0.00748,https://api.spotify.com/v1/audio-analysis/1WOOKjzjz9mPTMHsj7eOFw,8B,0.694,175312.0,0.922,1WOOKjzjz9mPTMHsj7eOFw,0.000126,0.0,0.21,-3.627,1.0,0.198,126.04,4.0,https://api.spotify.com/v1/tracks/1WOOKjzjz9mPTMHsj7eOFw,audio_features,spotify:track:1WOOKjzjz9mPTMHsj7eOFw,0.267
2,Timmo Hendriks Lennart Schroot, In My Head  ,unknown,0.225,https://api.spotify.com/v1/audio-analysis/7H2i2UCTnpOZndaA05ob1z,6A,0.543,197143.0,0.752,7H2i2UCTnpOZndaA05ob1z,5.22e-05,7.0,0.155,-5.516,0.0,0.0409,128.018,4.0,https://api.spotify.com/v1/tracks/7H2i2UCTnpOZndaA05ob1z,audio_features,spotify:track:7H2i2UCTnpOZndaA05ob1z,0.138
3,FaderX, We Found Love  ,unknown,0.203,https://api.spotify.com/v1/audio-analysis/1wDW8RamMtabQTEwGGOuxG,9B,0.668,198762.0,0.994,1wDW8RamMtabQTEwGGOuxG,0.228,7.0,0.33,-2.683,1.0,0.131,124.023,4.0,https://api.spotify.com/v1/tracks/1wDW8RamMtabQTEwGGOuxG,audio_features,spotify:track:1wDW8RamMtabQTEwGGOuxG,0.247
4,Teamworx, Clap Back  ,unknown,,,,,,,,,,,,,,,,,,,
5,Futuristic Polar Bears Kess Ross, I Can't Do It  ,unknown,0.0241,https://api.spotify.com/v1/audio-analysis/4tb57pkZsMeb373YwZfrxV,1A,0.723,209280.0,0.932,4tb57pkZsMeb373YwZfrxV,3.33e-06,8.0,0.129,-4.287,0.0,0.0348,125.001,4.0,https://api.spotify.com/v1/tracks/4tb57pkZsMeb373YwZfrxV,audio_features,spotify:track:4tb57pkZsMeb373YwZfrxV,0.568
6,Mosimann, The Groove  ,unknown,0.0174,https://api.spotify.com/v1/audio-analysis/4W9V20TzCgJsBFRZaUYDe8,3B,0.696,221035.0,0.991,4W9V20TzCgJsBFRZaUYDe8,0.394,1.0,0.895,-6.111,1.0,0.445,126.006,4.0,https://api.spotify.com/v1/tracks/4W9V20TzCgJsBFRZaUYDe8,audio_features,spotify:track:4W9V20TzCgJsBFRZaUYDe8,0.274
7,Martin Volt Quentin State, Rush  ,unknown,0.00614,https://api.spotify.com/v1/audio-analysis/5OovMirlBmIWM66bXvLQKC,1A,0.586,355892.0,0.902,5OovMirlBmIWM66bXvLQKC,0.273,8.0,0.114,-4.784,0.0,0.0392,128.007,4.0,https://api.spotify.com/v1/tracks/5OovMirlBmIWM66bXvLQKC,audio_features,spotify:track:5OovMirlBmIWM66bXvLQKC,0.0989
8,Nicky Romero Stadiumx   Matluck, Rise ,Acoustic Version,0.0106,https://api.spotify.com/v1/audio-analysis/4ycrM18sdB00uShi9rMWgS,5B,0.471,200574.0,0.762,4ycrM18sdB00uShi9rMWgS,0.0,3.0,0.489,-2.646,1.0,0.0468,128.12,4.0,https://api.spotify.com/v1/tracks/4ycrM18sdB00uShi9rMWgS,audio_features,spotify:track:4ycrM18sdB00uShi9rMWgS,0.343
9,Lost Frequencies   The Nghbrs, Like I Love You ,Stadiumx Remix,0.142,https://api.spotify.com/v1/audio-analysis/4sh506lJZac1T4o4NqtIuS,3B,0.863,190174.0,0.588,4sh506lJZac1T4o4NqtIuS,3.42e-05,1.0,0.457,-7.141,1.0,0.0847,117.911,4.0,https://api.spotify.com/v1/tracks/4sh506lJZac1T4o4NqtIuS,audio_features,spotify:track:4sh506lJZac1T4o4NqtIuS,0.751
10,Kygo Imagine Dragons, Born To Be Yours ,Stadiumx Remix,0.3,https://api.spotify.com/v1/audio-analysis/0WVAQaxrT0wsGEG4BCVSn2,5B,0.688,193321.0,0.688,0WVAQaxrT0wsGEG4BCVSn2,0.0,3.0,0.0982,-5.84,1.0,0.0357,114.011,4.0,https://api.spotify.com/v1/tracks/0WVAQaxrT0wsGEG4BCVSn2,audio_features,spotify:track:0WVAQaxrT0wsGEG4BCVSn2,0.451
11,"Stadiumx, Going Deeper MC Flipside", Dangerous Vibes  ,unknown,0.0017,https://api.spotify.com/v1/audio-analysis/3YGDIcOX8buh4AWv1zhNHY,3B,0.714,164119.0,0.967,3YGDIcOX8buh4AWv1zhNHY,0.126,1.0,0.376,-2.239,1.0,0.105,125.071,4.0,https://api.spotify.com/v1/tracks/3YGDIcOX8buh4AWv1zhNHY,audio_features,spotify:track:3YGDIcOX8buh4AWv1zhNHY,0.399
12,Stadiumx, ID  ,unknown,,,,,,,,,,,,,,,,,,,
13,Deepend Joe Killington, Could Be Love ,Stadiumx Remix,0.0784,https://api.spotify.com/v1/audio-analysis/7oLWwdIfnDEfoEFBAgfzXx,12A,0.631,156190.0,0.9,7oLWwdIfnDEfoEFBAgfzXx,1.38e-06,1.0,0.104,-3.086,0.0,0.1,126.033,4.0,https://api.spotify.com/v1/tracks/7oLWwdIfnDEfoEFBAgfzXx,audio_features,spotify:track:7oLWwdIfnDEfoEFBAgfzXx,0.419
14,Stadiumx Metrush, ID  ,unknown,,,,,,,,,,,,,,,,,,,
