,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"Showtek,Moby",Natural Blues,unknown,0.39,https://api.spotify.com/v1/audio-analysis/3rMIgAo2HcDZG7CFbaT8AP,2B,0.691,204500.0,0.887,3rMIgAo2HcDZG7CFbaT8AP,0.416,6.0,0.0943,-5.193,1.0,0.0334,125.958,4.0,https://api.spotify.com/v1/tracks/3rMIgAo2HcDZG7CFbaT8AP,audio_features,spotify:track:3rMIgAo2HcDZG7CFbaT8AP,0.805
1,"Samlight,Triple M",Adventures,unknown,0.0274,https://api.spotify.com/v1/audio-analysis/4JRkL7OoqAAd3TGTCd4oq4,4A,0.729,155742.0,0.941,4JRkL7OoqAAd3TGTCd4oq4,0.0539,5.0,0.403,-3.872,0.0,0.0591,128.003,4.0,https://api.spotify.com/v1/tracks/4JRkL7OoqAAd3TGTCd4oq4,audio_features,spotify:track:4JRkL7OoqAAd3TGTCd4oq4,0.291
2,"Skrillex,MUST DIE!",VIP's,Gent & Jawns Remix / Skrillex Edit,,,,,,,,,,,,,,,,,,,
3,"Cash Cash,Nikki Vianna",Jewel,ATLANTIC,0.383,https://api.spotify.com/v1/audio-analysis/1YnJvNqULdzYN1tko3fxiI,1A,0.414,178161.0,0.778,1YnJvNqULdzYN1tko3fxiI,0.0,8.0,0.219,-3.081,0.0,0.0582,154.769,4.0,https://api.spotify.com/v1/tracks/1YnJvNqULdzYN1tko3fxiI,audio_features,spotify:track:1YnJvNqULdzYN1tko3fxiI,0.398
4,"Samahta,Molly Moore",Secret Weapon,unknown,0.0208,https://api.spotify.com/v1/audio-analysis/0mvw75PZqV7SXeHlnp4eRs,8A,0.522,225366.0,0.707,0mvw75PZqV7SXeHlnp4eRs,0.000191,9.0,0.124,-4.766,0.0,0.0519,164.054,4.0,https://api.spotify.com/v1/tracks/0mvw75PZqV7SXeHlnp4eRs,audio_features,spotify:track:0mvw75PZqV7SXeHlnp4eRs,0.182
5,Krewella,Alibi,unknown,0.134,https://api.spotify.com/v1/audio-analysis/144VylfhBHydi2xvqy9yw6,6A,0.602,219554.0,0.758,144VylfhBHydi2xvqy9yw6,0.0,7.0,0.0853,-5.261,0.0,0.068,99.896,4.0,https://api.spotify.com/v1/tracks/144VylfhBHydi2xvqy9yw6,audio_features,spotify:track:144VylfhBHydi2xvqy9yw6,0.156
6,Dada Life,We Want Your Soul,Mike Williams Remix,0.0531,https://api.spotify.com/v1/audio-analysis/57cHVcg6lJNyL8YLLUUzF0,5B,0.624,178587.0,0.809,57cHVcg6lJNyL8YLLUUzF0,0.00442,3.0,0.17,-4.71,1.0,0.0346,128.01,4.0,https://api.spotify.com/v1/tracks/57cHVcg6lJNyL8YLLUUzF0,audio_features,spotify:track:57cHVcg6lJNyL8YLLUUzF0,0.412
7,"Bassjackers,Bali Bandits",Are You Randy,unknown,0.000724,https://api.spotify.com/v1/audio-analysis/53jrJ39G3kfrv8P2bFYVAa,9B,0.641,185640.0,0.905,53jrJ39G3kfrv8P2bFYVAa,0.134,7.0,0.197,-4.981,1.0,0.107,127.984,4.0,https://api.spotify.com/v1/tracks/53jrJ39G3kfrv8P2bFYVAa,audio_features,spotify:track:53jrJ39G3kfrv8P2bFYVAa,0.161
8,"GTA,Dillon Francis,Wax Motif,Anna Lunoe",I Can't Hold On,unknown,0.00305,https://api.spotify.com/v1/audio-analysis/2e6he0ydsChPv44oTVC7CO,9A,0.715,203067.0,0.758,2e6he0ydsChPv44oTVC7CO,0.107,4.0,0.345,-4.797,0.0,0.152,129.048,4.0,https://api.spotify.com/v1/tracks/2e6he0ydsChPv44oTVC7CO,audio_features,spotify:track:2e6he0ydsChPv44oTVC7CO,0.385
9,Bro Safari,The Drop,unknown,0.105,https://api.spotify.com/v1/audio-analysis/51hSi1p7g2KdXg7fJA1Hgp,5A,0.689,229851.0,0.88,51hSi1p7g2KdXg7fJA1Hgp,0.0283,0.0,0.447,-3.964,0.0,0.101,170.039,4.0,https://api.spotify.com/v1/tracks/51hSi1p7g2KdXg7fJA1Hgp,audio_features,spotify:track:51hSi1p7g2KdXg7fJA1Hgp,0.528
