,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"Steve Angello,Pusha T",Freedom,Paul Green Edit,0.0418,https://api.spotify.com/v1/audio-analysis/3qZJTID8yXSCT817gGlrfZ,11B,0.657,222293.0,0.552,3qZJTID8yXSCT817gGlrfZ,0.0514,9.0,0.111,-10.2,1.0,0.0682,109.0,4.0,https://api.spotify.com/v1/tracks/3qZJTID8yXSCT817gGlrfZ,audio_features,spotify:track:3qZJTID8yXSCT817gGlrfZ,0.147
1,"Thomas Feelman,Teamworx,STV",Never Stop,unknown,0.00399,https://api.spotify.com/v1/audio-analysis/3GFcFLJYSe5IEnta7X5Vvl,9B,0.571,215957.0,0.913,3GFcFLJYSe5IEnta7X5Vvl,0.44,7.0,0.124,-4.377,1.0,0.0566,127.998,4.0,https://api.spotify.com/v1/tracks/3GFcFLJYSe5IEnta7X5Vvl,audio_features,spotify:track:3GFcFLJYSe5IEnta7X5Vvl,0.213
2,Promise Land,3,unknown,0.00202,https://api.spotify.com/v1/audio-analysis/3iNULLwjohKI1H4CNhzmbi,11A,0.66,171840.0,0.976,3iNULLwjohKI1H4CNhzmbi,0.173,6.0,0.318,-2.923,0.0,0.0978,125.005,4.0,https://api.spotify.com/v1/tracks/3iNULLwjohKI1H4CNhzmbi,audio_features,spotify:track:3iNULLwjohKI1H4CNhzmbi,0.653
3,Jordan Ferrer,Conspiracy,unknown,0.0882,https://api.spotify.com/v1/audio-analysis/6bqnV7PIsXlh2g5fhKrLXk,8A,0.821,328921.0,0.696,6bqnV7PIsXlh2g5fhKrLXk,0.731,9.0,0.0756,-5.635,0.0,0.0525,124.042,4.0,https://api.spotify.com/v1/tracks/6bqnV7PIsXlh2g5fhKrLXk,audio_features,spotify:track:6bqnV7PIsXlh2g5fhKrLXk,0.171
4,Highly Sedated,Highly Sedated,Corey James & Anckarstrom Remix,0.0062,https://api.spotify.com/v1/audio-analysis/5cvZOt0Uo6vNTzEHb4XDnq,3A,0.527,208095.0,0.913,5cvZOt0Uo6vNTzEHb4XDnq,5.63e-06,10.0,0.0975,-6.394,0.0,0.294,126.01,4.0,https://api.spotify.com/v1/tracks/5cvZOt0Uo6vNTzEHb4XDnq,audio_features,spotify:track:5cvZOt0Uo6vNTzEHb4XDnq,0.227
5,"Kiavetta,O'Neils",Only,unknown,0.00502,https://api.spotify.com/v1/audio-analysis/4cLN5SlZd2lPKnsRZMPMpb,10A,0.673,300020.0,0.892,4cLN5SlZd2lPKnsRZMPMpb,0.901,11.0,0.0498,-7.99,0.0,0.0791,128.003,4.0,https://api.spotify.com/v1/tracks/4cLN5SlZd2lPKnsRZMPMpb,audio_features,spotify:track:4cLN5SlZd2lPKnsRZMPMpb,0.211
6,Dr. Shiver X David Allen,Wusu,FREE,,,,,,,,,,,,,,,,,,,
7,"Erick Kasell, MAD2MAD,Diamond Mark",HIVE,unknown,,,,,,,,,,,,,,,,,,,
8,Mr. Sid,Masai,FREE,,,,,,,,,,,,,,,,,,,
9,"Pauls Paris,Moses York",Make Your Mind Up,Axwell & NEW_ID Remode,0.0159,https://api.spotify.com/v1/audio-analysis/6qEocKxO6SHfM4gH1QvSTe,6B,0.593,224516.0,0.913,6qEocKxO6SHfM4gH1QvSTe,0.00042,10.0,0.0749,-2.117,1.0,0.0497,123.929,4.0,https://api.spotify.com/v1/tracks/6qEocKxO6SHfM4gH1QvSTe,audio_features,spotify:track:6qEocKxO6SHfM4gH1QvSTe,0.313
10,Simon Alex,Fake ID,ID Remix,0.00041,https://api.spotify.com/v1/audio-analysis/6yPq83WBppVHM59TzeWbIA,9A,0.59,200491.0,0.977,6yPq83WBppVHM59TzeWbIA,0.64,4.0,0.421,-3.489,0.0,0.198,126.064,4.0,https://api.spotify.com/v1/tracks/6yPq83WBppVHM59TzeWbIA,audio_features,spotify:track:6yPq83WBppVHM59TzeWbIA,0.32
11,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
12,CamelPhat,Hangin' Out With Charlie,unknown,0.000725,https://api.spotify.com/v1/audio-analysis/64RLDRHISYCVqAnSNItiOu,2B,0.809,382131.0,0.92,64RLDRHISYCVqAnSNItiOu,0.689,6.0,0.64,-6.655,1.0,0.0588,123.016,4.0,https://api.spotify.com/v1/tracks/64RLDRHISYCVqAnSNItiOu,audio_features,spotify:track:64RLDRHISYCVqAnSNItiOu,0.905
13,"Latmun,Green Velvet,Camelphat",Make Em' Def,CAIN Edit,,,,,,,,,,,,,,,,,,,
14,Solardo,On The Corner,unknown,0.00226,https://api.spotify.com/v1/audio-analysis/6UZpRkbkQzbpmwhUCjoMYY,9B,0.798,201738.0,0.924,6UZpRkbkQzbpmwhUCjoMYY,0.189,7.0,0.0633,-6.504,1.0,0.0568,125.01,4.0,https://api.spotify.com/v1/tracks/6UZpRkbkQzbpmwhUCjoMYY,audio_features,spotify:track:6UZpRkbkQzbpmwhUCjoMYY,0.536
15,"Tab,Crouch X CAIN",Still,unknown,0.976,https://api.spotify.com/v1/audio-analysis/0l1i3TjxYwGmV3OAYUDCQ5,7A,0.621,267640.0,0.0719,0l1i3TjxYwGmV3OAYUDCQ5,0.00706,2.0,0.132,-15.993,0.0,0.0601,76.533,4.0,https://api.spotify.com/v1/tracks/0l1i3TjxYwGmV3OAYUDCQ5,audio_features,spotify:track:0l1i3TjxYwGmV3OAYUDCQ5,0.398
16,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
17,London Grammar,Hey Now,David Pietras Remix,0.396,https://api.spotify.com/v1/audio-analysis/51ZPtAuqT0V5lNONYZTrxy,7B,0.648,207253.0,0.28,51ZPtAuqT0V5lNONYZTrxy,0.0785,5.0,0.106,-11.961,1.0,0.0333,120.058,4.0,https://api.spotify.com/v1/tracks/51ZPtAuqT0V5lNONYZTrxy,audio_features,spotify:track:51ZPtAuqT0V5lNONYZTrxy,0.0393
