,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Cornucopia, The Day You Got Older & Stronger  ,unknown,0.00195,https://api.spotify.com/v1/audio-analysis/0UihiAeQZfP2gPzAIaIBqJ,7B,0.81,466145.0,0.504,0UihiAeQZfP2gPzAIaIBqJ,0.895,5.0,0.0414,-12.93,1.0,0.0565,121.001,4.0,https://api.spotify.com/v1/tracks/0UihiAeQZfP2gPzAIaIBqJ,audio_features,spotify:track:0UihiAeQZfP2gPzAIaIBqJ,0.705
1,Guy Mantzur Sahar Z, Temporary Sanity ,Cornucopia Remix,0.0228,https://api.spotify.com/v1/audio-analysis/4GQfFRqC61oocbjfLy84bN,5A,0.787,559323.0,0.885,4GQfFRqC61oocbjfLy84bN,0.903,0.0,0.0337,-9.005,0.0,0.052,120.996,4.0,https://api.spotify.com/v1/tracks/4GQfFRqC61oocbjfLy84bN,audio_features,spotify:track:4GQfFRqC61oocbjfLy84bN,0.486
2,Behrouz, Endless Summer  ,unknown,0.00225,https://api.spotify.com/v1/audio-analysis/3XLggphAr2neSc5H9dhOWt,11A,0.766,378531.0,0.624,3XLggphAr2neSc5H9dhOWt,0.892,6.0,0.0489,-9.364,0.0,0.065,123.021,4.0,https://api.spotify.com/v1/tracks/3XLggphAr2neSc5H9dhOWt,audio_features,spotify:track:3XLggphAr2neSc5H9dhOWt,0.961
3,Rodriguez Jr., Kenopsia  ,unknown,0.00551,https://api.spotify.com/v1/audio-analysis/2kRPJTWqL0YbuLzbK0pprz,4A,0.797,440738.0,0.639,2kRPJTWqL0YbuLzbK0pprz,0.823,5.0,0.0953,-10.437,0.0,0.0434,125.006,4.0,https://api.spotify.com/v1/tracks/2kRPJTWqL0YbuLzbK0pprz,audio_features,spotify:track:2kRPJTWqL0YbuLzbK0pprz,0.0392
4,Rodriguez Jr., Chrysalism  ,unknown,3.35e-05,https://api.spotify.com/v1/audio-analysis/3WI9jE7G31HYmZi38QNBSP,3B,0.782,454766.0,0.613,3WI9jE7G31HYmZi38QNBSP,0.882,1.0,0.11,-10.228,1.0,0.0479,124.982,4.0,https://api.spotify.com/v1/tracks/3WI9jE7G31HYmZi38QNBSP,audio_features,spotify:track:3WI9jE7G31HYmZi38QNBSP,0.328
5,ID, ID  ,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
6,Pablo Cetrini, Afreak  ,unknown,,,,,,,,,,,,,,,,,,,
7,Graziano Raffa, Sothpaw  ,unknown,0.0174,https://api.spotify.com/v1/audio-analysis/6HFSxDHpFnf81X2CCZ4FQk,10B,0.805,512903.0,0.809,6HFSxDHpFnf81X2CCZ4FQk,0.87,2.0,0.694,-8.73,1.0,0.0884,124.0,4.0,https://api.spotify.com/v1/tracks/6HFSxDHpFnf81X2CCZ4FQk,audio_features,spotify:track:6HFSxDHpFnf81X2CCZ4FQk,0.687
8,Cid Inc, Orbiter  ,unknown,0.000604,https://api.spotify.com/v1/audio-analysis/5jk33KdH61Ue9gXLIwA9fZ,11B,0.738,532437.0,0.675,5jk33KdH61Ue9gXLIwA9fZ,0.909,9.0,0.0905,-9.404,1.0,0.051,119.001,4.0,https://api.spotify.com/v1/tracks/5jk33KdH61Ue9gXLIwA9fZ,audio_features,spotify:track:5jk33KdH61Ue9gXLIwA9fZ,0.387
9,Juan Deminicis, Orbital  ,unknown,0.0473,https://api.spotify.com/v1/audio-analysis/1efFK7SDC62Aihb8iJTyYB,9B,0.698,458000.0,0.856,1efFK7SDC62Aihb8iJTyYB,0.953,7.0,0.111,-8.62,1.0,0.0629,122.022,4.0,https://api.spotify.com/v1/tracks/1efFK7SDC62Aihb8iJTyYB,audio_features,spotify:track:1efFK7SDC62Aihb8iJTyYB,0.284
