,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Jeremy Olander, Vivrant 008 Intro ID ,Working Title,,,,,,,,,,,,,,,,,,,
1,Sailor I x Eekkoo, Letters ,Capital,0.00354,https://api.spotify.com/v1/audio-analysis/2JZ5v61ewoKEi2csUbn9yd,10B,0.787,538537.0,0.727,2JZ5v61ewoKEi2csUbn9yd,0.872,2.0,0.138,-8.312,1.0,0.0558,123.012,4.0,https://api.spotify.com/v1/tracks/2JZ5v61ewoKEi2csUbn9yd,audio_features,spotify:track:2JZ5v61ewoKEi2csUbn9yd,0.19
2,Chaim, Cosmology  ,unknown,0.000588,https://api.spotify.com/v1/audio-analysis/33GbfgM2TH8qn34rdZvj1i,8A,0.709,436162.0,0.879,33GbfgM2TH8qn34rdZvj1i,0.908,9.0,0.155,-10.069,0.0,0.0461,123.997,4.0,https://api.spotify.com/v1/tracks/33GbfgM2TH8qn34rdZvj1i,audio_features,spotify:track:33GbfgM2TH8qn34rdZvj1i,0.823
3,Allies For Everyone, Unrest ,Oliver Schories Remix,0.0104,https://api.spotify.com/v1/audio-analysis/0JZZy7zkI1kWzhjZuBXInH,11B,0.76,437158.0,0.641,0JZZy7zkI1kWzhjZuBXInH,0.851,9.0,0.124,-11.477,1.0,0.0505,124.012,4.0,https://api.spotify.com/v1/tracks/0JZZy7zkI1kWzhjZuBXInH,audio_features,spotify:track:0JZZy7zkI1kWzhjZuBXInH,0.0936
4,Tim Engelhardt Leonard Bywa, Trabant  ,unknown,0.0644,https://api.spotify.com/v1/audio-analysis/4XDLYR92l5IgqoELupdnff,12A,0.803,533587.0,0.796,4XDLYR92l5IgqoELupdnff,0.903,1.0,0.0563,-9.691,0.0,0.0409,122.996,3.0,https://api.spotify.com/v1/tracks/4XDLYR92l5IgqoELupdnff,audio_features,spotify:track:4XDLYR92l5IgqoELupdnff,0.279
5,Jeremy Olander, Talespin  ,unknown,0.00296,https://api.spotify.com/v1/audio-analysis/3Zx8gBuw8Sgznd40Oyiqb3,9B,0.788,468473.0,0.91,3Zx8gBuw8Sgznd40Oyiqb3,0.9,7.0,0.0755,-8.96,1.0,0.0488,124.004,4.0,https://api.spotify.com/v1/tracks/3Zx8gBuw8Sgznd40Oyiqb3,audio_features,spotify:track:3Zx8gBuw8Sgznd40Oyiqb3,0.378
6,Eekkoo, Reckless  ,unknown,,,,,,,,,,,,,,,,,,,
7,The DØ, Dust It Off ,Jeremy Olander Remix,0.959,https://api.spotify.com/v1/audio-analysis/3AkfTXIZ3yRPlbUYzSveDO,10A,0.51,222000.0,0.213,3AkfTXIZ3yRPlbUYzSveDO,0.171,11.0,0.0892,-12.913,0.0,0.0347,133.899,4.0,https://api.spotify.com/v1/tracks/3AkfTXIZ3yRPlbUYzSveDO,audio_features,spotify:track:3AkfTXIZ3yRPlbUYzSveDO,0.286
8,Jeremy Olander, Slick!cast ID ,Working Title,,,,,,,,,,,,,,,,,,,
9,Bicep, Closing Sequence  ,unknown,0.000403,https://api.spotify.com/v1/audio-analysis/26lFqitDN8bGz9WiZK8mpl,9B,0.629,375000.0,0.892,26lFqitDN8bGz9WiZK8mpl,0.87,7.0,0.0846,-7.863,1.0,0.0714,128.004,4.0,https://api.spotify.com/v1/tracks/26lFqitDN8bGz9WiZK8mpl,audio_features,spotify:track:26lFqitDN8bGz9WiZK8mpl,0.166
