,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Night Talk, Hypnotized  ,unknown,0.00284,https://api.spotify.com/v1/audio-analysis/50PClBDhiB2biV1cj4BkyV,9A,0.706,402908.0,0.883,50PClBDhiB2biV1cj4BkyV,0.844,4.0,0.107,-10.113,0.0,0.0514,121.013,4.0,https://api.spotify.com/v1/tracks/50PClBDhiB2biV1cj4BkyV,audio_features,spotify:track:50PClBDhiB2biV1cj4BkyV,0.11
1,Dino Lenny, No Word  ,unknown,0.000147,https://api.spotify.com/v1/audio-analysis/2iKjLKIpKVWw33dg24QtrV,2B,0.786,485829.0,0.604,2iKjLKIpKVWw33dg24QtrV,0.866,6.0,0.106,-11.243,1.0,0.0613,121.992,4.0,https://api.spotify.com/v1/tracks/2iKjLKIpKVWw33dg24QtrV,audio_features,spotify:track:2iKjLKIpKVWw33dg24QtrV,0.114
2,Peter Pardeike, Sanguine  ,unknown,0.000543,https://api.spotify.com/v1/audio-analysis/0d3vmrrf4PBQdGOKPUuADd,1B,0.784,454570.0,0.86,0d3vmrrf4PBQdGOKPUuADd,0.889,11.0,0.192,-11.039,1.0,0.0508,122.013,4.0,https://api.spotify.com/v1/tracks/0d3vmrrf4PBQdGOKPUuADd,audio_features,spotify:track:0d3vmrrf4PBQdGOKPUuADd,0.151
3,Hannes Bieger, Strato  ,unknown,0.000207,https://api.spotify.com/v1/audio-analysis/5arNkTrlFEYZFjLqUhbCG0,9B,0.469,542805.0,0.861,5arNkTrlFEYZFjLqUhbCG0,0.901,7.0,0.103,-11.293,1.0,0.0663,165.226,5.0,https://api.spotify.com/v1/tracks/5arNkTrlFEYZFjLqUhbCG0,audio_features,spotify:track:5arNkTrlFEYZFjLqUhbCG0,0.168
4,Ron Flatter, Seeya ,Definition Remix,0.0137,https://api.spotify.com/v1/audio-analysis/04S1p2JCal5ftRUfPiBWoz,3A,0.683,454214.0,0.807,04S1p2JCal5ftRUfPiBWoz,0.757,10.0,0.102,-12.897,0.0,0.0439,123.022,4.0,https://api.spotify.com/v1/tracks/04S1p2JCal5ftRUfPiBWoz,audio_features,spotify:track:04S1p2JCal5ftRUfPiBWoz,0.087
5,ID, ID  ,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
6,BOg, Pocket Rocket  ,unknown,0.0059,https://api.spotify.com/v1/audio-analysis/5dXC60Yk5EuEUk3Crypbur,9A,0.796,458363.0,0.732,5dXC60Yk5EuEUk3Crypbur,0.901,4.0,0.668,-8.241,0.0,0.0576,122.017,4.0,https://api.spotify.com/v1/tracks/5dXC60Yk5EuEUk3Crypbur,audio_features,spotify:track:5dXC60Yk5EuEUk3Crypbur,0.0347
7,ID, ID  ,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
8,Orsen, Through The Woods  ,unknown,0.0225,https://api.spotify.com/v1/audio-analysis/0PFDPxDFIYEuifqB2KIDJh,8B,0.801,478139.0,0.882,0PFDPxDFIYEuifqB2KIDJh,0.83,0.0,0.0871,-12.06,1.0,0.0432,120.99,4.0,https://api.spotify.com/v1/tracks/0PFDPxDFIYEuifqB2KIDJh,audio_features,spotify:track:0PFDPxDFIYEuifqB2KIDJh,0.203
9,George Morel Rowee, La Terra  ,unknown,0.0164,https://api.spotify.com/v1/audio-analysis/0NfO3yV88VMXaKBCUMuK3q,3B,0.821,381972.0,0.639,0NfO3yV88VMXaKBCUMuK3q,0.89,1.0,0.068,-9.724,1.0,0.0536,123.005,4.0,https://api.spotify.com/v1/tracks/0NfO3yV88VMXaKBCUMuK3q,audio_features,spotify:track:0NfO3yV88VMXaKBCUMuK3q,0.561
