,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Massive Attack, Four Walls ,Burial Remix,,,,,,,,,,,,,,,,,,
1,Martin Roth, Have You Ever  ,unknown,0.0245,https://api.spotify.com/v1/audio-analysis/64QfbER9So80RQ8gsfCd0U,0.829,233279.0,0.807,64QfbER9So80RQ8gsfCd0U,0.0388,7.0,0.0666,-8.739,1.0,0.0733,115.991,4.0,https://api.spotify.com/v1/tracks/64QfbER9So80RQ8gsfCd0U,audio_features,spotify:track:64QfbER9So80RQ8gsfCd0U,0.277
2,Thomas Schwartz Fausto Fanizza, Dawn To Dusk  ,unknown,0.00292,https://api.spotify.com/v1/audio-analysis/7DCJNjlUPgPVxRCa7UtiMO,0.684,229600.0,0.851,7DCJNjlUPgPVxRCa7UtiMO,0.569,0.0,0.0223,-8.096,1.0,0.0475,116.036,4.0,https://api.spotify.com/v1/tracks/7DCJNjlUPgPVxRCa7UtiMO,audio_features,spotify:track:7DCJNjlUPgPVxRCa7UtiMO,0.549
3,Downtown Party Network   Egle Sirvydyte, Space Me Out ,Jody Wisternoff & James Grant Remix,0.00345,https://api.spotify.com/v1/audio-analysis/6Wsm95r4zthWCNteMa2qTJ,0.729,264387.0,0.694,6Wsm95r4zthWCNteMa2qTJ,0.327,1.0,0.132,-7.635,1.0,0.053,115.997,4.0,https://api.spotify.com/v1/tracks/6Wsm95r4zthWCNteMa2qTJ,audio_features,spotify:track:6Wsm95r4zthWCNteMa2qTJ,0.182
4,Yotto, Slowly  ,unknown,0.255,https://api.spotify.com/v1/audio-analysis/4UlKjSANnauxHzIh2ePGlk,0.591,180127.0,0.785,4UlKjSANnauxHzIh2ePGlk,0.523,5.0,0.313,-6.951,0.0,0.0329,117.988,4.0,https://api.spotify.com/v1/tracks/4UlKjSANnauxHzIh2ePGlk,audio_features,spotify:track:4UlKjSANnauxHzIh2ePGlk,0.245
5,Journeyman, Crash Reel ,Maurice James Unofficial Rerub,0.0563,https://api.spotify.com/v1/audio-analysis/49SNS3LXtCQe0SVyD5xbX3,0.645,314767.0,0.897,49SNS3LXtCQe0SVyD5xbX3,0.449,5.0,0.645,-6.553,0.0,0.0449,122.005,4.0,https://api.spotify.com/v1/tracks/49SNS3LXtCQe0SVyD5xbX3,audio_features,spotify:track:49SNS3LXtCQe0SVyD5xbX3,0.123
6,Dems, Made For Myself ,Jody Wisternoff & James Grant Remix,0.00228,https://api.spotify.com/v1/audio-analysis/6VcM7b3p2npL5d7qtWnkLJ,0.607,301987.0,0.706,6VcM7b3p2npL5d7qtWnkLJ,0.708,5.0,0.101,-8.348,0.0,0.0319,121.009,4.0,https://api.spotify.com/v1/tracks/6VcM7b3p2npL5d7qtWnkLJ,audio_features,spotify:track:6VcM7b3p2npL5d7qtWnkLJ,0.0386
7,16 Bit Lolitas, Not The Only One  ,unknown,0.0491,https://api.spotify.com/v1/audio-analysis/5vXrQx7XluQFw0u10zKpSC,0.663,392000.0,0.596,5vXrQx7XluQFw0u10zKpSC,0.829,4.0,0.0705,-12.19,0.0,0.0431,120.005,4.0,https://api.spotify.com/v1/tracks/5vXrQx7XluQFw0u10zKpSC,audio_features,spotify:track:5vXrQx7XluQFw0u10zKpSC,0.513
8,Solomon Grey, Twilight ,John Monkman Remix,0.00173,https://api.spotify.com/v1/audio-analysis/2wnTxxofEg9MWpN2KLxgLy,0.59,377707.0,0.776,2wnTxxofEg9MWpN2KLxgLy,0.0723,0.0,0.114,-6.002,1.0,0.0282,121.993,4.0,https://api.spotify.com/v1/tracks/2wnTxxofEg9MWpN2KLxgLy,audio_features,spotify:track:2wnTxxofEg9MWpN2KLxgLy,0.095
9,Yotto   CAPS, Wondering  ,unknown,0.0132,https://api.spotify.com/v1/audio-analysis/4rGvnjNTK0F4a32ZPYAuxZ,0.681,322000.0,0.724,4rGvnjNTK0F4a32ZPYAuxZ,0.245,6.0,0.274,-8.467,0.0,0.119,120.001,4.0,https://api.spotify.com/v1/tracks/4rGvnjNTK0F4a32ZPYAuxZ,audio_features,spotify:track:4rGvnjNTK0F4a32ZPYAuxZ,0.227
