,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"ATFC,David Penn",Down Wid Da,Intro Edit,0.00879,https://api.spotify.com/v1/audio-analysis/6jo0cERZ6geq75gqyCXTQj,9B,0.753,353000.0,0.943,6jo0cERZ6geq75gqyCXTQj,0.836,7.0,0.0356,-5.726,1.0,0.0755,122.995,4.0,https://api.spotify.com/v1/tracks/6jo0cERZ6geq75gqyCXTQj,audio_features,spotify:track:6jo0cERZ6geq75gqyCXTQj,0.422
1,Earth N Days,Got To Go,unknown,0.00319,https://api.spotify.com/v1/audio-analysis/3d7edb91Q1FIzccMPgyR9v,4B,0.803,278710.0,0.898,3d7edb91Q1FIzccMPgyR9v,0.484,8.0,0.0894,-4.015,1.0,0.0929,123.983,4.0,https://api.spotify.com/v1/tracks/3d7edb91Q1FIzccMPgyR9v,audio_features,spotify:track:3d7edb91Q1FIzccMPgyR9v,0.534
2,Earth N Days,Respect,unknown,0.00202,https://api.spotify.com/v1/audio-analysis/4yWXIIBcH4AxyZv1BtKlMk,8B,0.754,302903.0,0.879,4yWXIIBcH4AxyZv1BtKlMk,0.799,0.0,0.0437,-5.468,1.0,0.058,123.984,4.0,https://api.spotify.com/v1/tracks/4yWXIIBcH4AxyZv1BtKlMk,audio_features,spotify:track:4yWXIIBcH4AxyZv1BtKlMk,0.544
3,Patrick Hagenaar,Boob Control,unknown,8.54e-05,https://api.spotify.com/v1/audio-analysis/54m0Ly2MBCyRneAxb9cq9p,2B,0.715,382500.0,0.906,54m0Ly2MBCyRneAxb9cq9p,0.793,6.0,0.0431,-6.186,1.0,0.0574,128.008,4.0,https://api.spotify.com/v1/tracks/54m0Ly2MBCyRneAxb9cq9p,audio_features,spotify:track:54m0Ly2MBCyRneAxb9cq9p,0.831
4,"Andy Bianchini,RIVAS (BR)",Disconap,BR,0.00401,https://api.spotify.com/v1/audio-analysis/2F5X4YJohl1E4X8PDJkIkc,4A,0.767,195000.0,0.949,2F5X4YJohl1E4X8PDJkIkc,0.0737,5.0,0.392,-4.629,0.0,0.148,122.003,4.0,https://api.spotify.com/v1/tracks/2F5X4YJohl1E4X8PDJkIkc,audio_features,spotify:track:2F5X4YJohl1E4X8PDJkIkc,0.383
5,"Malaa,Noizu",Music Sounds Better With You,unknown,,,,,,,,,,,,,,,,,,,
6,Stardust,Music Sounds Better With You,Tony Romera 2014 Bootleg,0.00549,https://api.spotify.com/v1/audio-analysis/0a53p8UzpQD0uW1hFUB4oF,9B,0.672,235747.0,0.615,0a53p8UzpQD0uW1hFUB4oF,0.062,7.0,0.416,-5.609,1.0,0.344,125.988,4.0,https://api.spotify.com/v1/tracks/0a53p8UzpQD0uW1hFUB4oF,audio_features,spotify:track:0a53p8UzpQD0uW1hFUB4oF,0.378
7,Charles J,Do You Want,unknown,,,,,,,,,,,,,,,,,,,
8,"Samuele Sartini,Siwell",Over Me,unknown,0.000365,https://api.spotify.com/v1/audio-analysis/5I5mNTvBWEkfEL1AAzw643,10A,0.863,390968.0,0.856,5I5mNTvBWEkfEL1AAzw643,0.873,11.0,0.0236,-4.655,0.0,0.157,123.99,4.0,https://api.spotify.com/v1/tracks/5I5mNTvBWEkfEL1AAzw643,audio_features,spotify:track:5I5mNTvBWEkfEL1AAzw643,0.817
9,Ou Est Le Swimming Pool,Dance The Way I Feel,Armand Van Helden Club Mix,0.0337,https://api.spotify.com/v1/audio-analysis/2Z9EpnBMD6XteZlIz682oS,2B,0.759,353080.0,0.982,2Z9EpnBMD6XteZlIz682oS,0.0958,6.0,0.115,-5.156,1.0,0.214,127.99,4.0,https://api.spotify.com/v1/tracks/2Z9EpnBMD6XteZlIz682oS,audio_features,spotify:track:2Z9EpnBMD6XteZlIz682oS,0.081
10,MERCER,Fireworks,unknown,0.0144,https://api.spotify.com/v1/audio-analysis/0QwLdxDf8ad0dqOlv5m3wQ,3B,0.75,433831.0,0.932,0QwLdxDf8ad0dqOlv5m3wQ,0.0997,1.0,0.101,-3.546,1.0,0.209,125.005,4.0,https://api.spotify.com/v1/tracks/0QwLdxDf8ad0dqOlv5m3wQ,audio_features,spotify:track:0QwLdxDf8ad0dqOlv5m3wQ,0.242
11,Duck Sauce,Barbra Streisand,unknown,0.00649,https://api.spotify.com/v1/audio-analysis/1WHx2541uqQd3bDNYwwOaC,3B,0.694,264814.0,0.813,1WHx2541uqQd3bDNYwwOaC,0.000467,1.0,0.249,-4.129,1.0,0.335,127.834,4.0,https://api.spotify.com/v1/tracks/1WHx2541uqQd3bDNYwwOaC,audio_features,spotify:track:1WHx2541uqQd3bDNYwwOaC,0.741
12,"Alex Aark,Meron,Gwen McCrae",Ain't No Way,SPINNIN',,,,,,,,,,,,,,,,,,,
13,MERCER,Monte Carlo,unknown,0.00954,https://api.spotify.com/v1/audio-analysis/1oa52VUyOZtWs5KwRfUROK,5A,0.717,183871.0,0.927,1oa52VUyOZtWs5KwRfUROK,0.161,0.0,0.197,-3.621,0.0,0.156,124.002,4.0,https://api.spotify.com/v1/tracks/1oa52VUyOZtWs5KwRfUROK,audio_features,spotify:track:1oa52VUyOZtWs5KwRfUROK,0.445
14,Luca Debonaire,Wanna Say Yes,Club Mix,0.00024,https://api.spotify.com/v1/audio-analysis/6o4qXmjWiuL0KZVIBDMyFu,8A,0.626,327619.0,0.961,6o4qXmjWiuL0KZVIBDMyFu,0.875,9.0,0.071,-3.432,0.0,0.0498,125.991,4.0,https://api.spotify.com/v1/tracks/6o4qXmjWiuL0KZVIBDMyFu,audio_features,spotify:track:6o4qXmjWiuL0KZVIBDMyFu,0.719
15,"Chromeo,DRAM",Must've Been,MERCER Remix,,,,,,,,,,,,,,,,,,,
16,"DJ Snake,MERCER,Jermaine Dupri",Let's Get Ill,UMG,,,,,,,,,,,,,,,,,,,
17,"Halsey,Big Sean,Stefflon Don",Alone,Calvin Harris Remix,0.0164,https://api.spotify.com/v1/audio-analysis/3tbNT2X5tfMIVeUflYbZUZ,7A,0.445,207458.0,0.662,3tbNT2X5tfMIVeUflYbZUZ,0.0,2.0,0.219,-4.802,0.0,0.181,200.04,4.0,https://api.spotify.com/v1/tracks/3tbNT2X5tfMIVeUflYbZUZ,audio_features,spotify:track:3tbNT2X5tfMIVeUflYbZUZ,0.479
