,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Mariana Bo,Intro EDC Vegas 2018,unknown,,,,,,,,,,,,,,,,,,,
1,"Vini Vici,Astrix",Adhana,unknown,0.00808,https://api.spotify.com/v1/audio-analysis/3VIv7cwhrxDjwP7K34Peav,11A,0.593,460870.0,0.992,3VIv7cwhrxDjwP7K34Peav,0.822,6.0,0.165,-6.58,0.0,0.0724,138.052,4.0,https://api.spotify.com/v1/tracks/3VIv7cwhrxDjwP7K34Peav,audio_features,spotify:track:3VIv7cwhrxDjwP7K34Peav,0.0749
2,"KSHMR,Mark Sixma",Gladiator,Remix,,,,,,,,,,,,,,,,,,,
3,"Timmy Trumpet,Miami Blue",Buenos,unknown,,,,,,,,,,,,,,,,,,,
4,"WOLF,John Kho",Ciao Bella,WYKO Remix,,,,,,,,,,,,,,,,,,,
5,"Timmy Trumpet,Savage",Deja,Dimatik & Overdrive Remix,0.00305,https://api.spotify.com/v1/audio-analysis/6mfpLV3eie1E5XXuKB1BWh,4A,0.644,275200.0,0.996,6mfpLV3eie1E5XXuKB1BWh,0.384,5.0,0.111,-2.37,0.0,0.0731,150.063,4.0,https://api.spotify.com/v1/tracks/6mfpLV3eie1E5XXuKB1BWh,audio_features,spotify:track:6mfpLV3eie1E5XXuKB1BWh,0.172
6,"KSHMR,MARNIK,The Golden Army",Shiva,Sunburn 2017 Anthem,0.00495,https://api.spotify.com/v1/audio-analysis/2OmTzSUtti3Z1WjiiEnF26,2A,0.511,182700.0,0.971,2OmTzSUtti3Z1WjiiEnF26,0.0147,3.0,0.171,-2.956,0.0,0.236,140.048,4.0,https://api.spotify.com/v1/tracks/2OmTzSUtti3Z1WjiiEnF26,audio_features,spotify:track:2OmTzSUtti3Z1WjiiEnF26,0.56
7,TNT aka Technoboy 'N' Tuneboy,Psylent Hill,unknown,,,,,,,,,,,,,,,,,,,
8,DJ Snake,Propaganda,Gammer & KAYZO Edit,0.00216,https://api.spotify.com/v1/audio-analysis/7sn0OyaKn1XKx18JjUZkSw,3B,0.66,249600.0,0.926,7sn0OyaKn1XKx18JjUZkSw,0.698,1.0,0.705,-3.997,1.0,0.0927,150.239,4.0,https://api.spotify.com/v1/tracks/7sn0OyaKn1XKx18JjUZkSw,audio_features,spotify:track:7sn0OyaKn1XKx18JjUZkSw,0.25
9,"House of Pain,Micky Slim",Jump Around,Tommy Trash Edit,0.00211,https://api.spotify.com/v1/audio-analysis/05qRs95lwFrz0OAKUIDKwm,10A,0.662,399533.0,0.491,05qRs95lwFrz0OAKUIDKwm,0.619,11.0,0.0502,-6.356,0.0,0.243,128.082,4.0,https://api.spotify.com/v1/tracks/05qRs95lwFrz0OAKUIDKwm,audio_features,spotify:track:05qRs95lwFrz0OAKUIDKwm,0.361
