,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Pendulum,Blood Sugar,The Prototypes Remix,0.000139,https://api.spotify.com/v1/audio-analysis/3JYcbD7v7VaPVJ1Z0QChZU,4B,0.366,315733.0,0.97,3JYcbD7v7VaPVJ1Z0QChZU,0.808,8.0,0.168,-5.109,1.0,0.127,176.004,4.0,https://api.spotify.com/v1/tracks/3JYcbD7v7VaPVJ1Z0QChZU,audio_features,spotify:track:3JYcbD7v7VaPVJ1Z0QChZU,0.17
1,"Muzzy,A.M.C,Turno",Cascade,unknown,7.92e-05,https://api.spotify.com/v1/audio-analysis/3CCIRs4SuobzpXYzoB3Bvy,3B,0.444,374100.0,0.988,3CCIRs4SuobzpXYzoB3Bvy,0.274,1.0,0.322,-2.295,1.0,0.406,173.997,4.0,https://api.spotify.com/v1/tracks/3CCIRs4SuobzpXYzoB3Bvy,audio_features,spotify:track:3CCIRs4SuobzpXYzoB3Bvy,0.228
2,"Knife Party,Tom Morello",Battle Sirens,RIOT Remix,0.00194,https://api.spotify.com/v1/audio-analysis/3ZbtdyrzuKg0xv6pqzXoD5,11B,0.335,244197.0,0.961,3ZbtdyrzuKg0xv6pqzXoD5,0.533,9.0,0.269,-1.977,1.0,0.181,173.925,4.0,https://api.spotify.com/v1/tracks/3ZbtdyrzuKg0xv6pqzXoD5,audio_features,spotify:track:3ZbtdyrzuKg0xv6pqzXoD5,0.0725
3,"The Prototypes,TC",Species,unknown,0.000145,https://api.spotify.com/v1/audio-analysis/6lQ9DBIWX5fls8R1Ym0Hsw,3B,0.417,284689.0,0.969,6lQ9DBIWX5fls8R1Ym0Hsw,0.848,1.0,0.464,-2.504,1.0,0.0697,174.085,4.0,https://api.spotify.com/v1/tracks/6lQ9DBIWX5fls8R1Ym0Hsw,audio_features,spotify:track:6lQ9DBIWX5fls8R1Ym0Hsw,0.111
4,"Darren Styles,Dougal,Gammer",Party Don't Stop,unknown,0.000597,https://api.spotify.com/v1/audio-analysis/3HCWKotFdJ0X1C7wSVzfV7,7B,0.555,197647.0,0.954,3HCWKotFdJ0X1C7wSVzfV7,0.276,5.0,0.0292,-1.064,1.0,0.0849,169.956,4.0,https://api.spotify.com/v1/tracks/3HCWKotFdJ0X1C7wSVzfV7,audio_features,spotify:track:3HCWKotFdJ0X1C7wSVzfV7,0.4
5,Pendulum,Salt In The Wounds,unknown,3.2e-05,https://api.spotify.com/v1/audio-analysis/4ESOC1Jott4MYNH9cYuF8z,1B,0.404,399280.0,0.967,4ESOC1Jott4MYNH9cYuF8z,0.791,11.0,0.358,-4.292,1.0,0.0606,173.998,4.0,https://api.spotify.com/v1/tracks/4ESOC1Jott4MYNH9cYuF8z,audio_features,spotify:track:4ESOC1Jott4MYNH9cYuF8z,0.336
6,Virtual Self,Ghost Voices,El Hornet Remix,0.00137,https://api.spotify.com/v1/audio-analysis/7ipGvvE90ROUNFw7ZBXBTO,10A,0.311,266365.0,0.857,7ipGvvE90ROUNFw7ZBXBTO,0.805,11.0,0.307,-8.332,0.0,0.0396,119.96,4.0,https://api.spotify.com/v1/tracks/7ipGvvE90ROUNFw7ZBXBTO,audio_features,spotify:track:7ipGvvE90ROUNFw7ZBXBTO,0.358
7,Knife Party,Give It Up,unknown,0.000691,https://api.spotify.com/v1/audio-analysis/5v26uKaXYsWRwWF21WVB3S,3A,0.553,251173.0,0.97,5v26uKaXYsWRwWF21WVB3S,0.219,10.0,0.0313,-2.909,0.0,0.0641,174.009,4.0,https://api.spotify.com/v1/tracks/5v26uKaXYsWRwWF21WVB3S,audio_features,spotify:track:5v26uKaXYsWRwWF21WVB3S,0.648
8,Evanescence,My Immortal,unknown,0.862,https://api.spotify.com/v1/audio-analysis/4UzVcXufOhGUwF56HT7b8M,11B,0.186,262533.0,0.29,4UzVcXufOhGUwF56HT7b8M,0.0,9.0,0.13,-9.008,1.0,0.0333,68.992,4.0,https://api.spotify.com/v1/tracks/4UzVcXufOhGUwF56HT7b8M,audio_features,spotify:track:4UzVcXufOhGUwF56HT7b8M,0.0776
9,"Bassnectar,The Glitch Mob",Paracosm,unknown,0.000629,https://api.spotify.com/v1/audio-analysis/4SEVhyCF5jZnhht07sZH0P,12A,0.369,270000.0,0.794,4SEVhyCF5jZnhht07sZH0P,0.0107,1.0,0.0674,-3.437,0.0,0.0435,79.918,4.0,https://api.spotify.com/v1/tracks/4SEVhyCF5jZnhht07sZH0P,audio_features,spotify:track:4SEVhyCF5jZnhht07sZH0P,0.135
