,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,San Holo,Light,San Holo Guitar Live Version,0.0857,https://api.spotify.com/v1/audio-analysis/6jq6rcOikCZAmjliAgAmfT,3B,0.57,239853.0,0.763,6jq6rcOikCZAmjliAgAmfT,2.49e-06,1.0,0.0932,-4.137,1.0,0.0573,150.088,4.0,https://api.spotify.com/v1/tracks/6jq6rcOikCZAmjliAgAmfT,audio_features,spotify:track:6jq6rcOikCZAmjliAgAmfT,0.43
1,San Holo,Tell Me,unknown,,,,,,,,,,,,,,,,,,,
2,San Holo,Light,Deon Custom Remix,0.0284,https://api.spotify.com/v1/audio-analysis/1okMvrA8msnGJdE3Vmqfky,3A,0.469,228933.0,0.857,1okMvrA8msnGJdE3Vmqfky,1e-05,10.0,0.377,-4.188,0.0,0.0537,149.813,4.0,https://api.spotify.com/v1/tracks/1okMvrA8msnGJdE3Vmqfky,audio_features,spotify:track:1okMvrA8msnGJdE3Vmqfky,0.343
3,San Holo,Light,Deon Custom Remix,0.0284,https://api.spotify.com/v1/audio-analysis/1okMvrA8msnGJdE3Vmqfky,3A,0.469,228933.0,0.857,1okMvrA8msnGJdE3Vmqfky,1e-05,10.0,0.377,-4.188,0.0,0.0537,149.813,4.0,https://api.spotify.com/v1/tracks/1okMvrA8msnGJdE3Vmqfky,audio_features,spotify:track:1okMvrA8msnGJdE3Vmqfky,0.343
4,Deon Custom,Swift,unknown,0.00116,https://api.spotify.com/v1/audio-analysis/23iMSMxRnN4MnQwFe5aHKW,1B,0.542,238500.0,0.904,23iMSMxRnN4MnQwFe5aHKW,0.144,11.0,0.0664,-4.148,1.0,0.0454,159.94,4.0,https://api.spotify.com/v1/tracks/23iMSMxRnN4MnQwFe5aHKW,audio_features,spotify:track:23iMSMxRnN4MnQwFe5aHKW,0.158
5,Purge,Running Away,unknown,0.0314,https://api.spotify.com/v1/audio-analysis/1fYvJVhfqrfXTtqmA89Xkr,12B,0.452,207857.0,0.86,1fYvJVhfqrfXTtqmA89Xkr,0.37,4.0,0.151,-4.551,1.0,0.0959,140.166,4.0,https://api.spotify.com/v1/tracks/1fYvJVhfqrfXTtqmA89Xkr,audio_features,spotify:track:1fYvJVhfqrfXTtqmA89Xkr,0.216
6,"San Holo,Yellow Claw",Old Days,unknown,0.00837,https://api.spotify.com/v1/audio-analysis/1qtu6ZCKfqBXWkGfcE4ln9,7B,0.595,279727.0,0.794,1qtu6ZCKfqBXWkGfcE4ln9,0.811,5.0,0.0716,-6.561,1.0,0.0617,152.046,4.0,https://api.spotify.com/v1/tracks/1qtu6ZCKfqBXWkGfcE4ln9,audio_features,spotify:track:1qtu6ZCKfqBXWkGfcE4ln9,0.202
7,"BeauDamian,Nymfo",Bounce,unknown,0.105,https://api.spotify.com/v1/audio-analysis/4QE6YomUoOHZlcMC89K73Q,10B,0.629,181500.0,0.906,4QE6YomUoOHZlcMC89K73Q,0.827,2.0,0.276,-1.704,1.0,0.148,160.033,4.0,https://api.spotify.com/v1/tracks/4QE6YomUoOHZlcMC89K73Q,audio_features,spotify:track:4QE6YomUoOHZlcMC89K73Q,0.324
8,DROELOE,Kintsugi,unknown,0.00183,https://api.spotify.com/v1/audio-analysis/2ojIFOZEhTBtDpO27UWhcb,8B,0.659,208500.0,0.763,2ojIFOZEhTBtDpO27UWhcb,0.0129,0.0,0.0578,-6.17,1.0,0.0819,160.02,4.0,https://api.spotify.com/v1/tracks/2ojIFOZEhTBtDpO27UWhcb,audio_features,spotify:track:2ojIFOZEhTBtDpO27UWhcb,0.265
9,San Holo,Victory,unknown,0.0311,https://api.spotify.com/v1/audio-analysis/0Kif7IT1G9xVZv1HnhbCML,7B,0.779,241548.0,0.509,0Kif7IT1G9xVZv1HnhbCML,0.277,5.0,0.0907,-7.047,1.0,0.267,77.522,4.0,https://api.spotify.com/v1/tracks/0Kif7IT1G9xVZv1HnhbCML,audio_features,spotify:track:0Kif7IT1G9xVZv1HnhbCML,0.521
