,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ANNA, Hidden Beauties  ,unknown,0.00942,https://api.spotify.com/v1/audio-analysis/7IEEGzIQPidYujSduMuEBa,0.796,436376.0,0.989,7IEEGzIQPidYujSduMuEBa,0.95,0.0,0.108,-7.588,1.0,0.0635,124.979,4.0,https://api.spotify.com/v1/tracks/7IEEGzIQPidYujSduMuEBa,audio_features,spotify:track:7IEEGzIQPidYujSduMuEBa,0.0383
1,Joran Van Pol, Return  ,unknown,0.00535,https://api.spotify.com/v1/audio-analysis/0R0fuv4DTnweBeGFHaed1M,0.702,398419.0,0.823,0R0fuv4DTnweBeGFHaed1M,0.846,6.0,0.112,-10.168,1.0,0.0809,126.5,3.0,https://api.spotify.com/v1/tracks/0R0fuv4DTnweBeGFHaed1M,audio_features,spotify:track:0R0fuv4DTnweBeGFHaed1M,0.035
2,Wehbba, Just  ,unknown,0.037,https://api.spotify.com/v1/audio-analysis/5ZcCqtviZx66S2AxbUeF2M,0.776,323435.0,0.909,5ZcCqtviZx66S2AxbUeF2M,0.926,6.0,0.087,-7.641,1.0,0.117,128.027,4.0,https://api.spotify.com/v1/tracks/5ZcCqtviZx66S2AxbUeF2M,audio_features,spotify:track:5ZcCqtviZx66S2AxbUeF2M,0.0904
3,Carl Cox, Security  ,unknown,,,,,,,,,,,,,,,,,,
4,Mark Reeve, Redemption  ,unknown,0.00895,https://api.spotify.com/v1/audio-analysis/7jXO4N64tjVTFYcpJMBep7,0.76,427490.0,0.924,7jXO4N64tjVTFYcpJMBep7,0.923,5.0,0.0925,-8.679,0.0,0.0566,128.001,3.0,https://api.spotify.com/v1/tracks/7jXO4N64tjVTFYcpJMBep7,audio_features,spotify:track:7jXO4N64tjVTFYcpJMBep7,0.202
5,Boxia, No World Order  ,unknown,0.000161,https://api.spotify.com/v1/audio-analysis/4cvDSJn7DqGhmZbqLUBQrW,0.729,437814.0,0.973,4cvDSJn7DqGhmZbqLUBQrW,0.91,11.0,0.115,-7.567,1.0,0.0462,128.004,4.0,https://api.spotify.com/v1/tracks/4cvDSJn7DqGhmZbqLUBQrW,audio_features,spotify:track:4cvDSJn7DqGhmZbqLUBQrW,0.0802
6,ANNA, Odd Concept  ,unknown,0.000236,https://api.spotify.com/v1/audio-analysis/2tlZddFTcoZnEM9THraXlB,0.816,438232.0,0.696,2tlZddFTcoZnEM9THraXlB,0.888,0.0,0.0882,-8.338,1.0,0.0465,123.019,4.0,https://api.spotify.com/v1/tracks/2tlZddFTcoZnEM9THraXlB,audio_features,spotify:track:2tlZddFTcoZnEM9THraXlB,0.128
7,ID, ID  ,unknown,0.000124,https://api.spotify.com/v1/audio-analysis/1GfuUJQxZr1pOuFxpyR5yC,0.471,257496.0,0.808,1GfuUJQxZr1pOuFxpyR5yC,0.445,1.0,0.341,-8.396,1.0,0.0417,131.898,4.0,https://api.spotify.com/v1/tracks/1GfuUJQxZr1pOuFxpyR5yC,audio_features,spotify:track:1GfuUJQxZr1pOuFxpyR5yC,0.0969
8,Wehbba, Catarse  ,unknown,0.00246,https://api.spotify.com/v1/audio-analysis/0X4nNwLBKlkXoOufOodAti,0.701,363751.0,0.796,0X4nNwLBKlkXoOufOodAti,0.817,4.0,0.11,-8.515,0.0,0.0406,128.001,4.0,https://api.spotify.com/v1/tracks/0X4nNwLBKlkXoOufOodAti,audio_features,spotify:track:0X4nNwLBKlkXoOufOodAti,0.0761
9,ANNA, Razor  ,unknown,0.00151,https://api.spotify.com/v1/audio-analysis/6NyzVv5lhnCtxKAebpoOOw,0.793,395663.0,0.704,6NyzVv5lhnCtxKAebpoOOw,0.925,8.0,0.108,-10.498,0.0,0.17,126.997,4.0,https://api.spotify.com/v1/tracks/6NyzVv5lhnCtxKAebpoOOw,audio_features,spotify:track:6NyzVv5lhnCtxKAebpoOOw,0.0312
10,Ilario Alicante, Leave Me  ,unknown,0.0016,https://api.spotify.com/v1/audio-analysis/5McQMW17PPSKyVRL6kaF6E,0.771,436905.0,0.938,5McQMW17PPSKyVRL6kaF6E,0.937,11.0,0.0966,-10.108,0.0,0.0523,126.988,4.0,https://api.spotify.com/v1/tracks/5McQMW17PPSKyVRL6kaF6E,audio_features,spotify:track:5McQMW17PPSKyVRL6kaF6E,0.0389
11,ANNA, Artha  ,unknown,0.0118,https://api.spotify.com/v1/audio-analysis/3mUaK4YprB5ZybyQm8fIjC,0.735,491951.0,0.966,3mUaK4YprB5ZybyQm8fIjC,0.917,4.0,0.131,-9.937,1.0,0.0579,123.015,4.0,https://api.spotify.com/v1/tracks/3mUaK4YprB5ZybyQm8fIjC,audio_features,spotify:track:3mUaK4YprB5ZybyQm8fIjC,0.0917
12,Wehbba, Mind Awake  ,unknown,5.36e-05,https://api.spotify.com/v1/audio-analysis/1YKGAvNheYalWcp10h3FOp,0.658,399106.0,0.897,1YKGAvNheYalWcp10h3FOp,0.631,10.0,0.126,-7.993,0.0,0.0388,126.004,4.0,https://api.spotify.com/v1/tracks/1YKGAvNheYalWcp10h3FOp,audio_features,spotify:track:1YKGAvNheYalWcp10h3FOp,0.0605
13,Dave Clarke   DJ Rush, Way Of Life ,Wehbba Edit,0.0193,https://api.spotify.com/v1/audio-analysis/7AnLXAjdrAt7A9GvOt6vXV,0.77,366160.0,0.806,7AnLXAjdrAt7A9GvOt6vXV,0.433,4.0,0.105,-9.969,1.0,0.0821,137.027,4.0,https://api.spotify.com/v1/tracks/7AnLXAjdrAt7A9GvOt6vXV,audio_features,spotify:track:7AnLXAjdrAt7A9GvOt6vXV,0.536
14,Wehbba, The Next Step  ,unknown,,,,,,,,,,,,,,,,,,
15,Flug, Internal Proceed  ,unknown,0.000252,https://api.spotify.com/v1/audio-analysis/1sgaz330sfC9zCiDphQpdO,0.663,389188.0,0.699,1sgaz330sfC9zCiDphQpdO,0.795,11.0,0.264,-10.297,0.0,0.0354,131.022,5.0,https://api.spotify.com/v1/tracks/1sgaz330sfC9zCiDphQpdO,audio_features,spotify:track:1sgaz330sfC9zCiDphQpdO,0.0824
16,ARTBAT, Planeta  ,unknown,0.000248,https://api.spotify.com/v1/audio-analysis/23yxkRYDiQyx1yABIE9efm,0.79,427592.0,0.863,23yxkRYDiQyx1yABIE9efm,0.948,1.0,0.477,-8.779,1.0,0.108,122.003,4.0,https://api.spotify.com/v1/tracks/23yxkRYDiQyx1yABIE9efm,audio_features,spotify:track:23yxkRYDiQyx1yABIE9efm,0.0755
17,ANNA, The Dansant  ,unknown,0.0181,https://api.spotify.com/v1/audio-analysis/5XAXMT2anMeLC0nvVTiIHr,0.79,399519.0,0.744,5XAXMT2anMeLC0nvVTiIHr,0.879,8.0,0.105,-9.966,0.0,0.0502,126.007,3.0,https://api.spotify.com/v1/tracks/5XAXMT2anMeLC0nvVTiIHr,audio_features,spotify:track:5XAXMT2anMeLC0nvVTiIHr,0.107
