,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Max Richter, Space 21 ,petrichor,0.864,https://api.spotify.com/v1/audio-analysis/5bpmEsR82Yg8x82zNQ9MDD,0.0937,287787.0,0.000234,5bpmEsR82Yg8x82zNQ9MDD,0.923,5.0,0.132,-38.347,1.0,0.0535,72.161,4.0,https://api.spotify.com/v1/tracks/5bpmEsR82Yg8x82zNQ9MDD,audio_features,spotify:track:5bpmEsR82Yg8x82zNQ9MDD,0.0352
1,Secede, Foliage Pathway  ,unknown,0.93,https://api.spotify.com/v1/audio-analysis/1E9pkWMq9efHBexzYkimJX,0.172,267747.0,0.356,1E9pkWMq9efHBexzYkimJX,0.847,3.0,0.106,-17.346,0.0,0.0473,119.79,4.0,https://api.spotify.com/v1/tracks/1E9pkWMq9efHBexzYkimJX,audio_features,spotify:track:1E9pkWMq9efHBexzYkimJX,0.193
2,Buffalo Tide, The Divine Influence Of Our Secrets  ,unknown,0.951,https://api.spotify.com/v1/audio-analysis/24zFn2udDdDcgxWug5E3co,0.215,224000.0,0.0507,24zFn2udDdDcgxWug5E3co,0.973,3.0,0.0992,-29.786,0.0,0.0443,80.814,4.0,https://api.spotify.com/v1/tracks/24zFn2udDdDcgxWug5E3co,audio_features,spotify:track:24zFn2udDdDcgxWug5E3co,0.0379
3,Akashic, Tell Me About You  ,unknown,,,,,,,,,,,,,,,,,,
4,Mr. Yt, Souvenir  ,unknown,0.916,https://api.spotify.com/v1/audio-analysis/2sdTcxj3adTMrNZqZpxPyq,0.309,170351.0,0.183,2sdTcxj3adTMrNZqZpxPyq,0.973,9.0,0.0869,-24.26,0.0,0.043,78.247,5.0,https://api.spotify.com/v1/tracks/2sdTcxj3adTMrNZqZpxPyq,audio_features,spotify:track:2sdTcxj3adTMrNZqZpxPyq,0.296
5,Deadboy, Ten Of Cups ,Ambient Mix,0.0943,https://api.spotify.com/v1/audio-analysis/4lCxq97WmqdEMJVDcQyfVy,0.765,194482.0,0.566,4lCxq97WmqdEMJVDcQyfVy,0.872,2.0,0.0845,-12.906,1.0,0.0594,123.001,4.0,https://api.spotify.com/v1/tracks/4lCxq97WmqdEMJVDcQyfVy,audio_features,spotify:track:4lCxq97WmqdEMJVDcQyfVy,0.0666
6,The Future Sound Of London, Max  ,unknown,0.976,https://api.spotify.com/v1/audio-analysis/4jXkjKMOJYi4BUMBM86m9Y,0.313,168693.0,0.188,4jXkjKMOJYi4BUMBM86m9Y,0.87,6.0,0.112,-15.657,1.0,0.0301,126.022,1.0,https://api.spotify.com/v1/tracks/4jXkjKMOJYi4BUMBM86m9Y,audio_features,spotify:track:4jXkjKMOJYi4BUMBM86m9Y,0.0675
7,DJ Metatron, The Journey  ,unknown,0.839,https://api.spotify.com/v1/audio-analysis/22OE76PhrQkCBw2MEZBNXh,0.798,183000.0,0.177,22OE76PhrQkCBw2MEZBNXh,0.904,0.0,0.0806,-15.392,0.0,0.0599,99.981,4.0,https://api.spotify.com/v1/tracks/22OE76PhrQkCBw2MEZBNXh,audio_features,spotify:track:22OE76PhrQkCBw2MEZBNXh,0.827
8,Phaeleh, Acceptance  ,unknown,0.895,https://api.spotify.com/v1/audio-analysis/3xbpsgvxtQ7k5dIzpGHFhT,0.282,84347.0,0.0319,3xbpsgvxtQ7k5dIzpGHFhT,0.87,1.0,0.0955,-24.303,0.0,0.0504,70.483,3.0,https://api.spotify.com/v1/tracks/3xbpsgvxtQ7k5dIzpGHFhT,audio_features,spotify:track:3xbpsgvxtQ7k5dIzpGHFhT,0.192
9,Tim Hecker, Music Of The Air  ,unknown,0.511,https://api.spotify.com/v1/audio-analysis/0Cd7yyhg66dMlZzSOAeRP7,0.0808,248315.0,0.364,0Cd7yyhg66dMlZzSOAeRP7,0.95,7.0,0.124,-11.0,1.0,0.0367,171.132,3.0,https://api.spotify.com/v1/tracks/0Cd7yyhg66dMlZzSOAeRP7,audio_features,spotify:track:0Cd7yyhg66dMlZzSOAeRP7,0.0354
10,In Sync, Compile  ,unknown,,,,,,,,,,,,,,,,,,
11,I:Cube, Sh 50 Storm  ,unknown,,,,,,,,,,,,,,,,,,
12,Pye Corner Audio, The Darkest Wave  ,unknown,,,,,,,,,,,,,,,,,,
13,Fit Sound, Carmine  ,unknown,0.00146,https://api.spotify.com/v1/audio-analysis/0rCPqIgcwAwwc6rdYt41I6,0.482,269970.0,0.895,0rCPqIgcwAwwc6rdYt41I6,0.00453,0.0,0.0609,-6.298,1.0,0.0823,170.047,4.0,https://api.spotify.com/v1/tracks/0rCPqIgcwAwwc6rdYt41I6,audio_features,spotify:track:0rCPqIgcwAwwc6rdYt41I6,0.529
14,Ever Vivid, Lost Love  ,unknown,0.0127,https://api.spotify.com/v1/audio-analysis/4xTCXVrdt8crPDORPEW6y5,0.586,226630.0,0.743,4xTCXVrdt8crPDORPEW6y5,0.0313,1.0,0.541,-8.514,0.0,0.0297,92.048,4.0,https://api.spotify.com/v1/tracks/4xTCXVrdt8crPDORPEW6y5,audio_features,spotify:track:4xTCXVrdt8crPDORPEW6y5,0.281
15,Maurizio, Untitled ,m7b,0.906,https://api.spotify.com/v1/audio-analysis/4DSpJmTT8d0EKJBuVs4uYL,0.298,919440.0,0.12,4DSpJmTT8d0EKJBuVs4uYL,0.647,1.0,0.361,-16.45,1.0,0.0371,73.861,4.0,https://api.spotify.com/v1/tracks/4DSpJmTT8d0EKJBuVs4uYL,audio_features,spotify:track:4DSpJmTT8d0EKJBuVs4uYL,0.0297
16,Basic Channel, Quadrant Dub I  ,unknown,0.426,https://api.spotify.com/v1/audio-analysis/0dC0x8MaaASf0zenCVA4zc,0.714,936017.0,0.766,0dC0x8MaaASf0zenCVA4zc,0.884,7.0,0.255,-14.04,1.0,0.0518,124.019,4.0,https://api.spotify.com/v1/tracks/0dC0x8MaaASf0zenCVA4zc,audio_features,spotify:track:0dC0x8MaaASf0zenCVA4zc,0.271
17,Bwana, On Patrol For Their Control  ,unknown,0.00119,https://api.spotify.com/v1/audio-analysis/0KkTmGQPaqix2CR54DUQ1m,0.688,427109.0,0.97,0KkTmGQPaqix2CR54DUQ1m,0.869,4.0,0.0998,-7.143,0.0,0.0599,117.989,4.0,https://api.spotify.com/v1/tracks/0KkTmGQPaqix2CR54DUQ1m,audio_features,spotify:track:0KkTmGQPaqix2CR54DUQ1m,0.544
18,Dusky   Pedestrian, Spruce ,House Mix,0.372,https://api.spotify.com/v1/audio-analysis/4HcjeCZwnYpxnGrzMG1lC6,0.678,325413.0,0.385,4HcjeCZwnYpxnGrzMG1lC6,0.554,7.0,0.443,-13.134,1.0,0.0349,118.039,4.0,https://api.spotify.com/v1/tracks/4HcjeCZwnYpxnGrzMG1lC6,audio_features,spotify:track:4HcjeCZwnYpxnGrzMG1lC6,0.0648
19,Fingers Inc., Distant Planet  ,unknown,0.00103,https://api.spotify.com/v1/audio-analysis/4HBHTWNr1C4Xy6elFdXvnK,0.673,320943.0,0.887,4HBHTWNr1C4Xy6elFdXvnK,0.677,7.0,0.0744,-7.252,1.0,0.0384,123.956,4.0,https://api.spotify.com/v1/tracks/4HBHTWNr1C4Xy6elFdXvnK,audio_features,spotify:track:4HBHTWNr1C4Xy6elFdXvnK,0.597
20,Hammer, Canna  ,unknown,0.00403,https://api.spotify.com/v1/audio-analysis/4sdkcgfc4pJYjfrG1gceWx,0.787,369840.0,0.566,4sdkcgfc4pJYjfrG1gceWx,0.253,4.0,0.0727,-10.463,0.0,0.0465,124.993,4.0,https://api.spotify.com/v1/tracks/4sdkcgfc4pJYjfrG1gceWx,audio_features,spotify:track:4sdkcgfc4pJYjfrG1gceWx,0.486
21,Blackwhole, 1000 Seconds  ,unknown,,,,,,,,,,,,,,,,,,
22,Jesper Dahlbäck   Jean,Louis Huhta ,unknown,0.00821,https://api.spotify.com/v1/audio-analysis/2x1z2x1pxmb3rw6z42Ysfy,0.785,220027.0,0.452,2x1z2x1pxmb3rw6z42Ysfy,0.871,1.0,0.198,-15.416,1.0,0.218,148.143,4.0,https://api.spotify.com/v1/tracks/2x1z2x1pxmb3rw6z42Ysfy,audio_features,spotify:track:2x1z2x1pxmb3rw6z42Ysfy,0.341
23,Mr. Yt, Regard  ,unknown,0.0276,https://api.spotify.com/v1/audio-analysis/10qUfjKUrg8kZ8wTLHBGQN,0.652,505917.0,0.802,10qUfjKUrg8kZ8wTLHBGQN,0.899,0.0,0.0965,-12.006,1.0,0.0475,123.946,4.0,https://api.spotify.com/v1/tracks/10qUfjKUrg8kZ8wTLHBGQN,audio_features,spotify:track:10qUfjKUrg8kZ8wTLHBGQN,0.593
24,Adam Strömstedt, Gendank  ,unknown,,,,,,,,,,,,,,,,,,
25,Second,Hand Satellites ,unknown,,,,,,,,,,,,,,,,,,
26,Jesper Dahlbäck pres.The Persuader," What's The Time, Mr. Templar?  ",unknown,0.000447,https://api.spotify.com/v1/audio-analysis/32fkh3plJIpWSQNbyswcw5,0.547,244105.0,0.97,32fkh3plJIpWSQNbyswcw5,0.936,9.0,0.151,-6.529,1.0,0.0407,124.9,4.0,https://api.spotify.com/v1/tracks/32fkh3plJIpWSQNbyswcw5,audio_features,spotify:track:32fkh3plJIpWSQNbyswcw5,0.693
27,Lauhaus, Dyson Sphere  ,unknown,0.000649,https://api.spotify.com/v1/audio-analysis/1hDfIqYHDXiEDKKrWpP3fr,0.803,371932.0,0.752,1hDfIqYHDXiEDKKrWpP3fr,0.951,10.0,0.0942,-8.655,0.0,0.0454,124.998,4.0,https://api.spotify.com/v1/tracks/1hDfIqYHDXiEDKKrWpP3fr,audio_features,spotify:track:1hDfIqYHDXiEDKKrWpP3fr,0.155
28,Grad U, Geomagnetic Storm  ,unknown,,,,,,,,,,,,,,,,,,
29,Dusky, Numerical  ,unknown,0.00349,https://api.spotify.com/v1/audio-analysis/6MbXWDGkra1c4r6fg168uZ,0.804,481200.0,0.947,6MbXWDGkra1c4r6fg168uZ,0.894,10.0,0.131,-8.651,1.0,0.0714,125.0,4.0,https://api.spotify.com/v1/tracks/6MbXWDGkra1c4r6fg168uZ,audio_features,spotify:track:6MbXWDGkra1c4r6fg168uZ,0.365
30,Spencer Parker, Kleine Schwarze Katze  ,unknown,0.000643,https://api.spotify.com/v1/audio-analysis/3ta2TI1csYezVJNTPxSdOt,0.809,321406.0,0.521,3ta2TI1csYezVJNTPxSdOt,0.935,0.0,0.0884,-11.664,1.0,0.0552,123.017,4.0,https://api.spotify.com/v1/tracks/3ta2TI1csYezVJNTPxSdOt,audio_features,spotify:track:3ta2TI1csYezVJNTPxSdOt,0.369
