,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Moon Boots, Red Sky ,Fort Romeau Remix,0.00305,https://api.spotify.com/v1/audio-analysis/0rUCzdSW97Kjq8dWaKHX0K,0.679,338269.0,0.747,0rUCzdSW97Kjq8dWaKHX0K,0.92,7.0,0.0515,-7.741,1.0,0.0479,120.004,4.0,https://api.spotify.com/v1/tracks/0rUCzdSW97Kjq8dWaKHX0K,audio_features,spotify:track:0rUCzdSW97Kjq8dWaKHX0K,0.393
1,Artwork, Acid Lines  ,unknown,0.00038,https://api.spotify.com/v1/audio-analysis/0YtKkhpOEUVsdlc4aie8S4,0.715,232395.0,0.66,0YtKkhpOEUVsdlc4aie8S4,0.153,1.0,0.0891,-8.679,1.0,0.0612,124.957,4.0,https://api.spotify.com/v1/tracks/0YtKkhpOEUVsdlc4aie8S4,audio_features,spotify:track:0YtKkhpOEUVsdlc4aie8S4,0.533
2,Moon Boots, First Landing  ,unknown,0.000747,https://api.spotify.com/v1/audio-analysis/7szzDQQnj9oXeClK3hHBpg,0.783,297220.0,0.765,7szzDQQnj9oXeClK3hHBpg,0.89,1.0,0.552,-8.278,1.0,0.0483,120.015,4.0,https://api.spotify.com/v1/tracks/7szzDQQnj9oXeClK3hHBpg,audio_features,spotify:track:7szzDQQnj9oXeClK3hHBpg,0.387
3,Paul Simon, Gumboots ,Joyce Muniz Remix,0.0175,https://api.spotify.com/v1/audio-analysis/0zfTWuYj2xRlsr8TUPT3zC,0.794,408320.0,0.861,0zfTWuYj2xRlsr8TUPT3zC,0.604,9.0,0.123,-6.698,1.0,0.0472,122.993,4.0,https://api.spotify.com/v1/tracks/0zfTWuYj2xRlsr8TUPT3zC,audio_features,spotify:track:0zfTWuYj2xRlsr8TUPT3zC,0.619
4,Giovanna, Can't Go Back ,Hubie Davison Remix,,,,,,,,,,,,,,,,,,
5,Moon Boots   Lulu James, Tear My Heart  ,unknown,0.0204,https://api.spotify.com/v1/audio-analysis/5jgUsmwjN5VB2mkR0lyhu0,0.721,260280.0,0.642,5jgUsmwjN5VB2mkR0lyhu0,0.0317,2.0,0.309,-8.426,1.0,0.0322,122.027,4.0,https://api.spotify.com/v1/tracks/5jgUsmwjN5VB2mkR0lyhu0,audio_features,spotify:track:5jgUsmwjN5VB2mkR0lyhu0,0.245
6,Kiwi, Daubenten Bat  ,unknown,0.00162,https://api.spotify.com/v1/audio-analysis/6FFuf6GVqDWVqLLePZrIyL,0.671,405425.0,0.887,6FFuf6GVqDWVqLLePZrIyL,0.563,6.0,0.078,-10.391,1.0,0.0457,123.997,4.0,https://api.spotify.com/v1/tracks/6FFuf6GVqDWVqLLePZrIyL,audio_features,spotify:track:6FFuf6GVqDWVqLLePZrIyL,0.428
7,Chmmr, Kanke Faux Alt Du Peker Paa ,Telephones Remix,0.0158,https://api.spotify.com/v1/audio-analysis/0W7iqTy54JAskfUBpu1SG6,0.8,540538.0,0.942,0W7iqTy54JAskfUBpu1SG6,0.869,1.0,0.126,-7.46,1.0,0.0426,124.002,4.0,https://api.spotify.com/v1/tracks/0W7iqTy54JAskfUBpu1SG6,audio_features,spotify:track:0W7iqTy54JAskfUBpu1SG6,0.68
8,Robyn, Missing U  ,ID Remix,0.0529,https://api.spotify.com/v1/audio-analysis/4Sn5B44sLfQ364FUL98jvN,0.704,291200.0,0.677,4Sn5B44sLfQ364FUL98jvN,0.000114,5.0,0.169,-7.601,0.0,0.0449,119.928,4.0,https://api.spotify.com/v1/tracks/4Sn5B44sLfQ364FUL98jvN,audio_features,spotify:track:4Sn5B44sLfQ364FUL98jvN,0.0775
9,DJ Linus, Otradnoje  ,unknown,0.0037,https://api.spotify.com/v1/audio-analysis/13u30ksOHUP7vnCnQQcSYx,0.811,326560.0,0.777,13u30ksOHUP7vnCnQQcSYx,0.86,6.0,0.215,-10.124,0.0,0.0666,124.918,4.0,https://api.spotify.com/v1/tracks/13u30ksOHUP7vnCnQQcSYx,audio_features,spotify:track:13u30ksOHUP7vnCnQQcSYx,0.63
