,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Slam, Eterna ,Petrichor Remix,0.0146,https://api.spotify.com/v1/audio-analysis/5uLlwB345Ubkcaey5vtWKj,0.714,466500.0,0.857,5uLlwB345Ubkcaey5vtWKj,0.919,9.0,0.125,-9.66,0.0,0.0456,126.002,4.0,https://api.spotify.com/v1/tracks/5uLlwB345Ubkcaey5vtWKj,audio_features,spotify:track:5uLlwB345Ubkcaey5vtWKj,0.232
1,Pleasurekraft, Corpse Reviver Number 1  ,unknown,0.00902,https://api.spotify.com/v1/audio-analysis/5HI2lvSgYQ5QuVFBtUyQgc,0.801,435000.0,0.902,5HI2lvSgYQ5QuVFBtUyQgc,0.883,4.0,0.0498,-8.734,0.0,0.0623,125.997,4.0,https://api.spotify.com/v1/tracks/5HI2lvSgYQ5QuVFBtUyQgc,audio_features,spotify:track:5HI2lvSgYQ5QuVFBtUyQgc,0.0999
2,Dale Fairbairn, In Range  ,unknown,0.00743,https://api.spotify.com/v1/audio-analysis/0GSJoj9PBjEJDjFqyF4myr,0.707,441905.0,0.94,0GSJoj9PBjEJDjFqyF4myr,0.891,9.0,0.115,-9.236,0.0,0.0665,126.007,4.0,https://api.spotify.com/v1/tracks/0GSJoj9PBjEJDjFqyF4myr,audio_features,spotify:track:0GSJoj9PBjEJDjFqyF4myr,0.332
3,Uto Karem, Living The Night ,G Flame Remix,0.0332,https://api.spotify.com/v1/audio-analysis/4iJRmSE5vytDsdkRWjP7Q1,0.724,396629.0,0.79,4iJRmSE5vytDsdkRWjP7Q1,0.96,2.0,0.11,-10.791,1.0,0.0375,125.999,4.0,https://api.spotify.com/v1/tracks/4iJRmSE5vytDsdkRWjP7Q1,audio_features,spotify:track:4iJRmSE5vytDsdkRWjP7Q1,0.0358
4,Cirez D, On Top Baby  ,unknown,0.00974,https://api.spotify.com/v1/audio-analysis/74LhBaE8AB2J6YjdFUt0Mz,0.797,462953.0,0.776,74LhBaE8AB2J6YjdFUt0Mz,0.888,7.0,0.107,-8.753,1.0,0.0469,125.992,4.0,https://api.spotify.com/v1/tracks/74LhBaE8AB2J6YjdFUt0Mz,audio_features,spotify:track:74LhBaE8AB2J6YjdFUt0Mz,0.0348
5,Frankyeffe, Genesis  ,unknown,0.00125,https://api.spotify.com/v1/audio-analysis/2hLuMLyGNnIewLAz2fj3oa,0.707,481914.0,0.672,2hLuMLyGNnIewLAz2fj3oa,0.923,9.0,0.0758,-11.374,1.0,0.0358,128.015,4.0,https://api.spotify.com/v1/tracks/2hLuMLyGNnIewLAz2fj3oa,audio_features,spotify:track:2hLuMLyGNnIewLAz2fj3oa,0.0374
6,Spektre, Back Into Consciousness  ,unknown,,,,,,,,,,,,,,,,,,
7,Pleasurekraft, Main Sequence  ,unknown,,,,,,,,,,,,,,,,,,
8,Pleasurekraft, Primordial  ,unknown,,,,,,,,,,,,,,,,,,
9,Sama, The Beholder  ,unknown,0.000843,https://api.spotify.com/v1/audio-analysis/6mz7GiYfrA6uKHLQUtb9MW,0.683,459252.0,0.9,6mz7GiYfrA6uKHLQUtb9MW,0.917,6.0,0.0994,-7.518,0.0,0.0406,126.003,4.0,https://api.spotify.com/v1/tracks/6mz7GiYfrA6uKHLQUtb9MW,audio_features,spotify:track:6mz7GiYfrA6uKHLQUtb9MW,0.148
10,Pleasurekraft, Interiors ,Sama Remix,0.000732,https://api.spotify.com/v1/audio-analysis/0WDHe9jI2CJE9QfPP3Q56k,0.765,434586.0,0.949,0WDHe9jI2CJE9QfPP3Q56k,0.635,4.0,0.126,-8.014,0.0,0.0709,126.018,4.0,https://api.spotify.com/v1/tracks/0WDHe9jI2CJE9QfPP3Q56k,audio_features,spotify:track:0WDHe9jI2CJE9QfPP3Q56k,0.297
11,Atroxx, 4Me  ,unknown,0.00402,https://api.spotify.com/v1/audio-analysis/5sw2RZ24tTij4EWj8pREzz,0.817,394050.0,0.819,5sw2RZ24tTij4EWj8pREzz,0.936,1.0,0.105,-10.214,0.0,0.0771,128.008,4.0,https://api.spotify.com/v1/tracks/5sw2RZ24tTij4EWj8pREzz,audio_features,spotify:track:5sw2RZ24tTij4EWj8pREzz,0.106
12,Frankyeffe, Apocalypse  ,unknown,9.28e-05,https://api.spotify.com/v1/audio-analysis/1jWznbiRx3nzTFs5CdzVMF,0.647,406368.0,0.549,1jWznbiRx3nzTFs5CdzVMF,0.919,4.0,0.108,-10.196,0.0,0.0384,127.009,4.0,https://api.spotify.com/v1/tracks/1jWznbiRx3nzTFs5CdzVMF,audio_features,spotify:track:1jWznbiRx3nzTFs5CdzVMF,0.036
13,Spektre, Retrograde  ,unknown,,,,,,,,,,,,,,,,,,
14,Spektre, Another Life  ,unknown,0.0542,https://api.spotify.com/v1/audio-analysis/4GAl7Z9uE6aehvrkGvorpm,0.656,382500.0,0.823,4GAl7Z9uE6aehvrkGvorpm,0.438,2.0,0.107,-11.906,1.0,0.0511,127.99,4.0,https://api.spotify.com/v1/tracks/4GAl7Z9uE6aehvrkGvorpm,audio_features,spotify:track:4GAl7Z9uE6aehvrkGvorpm,0.0399
15,Luca Agnelli, Forget It  ,unknown,0.00653,https://api.spotify.com/v1/audio-analysis/7vAW0rEVeiF8zPCFskhf5b,0.825,409672.0,0.833,7vAW0rEVeiF8zPCFskhf5b,0.331,11.0,0.107,-8.22,0.0,0.0469,127.005,4.0,https://api.spotify.com/v1/tracks/7vAW0rEVeiF8zPCFskhf5b,audio_features,spotify:track:7vAW0rEVeiF8zPCFskhf5b,0.118
16,Fred Baker pres.Y,Traxx ,Spektre Remix,0.00702,https://api.spotify.com/v1/audio-analysis/6U4t22qroJ1NORvPm0t2DQ,0.602,181973.0,0.947,6U4t22qroJ1NORvPm0t2DQ,0.927,0.0,0.127,-6.738,1.0,0.0313,139.983,4.0,https://api.spotify.com/v1/tracks/6U4t22qroJ1NORvPm0t2DQ,audio_features,spotify:track:6U4t22qroJ1NORvPm0t2DQ,0.315
17,Rustek, Celestial  ,unknown,0.000406,https://api.spotify.com/v1/audio-analysis/6v7duaaQ0fRlzxxVGCPInd,0.704,442205.0,0.918,6v7duaaQ0fRlzxxVGCPInd,0.945,7.0,0.219,-6.538,1.0,0.0444,126.002,4.0,https://api.spotify.com/v1/tracks/6v7duaaQ0fRlzxxVGCPInd,audio_features,spotify:track:6v7duaaQ0fRlzxxVGCPInd,0.106
18,Atroxx Marck D, Adrift  ,unknown,1.99e-05,https://api.spotify.com/v1/audio-analysis/3G4LiHGcwSpEkl0dz9CPZG,0.684,408929.0,0.9,3G4LiHGcwSpEkl0dz9CPZG,0.877,7.0,0.0743,-5.043,1.0,0.0695,126.016,4.0,https://api.spotify.com/v1/tracks/3G4LiHGcwSpEkl0dz9CPZG,audio_features,spotify:track:3G4LiHGcwSpEkl0dz9CPZG,0.334
19,Oscar Escapa, Molecule  ,unknown,0.000505,https://api.spotify.com/v1/audio-analysis/3ZajD8i0RKOdLxoqK5DzH6,0.727,382500.0,0.874,3ZajD8i0RKOdLxoqK5DzH6,0.839,1.0,0.116,-6.234,1.0,0.0589,127.996,4.0,https://api.spotify.com/v1/tracks/3ZajD8i0RKOdLxoqK5DzH6,audio_features,spotify:track:3ZajD8i0RKOdLxoqK5DzH6,0.37
20,Pleasurekraft   Casey Gerald, GOD ,Gospel Of Doubt,0.498,https://api.spotify.com/v1/audio-analysis/2kbffpFwcxNZT0HfHKf5Dv,0.33,267598.0,0.356,2kbffpFwcxNZT0HfHKf5Dv,2.28e-06,0.0,0.0891,-10.9,1.0,0.0315,116.785,4.0,https://api.spotify.com/v1/tracks/2kbffpFwcxNZT0HfHKf5Dv,audio_features,spotify:track:2kbffpFwcxNZT0HfHKf5Dv,0.303
21,Joyhauser, Galaxy Phase  ,unknown,0.079,https://api.spotify.com/v1/audio-analysis/3ogkFdjmZGO1zf3JUleIOJ,0.658,424350.0,0.837,3ogkFdjmZGO1zf3JUleIOJ,0.925,1.0,0.106,-8.281,1.0,0.0483,127.987,4.0,https://api.spotify.com/v1/tracks/3ogkFdjmZGO1zf3JUleIOJ,audio_features,spotify:track:3ogkFdjmZGO1zf3JUleIOJ,0.0397
