,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Bastille, Glory ,Franky Rizardo Remix,0.00221,https://api.spotify.com/v1/audio-analysis/2vl77RRK1D0w657Q7capi1,0.734,238129.0,0.722,2vl77RRK1D0w657Q7capi1,0.00253,1.0,0.141,-5.133,1.0,0.0313,123.98,4.0,https://api.spotify.com/v1/tracks/2vl77RRK1D0w657Q7capi1,audio_features,spotify:track:2vl77RRK1D0w657Q7capi1,0.306
1,No Rules, Tingling  ,unknown,0.0057,https://api.spotify.com/v1/audio-analysis/2IcMgtE9rbsMGRgfcEw8Ej,0.801,449032.0,0.941,2IcMgtE9rbsMGRgfcEw8Ej,0.911,0.0,0.0909,-8.96,1.0,0.0639,123.998,4.0,https://api.spotify.com/v1/tracks/2IcMgtE9rbsMGRgfcEw8Ej,audio_features,spotify:track:2IcMgtE9rbsMGRgfcEw8Ej,0.486
2,Class Action, Weekend  ,unknown,0.0574,https://api.spotify.com/v1/audio-analysis/6FgL5Ms5ispalLV7qDuP0o,0.893,482467.0,0.621,6FgL5Ms5ispalLV7qDuP0o,0.059,5.0,0.0765,-10.589,0.0,0.0808,122.1,4.0,https://api.spotify.com/v1/tracks/6FgL5Ms5ispalLV7qDuP0o,audio_features,spotify:track:6FgL5Ms5ispalLV7qDuP0o,0.966
3,Sonny Fodera   Yasmin, Feeling U ,Deep Mix,0.0392,https://api.spotify.com/v1/audio-analysis/6INTXSvdjfrLQjlXWzc8TL,0.808,369267.0,0.552,6INTXSvdjfrLQjlXWzc8TL,0.157,0.0,0.625,-5.219,1.0,0.053,121.996,4.0,https://api.spotify.com/v1/tracks/6INTXSvdjfrLQjlXWzc8TL,audio_features,spotify:track:6INTXSvdjfrLQjlXWzc8TL,0.602
4,Motez   Scrufizzer, The Vibe  ,unknown,0.0302,https://api.spotify.com/v1/audio-analysis/7E581vuyeQYbetC2w6hhY4,0.86,183281.0,0.826,7E581vuyeQYbetC2w6hhY4,0.00202,0.0,0.16,-6.934,1.0,0.0693,120.991,4.0,https://api.spotify.com/v1/tracks/7E581vuyeQYbetC2w6hhY4,audio_features,spotify:track:7E581vuyeQYbetC2w6hhY4,0.647
5,Kings Of Tomorrow   Julie McKnight, Finally ,Sonny Fodera Remix,0.0135,https://api.spotify.com/v1/audio-analysis/1BeZ3neH8aQioMKccVHdS9,0.859,315827.0,0.584,1BeZ3neH8aQioMKccVHdS9,3.9e-05,7.0,0.251,-10.933,1.0,0.0584,124.988,4.0,https://api.spotify.com/v1/tracks/1BeZ3neH8aQioMKccVHdS9,audio_features,spotify:track:1BeZ3neH8aQioMKccVHdS9,0.833
6,French Montana   Swae Lee, Unforgettable ,Sonny Fodera Edit,0.0293,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,0.726,233902.0,0.769,3B54sVLJ402zGa6Xm4YGNe,0.0101,6.0,0.104,-5.043,1.0,0.123,97.985,4.0,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,audio_features,spotify:track:3B54sVLJ402zGa6Xm4YGNe,0.733
7,Danny Tenaglia   Celeda, Music Is The Answer ,Dancin' And Prancin',0.00329,https://api.spotify.com/v1/audio-analysis/0d5Sgzv1yntDEGWiVXWXpD,0.868,176926.0,0.691,0d5Sgzv1yntDEGWiVXWXpD,0.0899,6.0,0.28,-9.765,0.0,0.138,121.982,4.0,https://api.spotify.com/v1/tracks/0d5Sgzv1yntDEGWiVXWXpD,audio_features,spotify:track:0d5Sgzv1yntDEGWiVXWXpD,0.798
8,Tiga   Audion, Let's Go Dancing ,Acappella,,,,,,,,,,,,,,,,,,
9,John Tejada, Sweat ,On The Walls,0.00709,https://api.spotify.com/v1/audio-analysis/3IWukfXCcSwmXJRADZVjiH,0.771,411550.0,0.649,3IWukfXCcSwmXJRADZVjiH,0.156,2.0,0.0805,-9.103,1.0,0.0473,124.99,4.0,https://api.spotify.com/v1/tracks/3IWukfXCcSwmXJRADZVjiH,audio_features,spotify:track:3IWukfXCcSwmXJRADZVjiH,0.289
