,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Manoo Raoul K   Ahmed Sosso, Toukan ,Dixon Rework Dub,6.27e-05,https://api.spotify.com/v1/audio-analysis/13VrUM6GHJzex15fI1BE4V,0.722,425450.0,0.731,13VrUM6GHJzex15fI1BE4V,0.313,11.0,0.107,-10.539,1.0,0.039,122.993,4.0,https://api.spotify.com/v1/tracks/13VrUM6GHJzex15fI1BE4V,audio_features,spotify:track:13VrUM6GHJzex15fI1BE4V,0.0866
1,Butch C.Vogt, Bliss  ,unknown,0.0212,https://api.spotify.com/v1/audio-analysis/40hwQSrgUagPMY92tD6Cpf,0.842,440147.0,0.785,40hwQSrgUagPMY92tD6Cpf,0.913,9.0,0.044,-9.613,0.0,0.0713,119.993,4.0,https://api.spotify.com/v1/tracks/40hwQSrgUagPMY92tD6Cpf,audio_features,spotify:track:40hwQSrgUagPMY92tD6Cpf,0.0989
2,16 Bit Lolitas, Anjunadeep at Sea ID ,Working Title,,,,,,,,,,,,,,,,,,
3,16 Bit Lolitas, Deep In My Soul  ,unknown,0.14,https://api.spotify.com/v1/audio-analysis/5nmr0qCA3JXN2MRdEDUFi6,0.859,483967.0,0.44,5nmr0qCA3JXN2MRdEDUFi6,0.537,9.0,0.689,-11.224,0.0,0.0514,121.002,4.0,https://api.spotify.com/v1/tracks/5nmr0qCA3JXN2MRdEDUFi6,audio_features,spotify:track:5nmr0qCA3JXN2MRdEDUFi6,0.743
4,Guy Gerber Dixon, No Distance  ,unknown,0.00578,https://api.spotify.com/v1/audio-analysis/7t4MdwfjiFCQziryb622Oc,0.816,476857.0,0.719,7t4MdwfjiFCQziryb622Oc,0.939,5.0,0.157,-9.615,0.0,0.0656,122.001,4.0,https://api.spotify.com/v1/tracks/7t4MdwfjiFCQziryb622Oc,audio_features,spotify:track:7t4MdwfjiFCQziryb622Oc,0.13
5,Cubicolor   Tim Digby Bell, Falling  ,unknown,0.158,https://api.spotify.com/v1/audio-analysis/4sVbqWEzBZthyebr7BHAjn,0.695,504000.0,0.445,4sVbqWEzBZthyebr7BHAjn,0.791,6.0,0.0439,-11.954,0.0,0.0423,119.997,4.0,https://api.spotify.com/v1/tracks/4sVbqWEzBZthyebr7BHAjn,audio_features,spotify:track:4sVbqWEzBZthyebr7BHAjn,0.388
6,16 Bit Lolitas, Secret Solstice ID ,Working Title,,,,,,,,,,,,,,,,,,
7,Cubicolor, Dead End Thrills ,Patrice Bäumel Remix,0.28,https://api.spotify.com/v1/audio-analysis/3MEjDXwQWnDzqwRanBgFzm,0.7,443661.0,0.673,3MEjDXwQWnDzqwRanBgFzm,0.24,7.0,0.102,-10.217,1.0,0.0374,122.008,3.0,https://api.spotify.com/v1/tracks/3MEjDXwQWnDzqwRanBgFzm,audio_features,spotify:track:3MEjDXwQWnDzqwRanBgFzm,0.143
8,Stimming, Trains Of Hope  ,unknown,0.0187,https://api.spotify.com/v1/audio-analysis/77hqbQZj6RSr04nm601jP1,0.85,272639.0,0.373,77hqbQZj6RSr04nm601jP1,0.105,9.0,0.377,-12.314,0.0,0.0999,120.996,4.0,https://api.spotify.com/v1/tracks/77hqbQZj6RSr04nm601jP1,audio_features,spotify:track:77hqbQZj6RSr04nm601jP1,0.169
9,Akase, Rust ,Midland Remix,0.0053,https://api.spotify.com/v1/audio-analysis/3nKXJhbEiXWFpgwUSPushi,0.693,412418.0,0.773,3nKXJhbEiXWFpgwUSPushi,0.774,11.0,0.0871,-8.398,1.0,0.0457,121.985,4.0,https://api.spotify.com/v1/tracks/3nKXJhbEiXWFpgwUSPushi,audio_features,spotify:track:3nKXJhbEiXWFpgwUSPushi,0.554
10,16 Bit Lolitas, Peninsula  ,unknown,0.0375,https://api.spotify.com/v1/audio-analysis/70Dr3DEtpVogocYHmrSfKV,0.693,508000.0,0.637,70Dr3DEtpVogocYHmrSfKV,0.888,10.0,0.272,-10.781,1.0,0.0498,121.993,4.0,https://api.spotify.com/v1/tracks/70Dr3DEtpVogocYHmrSfKV,audio_features,spotify:track:70Dr3DEtpVogocYHmrSfKV,0.12
11,Depeche Mode, Never Let Me Down Again ,Cubicolor Remix,0.316,https://api.spotify.com/v1/audio-analysis/2H1BmB1b6Px9KJXIUpD03u,0.583,288467.0,0.889,2H1BmB1b6Px9KJXIUpD03u,0.0275,0.0,0.699,-6.484,1.0,0.0334,106.076,4.0,https://api.spotify.com/v1/tracks/2H1BmB1b6Px9KJXIUpD03u,audio_features,spotify:track:2H1BmB1b6Px9KJXIUpD03u,0.618
