,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Richard Strauss, Also Sprach Zarathustra ,2001: A Space Odyssey OST,0.166,https://api.spotify.com/v1/audio-analysis/0S9igDWt4u1HMB1cS8rpRZ,0.129,104107.0,0.261,0S9igDWt4u1HMB1cS8rpRZ,0.183,0.0,0.138,-10.388,1.0,0.0301,85.786,4.0,https://api.spotify.com/v1/tracks/0S9igDWt4u1HMB1cS8rpRZ,audio_features,spotify:track:0S9igDWt4u1HMB1cS8rpRZ,0.0393
1,Axel Boman, Purple Drank  ,unknown,0.0689,https://api.spotify.com/v1/audio-analysis/6Et0HVNJuGUcgL4tlt3ktp,0.864,440067.0,0.399,6Et0HVNJuGUcgL4tlt3ktp,0.639,0.0,0.137,-12.164,1.0,0.0465,118.994,4.0,https://api.spotify.com/v1/tracks/6Et0HVNJuGUcgL4tlt3ktp,audio_features,spotify:track:6Et0HVNJuGUcgL4tlt3ktp,0.215
2,Ben Pearce   Beckford, Sounds The Same  ,PIAS,0.0731,https://api.spotify.com/v1/audio-analysis/4B3kgnA20adnAAWf4LxOfH,0.69,412000.0,0.601,4B3kgnA20adnAAWf4LxOfH,0.16,11.0,0.089,-12.373,0.0,0.0479,126.001,4.0,https://api.spotify.com/v1/tracks/4B3kgnA20adnAAWf4LxOfH,audio_features,spotify:track:4B3kgnA20adnAAWf4LxOfH,0.324
3,Takuya Matsumoto, Souvenir  ,unknown,0.0256,https://api.spotify.com/v1/audio-analysis/72zPpsUFXO8G5EZ8qcxpzs,0.829,369897.0,0.805,72zPpsUFXO8G5EZ8qcxpzs,0.787,3.0,0.197,-10.401,1.0,0.0787,116.004,4.0,https://api.spotify.com/v1/tracks/72zPpsUFXO8G5EZ8qcxpzs,audio_features,spotify:track:72zPpsUFXO8G5EZ8qcxpzs,0.809
4,Theo Parrish, Cypher Delight  ,unknown,,,,,,,,,,,,,,,,,,
5,Gilad Kahana, Africa Sheli ,Red Axes Remix,0.0211,https://api.spotify.com/v1/audio-analysis/4ZpdopArCn7pWPPkhiG36q,0.76,455520.0,0.896,4ZpdopArCn7pWPPkhiG36q,0.917,10.0,0.107,-10.706,0.0,0.042,114.991,4.0,https://api.spotify.com/v1/tracks/4ZpdopArCn7pWPPkhiG36q,audio_features,spotify:track:4ZpdopArCn7pWPPkhiG36q,0.273
6,Passarani, Tribalonios  ,unknown,1.17e-05,https://api.spotify.com/v1/audio-analysis/1WSwKTRdyNHGTylqONlHes,0.758,320885.0,0.8,1WSwKTRdyNHGTylqONlHes,0.82,10.0,0.154,-7.784,0.0,0.184,119.988,4.0,https://api.spotify.com/v1/tracks/1WSwKTRdyNHGTylqONlHes,audio_features,spotify:track:1WSwKTRdyNHGTylqONlHes,0.485
7,Andre Lodemann, Riven Reminiscences  ,unknown,0.00439,https://api.spotify.com/v1/audio-analysis/13BYhPBfLqP9IGvkB4ZgsK,0.787,562720.0,0.725,13BYhPBfLqP9IGvkB4ZgsK,0.892,5.0,0.0716,-10.766,1.0,0.0692,123.016,4.0,https://api.spotify.com/v1/tracks/13BYhPBfLqP9IGvkB4ZgsK,audio_features,spotify:track:13BYhPBfLqP9IGvkB4ZgsK,0.442
8,Denis Sulta, Nein Fortiate  ,unknown,0.000421,https://api.spotify.com/v1/audio-analysis/2hqimz1lrGM7MaC9KqOgg6,0.758,381120.0,0.609,2hqimz1lrGM7MaC9KqOgg6,0.91,0.0,0.109,-9.204,0.0,0.0412,121.004,4.0,https://api.spotify.com/v1/tracks/2hqimz1lrGM7MaC9KqOgg6,audio_features,spotify:track:2hqimz1lrGM7MaC9KqOgg6,0.442
9,Flabaire, Urquinaona  ,unknown,0.0045,https://api.spotify.com/v1/audio-analysis/2m9jqn1hQ59M4LmMLvdTvL,0.772,375270.0,0.678,2m9jqn1hQ59M4LmMLvdTvL,0.916,4.0,0.0692,-11.593,0.0,0.0676,124.003,4.0,https://api.spotify.com/v1/tracks/2m9jqn1hQ59M4LmMLvdTvL,audio_features,spotify:track:2m9jqn1hQ59M4LmMLvdTvL,0.632
10,Dukwa   Mar G, Thoughts  ,unknown,0.237,https://api.spotify.com/v1/audio-analysis/1iW1sK16xPpHBkUknDd1To,0.714,179372.0,0.589,1iW1sK16xPpHBkUknDd1To,0.456,5.0,0.0887,-9.623,0.0,0.0444,128.046,4.0,https://api.spotify.com/v1/tracks/1iW1sK16xPpHBkUknDd1To,audio_features,spotify:track:1iW1sK16xPpHBkUknDd1To,0.658
11,Lake People, Rusty Clockhands  ,unknown,0.227,https://api.spotify.com/v1/audio-analysis/6IDVAxuLskdanuH9qKq76S,0.823,356004.0,0.662,6IDVAxuLskdanuH9qKq76S,0.94,2.0,0.106,-11.537,0.0,0.0477,124.389,4.0,https://api.spotify.com/v1/tracks/6IDVAxuLskdanuH9qKq76S,audio_features,spotify:track:6IDVAxuLskdanuH9qKq76S,0.656
12,Jacques Greene, No Excuse ,Fort Romeau Remix,7.74e-05,https://api.spotify.com/v1/audio-analysis/578baLUYZcur14sqObiYTR,0.726,385701.0,0.65,578baLUYZcur14sqObiYTR,0.898,6.0,0.0487,-8.69,1.0,0.0479,122.007,4.0,https://api.spotify.com/v1/tracks/578baLUYZcur14sqObiYTR,audio_features,spotify:track:578baLUYZcur14sqObiYTR,0.261
