,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Above Beyond Andy Moor, Air For Life ,CYA Remix,0.00167,https://api.spotify.com/v1/audio-analysis/7cGS8SUftlfTCGiKgLn4kr,0.571,447933.0,0.82,7cGS8SUftlfTCGiKgLn4kr,0.131,8.0,0.563,-7.43,0.0,0.12,131.944,4.0,https://api.spotify.com/v1/tracks/7cGS8SUftlfTCGiKgLn4kr,audio_features,spotify:track:7cGS8SUftlfTCGiKgLn4kr,0.358
1,Pete K, Solace  ,unknown,0.00106,https://api.spotify.com/v1/audio-analysis/3RC1sOiKK3GGCGfQ3huRUN,0.742,369388.0,0.885,3RC1sOiKK3GGCGfQ3huRUN,0.894,11.0,0.407,-9.279,1.0,0.0494,127.981,4.0,https://api.spotify.com/v1/tracks/3RC1sOiKK3GGCGfQ3huRUN,audio_features,spotify:track:3RC1sOiKK3GGCGfQ3huRUN,0.187
2,CYA, Mistakes ,Vocal Mix,0.00827,https://api.spotify.com/v1/audio-analysis/2d4krcqmZb4XHHZTAIghn2,0.578,393120.0,0.788,2d4krcqmZb4XHHZTAIghn2,0.917,7.0,0.0709,-7.375,1.0,0.0395,125.023,3.0,https://api.spotify.com/v1/tracks/2d4krcqmZb4XHHZTAIghn2,audio_features,spotify:track:2d4krcqmZb4XHHZTAIghn2,0.294
3,Oliver Smith, Gemini  ,unknown,4.01e-05,https://api.spotify.com/v1/audio-analysis/2kmMGcwpk5h9zQV1zGY3Ke,0.499,224987.0,0.839,2kmMGcwpk5h9zQV1zGY3Ke,0.974,5.0,0.252,-6.887,0.0,0.0356,127.975,5.0,https://api.spotify.com/v1/tracks/2kmMGcwpk5h9zQV1zGY3Ke,audio_features,spotify:track:2kmMGcwpk5h9zQV1zGY3Ke,0.166
4,Grum Josep, The Love You Feel ,CYA Remix,0.00209,https://api.spotify.com/v1/audio-analysis/5BzvV2MNwBG6JUjBEyIkYv,0.505,222992.0,0.939,5BzvV2MNwBG6JUjBEyIkYv,0.0725,7.0,0.341,-4.531,0.0,0.0605,127.041,4.0,https://api.spotify.com/v1/tracks/5BzvV2MNwBG6JUjBEyIkYv,audio_features,spotify:track:5BzvV2MNwBG6JUjBEyIkYv,0.375
5,CYA, Unity  ,unknown,,,,,,,,,,,,,,,,,,
6,Cirez D, The Accuser  ,unknown,8.45e-05,https://api.spotify.com/v1/audio-analysis/2EXViaTEpUoqHeDOtdI0oK,0.807,449511.0,0.799,2EXViaTEpUoqHeDOtdI0oK,0.91,7.0,0.0771,-7.494,1.0,0.0753,126.009,4.0,https://api.spotify.com/v1/tracks/2EXViaTEpUoqHeDOtdI0oK,audio_features,spotify:track:2EXViaTEpUoqHeDOtdI0oK,0.214
7,Adam Beyer Enrico Sangiuliano, Preset Heaven  ,unknown,4.19e-05,https://api.spotify.com/v1/audio-analysis/4gwuQ4JIMhJc4vyg8pyeDS,0.802,495360.0,0.931,4gwuQ4JIMhJc4vyg8pyeDS,0.864,2.0,0.106,-5.807,1.0,0.0624,124.995,4.0,https://api.spotify.com/v1/tracks/4gwuQ4JIMhJc4vyg8pyeDS,audio_features,spotify:track:4gwuQ4JIMhJc4vyg8pyeDS,0.0398
8,Spoiled Zigo, More & More ,CYA Remix,0.0161,https://api.spotify.com/v1/audio-analysis/0ELK8O7TTdp6nZ1106TWjr,0.639,205714.0,0.968,0ELK8O7TTdp6nZ1106TWjr,0.7,9.0,0.813,-4.033,0.0,0.0679,126.039,4.0,https://api.spotify.com/v1/tracks/0ELK8O7TTdp6nZ1106TWjr,audio_features,spotify:track:0ELK8O7TTdp6nZ1106TWjr,0.13
9,Three Drives, Greece 2000 ,CYA Remix,0.0128,https://api.spotify.com/v1/audio-analysis/5INxgSJwgtpCaYYNTJAzbX,0.68,211695.0,0.638,5INxgSJwgtpCaYYNTJAzbX,0.756,1.0,0.113,-9.435,0.0,0.0441,104.992,4.0,https://api.spotify.com/v1/tracks/5INxgSJwgtpCaYYNTJAzbX,audio_features,spotify:track:5INxgSJwgtpCaYYNTJAzbX,0.447
