,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Dennis Bovell, Heaven ,2006 Digital Remaster,0.513,https://api.spotify.com/v1/audio-analysis/55DlDncNwBP0vn9PnsazmU,0.614,276840.0,0.563,55DlDncNwBP0vn9PnsazmU,0.000269,7.0,0.0954,-7.685,1.0,0.0245,109.998,4.0,https://api.spotify.com/v1/tracks/55DlDncNwBP0vn9PnsazmU,audio_features,spotify:track:55DlDncNwBP0vn9PnsazmU,0.721
1,Daphni, ID  ,unknown,,,,,,,,,,,,,,,,,,
2,James Curd, Treat Treat Treat  ,unknown,0.00221,https://api.spotify.com/v1/audio-analysis/0CJyRo76m9qaogH0ORWhLs,0.863,389978.0,0.657,0CJyRo76m9qaogH0ORWhLs,0.311,11.0,0.0909,-6.881,0.0,0.0597,122.003,4.0,https://api.spotify.com/v1/tracks/0CJyRo76m9qaogH0ORWhLs,audio_features,spotify:track:0CJyRo76m9qaogH0ORWhLs,0.485
3,Joe Goddard, Home  ,unknown,0.0484,https://api.spotify.com/v1/audio-analysis/7psqgGa7cys7wj2nXrx859,0.675,269814.0,0.701,7psqgGa7cys7wj2nXrx859,0.000213,9.0,0.362,-11.207,0.0,0.0529,117.488,4.0,https://api.spotify.com/v1/tracks/7psqgGa7cys7wj2nXrx859,audio_features,spotify:track:7psqgGa7cys7wj2nXrx859,0.384
4,Rimbaudian, She Taught Me How To Love  ,unknown,0.0156,https://api.spotify.com/v1/audio-analysis/5xO99zs0U1DAX5XwZGGwSx,0.721,329756.0,0.753,5xO99zs0U1DAX5XwZGGwSx,0.817,0.0,0.0924,-7.079,1.0,0.0453,123.01,4.0,https://api.spotify.com/v1/tracks/5xO99zs0U1DAX5XwZGGwSx,audio_features,spotify:track:5xO99zs0U1DAX5XwZGGwSx,0.588
5,Paul Woolford, Chaos  ,unknown,0.0703,https://api.spotify.com/v1/audio-analysis/2q6h0Oo0t7ZVHpyS61RMF1,0.791,398937.0,0.945,2q6h0Oo0t7ZVHpyS61RMF1,0.748,1.0,0.211,-13.175,1.0,0.0686,126.007,3.0,https://api.spotify.com/v1/tracks/2q6h0Oo0t7ZVHpyS61RMF1,audio_features,spotify:track:2q6h0Oo0t7ZVHpyS61RMF1,0.629
6,Depeche Mode, The Sinner In Me ,Ricardo Villalobos Conclave Remix,0.0128,https://api.spotify.com/v1/audio-analysis/5dPU0FAYXc9aT1uQWBWaCJ,0.57,295360.0,0.909,5dPU0FAYXc9aT1uQWBWaCJ,0.125,5.0,0.118,-4.07,1.0,0.0584,169.952,4.0,https://api.spotify.com/v1/tracks/5dPU0FAYXc9aT1uQWBWaCJ,audio_features,spotify:track:5dPU0FAYXc9aT1uQWBWaCJ,0.377
7,Henrik Schwarz, Not Also You  ,unknown,0.0197,https://api.spotify.com/v1/audio-analysis/2dEhE74zSUYRiYsDMZR9Bx,0.755,413659.0,0.708,2dEhE74zSUYRiYsDMZR9Bx,0.499,8.0,0.0996,-9.846,1.0,0.0446,123.005,4.0,https://api.spotify.com/v1/tracks/2dEhE74zSUYRiYsDMZR9Bx,audio_features,spotify:track:2dEhE74zSUYRiYsDMZR9Bx,0.277
8,Prince, Chelsea Rodgers  ,unknown,0.0237,https://api.spotify.com/v1/audio-analysis/5rM7EysmyVBCmCW2MhpdX3,0.84,341107.0,0.877,5rM7EysmyVBCmCW2MhpdX3,0.000864,6.0,0.0616,-2.15,1.0,0.0853,124.1,4.0,https://api.spotify.com/v1/tracks/5rM7EysmyVBCmCW2MhpdX3,audio_features,spotify:track:5rM7EysmyVBCmCW2MhpdX3,0.925
9,Joe Goddard, Music Is The Answer ,Hot Since 82 Remix,0.00137,https://api.spotify.com/v1/audio-analysis/4EbhDVnxwmL5TxigftUj1Q,0.66,493029.0,0.976,4EbhDVnxwmL5TxigftUj1Q,0.725,7.0,0.189,-6.014,0.0,0.0414,123.005,4.0,https://api.spotify.com/v1/tracks/4EbhDVnxwmL5TxigftUj1Q,audio_features,spotify:track:4EbhDVnxwmL5TxigftUj1Q,0.331
10,Joe Zawinul, Bimoya  ,unknown,0.0474,https://api.spotify.com/v1/audio-analysis/0QdEuHyttrF1PnJ1Erbaaj,0.368,611707.0,0.87,0QdEuHyttrF1PnJ1Erbaaj,0.0563,2.0,0.974,-12.111,0.0,0.0422,152.213,4.0,https://api.spotify.com/v1/tracks/0QdEuHyttrF1PnJ1Erbaaj,audio_features,spotify:track:0QdEuHyttrF1PnJ1Erbaaj,0.894
