,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Pete Tong, Belfast  ,unknown,0.0314,https://api.spotify.com/v1/audio-analysis/66ECgN1bUOmEdjzKGRAKFl,0.271,188453.0,0.707,66ECgN1bUOmEdjzKGRAKFl,0.763,11.0,0.162,-7.984,1.0,0.0331,118.003,4.0,https://api.spotify.com/v1/tracks/66ECgN1bUOmEdjzKGRAKFl,audio_features,spotify:track:66ECgN1bUOmEdjzKGRAKFl,0.297
1,Burial, Young Death  ,unknown,0.751,https://api.spotify.com/v1/audio-analysis/2mcw5SQO8FLw6mF9FRgiaO,0.33,349230.0,0.538,2mcw5SQO8FLw6mF9FRgiaO,0.246,1.0,0.392,-14.053,1.0,0.282,116.617,4.0,https://api.spotify.com/v1/tracks/2mcw5SQO8FLw6mF9FRgiaO,audio_features,spotify:track:2mcw5SQO8FLw6mF9FRgiaO,0.173
2,Agoria, Up All Night ,Eagles & Butterflies Remix,0.00209,https://api.spotify.com/v1/audio-analysis/3wYrO0HmmZnb7P2e4CNpJR,0.777,495868.0,0.377,3wYrO0HmmZnb7P2e4CNpJR,0.721,11.0,0.0317,-14.627,0.0,0.0596,121.011,4.0,https://api.spotify.com/v1/tracks/3wYrO0HmmZnb7P2e4CNpJR,audio_features,spotify:track:3wYrO0HmmZnb7P2e4CNpJR,0.0964
3,Johannes Brecht Christian Prommer, Voix Grave ,Christian Prommer Version,0.000199,https://api.spotify.com/v1/audio-analysis/21vSqU6C50VxqMJlpLrO3L,0.806,416704.0,0.635,21vSqU6C50VxqMJlpLrO3L,0.873,1.0,0.0932,-11.142,1.0,0.0696,125.003,4.0,https://api.spotify.com/v1/tracks/21vSqU6C50VxqMJlpLrO3L,audio_features,spotify:track:21vSqU6C50VxqMJlpLrO3L,0.339
4,Hyenah   Lazarusman, The Idea ,Frankey & Sandrino Remix,0.000503,https://api.spotify.com/v1/audio-analysis/5ILFBWKGVySOJGFaqIOjkq,0.783,448955.0,0.653,5ILFBWKGVySOJGFaqIOjkq,0.714,1.0,0.344,-9.818,0.0,0.062,120.993,4.0,https://api.spotify.com/v1/tracks/5ILFBWKGVySOJGFaqIOjkq,audio_features,spotify:track:5ILFBWKGVySOJGFaqIOjkq,0.578
5,Tone Depths, Layers  ,unknown,0.714,https://api.spotify.com/v1/audio-analysis/2vcGqghWs0BOX1langR65d,0.462,345109.0,0.171,2vcGqghWs0BOX1langR65d,0.932,0.0,0.127,-14.274,1.0,0.0357,137.853,3.0,https://api.spotify.com/v1/tracks/2vcGqghWs0BOX1langR65d,audio_features,spotify:track:2vcGqghWs0BOX1langR65d,0.0384
6,John Talabot, Voices  ,unknown,0.000486,https://api.spotify.com/v1/audio-analysis/2mPTVEtlaAQ1SC3UuEU6lv,0.769,412377.0,0.716,2mPTVEtlaAQ1SC3UuEU6lv,0.85,2.0,0.067,-11.983,1.0,0.0503,122.013,4.0,https://api.spotify.com/v1/tracks/2mPTVEtlaAQ1SC3UuEU6lv,audio_features,spotify:track:2mPTVEtlaAQ1SC3UuEU6lv,0.707
7,Moderate Kingdom, Stratosphere  ,unknown,,,,,,,,,,,,,,,,,,
8,Daft Punk, Finale  ,unknown,0.935,https://api.spotify.com/v1/audio-analysis/63Ul5qgAxlXbtj97gKaAfn,0.0787,262787.0,0.11,63Ul5qgAxlXbtj97gKaAfn,0.865,5.0,0.0985,-15.199,1.0,0.0491,173.343,1.0,https://api.spotify.com/v1/tracks/63Ul5qgAxlXbtj97gKaAfn,audio_features,spotify:track:63Ul5qgAxlXbtj97gKaAfn,0.0282
9,Linus Amy, Waiting ,Russ Gabriel Remix,0.0541,https://api.spotify.com/v1/audio-analysis/76SWbiUafCfVDr4C9pW4S2,0.639,266150.0,0.458,76SWbiUafCfVDr4C9pW4S2,0.884,0.0,0.0866,-11.185,1.0,0.0693,170.022,4.0,https://api.spotify.com/v1/tracks/76SWbiUafCfVDr4C9pW4S2,audio_features,spotify:track:76SWbiUafCfVDr4C9pW4S2,0.702
10,Paul Woolford, Father  ,unknown,0.28,https://api.spotify.com/v1/audio-analysis/6DPGOBX6FzmjbZ7WFiLDpj,0.675,454657.0,0.748,6DPGOBX6FzmjbZ7WFiLDpj,0.86,7.0,0.104,-11.976,1.0,0.0567,120.0,4.0,https://api.spotify.com/v1/tracks/6DPGOBX6FzmjbZ7WFiLDpj,audio_features,spotify:track:6DPGOBX6FzmjbZ7WFiLDpj,0.201
11,Moby, Natural Blues ,Stimming Remix,0.142,https://api.spotify.com/v1/audio-analysis/6v9knO5WanIvddmSiaLsBT,0.859,619765.0,0.576,6v9knO5WanIvddmSiaLsBT,0.61,11.0,0.129,-12.14,1.0,0.0674,121.481,4.0,https://api.spotify.com/v1/tracks/6v9knO5WanIvddmSiaLsBT,audio_features,spotify:track:6v9knO5WanIvddmSiaLsBT,0.696
12,Dusky   Solomon Grey, Long Wait ,Patrice Bäumel Remix,0.0472,https://api.spotify.com/v1/audio-analysis/4k94faTvDLOOaU9f5Olcpg,0.715,408393.0,0.656,4k94faTvDLOOaU9f5Olcpg,0.73,2.0,0.115,-11.272,1.0,0.0514,123.009,4.0,https://api.spotify.com/v1/tracks/4k94faTvDLOOaU9f5Olcpg,audio_features,spotify:track:4k94faTvDLOOaU9f5Olcpg,0.279
13,Donato Dozzy, Cassandra ,Jus-Ed Remix,0.153,https://api.spotify.com/v1/audio-analysis/2c2oTE7VAQVw2QCaQ2ktGp,0.793,402959.0,0.406,2c2oTE7VAQVw2QCaQ2ktGp,0.788,1.0,0.121,-14.665,1.0,0.0463,124.015,4.0,https://api.spotify.com/v1/tracks/2c2oTE7VAQVw2QCaQ2ktGp,audio_features,spotify:track:2c2oTE7VAQVw2QCaQ2ktGp,0.179
14,Digital South, Last Lullaby ,David Alvarado Remix,0.0436,https://api.spotify.com/v1/audio-analysis/0IILJt4n9t0JN8GcsTZ6j7,0.708,428098.0,0.402,0IILJt4n9t0JN8GcsTZ6j7,0.917,1.0,0.12,-12.581,0.0,0.0439,126.006,4.0,https://api.spotify.com/v1/tracks/0IILJt4n9t0JN8GcsTZ6j7,audio_features,spotify:track:0IILJt4n9t0JN8GcsTZ6j7,0.396
15,KNTRL, Stay  ,unknown,0.298,https://api.spotify.com/v1/audio-analysis/1qOUpXAhELnqipTdQKXWVx,0.622,314500.0,0.562,1qOUpXAhELnqipTdQKXWVx,0.159,10.0,0.0768,-10.518,0.0,0.112,121.937,4.0,https://api.spotify.com/v1/tracks/1qOUpXAhELnqipTdQKXWVx,audio_features,spotify:track:1qOUpXAhELnqipTdQKXWVx,0.234
16,Space, Magic Fly  ,unknown,0.064,https://api.spotify.com/v1/audio-analysis/5PklZKzuqiUrSxgQOs40t6,0.632,260267.0,0.624,5PklZKzuqiUrSxgQOs40t6,0.0744,9.0,0.0745,-7.046,1.0,0.0296,126.496,4.0,https://api.spotify.com/v1/tracks/5PklZKzuqiUrSxgQOs40t6,audio_features,spotify:track:5PklZKzuqiUrSxgQOs40t6,0.748
17,Derrick May, Icon  ,unknown,0.526,https://api.spotify.com/v1/audio-analysis/4Kc3Uys17R9moVWsxAJmRu,0.276,349813.0,0.892,4Kc3Uys17R9moVWsxAJmRu,0.736,2.0,0.0587,-5.479,1.0,0.0608,195.323,3.0,https://api.spotify.com/v1/tracks/4Kc3Uys17R9moVWsxAJmRu,audio_features,spotify:track:4Kc3Uys17R9moVWsxAJmRu,0.714
18,Sailor I, Black Swan ,Maceo Plex Remix,4.62e-05,https://api.spotify.com/v1/audio-analysis/1w69OnxXhhdHe9iD9CTVl9,0.693,479861.0,0.794,1w69OnxXhhdHe9iD9CTVl9,0.852,8.0,0.0901,-9.713,1.0,0.0491,122.005,4.0,https://api.spotify.com/v1/tracks/1w69OnxXhhdHe9iD9CTVl9,audio_features,spotify:track:1w69OnxXhhdHe9iD9CTVl9,0.224
19,Pablo Bolivar, Eve  ,unknown,0.00082,https://api.spotify.com/v1/audio-analysis/1muTuACZOWadqIGbm0BiMR,0.826,402541.0,0.594,1muTuACZOWadqIGbm0BiMR,0.875,7.0,0.108,-12.193,1.0,0.0729,120.016,4.0,https://api.spotify.com/v1/tracks/1muTuACZOWadqIGbm0BiMR,audio_features,spotify:track:1muTuACZOWadqIGbm0BiMR,0.104
20,Rodriguez Jr., 2 Miles Away  ,unknown,0.0196,https://api.spotify.com/v1/audio-analysis/44t7vuVynLPGCpuWdPu0yn,0.759,459372.0,0.723,44t7vuVynLPGCpuWdPu0yn,0.887,1.0,0.104,-9.989,0.0,0.05,124.003,4.0,https://api.spotify.com/v1/tracks/44t7vuVynLPGCpuWdPu0yn,audio_features,spotify:track:44t7vuVynLPGCpuWdPu0yn,0.0304
21,Blausch, Parallel Hymns  ,unknown,0.15,https://api.spotify.com/v1/audio-analysis/518cQJpNbP2kRVh4PG53GY,0.765,419631.0,0.566,518cQJpNbP2kRVh4PG53GY,0.925,1.0,0.0964,-11.072,1.0,0.0761,122.007,4.0,https://api.spotify.com/v1/tracks/518cQJpNbP2kRVh4PG53GY,audio_features,spotify:track:518cQJpNbP2kRVh4PG53GY,0.229
22,Apparat, Black Water  ,unknown,0.241,https://api.spotify.com/v1/audio-analysis/3mFu6HJLVeyyUyTS1EkHFP,0.174,293755.0,0.568,3mFu6HJLVeyyUyTS1EkHFP,0.557,2.0,0.0945,-10.854,1.0,0.0537,179.499,4.0,https://api.spotify.com/v1/tracks/3mFu6HJLVeyyUyTS1EkHFP,audio_features,spotify:track:3mFu6HJLVeyyUyTS1EkHFP,0.0933
23,μ,Ziq ,unknown,,,,,,,,,,,,,,,,,,
24,Dire Straits, Brothers In Arms  ,UMG,0.503,https://api.spotify.com/v1/audio-analysis/26tWBbtjvgi0tipRL2VQ2X,0.22,419400.0,0.44,26tWBbtjvgi0tipRL2VQ2X,0.862,8.0,0.12,-9.456,0.0,0.0352,79.095,4.0,https://api.spotify.com/v1/tracks/26tWBbtjvgi0tipRL2VQ2X,audio_features,spotify:track:26tWBbtjvgi0tipRL2VQ2X,0.13
