,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Bard, Boxed  ,unknown,,,,,,,,,,,,,,,,,,
1,Kobosil, To See Land  ,unknown,0.000989,https://api.spotify.com/v1/audio-analysis/4gQFeIRTOHY4AwqglUWggQ,0.764,272000.0,0.717,4gQFeIRTOHY4AwqglUWggQ,0.956,7.0,0.115,-13.365,1.0,0.036,119.999,4.0,https://api.spotify.com/v1/tracks/4gQFeIRTOHY4AwqglUWggQ,audio_features,spotify:track:4gQFeIRTOHY4AwqglUWggQ,0.0644
2,Gianmaria Coccoluto, Dance Corporation  ,unknown,,,,,,,,,,,,,,,,,,
3,Markus Suckut, Watching The Sunset II  ,unknown,0.000245,https://api.spotify.com/v1/audio-analysis/2H0Ee74XLyBwOg3fhvhpcO,0.798,391111.0,0.787,2H0Ee74XLyBwOg3fhvhpcO,0.91,10.0,0.115,-11.338,0.0,0.119,128.034,4.0,https://api.spotify.com/v1/tracks/2H0Ee74XLyBwOg3fhvhpcO,audio_features,spotify:track:2H0Ee74XLyBwOg3fhvhpcO,0.033
4,Jimmy Edgar, RS2000  ,HOTFLUSH,0.104,https://api.spotify.com/v1/audio-analysis/5TSsMke0TU7CkVxqtmfH5D,0.802,368637.0,0.834,5TSsMke0TU7CkVxqtmfH5D,0.893,6.0,0.101,-10.06,0.0,0.0532,120.061,4.0,https://api.spotify.com/v1/tracks/5TSsMke0TU7CkVxqtmfH5D,audio_features,spotify:track:5TSsMke0TU7CkVxqtmfH5D,0.064
5,High Mobility Weapons Unit, Abandoned Interstellar Tomb  ,unknown,,,,,,,,,,,,,,,,,,
6,Shlomi Aber, 48V  ,unknown,,,,,,,,,,,,,,,,,,
7,Phil Kieran, Beat Flow  ,HOTFLUSH,0.00806,https://api.spotify.com/v1/audio-analysis/3a5tVbfKBq1IZyKuAzIwTn,0.692,409085.0,0.916,3a5tVbfKBq1IZyKuAzIwTn,0.582,11.0,0.125,-8.923,0.0,0.055,127.991,4.0,https://api.spotify.com/v1/tracks/3a5tVbfKBq1IZyKuAzIwTn,audio_features,spotify:track:3a5tVbfKBq1IZyKuAzIwTn,0.262
8,Dense Pika, Calf  ,unknown,0.0521,https://api.spotify.com/v1/audio-analysis/423FglAU16uhY4ZT2RCWjv,0.807,449338.0,0.509,423FglAU16uhY4ZT2RCWjv,0.486,6.0,0.0988,-9.489,0.0,0.0471,123.98,4.0,https://api.spotify.com/v1/tracks/423FglAU16uhY4ZT2RCWjv,audio_features,spotify:track:423FglAU16uhY4ZT2RCWjv,0.564
9,Bwana, Homeboy  ,unknown,0.00417,https://api.spotify.com/v1/audio-analysis/1O3jIrvl0qVSAiTN82RLZm,0.762,397154.0,0.535,1O3jIrvl0qVSAiTN82RLZm,0.716,1.0,0.0958,-10.994,1.0,0.0434,127.001,4.0,https://api.spotify.com/v1/tracks/1O3jIrvl0qVSAiTN82RLZm,audio_features,spotify:track:1O3jIrvl0qVSAiTN82RLZm,0.178
