,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Markus Schulz pres. Dakota, Future Shock  ,unknown,0.00229,https://api.spotify.com/v1/audio-analysis/2olrvMobRoLV9N4Uqc5Gsq,0.67,246472.0,0.815,2olrvMobRoLV9N4Uqc5Gsq,0.857,4.0,0.103,-8.357,0.0,0.0714,127.999,4.0,https://api.spotify.com/v1/tracks/2olrvMobRoLV9N4Uqc5Gsq,audio_features,spotify:track:2olrvMobRoLV9N4Uqc5Gsq,0.049
1,Analog Sol, Trinidad Dreams  ,unknown,0.00114,https://api.spotify.com/v1/audio-analysis/62F0yfVTEnjOBWKiXEEELZ,0.538,218182.0,0.893,62F0yfVTEnjOBWKiXEEELZ,0.836,1.0,0.107,-6.178,1.0,0.05,121.021,4.0,https://api.spotify.com/v1/tracks/62F0yfVTEnjOBWKiXEEELZ,audio_features,spotify:track:62F0yfVTEnjOBWKiXEEELZ,0.398
2,AU/RA CamelPhat, Panic Room  ,unknown,0.0259,https://api.spotify.com/v1/audio-analysis/3MkuFR7t25mu7Iscp6GGiV,0.578,214483.0,0.883,3MkuFR7t25mu7Iscp6GGiV,0.0706,10.0,0.118,-6.423,1.0,0.0298,122.987,4.0,https://api.spotify.com/v1/tracks/3MkuFR7t25mu7Iscp6GGiV,audio_features,spotify:track:3MkuFR7t25mu7Iscp6GGiV,0.255
3,KhoMha, Agua  ,ARMADA,0.0953,https://api.spotify.com/v1/audio-analysis/6AGpKplTyulZqkDVMe1fbf,0.301,185219.0,0.686,6AGpKplTyulZqkDVMe1fbf,0.0,4.0,0.151,-4.282,0.0,0.0486,94.014,4.0,https://api.spotify.com/v1/tracks/6AGpKplTyulZqkDVMe1fbf,audio_features,spotify:track:6AGpKplTyulZqkDVMe1fbf,0.106
4,Virtual Self, Ghost Voices ,KhoMha Retouch,0.00137,https://api.spotify.com/v1/audio-analysis/7ipGvvE90ROUNFw7ZBXBTO,0.311,266365.0,0.857,7ipGvvE90ROUNFw7ZBXBTO,0.805,11.0,0.307,-8.332,0.0,0.0396,119.96,4.0,https://api.spotify.com/v1/tracks/7ipGvvE90ROUNFw7ZBXBTO,audio_features,spotify:track:7ipGvvE90ROUNFw7ZBXBTO,0.358
5,DJ Observer Daniel Heatcliff   Madeleine Rison, Vision ,Lentos Dub,0.00453,https://api.spotify.com/v1/audio-analysis/0LvpjmCq3HRbfr08jQxN9o,0.808,515214.0,0.374,0LvpjmCq3HRbfr08jQxN9o,0.0989,0.0,0.707,-11.119,0.0,0.0487,131.009,4.0,https://api.spotify.com/v1/tracks/0LvpjmCq3HRbfr08jQxN9o,audio_features,spotify:track:0LvpjmCq3HRbfr08jQxN9o,0.232
6,Axwell Λ Ingrosso   RØMANS, Dancing Alone ,CYA Remix,0.00477,https://api.spotify.com/v1/audio-analysis/65WqEzofajxX7uJG2U1zmJ,0.592,241920.0,0.951,65WqEzofajxX7uJG2U1zmJ,0.000115,1.0,0.647,-5.661,0.0,0.113,125.128,4.0,https://api.spotify.com/v1/tracks/65WqEzofajxX7uJG2U1zmJ,audio_features,spotify:track:65WqEzofajxX7uJG2U1zmJ,0.553
7,Gareth Emery   Evan Henzi, Call To Arms ,Cosmic Gate Remix,0.00237,https://api.spotify.com/v1/audio-analysis/7Hp3bgBmtpv0d437Lmw2H0,0.569,235620.0,0.949,7Hp3bgBmtpv0d437Lmw2H0,0.0988,7.0,0.393,-5.613,0.0,0.0379,130.036,4.0,https://api.spotify.com/v1/tracks/7Hp3bgBmtpv0d437Lmw2H0,audio_features,spotify:track:7Hp3bgBmtpv0d437Lmw2H0,0.112
8,Andrew Bayer   Alison May, Immortal Lover ,In My Next Life Mix,0.00127,https://api.spotify.com/v1/audio-analysis/0Lk2aromO6izsyAEP0wwrF,0.396,261760.0,0.513,0Lk2aromO6izsyAEP0wwrF,0.00148,11.0,0.396,-11.489,0.0,0.0597,131.587,4.0,https://api.spotify.com/v1/tracks/0Lk2aromO6izsyAEP0wwrF,audio_features,spotify:track:0Lk2aromO6izsyAEP0wwrF,0.212
9,KhoMha, Aether  ,unknown,0.293,https://api.spotify.com/v1/audio-analysis/1KgDxnBdxwSRbG9ZLjksIx,0.511,198180.0,0.898,1KgDxnBdxwSRbG9ZLjksIx,0.0316,8.0,0.11,-6.161,1.0,0.1,128.003,4.0,https://api.spotify.com/v1/tracks/1KgDxnBdxwSRbG9ZLjksIx,audio_features,spotify:track:1KgDxnBdxwSRbG9ZLjksIx,0.0395
10,Armin van Buuren Shapov, Our Origin  ,ARMADA,0.00946,https://api.spotify.com/v1/audio-analysis/3SeowzTaXWE7YsIvltrFgE,0.452,211406.0,0.927,3SeowzTaXWE7YsIvltrFgE,0.353,9.0,0.118,-6.496,0.0,0.033,131.984,4.0,https://api.spotify.com/v1/tracks/3SeowzTaXWE7YsIvltrFgE,audio_features,spotify:track:3SeowzTaXWE7YsIvltrFgE,0.0372
11,The Chemical Brothers," Hey Boy, Hey Girl ",KhoMha Remix,0.119,https://api.spotify.com/v1/audio-analysis/7kXmJwrZGIhDaLT9sNo3ut,0.632,290493.0,0.92,7kXmJwrZGIhDaLT9sNo3ut,0.508,2.0,0.114,-4.976,1.0,0.0531,127.001,4.0,https://api.spotify.com/v1/tracks/7kXmJwrZGIhDaLT9sNo3ut,audio_features,spotify:track:7kXmJwrZGIhDaLT9sNo3ut,0.363
12,Vincent De Moor, Fly Away ,KhoMha Remix,0.00136,https://api.spotify.com/v1/audio-analysis/7dzI7FiaWeCOWLOdKFWkKN,0.503,169572.0,0.96,7dzI7FiaWeCOWLOdKFWkKN,0.898,5.0,0.101,-7.821,0.0,0.0479,128.032,4.0,https://api.spotify.com/v1/tracks/7dzI7FiaWeCOWLOdKFWkKN,audio_features,spotify:track:7dzI7FiaWeCOWLOdKFWkKN,0.102
13,KhoMha, Tierra  ,ARMADA,0.00155,https://api.spotify.com/v1/audio-analysis/1p2FpCvMX3lGG92p0SxgiQ,0.584,211920.0,0.879,1p2FpCvMX3lGG92p0SxgiQ,0.899,6.0,0.138,-5.676,0.0,0.0493,127.98,4.0,https://api.spotify.com/v1/tracks/1p2FpCvMX3lGG92p0SxgiQ,audio_features,spotify:track:1p2FpCvMX3lGG92p0SxgiQ,0.0875
14,KhoMha, White Swan  ,ARMADA,,,,,,,,,,,,,,,,,,
