,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Major Lazer   Travis Scott Camila Cabello Quavo, Know No Better ,Olly James Remix,0.132,https://api.spotify.com/v1/audio-analysis/6BKeNWeUqxmvQ09Gxd3ZGX,0.738,225850.0,0.814,6BKeNWeUqxmvQ09Gxd3ZGX,9.64e-06,7.0,0.126,-4.414,0.0,0.0999,119.041,4.0,https://api.spotify.com/v1/tracks/6BKeNWeUqxmvQ09Gxd3ZGX,audio_features,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,0.483
1,Clean Bandit   Julia Michaels, I Miss You ,Olly James Club Mix,0.245,https://api.spotify.com/v1/audio-analysis/2xmrfQpmS2iJExTlklLoAL,0.638,205748.0,0.658,2xmrfQpmS2iJExTlklLoAL,3.77e-06,3.0,0.0919,-6.318,1.0,0.0456,105.076,4.0,https://api.spotify.com/v1/tracks/2xmrfQpmS2iJExTlklLoAL,audio_features,spotify:track:2xmrfQpmS2iJExTlklLoAL,0.33
2,Olly James Jordi Rivera, One Time  ,unknown,0.00374,https://api.spotify.com/v1/audio-analysis/2MnJgBPwVWmdZHzWGbF0Nb,0.521,257580.0,0.865,2MnJgBPwVWmdZHzWGbF0Nb,0.0398,2.0,0.0775,-7.448,1.0,0.0771,126.959,4.0,https://api.spotify.com/v1/tracks/2MnJgBPwVWmdZHzWGbF0Nb,audio_features,spotify:track:2MnJgBPwVWmdZHzWGbF0Nb,0.357
3,Post Malone   21 Savage, Rockstar ,Olly James Club Mix,0.117,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,0.587,218147.0,0.535,0e7ipj03S05BNilyu5bRzt,6.56e-05,5.0,0.131,-6.09,0.0,0.0898,159.847,4.0,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,audio_features,spotify:track:0e7ipj03S05BNilyu5bRzt,0.14
4,Tiësto Sevenn, BOOM ,Chris Royal Flip,0.0183,https://api.spotify.com/v1/audio-analysis/6iC7vapdKp0XlKhxOkp8QJ,0.875,179512.0,0.835,6iC7vapdKp0XlKhxOkp8QJ,0.00281,2.0,0.336,-3.626,1.0,0.0499,123.054,4.0,https://api.spotify.com/v1/tracks/6iC7vapdKp0XlKhxOkp8QJ,audio_features,spotify:track:6iC7vapdKp0XlKhxOkp8QJ,0.287
5,Mike Cervello GTA, Bad Gyal  ,unknown,0.00128,https://api.spotify.com/v1/audio-analysis/6dO1zstxl49YBvCiQkgmOe,0.735,189100.0,0.972,6dO1zstxl49YBvCiQkgmOe,0.891,7.0,0.659,-3.154,1.0,0.0664,131.967,4.0,https://api.spotify.com/v1/tracks/6dO1zstxl49YBvCiQkgmOe,audio_features,spotify:track:6dO1zstxl49YBvCiQkgmOe,0.636
6,Olly James Mike Cervello, ID  ,unknown,0.661,https://api.spotify.com/v1/audio-analysis/7keRsHHqmuFRv8agWvaYxE,0.539,156667.0,0.398,7keRsHHqmuFRv8agWvaYxE,0.000519,9.0,0.191,-6.513,1.0,0.0253,81.579,3.0,https://api.spotify.com/v1/tracks/7keRsHHqmuFRv8agWvaYxE,audio_features,spotify:track:7keRsHHqmuFRv8agWvaYxE,0.588
7,Mike Cervello Yellow Claw, Like This  ,unknown,0.00127,https://api.spotify.com/v1/audio-analysis/3a2PPMUhLR2bM9kBMWwGZx,0.65,207287.0,0.942,3a2PPMUhLR2bM9kBMWwGZx,0.417,6.0,0.0847,-2.924,1.0,0.0405,132.048,4.0,https://api.spotify.com/v1/tracks/3a2PPMUhLR2bM9kBMWwGZx,audio_features,spotify:track:3a2PPMUhLR2bM9kBMWwGZx,0.3
8,Valentino Khan, Jump Down Low ,ORBZ Edit,,,,,,,,,,,,,,,,,,
9,Valentino Khan, Deep Down Low  ,unknown,0.00371,https://api.spotify.com/v1/audio-analysis/46rZgRYU1H5Xnv0n75OGis,0.794,190476.0,0.896,46rZgRYU1H5Xnv0n75OGis,0.615,5.0,0.0876,-1.514,0.0,0.0677,125.999,4.0,https://api.spotify.com/v1/tracks/46rZgRYU1H5Xnv0n75OGis,audio_features,spotify:track:46rZgRYU1H5Xnv0n75OGis,0.5
10,Valentino Khan, Pump  ,unknown,0.00145,https://api.spotify.com/v1/audio-analysis/0N98QCESfFA46B7a6TTZKq,0.805,183750.0,0.949,0N98QCESfFA46B7a6TTZKq,0.795,6.0,0.0655,-2.404,1.0,0.0471,128.005,4.0,https://api.spotify.com/v1/tracks/0N98QCESfFA46B7a6TTZKq,audio_features,spotify:track:0N98QCESfFA46B7a6TTZKq,0.663
11,Olly James, Bad  ,SPINNIN',0.0183,https://api.spotify.com/v1/audio-analysis/3nAMByzRAlz06NXplYZdjK,0.686,151275.0,0.947,3nAMByzRAlz06NXplYZdjK,0.781,3.0,0.0761,-5.048,0.0,0.0397,131.991,4.0,https://api.spotify.com/v1/tracks/3nAMByzRAlz06NXplYZdjK,audio_features,spotify:track:3nAMByzRAlz06NXplYZdjK,0.119
12,Olly James, Mask  ,unknown,0.0709,https://api.spotify.com/v1/audio-analysis/6f2Tym6e6wOT1fGFXJucGL,0.636,315000.0,0.738,6f2Tym6e6wOT1fGFXJucGL,0.00456,9.0,0.09,-7.096,1.0,0.0319,136.004,4.0,https://api.spotify.com/v1/tracks/6f2Tym6e6wOT1fGFXJucGL,audio_features,spotify:track:6f2Tym6e6wOT1fGFXJucGL,0.319
13,DJ Jean, The Launch ,Olly James Remix,0.0622,https://api.spotify.com/v1/audio-analysis/6FP4peicCGnib7asns71fs,0.739,220360.0,0.998,6FP4peicCGnib7asns71fs,0.922,11.0,0.266,-5.669,0.0,0.137,136.513,4.0,https://api.spotify.com/v1/tracks/6FP4peicCGnib7asns71fs,audio_features,spotify:track:6FP4peicCGnib7asns71fs,0.259
14,Olly James, Losing Myself  ,unknown,0.0645,https://api.spotify.com/v1/audio-analysis/41WdgQQshB1nmESC9qD4EK,0.615,163824.0,0.965,41WdgQQshB1nmESC9qD4EK,0.0,9.0,0.128,-3.746,0.0,0.362,125.972,4.0,https://api.spotify.com/v1/tracks/41WdgQQshB1nmESC9qD4EK,audio_features,spotify:track:41WdgQQshB1nmESC9qD4EK,0.228
15,Brooks GRX, Boomerang  ,unknown,0.0074,https://api.spotify.com/v1/audio-analysis/6Gw2dHX6FsQcIuiWxe0vWk,0.652,195000.0,0.951,6Gw2dHX6FsQcIuiWxe0vWk,0.133,9.0,0.0617,-3.083,0.0,0.0556,128.061,4.0,https://api.spotify.com/v1/tracks/6Gw2dHX6FsQcIuiWxe0vWk,audio_features,spotify:track:6Gw2dHX6FsQcIuiWxe0vWk,0.37
16,David Guetta   Justin Bieber, 2U ,Olly James Bootleg,0.23,https://api.spotify.com/v1/audio-analysis/762UXiwEHYY97VL45sAUPR,0.542,194907.0,0.654,762UXiwEHYY97VL45sAUPR,0.0,8.0,0.241,-5.862,0.0,0.0537,144.971,4.0,https://api.spotify.com/v1/tracks/762UXiwEHYY97VL45sAUPR,audio_features,spotify:track:762UXiwEHYY97VL45sAUPR,0.563
17,Olly James, Code  ,unknown,0.0103,https://api.spotify.com/v1/audio-analysis/4iU9SKm0WLLYCmgehMGVjD,0.63,158784.0,0.955,4iU9SKm0WLLYCmgehMGVjD,0.83,3.0,0.876,-3.442,0.0,0.0445,130.003,4.0,https://api.spotify.com/v1/tracks/4iU9SKm0WLLYCmgehMGVjD,audio_features,spotify:track:4iU9SKm0WLLYCmgehMGVjD,0.326
18,Blasterjaxx Olly James, Phoenix  ,SPINNIN',0.00108,https://api.spotify.com/v1/audio-analysis/0oHO4SzupiDdp9OU1hu8AK,0.602,203437.0,0.901,0oHO4SzupiDdp9OU1hu8AK,0.45,8.0,0.144,-5.144,0.0,0.0412,128.063,4.0,https://api.spotify.com/v1/tracks/0oHO4SzupiDdp9OU1hu8AK,audio_features,spotify:track:0oHO4SzupiDdp9OU1hu8AK,0.0376
19,Kallau Bitas, Dancefloor  ,unknown,0.00853,https://api.spotify.com/v1/audio-analysis/7ndhGrngOmTbqbOE8p8kG9,0.615,188308.0,0.959,7ndhGrngOmTbqbOE8p8kG9,0.00775,3.0,0.238,-3.332,0.0,0.0462,129.992,4.0,https://api.spotify.com/v1/tracks/7ndhGrngOmTbqbOE8p8kG9,audio_features,spotify:track:7ndhGrngOmTbqbOE8p8kG9,0.149
20,Olly James Maestro Harrell, Symphony  ,unknown,0.123,https://api.spotify.com/v1/audio-analysis/3lQrajBvBKv9FhrZ1mdTSU,0.898,224720.0,0.893,3lQrajBvBKv9FhrZ1mdTSU,0.00559,9.0,0.163,-7.419,1.0,0.0302,125.037,4.0,https://api.spotify.com/v1/tracks/3lQrajBvBKv9FhrZ1mdTSU,audio_features,spotify:track:3lQrajBvBKv9FhrZ1mdTSU,0.97
21,Olly James, Reborn  ,unknown,0.000303,https://api.spotify.com/v1/audio-analysis/2BzPVhRY8hgRudbhu4JJqs,0.75,206832.0,0.866,2BzPVhRY8hgRudbhu4JJqs,0.84,0.0,0.077,-4.658,1.0,0.0537,129.951,4.0,https://api.spotify.com/v1/tracks/2BzPVhRY8hgRudbhu4JJqs,audio_features,spotify:track:2BzPVhRY8hgRudbhu4JJqs,0.241
22,ID, ID  ,unknown,0.000124,https://api.spotify.com/v1/audio-analysis/1GfuUJQxZr1pOuFxpyR5yC,0.471,257496.0,0.808,1GfuUJQxZr1pOuFxpyR5yC,0.445,1.0,0.341,-8.396,1.0,0.0417,131.898,4.0,https://api.spotify.com/v1/tracks/1GfuUJQxZr1pOuFxpyR5yC,audio_features,spotify:track:1GfuUJQxZr1pOuFxpyR5yC,0.0969
