,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Sammy Porter   Asabe, Breaking  ,unknown,0.0298,https://api.spotify.com/v1/audio-analysis/1EvFKfRW4CTbpzyK2NvOzk,0.892,142080.0,0.671,1EvFKfRW4CTbpzyK2NvOzk,1.74e-06,11.0,0.0461,-7.304,0.0,0.191,124.951,4.0,https://api.spotify.com/v1/tracks/1EvFKfRW4CTbpzyK2NvOzk,audio_features,spotify:track:1EvFKfRW4CTbpzyK2NvOzk,0.591
1,Dakar   Solo Tamas, Red Cup ,Myles Club Edit,0.000159,https://api.spotify.com/v1/audio-analysis/6hxaL4hDoL6ONeZ3ydn4sx,0.792,187750.0,0.955,6hxaL4hDoL6ONeZ3ydn4sx,0.0606,4.0,0.123,-5.663,1.0,0.0468,125.003,4.0,https://api.spotify.com/v1/tracks/6hxaL4hDoL6ONeZ3ydn4sx,audio_features,spotify:track:6hxaL4hDoL6ONeZ3ydn4sx,0.964
2,Carnao Beats Lupe Fuentes, Power  ,unknown,0.00197,https://api.spotify.com/v1/audio-analysis/7gNew52sQB83nAzJ2MXBNU,0.817,221905.0,0.848,7gNew52sQB83nAzJ2MXBNU,0.0448,9.0,0.379,-4.753,1.0,0.0572,125.985,4.0,https://api.spotify.com/v1/tracks/7gNew52sQB83nAzJ2MXBNU,audio_features,spotify:track:7gNew52sQB83nAzJ2MXBNU,0.529
3,Tony Brown, Lady  ,unknown,0.000183,https://api.spotify.com/v1/audio-analysis/2zVmcBrkjIGwwkEWvs31MD,0.809,317254.0,0.594,2zVmcBrkjIGwwkEWvs31MD,0.0914,1.0,0.0697,-10.985,1.0,0.14,129.003,4.0,https://api.spotify.com/v1/tracks/2zVmcBrkjIGwwkEWvs31MD,audio_features,spotify:track:2zVmcBrkjIGwwkEWvs31MD,0.394
4,Wild Cherry, Play That Funky Music ,Deeper Purpose Remix,0.0435,https://api.spotify.com/v1/audio-analysis/5uuJruktM9fMdN9Va0DUMl,0.814,300000.0,0.672,5uuJruktM9fMdN9Va0DUMl,0.0,9.0,0.061,-12.068,1.0,0.0619,109.394,4.0,https://api.spotify.com/v1/tracks/5uuJruktM9fMdN9Va0DUMl,audio_features,spotify:track:5uuJruktM9fMdN9Va0DUMl,0.933
5,Sammy Porter Jess Bays, Back To Life  ,unknown,0.699,https://api.spotify.com/v1/audio-analysis/2CGhxv9lteeMFIe5fd32ir,0.729,253787.0,0.335,2CGhxv9lteeMFIe5fd32ir,0.000926,8.0,0.104,-9.0,1.0,0.0356,126.128,3.0,https://api.spotify.com/v1/tracks/2CGhxv9lteeMFIe5fd32ir,audio_features,spotify:track:2CGhxv9lteeMFIe5fd32ir,0.241
6,Idris Elba, Badman  ,unknown,0.00228,https://api.spotify.com/v1/audio-analysis/2ThOVPmAi9HcMmRRGZ2RUn,0.781,226230.0,0.942,2ThOVPmAi9HcMmRRGZ2RUn,0.00149,11.0,0.0764,-6.182,1.0,0.0649,121.985,4.0,https://api.spotify.com/v1/tracks/2ThOVPmAi9HcMmRRGZ2RUn,audio_features,spotify:track:2ThOVPmAi9HcMmRRGZ2RUn,0.518
7,Basement Jaxx   Kele Le Roc, Romeo  ,unknown,0.00769,https://api.spotify.com/v1/audio-analysis/2GRmo9dlcUUDPfhbQmeE2Q,0.713,217493.0,0.829,2GRmo9dlcUUDPfhbQmeE2Q,0.00203,2.0,0.139,-4.171,1.0,0.0491,126.853,4.0,https://api.spotify.com/v1/tracks/2GRmo9dlcUUDPfhbQmeE2Q,audio_features,spotify:track:2GRmo9dlcUUDPfhbQmeE2Q,0.844
8,Sammy Porter   Jessica Agombar, What We Started ,A Bit Patchy,0.106,https://api.spotify.com/v1/audio-analysis/3QJMEPxd3oiO11xnciYhKz,0.903,152459.0,0.93,3QJMEPxd3oiO11xnciYhKz,0.0,7.0,0.196,-7.159,1.0,0.116,121.982,4.0,https://api.spotify.com/v1/tracks/3QJMEPxd3oiO11xnciYhKz,audio_features,spotify:track:3QJMEPxd3oiO11xnciYhKz,0.8
9,The Manor, Ibiza ,Tough Love Remix,0.000917,https://api.spotify.com/v1/audio-analysis/5oSrWv2k3S12JzWB62gfSR,0.745,196414.0,0.664,5oSrWv2k3S12JzWB62gfSR,0.424,1.0,0.0688,-8.719,0.0,0.0481,125.996,4.0,https://api.spotify.com/v1/tracks/5oSrWv2k3S12JzWB62gfSR,audio_features,spotify:track:5oSrWv2k3S12JzWB62gfSR,0.318
