,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Future Sound Of Egypt,Intro,Original Mix,,,,,,,,,,,,,,,,,,
1,Feel Late Night Alumni,Empty Streets,Feel Remix,,,,,,,,,,,,,,,,,,
2,Alex M.O.R.P.H. John O'Callaghan,Heavenly,John O'Callaghan Remix,2.75e-05,https://api.spotify.com/v1/audio-analysis/6IYvXx5sPQN07gpVcuT6P8,0.506,447077.0,0.99,6IYvXx5sPQN07gpVcuT6P8,0.617,6.0,0.355,-5.734,0.0,0.0494,140.002,4.0,https://api.spotify.com/v1/tracks/6IYvXx5sPQN07gpVcuT6P8,audio_features,spotify:track:6IYvXx5sPQN07gpVcuT6P8,0.447
3,Michael Angelo & Jim Static Blue,One Step Beyond,Static Blue Remix,,,,,,,,,,,,,,,,,,
4,Castania,Signs From Above,Original Mix,,,,,,,,,,,,,,,,,,
5,C-Quence Galen Behr,Final Thoughts,Galen Behr Remix,0.00282,https://api.spotify.com/v1/audio-analysis/5yJd1lWUaO4FwrUD9j4SKc,0.623,535435.0,0.778,5yJd1lWUaO4FwrUD9j4SKc,0.825,2.0,0.214,-11.019,0.0,0.0418,138.006,4.0,https://api.spotify.com/v1/tracks/5yJd1lWUaO4FwrUD9j4SKc,audio_features,spotify:track:5yJd1lWUaO4FwrUD9j4SKc,0.385
6,Fable,Above,Original Mix,0.0294,https://api.spotify.com/v1/audio-analysis/0Cpy6lN0Hjj7FgfphImqTR,0.515,338587.0,0.963,0Cpy6lN0Hjj7FgfphImqTR,0.953,5.0,0.115,-7.892,0.0,0.0365,136.107,4.0,https://api.spotify.com/v1/tracks/0Cpy6lN0Hjj7FgfphImqTR,audio_features,spotify:track:0Cpy6lN0Hjj7FgfphImqTR,0.366
7,Stoneface & Terminal,Venus,Original Mix,6.04e-05,https://api.spotify.com/v1/audio-analysis/5qWgfvZgPlqmXkMhYVbYVN,0.477,274656.0,0.917,5qWgfvZgPlqmXkMhYVbYVN,0.738,7.0,0.101,-10.062,1.0,0.0568,139.948,4.0,https://api.spotify.com/v1/tracks/5qWgfvZgPlqmXkMhYVbYVN,audio_features,spotify:track:5qWgfvZgPlqmXkMhYVbYVN,0.199
8,Miguel Sassot Aly & Fila,Empty,Aly & Fila Remix,,,,,,,,,,,,,,,,,,
9,Kamil Polner,Feel Of Eternity,Original Mix,0.000177,https://api.spotify.com/v1/audio-analysis/1H1hIflOm7h6ak8kxUxfnu,0.489,545573.0,0.947,1H1hIflOm7h6ak8kxUxfnu,0.793,1.0,0.0413,-9.877,0.0,0.0444,140.005,4.0,https://api.spotify.com/v1/tracks/1H1hIflOm7h6ak8kxUxfnu,audio_features,spotify:track:1H1hIflOm7h6ak8kxUxfnu,0.482
10,Robert Nickson Elsa Hill,Close Your Eyes,Dub Mix,2.43e-05,https://api.spotify.com/v1/audio-analysis/4CscA8dHThAseJLuRawu00,0.589,480000.0,0.806,4CscA8dHThAseJLuRawu00,0.951,7.0,0.0996,-8.365,1.0,0.0648,136.012,4.0,https://api.spotify.com/v1/tracks/4CscA8dHThAseJLuRawu00,audio_features,spotify:track:4CscA8dHThAseJLuRawu00,0.217
11,Mane Underwater,Arctic Circle,Go For A Tranzy Walk Mix,,,,,,,,,,,,,,,,,,
12,In Progress,Ocean Of Light,Original Mix,,,,,,,,,,,,,,,,,,
13,Sean Tyas,Candida,Original Mix,0.000247,https://api.spotify.com/v1/audio-analysis/1yBhjozZsudBgT9zTVCXaW,0.43,506047.0,0.976,1yBhjozZsudBgT9zTVCXaW,0.9,1.0,0.755,-6.5,0.0,0.106,140.004,4.0,https://api.spotify.com/v1/tracks/1yBhjozZsudBgT9zTVCXaW,audio_features,spotify:track:1yBhjozZsudBgT9zTVCXaW,0.0754
14,Kenneth Thomas Colleen Riley Mike Shiver,Ghost In The Machine,Mike Shiver's Catching Sun Mix,,,,,,,,,,,,,,,,,,
15,Vast Vision,Ellips,Original Mix,,,,,,,,,,,,,,,,,,
16,Deems Aly & Fila,Tears Of Hope,Aly & Fila Remix,0.000425,https://api.spotify.com/v1/audio-analysis/4iEg77gLmcppcQHGGNIski,0.517,531278.0,0.951,4iEg77gLmcppcQHGGNIski,0.92,6.0,0.118,-3.647,1.0,0.0325,140.01,4.0,https://api.spotify.com/v1/tracks/4iEg77gLmcppcQHGGNIski,audio_features,spotify:track:4iEg77gLmcppcQHGGNIski,0.57
17,DJ Tatana Aly & Fila,Interview With An Angel,Aly & Fila Dub Mix,,,,,,,,,,,,,,,,,,
18,The Thrillseekers Aly & Fila,By Your Side,Aly & Fila Remix,,,,,,,,,,,,,,,,,,
19,Aly & Fila,Spirit Of Ka,Club Mix,,,,,,,,,,,,,,,,,,
