,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Bad Company,Grunge 3,Dieselboy & Kaos & Karl K Remix,7.94e-05,https://api.spotify.com/v1/audio-analysis/4mwhopvOd5N3e29escoynn,10B,0.394,374240.0,0.979,4mwhopvOd5N3e29escoynn,0.645,2.0,0.0826,-6.19,1.0,0.21,175.003,4.0,https://api.spotify.com/v1/tracks/4mwhopvOd5N3e29escoynn,audio_features,spotify:track:4mwhopvOd5N3e29escoynn,0.405
1,State Of Mind,Lockdown,unknown,0.000284,https://api.spotify.com/v1/audio-analysis/6saRFoN2VCIT1J6FPMfwr6,9A,0.599,309655.0,0.99,6saRFoN2VCIT1J6FPMfwr6,0.562,4.0,0.154,-0.955,0.0,0.254,174.018,4.0,https://api.spotify.com/v1/tracks/6saRFoN2VCIT1J6FPMfwr6,audio_features,spotify:track:6saRFoN2VCIT1J6FPMfwr6,0.037
2,Proxima,Here We Go,unknown,0.00145,https://api.spotify.com/v1/audio-analysis/42ZYcaW7GAX08PN7l8cQkn,3B,0.276,342456.0,0.991,42ZYcaW7GAX08PN7l8cQkn,0.911,1.0,0.752,-1.972,1.0,0.185,171.034,4.0,https://api.spotify.com/v1/tracks/42ZYcaW7GAX08PN7l8cQkn,audio_features,spotify:track:42ZYcaW7GAX08PN7l8cQkn,0.34
3,Signs,Savage,unknown,0.11,https://api.spotify.com/v1/audio-analysis/4HnVBpONF96iEOvoVjjSEy,3A,0.608,312558.0,0.999,4HnVBpONF96iEOvoVjjSEy,0.00238,10.0,0.147,-0.746,0.0,0.522,171.921,4.0,https://api.spotify.com/v1/tracks/4HnVBpONF96iEOvoVjjSEy,audio_features,spotify:track:4HnVBpONF96iEOvoVjjSEy,0.0384
4,"Gridlok,Prolix",Membrane,VIP,5.8e-05,https://api.spotify.com/v1/audio-analysis/0kUQ1CYc6dPg3bxKAyYxQB,4B,0.689,254672.0,0.583,0kUQ1CYc6dPg3bxKAyYxQB,0.846,8.0,0.087,-4.871,1.0,0.16,174.087,4.0,https://api.spotify.com/v1/tracks/0kUQ1CYc6dPg3bxKAyYxQB,audio_features,spotify:track:0kUQ1CYc6dPg3bxKAyYxQB,0.233
5,Pendulum,Hold Your Colour,Noisia Remix,0.0485,https://api.spotify.com/v1/audio-analysis/7LUo3H3NYUjKhTRgYnd7fC,8B,0.264,322937.0,0.846,7LUo3H3NYUjKhTRgYnd7fC,0.00115,0.0,0.147,-2.671,1.0,0.19,173.248,4.0,https://api.spotify.com/v1/tracks/7LUo3H3NYUjKhTRgYnd7fC,audio_features,spotify:track:7LUo3H3NYUjKhTRgYnd7fC,0.0665
6,"The Prototypes,Prolix",Enter The Void,unknown,0.000329,https://api.spotify.com/v1/audio-analysis/0S1v2nzgCv4YzYT7HHGSRa,10B,0.411,321379.0,0.977,0S1v2nzgCv4YzYT7HHGSRa,0.308,2.0,0.155,-1.88,1.0,0.483,174.081,4.0,https://api.spotify.com/v1/tracks/0S1v2nzgCv4YzYT7HHGSRa,audio_features,spotify:track:0S1v2nzgCv4YzYT7HHGSRa,0.0614
7,State Of Mind,Writhe,unknown,0.000315,https://api.spotify.com/v1/audio-analysis/5FjRf7TH3qRj911fJiTBJM,9B,0.637,305058.0,0.866,5FjRf7TH3qRj911fJiTBJM,0.516,7.0,0.339,-2.114,1.0,0.248,172.107,4.0,https://api.spotify.com/v1/tracks/5FjRf7TH3qRj911fJiTBJM,audio_features,spotify:track:5FjRf7TH3qRj911fJiTBJM,0.114
8,Solar,Contact,unknown,0.0051,https://api.spotify.com/v1/audio-analysis/11biWC8vjRBhcPs43YW02l,6A,0.346,270277.0,0.969,11biWC8vjRBhcPs43YW02l,0.852,7.0,0.0746,-2.711,0.0,0.393,173.621,4.0,https://api.spotify.com/v1/tracks/11biWC8vjRBhcPs43YW02l,audio_features,spotify:track:11biWC8vjRBhcPs43YW02l,0.0542
9,Prolix,Slob,unknown,0.000161,https://api.spotify.com/v1/audio-analysis/5t8sflMHpuxm0IxSXahbX1,10B,0.459,205517.0,0.96,5t8sflMHpuxm0IxSXahbX1,0.437,2.0,0.114,-0.829,1.0,0.143,174.173,4.0,https://api.spotify.com/v1/tracks/5t8sflMHpuxm0IxSXahbX1,audio_features,spotify:track:5t8sflMHpuxm0IxSXahbX1,0.436
