,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Don Diablo   Emeli Sandé Gucci Mane, Survive ,VIP Mix,0.732,https://api.spotify.com/v1/audio-analysis/0ZK4SbP0mgjTlvLiSBbhsd,3A,0.652,189515.0,0.806,0ZK4SbP0mgjTlvLiSBbhsd,1.01e-05,10.0,0.11,-5.546,0.0,0.151,99.907,4.0,https://api.spotify.com/v1/tracks/0ZK4SbP0mgjTlvLiSBbhsd,audio_features,spotify:track:0ZK4SbP0mgjTlvLiSBbhsd,0.357
1,Don Diablo Emeni   Stadiumx BISHØP, Fallen Universe ,Don Diablo ReHex,,,,,,,,,,,,,,,,,,,
2,Don Diablo   Emeni, Universe  ,unknown,0.00347,https://api.spotify.com/v1/audio-analysis/627WIHxQnvOQIGazjxY66O,9A,0.578,179440.0,0.982,627WIHxQnvOQIGazjxY66O,0.0244,4.0,0.335,-2.536,0.0,0.112,126.052,4.0,https://api.spotify.com/v1/tracks/627WIHxQnvOQIGazjxY66O,audio_features,spotify:track:627WIHxQnvOQIGazjxY66O,0.264
3,Stadiumx   BISHØP, The Fall  ,unknown,0.0271,https://api.spotify.com/v1/audio-analysis/7hLrx5TLPUWjLa0YGDnPrG,3A,0.49,192435.0,0.94,7hLrx5TLPUWjLa0YGDnPrG,0.0486,10.0,0.0645,-4.237,0.0,0.159,124.896,4.0,https://api.spotify.com/v1/tracks/7hLrx5TLPUWjLa0YGDnPrG,audio_features,spotify:track:7hLrx5TLPUWjLa0YGDnPrG,0.125
4,Jordan Jay, ID  ,unknown,0.0256,https://api.spotify.com/v1/audio-analysis/71koLrlSzN8oY1qVIMjqf3,9A,0.337,225547.0,0.779,71koLrlSzN8oY1qVIMjqf3,0.00135,4.0,0.117,-6.658,0.0,0.0441,118.882,4.0,https://api.spotify.com/v1/tracks/71koLrlSzN8oY1qVIMjqf3,audio_features,spotify:track:71koLrlSzN8oY1qVIMjqf3,0.331
5,Caribou, Can't Do Without You ,Lenno Remix,,,,,,,,,,,,,,,,,,,
6,JLV, ID  ,unknown,,,,,,,,,,,,,,,,,,,
7,Bicep, Opal ,Four Tet Remix,0.103,https://api.spotify.com/v1/audio-analysis/3VtTuQ6lypMoOBcm6VMzdh,8A,0.826,494257.0,0.72,3VtTuQ6lypMoOBcm6VMzdh,0.773,9.0,0.11,-9.582,0.0,0.119,127.011,4.0,https://api.spotify.com/v1/tracks/3VtTuQ6lypMoOBcm6VMzdh,audio_features,spotify:track:3VtTuQ6lypMoOBcm6VMzdh,0.287
8,Big Pineapple, Another Chance ,Keanu Silva Remix,0.277,https://api.spotify.com/v1/audio-analysis/6iwp5MfuzrhioaikN7ySnh,8A,0.715,172711.0,0.873,6iwp5MfuzrhioaikN7ySnh,0.0225,9.0,0.0776,-4.879,0.0,0.0778,126.041,4.0,https://api.spotify.com/v1/tracks/6iwp5MfuzrhioaikN7ySnh,audio_features,spotify:track:6iwp5MfuzrhioaikN7ySnh,0.339
9,MK Jonas Blue Becky Hill, Back And Forth ,Don Diablo Remix,0.0181,https://api.spotify.com/v1/audio-analysis/4M8x1TR36VMQMFMbGCdoyA,3A,0.684,196215.0,0.816,4M8x1TR36VMQMFMbGCdoyA,0.0,10.0,0.0222,-5.211,0.0,0.0322,121.993,4.0,https://api.spotify.com/v1/tracks/4M8x1TR36VMQMFMbGCdoyA,audio_features,spotify:track:4M8x1TR36VMQMFMbGCdoyA,0.702
