,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"Darren Styles,Chris Unknown",Down Like That,unknown,0.000585,https://api.spotify.com/v1/audio-analysis/0CazxM5xirGDUAUyqvkdEq,7B,0.668,196235.0,0.925,0CazxM5xirGDUAUyqvkdEq,0.0136,5.0,0.0891,-3.632,1.0,0.105,170.029,4.0,https://api.spotify.com/v1/tracks/0CazxM5xirGDUAUyqvkdEq,audio_features,spotify:track:0CazxM5xirGDUAUyqvkdEq,0.604
1,"Darren Styles,Dougal,Gammer",Party Don't Stop,unknown,0.000597,https://api.spotify.com/v1/audio-analysis/3HCWKotFdJ0X1C7wSVzfV7,7B,0.555,197647.0,0.954,3HCWKotFdJ0X1C7wSVzfV7,0.276,5.0,0.0292,-1.064,1.0,0.0849,169.956,4.0,https://api.spotify.com/v1/tracks/3HCWKotFdJ0X1C7wSVzfV7,audio_features,spotify:track:3HCWKotFdJ0X1C7wSVzfV7,0.4
2,"Gareth Emery,Krewella",Lights & Thunder,Acappella,0.00315,https://api.spotify.com/v1/audio-analysis/5CGYnsKfLzuz6UMFIqDRAL,4A,0.535,209886.0,0.934,5CGYnsKfLzuz6UMFIqDRAL,0.0038,5.0,0.136,-3.965,0.0,0.0425,128.033,4.0,https://api.spotify.com/v1/tracks/5CGYnsKfLzuz6UMFIqDRAL,audio_features,spotify:track:5CGYnsKfLzuz6UMFIqDRAL,0.201
3,Da Tweekaz,Little Red Riding Hood,Tweekacore DQ17 Edit,0.147,https://api.spotify.com/v1/audio-analysis/6aEnoOe6Y5wAtF2Ub0ER6P,8B,0.535,175636.0,0.971,6aEnoOe6Y5wAtF2Ub0ER6P,0.0703,0.0,0.341,-2.653,1.0,0.0855,150.064,4.0,https://api.spotify.com/v1/tracks/6aEnoOe6Y5wAtF2Ub0ER6P,audio_features,spotify:track:6aEnoOe6Y5wAtF2Ub0ER6P,0.257
4,"Darren Styles,Mark Breeze",You're Shining,Stonebank Remix,,,,,,,,,,,,,,,,,,,
5,Darren Styles,Suck My Dick,Working Title,,,,,,,,,,,,,,,,,,,
6,Darren Styles,Come Running,2017 Edit,0.00114,https://api.spotify.com/v1/audio-analysis/2izpxvSw1zToQlLNmWwnA0,3B,0.459,254427.0,0.94,2izpxvSw1zToQlLNmWwnA0,0.00122,1.0,0.0546,-2.673,1.0,0.0405,169.942,4.0,https://api.spotify.com/v1/tracks/2izpxvSw1zToQlLNmWwnA0,audio_features,spotify:track:2izpxvSw1zToQlLNmWwnA0,0.3
7,"Gammer,KAYZO",Frequency,Gammer Edit,,,,,,,,,,,,,,,,,,,
8,Darren Styles,The Dragon,DIRTY WORKZ,0.0548,https://api.spotify.com/v1/audio-analysis/0H0TMx7d0NrmS2HucsjK5a,6A,0.588,201240.0,0.979,0H0TMx7d0NrmS2HucsjK5a,0.747,7.0,0.0771,-3.773,0.0,0.0594,159.983,4.0,https://api.spotify.com/v1/tracks/0H0TMx7d0NrmS2HucsjK5a,audio_features,spotify:track:0H0TMx7d0NrmS2HucsjK5a,0.804
9,"Hixxy,Re",Con,Acappella,0.00215,https://api.spotify.com/v1/audio-analysis/56X18775LiLTPhaKMVTT5c,7B,0.425,264986.0,0.949,56X18775LiLTPhaKMVTT5c,1.31e-05,5.0,0.316,-3.122,1.0,0.0595,135.897,4.0,https://api.spotify.com/v1/tracks/56X18775LiLTPhaKMVTT5c,audio_features,spotify:track:56X18775LiLTPhaKMVTT5c,0.189
10,"Calvin Harris,Rihanna",This Is What You Came For,Gammer Edit,0.199,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,8A,0.63,222160.0,0.928,0azC730Exh71aQlOt9Zj3y,0.124,9.0,0.148,-2.787,0.0,0.0331,123.963,4.0,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,audio_features,spotify:track:0azC730Exh71aQlOt9Zj3y,0.465
11,"Audiofreq,Dave Revan",Infinite,HTID Australia 2017 Anthem,0.0241,https://api.spotify.com/v1/audio-analysis/1MCPRYDlzH1FzU1MvTC9kh,8A,0.441,170118.0,0.983,1MCPRYDlzH1FzU1MvTC9kh,0.000122,9.0,0.617,-0.175,0.0,0.196,170.105,4.0,https://api.spotify.com/v1/tracks/1MCPRYDlzH1FzU1MvTC9kh,audio_features,spotify:track:1MCPRYDlzH1FzU1MvTC9kh,0.211
12,"Gareth Emery,STANDERWICK,HALIENE",Saving Light,Hixxy Remix,0.000178,https://api.spotify.com/v1/audio-analysis/4H15g5YgokBTJHC4BJI51i,10B,0.247,130562.0,0.721,4H15g5YgokBTJHC4BJI51i,0.131,2.0,0.341,-11.668,1.0,0.0665,170.09,4.0,https://api.spotify.com/v1/tracks/4H15g5YgokBTJHC4BJI51i,audio_features,spotify:track:4H15g5YgokBTJHC4BJI51i,0.159
13,Audiotricz,United As One,Wish Outdoor Anthem 2015,0.00289,https://api.spotify.com/v1/audio-analysis/3tS6tpN7HtZnztprcBaXAR,10B,0.312,270792.0,0.889,3tS6tpN7HtZnztprcBaXAR,0.157,2.0,0.0546,-5.668,1.0,0.0658,144.171,4.0,https://api.spotify.com/v1/tracks/3tS6tpN7HtZnztprcBaXAR,audio_features,spotify:track:3tS6tpN7HtZnztprcBaXAR,0.209
14,Darren Styles,Switch,DIRTY WORKZ,0.00615,https://api.spotify.com/v1/audio-analysis/059sONalAfYqzIICi4Ti6R,11A,0.607,220500.0,0.823,059sONalAfYqzIICi4Ti6R,0.641,6.0,0.423,-3.984,0.0,0.0431,160.031,4.0,https://api.spotify.com/v1/tracks/059sONalAfYqzIICi4Ti6R,audio_features,spotify:track:059sONalAfYqzIICi4Ti6R,0.25
15,Ran,D,Gammer Flip,0.28,https://api.spotify.com/v1/audio-analysis/4DKgW2VzcO0aRgHbEgsWRR,11B,0.75,140867.0,0.533,4DKgW2VzcO0aRgHbEgsWRR,3.59e-05,9.0,0.174,-10.289,1.0,0.102,81.993,4.0,https://api.spotify.com/v1/tracks/4DKgW2VzcO0aRgHbEgsWRR,audio_features,spotify:track:4DKgW2VzcO0aRgHbEgsWRR,0.883
16,"Tweekacore,Darren Styles",Party Starter,Gammer Cut,,,,,,,,,,,,,,,,,,,
17,"Da Tweekaz,Darren Styles,Zedd,Foxes",Hewwego,Darren Styles Mashup,0.00105,https://api.spotify.com/v1/audio-analysis/27R40llvf0YKPQAKoS9jNz,4A,0.44,300706.0,0.94,27R40llvf0YKPQAKoS9jNz,0.91,5.0,0.0591,-2.483,0.0,0.0463,169.976,4.0,https://api.spotify.com/v1/tracks/27R40llvf0YKPQAKoS9jNz,audio_features,spotify:track:27R40llvf0YKPQAKoS9jNz,0.148
18,"Darren Styles,Mark Breeze",You're My Angel,2016 Edit,,,,,,,,,,,,,,,,,,,
19,Coldplay,Viva La Vida,Acappella,0.0941,https://api.spotify.com/v1/audio-analysis/1mea3bSkSGXuIRvnydlB5b,4A,0.485,242373.0,0.619,1mea3bSkSGXuIRvnydlB5b,3.31e-06,5.0,0.109,-7.115,0.0,0.0289,138.017,4.0,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,audio_features,spotify:track:1mea3bSkSGXuIRvnydlB5b,0.416
20,"Zero Hero,Iggy Azalea,Rita Ora",Bass Drop,Darren Styles Mashup,0.000317,https://api.spotify.com/v1/audio-analysis/5LqEK2Pm9Q6hnqwZjzjblW,2B,0.563,186000.0,0.966,5LqEK2Pm9Q6hnqwZjzjblW,0.487,6.0,0.0778,-4.235,1.0,0.166,159.994,4.0,https://api.spotify.com/v1/tracks/5LqEK2Pm9Q6hnqwZjzjblW,audio_features,spotify:track:5LqEK2Pm9Q6hnqwZjzjblW,0.275
21,Darren Styles,Us Against The World,unknown,0.0316,https://api.spotify.com/v1/audio-analysis/0xGefLIJMvEW7GkFp7KHnl,12A,0.531,271059.0,0.896,0xGefLIJMvEW7GkFp7KHnl,0.00723,1.0,0.0297,-3.297,0.0,0.107,169.955,4.0,https://api.spotify.com/v1/tracks/0xGefLIJMvEW7GkFp7KHnl,audio_features,spotify:track:0xGefLIJMvEW7GkFp7KHnl,0.34
