,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,4B Aazar, Pop Dat ,Intro Edit,0.00441,https://api.spotify.com/v1/audio-analysis/5mvXiroNv8swMbCaKOwuuN,3B,0.63,224052.0,0.851,5mvXiroNv8swMbCaKOwuuN,0.0218,1.0,0.0939,-4.61,1.0,0.319,150.054,4.0,https://api.spotify.com/v1/tracks/5mvXiroNv8swMbCaKOwuuN,audio_features,spotify:track:5mvXiroNv8swMbCaKOwuuN,0.573
1,w/ 4B, Bomboclat,unknown,0.0141,https://api.spotify.com/v1/audio-analysis/5kBkU98j9iPGSoL6qkxcnt,4B,0.845,187246.0,0.894,5kBkU98j9iPGSoL6qkxcnt,0.0253,8.0,0.095,-4.964,1.0,0.147,128.029,4.0,https://api.spotify.com/v1/tracks/5kBkU98j9iPGSoL6qkxcnt,audio_features,spotify:track:5kBkU98j9iPGSoL6qkxcnt,0.485
2,w/ Alvaro MERCER   Lil Jon, Welcome To The Jungle ,New York Version Acapella,0.00114,https://api.spotify.com/v1/audio-analysis/70H8KRBMZfiBeHHW1cWYvp,1A,0.793,370313.0,0.943,70H8KRBMZfiBeHHW1cWYvp,0.645,8.0,0.017,-3.278,0.0,0.0632,127.999,4.0,https://api.spotify.com/v1/tracks/70H8KRBMZfiBeHHW1cWYvp,audio_features,spotify:track:70H8KRBMZfiBeHHW1cWYvp,0.0644
3,w/ 4B D,John ,unknown,0.299,https://api.spotify.com/v1/audio-analysis/7LkZ7TIIDqM4Kd3LXBBC3m,9B,0.612,294133.0,0.781,7LkZ7TIIDqM4Kd3LXBBC3m,0.371,7.0,0.757,-10.435,1.0,0.0728,120.108,4.0,https://api.spotify.com/v1/tracks/7LkZ7TIIDqM4Kd3LXBBC3m,audio_features,spotify:track:7LkZ7TIIDqM4Kd3LXBBC3m,0.461
4,GTA, LCA ,4B Bootleg,0.00202,https://api.spotify.com/v1/audio-analysis/4T4LwZQGoZlqNGyaod2piF,2A,0.774,243702.0,0.87,4T4LwZQGoZlqNGyaod2piF,0.141,3.0,0.117,-2.994,0.0,0.204,130.01,4.0,https://api.spotify.com/v1/tracks/4T4LwZQGoZlqNGyaod2piF,audio_features,spotify:track:4T4LwZQGoZlqNGyaod2piF,0.59
5,4B   Bunji Garlin, Carnival,unknown,0.0184,https://api.spotify.com/v1/audio-analysis/6I5XwFdMO9z7NaNF475Xpd,9B,0.76,199385.0,0.959,6I5XwFdMO9z7NaNF475Xpd,0.000881,7.0,0.118,-3.423,1.0,0.0728,129.974,4.0,https://api.spotify.com/v1/tracks/6I5XwFdMO9z7NaNF475Xpd,audio_features,spotify:track:6I5XwFdMO9z7NaNF475Xpd,0.617
6,Congorock   Mr. Lexx, Babylon ,4B Remix,0.00571,https://api.spotify.com/v1/audio-analysis/7L9ZFu0Sn6D6wWGZgj4NRQ,3B,0.864,272126.0,0.728,7L9ZFu0Sn6D6wWGZgj4NRQ,0.0988,1.0,0.0656,-6.948,1.0,0.5,127.004,4.0,https://api.spotify.com/v1/tracks/7L9ZFu0Sn6D6wWGZgj4NRQ,audio_features,spotify:track:7L9ZFu0Sn6D6wWGZgj4NRQ,0.619
7,4B Duckworthsound, Bring In The Drums,unknown,0.0014,https://api.spotify.com/v1/audio-analysis/2IpmiNCTzuiqj1nuchkM9n,11A,0.625,172878.0,0.834,2IpmiNCTzuiqj1nuchkM9n,0.734,6.0,0.0851,-4.918,0.0,0.0691,150.042,4.0,https://api.spotify.com/v1/tracks/2IpmiNCTzuiqj1nuchkM9n,audio_features,spotify:track:2IpmiNCTzuiqj1nuchkM9n,0.402
8,Zomboy, Terror Squad ,Bro Safari & Ricky Remedy Remix / Cacophonic & Dimebag Edit,0.00296,https://api.spotify.com/v1/audio-analysis/3iua7Qv6SauKb6AIRErIDE,3B,0.633,257143.0,0.98,3iua7Qv6SauKb6AIRErIDE,0.036,1.0,0.844,-3.383,1.0,0.0964,140.051,4.0,https://api.spotify.com/v1/tracks/3iua7Qv6SauKb6AIRErIDE,audio_features,spotify:track:3iua7Qv6SauKb6AIRErIDE,0.567
9,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
10,Jack Ü   Bunji Garlin, Jungle Bae ,VIP,0.0304,https://api.spotify.com/v1/audio-analysis/7yJzk64ul9PFgVFUYbEzZL,10B,0.744,208125.0,0.997,7yJzk64ul9PFgVFUYbEzZL,0.00256,2.0,0.0737,-1.325,1.0,0.13,127.975,4.0,https://api.spotify.com/v1/tracks/7yJzk64ul9PFgVFUYbEzZL,audio_features,spotify:track:7yJzk64ul9PFgVFUYbEzZL,0.558
11,GTA Valentino Khan, Break Your Neck,unknown,7.47e-05,https://api.spotify.com/v1/audio-analysis/2GfSor1HN1SaA1oCDIXKtV,3B,0.6,289813.0,0.953,2GfSor1HN1SaA1oCDIXKtV,0.524,1.0,0.0399,-0.791,1.0,0.0485,130.053,4.0,https://api.spotify.com/v1/tracks/2GfSor1HN1SaA1oCDIXKtV,audio_features,spotify:track:2GfSor1HN1SaA1oCDIXKtV,0.155
12,BAILO Rodrigo Howell D,John ,unknown,0.293,https://api.spotify.com/v1/audio-analysis/6QiUHB18jADj8B43RV307z,5A,0.47,381413.0,0.657,6QiUHB18jADj8B43RV307z,0.692,0.0,0.305,-12.564,0.0,0.0466,129.891,4.0,https://api.spotify.com/v1/tracks/6QiUHB18jADj8B43RV307z,audio_features,spotify:track:6QiUHB18jADj8B43RV307z,0.618
13,Reid Stefan, Lose Control,unknown,,,,,,,,,,,,,,,,,,,
14,w/ ID, ID,unknown,0.948,https://api.spotify.com/v1/audio-analysis/2CHVX2nzAYl5omgRfAtkjC,5B,0.575,156373.0,0.125,2CHVX2nzAYl5omgRfAtkjC,0.0,3.0,0.438,-18.952,1.0,0.145,126.925,4.0,https://api.spotify.com/v1/tracks/2CHVX2nzAYl5omgRfAtkjC,audio_features,spotify:track:2CHVX2nzAYl5omgRfAtkjC,0.35
15,MERCER 4B, Bounce,unknown,4.84e-05,https://api.spotify.com/v1/audio-analysis/4K0qxNJWP5dwrRS87u3kT0,2B,0.66,275077.0,0.927,4K0qxNJWP5dwrRS87u3kT0,0.705,6.0,0.039,-5.156,1.0,0.193,129.984,4.0,https://api.spotify.com/v1/tracks/4K0qxNJWP5dwrRS87u3kT0,audio_features,spotify:track:4K0qxNJWP5dwrRS87u3kT0,0.288
16,w/ Wiwek Alvaro   MC Spyder, Boomshakatak ,VIP Mix,0.0116,https://api.spotify.com/v1/audio-analysis/7qIfr9JoP3PDiGxD4YfsXi,3A,0.775,247510.0,0.991,7qIfr9JoP3PDiGxD4YfsXi,0.357,10.0,0.484,-3.135,0.0,0.155,127.984,4.0,https://api.spotify.com/v1/tracks/7qIfr9JoP3PDiGxD4YfsXi,audio_features,spotify:track:7qIfr9JoP3PDiGxD4YfsXi,0.386
17,Alice Deejay, Better Off Alone,unknown,0.00352,https://api.spotify.com/v1/audio-analysis/45e8T07myBjutIx2xh8Kq5,1A,0.674,218493.0,0.772,45e8T07myBjutIx2xh8Kq5,0.8,8.0,0.256,-9.69,0.0,0.0659,136.969,4.0,https://api.spotify.com/v1/tracks/45e8T07myBjutIx2xh8Kq5,audio_features,spotify:track:45e8T07myBjutIx2xh8Kq5,0.762
18,w/ M3B8 Lady Sutshy, É Assim,unknown,,,,,,,,,,,,,,,,,,,
19,Future, Fu*ck Up Some Commas,unknown,,,,,,,,,,,,,,,,,,,
20,w/ Keys N Krates, Dum Dee Dum ,NGHTMRE Remix,0.0159,https://api.spotify.com/v1/audio-analysis/0r3QuDL3WkKa0LTvQyDcNb,10A,0.781,182387.0,0.854,0r3QuDL3WkKa0LTvQyDcNb,0.0493,11.0,0.15,-7.411,0.0,0.311,100.043,4.0,https://api.spotify.com/v1/tracks/0r3QuDL3WkKa0LTvQyDcNb,audio_features,spotify:track:0r3QuDL3WkKa0LTvQyDcNb,0.493
21,Keys N Krates, Dum Dee Dum ,iMarkkeyz & DJMI973 & Yung KiiDD Remix,0.0159,https://api.spotify.com/v1/audio-analysis/0r3QuDL3WkKa0LTvQyDcNb,10A,0.781,182387.0,0.854,0r3QuDL3WkKa0LTvQyDcNb,0.0493,11.0,0.15,-7.411,0.0,0.311,100.043,4.0,https://api.spotify.com/v1/tracks/0r3QuDL3WkKa0LTvQyDcNb,audio_features,spotify:track:0r3QuDL3WkKa0LTvQyDcNb,0.493
22,Yeah Yeah Yeahs, Heads Will Roll ,A-Trak Remix / Kid Kamillion Trap Edit,0.00025,https://api.spotify.com/v1/audio-analysis/18oWEPapjNt32E6sCM6VLb,1A,0.56,221000.0,0.901,18oWEPapjNt32E6sCM6VLb,0.134,8.0,0.299,-4.481,0.0,0.032,132.009,4.0,https://api.spotify.com/v1/tracks/18oWEPapjNt32E6sCM6VLb,audio_features,spotify:track:18oWEPapjNt32E6sCM6VLb,0.807
23,w/ Ookay Aazar, ID,unknown,0.000383,https://api.spotify.com/v1/audio-analysis/4AhgE3LxNm0DVoogzaqOK0,4B,0.357,91933.0,0.627,4AhgE3LxNm0DVoogzaqOK0,0.578,8.0,0.15,-11.323,1.0,0.165,91.687,4.0,https://api.spotify.com/v1/tracks/4AhgE3LxNm0DVoogzaqOK0,audio_features,spotify:track:4AhgE3LxNm0DVoogzaqOK0,0.136
24,Major Lazer, Roll The Bass,unknown,0.0254,https://api.spotify.com/v1/audio-analysis/6fiRbPIBsbg9Wj3DlFH97u,12A,0.573,226000.0,0.941,6fiRbPIBsbg9Wj3DlFH97u,0.000291,1.0,0.182,-3.593,0.0,0.0483,150.045,4.0,https://api.spotify.com/v1/tracks/6fiRbPIBsbg9Wj3DlFH97u,audio_features,spotify:track:6fiRbPIBsbg9Wj3DlFH97u,0.624
25,MadeinTYO, Uber Everywhere ,Slushii Remix,0.0542,https://api.spotify.com/v1/audio-analysis/7zBPzAjKAqQpcv8F8GCq5s,3B,0.779,153429.0,0.455,7zBPzAjKAqQpcv8F8GCq5s,0.0,1.0,0.177,-15.025,1.0,0.28,140.181,4.0,https://api.spotify.com/v1/tracks/7zBPzAjKAqQpcv8F8GCq5s,audio_features,spotify:track:7zBPzAjKAqQpcv8F8GCq5s,0.197
26,Flosstradamus   Casino, Mosh Pit,unknown,0.00558,https://api.spotify.com/v1/audio-analysis/4T7aCLHutfA22BKNgmWdaJ,10B,0.652,198720.0,0.892,4T7aCLHutfA22BKNgmWdaJ,2.72e-06,2.0,0.355,-4.653,1.0,0.0465,140.038,4.0,https://api.spotify.com/v1/tracks/4T7aCLHutfA22BKNgmWdaJ,audio_features,spotify:track:4T7aCLHutfA22BKNgmWdaJ,0.251
27,w/ Pegboard Nerds, Emoji ,Party Thieves & Dr. Fresch Remix,0.00414,https://api.spotify.com/v1/audio-analysis/1Dg7o8Wfazuy6IopD2qucO,12A,0.578,198348.0,0.975,1Dg7o8Wfazuy6IopD2qucO,0.756,1.0,0.143,-2.628,0.0,0.0508,163.059,4.0,https://api.spotify.com/v1/tracks/1Dg7o8Wfazuy6IopD2qucO,audio_features,spotify:track:1Dg7o8Wfazuy6IopD2qucO,0.407
28,Dirty Audio Rickyxsan, Gettin' That,unknown,0.000311,https://api.spotify.com/v1/audio-analysis/3kUIeYSUz7K5dvYoKbWGk4,11B,0.603,169632.0,0.988,3kUIeYSUz7K5dvYoKbWGk4,0.385,9.0,0.427,-3.055,1.0,0.188,149.991,4.0,https://api.spotify.com/v1/tracks/3kUIeYSUz7K5dvYoKbWGk4,audio_features,spotify:track:3kUIeYSUz7K5dvYoKbWGk4,0.464
29,Kanye West   TroyBoi Flosstradamus, Power Clash ,Griff Edit,,,,,,,,,,,,,,,,,,,
