,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Denis Kenzo   Sveta B., Lullaby Lonely,unknown,0.381,https://api.spotify.com/v1/audio-analysis/3cyIi4nnhw2hDyvwWmzgFb,5A,0.506,356308.0,0.886,3cyIi4nnhw2hDyvwWmzgFb,0.93,0.0,0.115,-6.763,0.0,0.213,129.994,4.0,https://api.spotify.com/v1/tracks/3cyIi4nnhw2hDyvwWmzgFb,audio_features,spotify:track:3cyIi4nnhw2hDyvwWmzgFb,0.0976
1,Andrew Rayel   Jwaydan, Until The End,unknown,0.0561,https://api.spotify.com/v1/audio-analysis/3HpXvDAYy6LnhhVz5RcceK,5A,0.551,192727.0,0.617,3HpXvDAYy6LnhhVz5RcceK,0.0,0.0,0.138,-3.611,0.0,0.0398,132.089,4.0,https://api.spotify.com/v1/tracks/3HpXvDAYy6LnhhVz5RcceK,audio_features,spotify:track:3HpXvDAYy6LnhhVz5RcceK,0.0651
2,Protoculture, Pegasus,unknown,0.00428,https://api.spotify.com/v1/audio-analysis/4dRSmzZev2U0TOV1TVEsCi,3A,0.501,199000.0,0.922,4dRSmzZev2U0TOV1TVEsCi,0.89,10.0,0.258,-4.88,0.0,0.0427,127.988,4.0,https://api.spotify.com/v1/tracks/4dRSmzZev2U0TOV1TVEsCi,audio_features,spotify:track:4dRSmzZev2U0TOV1TVEsCi,0.208
3,Gareth Emery Standerwick   HALIENE, Saving Light,unknown,0.0707,https://api.spotify.com/v1/audio-analysis/5ILu3mqn24uAxat6j9GXKV,9A,0.466,275646.0,0.93,5ILu3mqn24uAxat6j9GXKV,0.0009,4.0,0.33,-2.555,0.0,0.0627,129.99,4.0,https://api.spotify.com/v1/tracks/5ILu3mqn24uAxat6j9GXKV,audio_features,spotify:track:5ILu3mqn24uAxat6j9GXKV,0.134
4,Nic Chagall   Jonathan Mendelsohn, This Moment,unknown,0.0274,https://api.spotify.com/v1/audio-analysis/5Xyq6TeJVDxsInkBILV5AW,1B,0.529,280002.0,0.685,5Xyq6TeJVDxsInkBILV5AW,0.0591,11.0,0.0972,-5.902,1.0,0.0534,130.022,4.0,https://api.spotify.com/v1/tracks/5Xyq6TeJVDxsInkBILV5AW,audio_features,spotify:track:5Xyq6TeJVDxsInkBILV5AW,0.06
5,Armin van Buuren   Ana Criado, Suddenly Summer,unknown,0.000524,https://api.spotify.com/v1/audio-analysis/2h46kmf6QQms2HP9ezz8Rf,10A,0.562,516923.0,0.909,2h46kmf6QQms2HP9ezz8Rf,0.534,11.0,0.0836,-6.507,0.0,0.0496,129.986,4.0,https://api.spotify.com/v1/tracks/2h46kmf6QQms2HP9ezz8Rf,audio_features,spotify:track:2h46kmf6QQms2HP9ezz8Rf,0.08
6,Andy Moor Ashley Wallbridge   Meighan Nealon, Faces,unknown,0.000598,https://api.spotify.com/v1/audio-analysis/4IYwj5HR4MrIn18vfEIZOj,8A,0.511,177107.0,0.831,4IYwj5HR4MrIn18vfEIZOj,0.000731,9.0,0.376,-5.796,0.0,0.0626,130.001,4.0,https://api.spotify.com/v1/tracks/4IYwj5HR4MrIn18vfEIZOj,audio_features,spotify:track:4IYwj5HR4MrIn18vfEIZOj,0.161
7,ARTY   Tania Zygar, The Wall,unknown,0.0031,https://api.spotify.com/v1/audio-analysis/2HM5jTgWuCcdwK7U0Ej0ON,7A,0.629,323267.0,0.887,2HM5jTgWuCcdwK7U0Ej0ON,0.0526,2.0,0.273,-5.187,0.0,0.0615,129.989,4.0,https://api.spotify.com/v1/tracks/2HM5jTgWuCcdwK7U0Ej0ON,audio_features,spotify:track:2HM5jTgWuCcdwK7U0Ej0ON,0.0489
8,Cosmic Gate   Emma Hewitt, Calm Down,unknown,0.0106,https://api.spotify.com/v1/audio-analysis/4TkO6cdJ4xxRR28W4QxPEm,8B,0.339,270462.0,0.827,4TkO6cdJ4xxRR28W4QxPEm,3.51e-05,0.0,0.642,-3.972,1.0,0.0445,129.952,4.0,https://api.spotify.com/v1/tracks/4TkO6cdJ4xxRR28W4QxPEm,audio_features,spotify:track:4TkO6cdJ4xxRR28W4QxPEm,0.0828
9,Dash Berlin   Vera Ostrova, Till The Sky Falls Down,unknown,0.00522,https://api.spotify.com/v1/audio-analysis/0wZDzY0ITlFKYApsjunEDR,2A,0.663,230147.0,0.668,0wZDzY0ITlFKYApsjunEDR,0.0113,3.0,0.0689,-7.733,0.0,0.0479,131.965,4.0,https://api.spotify.com/v1/tracks/0wZDzY0ITlFKYApsjunEDR,audio_features,spotify:track:0wZDzY0ITlFKYApsjunEDR,0.451
