,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Armin van Buuren Vini Vici ALOK   Zafrir, United,unknown,0.0565,https://api.spotify.com/v1/audio-analysis/4uwfl9YcnBPFPrjtbKZhG0,3B,0.643,217391.0,0.957,4uwfl9YcnBPFPrjtbKZhG0,0.841,1.0,0.0763,-5.026,1.0,0.0892,138.073,4.0,https://api.spotify.com/v1/tracks/4uwfl9YcnBPFPrjtbKZhG0,audio_features,spotify:track:4uwfl9YcnBPFPrjtbKZhG0,0.281
1,Armin van Buuren Sunnery James Ryan Marciano, You Are Too,unknown,0.00911,https://api.spotify.com/v1/audio-analysis/0egNFEKqrGIu3tMmaNPNrT,2A,0.743,161250.0,0.9,0egNFEKqrGIu3tMmaNPNrT,0.00591,3.0,0.0371,-3.251,0.0,0.09,128.014,4.0,https://api.spotify.com/v1/tracks/0egNFEKqrGIu3tMmaNPNrT,audio_features,spotify:track:0egNFEKqrGIu3tMmaNPNrT,0.554
2,Huem, Night Drive,unknown,0.00183,https://api.spotify.com/v1/audio-analysis/4gTYyc0bMn60ApFsVo6HQT,1B,0.451,199211.0,0.806,4gTYyc0bMn60ApFsVo6HQT,0.89,11.0,0.115,-12.21,1.0,0.0496,130.036,4.0,https://api.spotify.com/v1/tracks/4gTYyc0bMn60ApFsVo6HQT,audio_features,spotify:track:4gTYyc0bMn60ApFsVo6HQT,0.286
3,Sheridan Grout Luke Anders, Bad Days ,Fahjah Remix,9.2e-05,https://api.spotify.com/v1/audio-analysis/3HSccMQD01IbZCBjOxhaeA,3B,0.474,197483.0,0.685,3HSccMQD01IbZCBjOxhaeA,8.32e-05,1.0,0.0914,-11.107,1.0,0.0534,129.962,4.0,https://api.spotify.com/v1/tracks/3HSccMQD01IbZCBjOxhaeA,audio_features,spotify:track:3HSccMQD01IbZCBjOxhaeA,0.214
4,Super8 Tab   Hero Baldwin, Burn ,Luke Bond Remix,0.0358,https://api.spotify.com/v1/audio-analysis/2b9H3rDvQOW6L1yvdRF8ay,12A,0.345,150258.0,0.864,2b9H3rDvQOW6L1yvdRF8ay,0.00647,1.0,0.258,-3.921,0.0,0.05,132.197,4.0,https://api.spotify.com/v1/tracks/2b9H3rDvQOW6L1yvdRF8ay,audio_features,spotify:track:2b9H3rDvQOW6L1yvdRF8ay,0.101
5,Sunny Lax Aneym, Counter Clockwise,unknown,0.00565,https://api.spotify.com/v1/audio-analysis/6oJg5AbyUyrVIHE8f6sjji,2B,0.561,300293.0,0.658,6oJg5AbyUyrVIHE8f6sjji,0.0154,6.0,0.0799,-8.041,1.0,0.0631,128.633,4.0,https://api.spotify.com/v1/tracks/6oJg5AbyUyrVIHE8f6sjji,audio_features,spotify:track:6oJg5AbyUyrVIHE8f6sjji,0.144
6,MaRLo   Roxanne Emery, A Thousand Seas ,Marcus Santoro Remix,0.00234,https://api.spotify.com/v1/audio-analysis/2saIm1Uxm7L3FIPIy01kB0,12B,0.427,145080.0,0.663,2saIm1Uxm7L3FIPIy01kB0,0.00118,4.0,0.331,-11.755,1.0,0.0401,130.03,3.0,https://api.spotify.com/v1/tracks/2saIm1Uxm7L3FIPIy01kB0,audio_features,spotify:track:2saIm1Uxm7L3FIPIy01kB0,0.179
7,Vigel   Cosmo Skoro, Drums,unknown,0.000349,https://api.spotify.com/v1/audio-analysis/6uv3iLZGxc3UAqUWAjPBFP,9B,0.438,211490.0,0.904,6uv3iLZGxc3UAqUWAjPBFP,0.874,7.0,0.153,-11.22,1.0,0.0443,131.992,4.0,https://api.spotify.com/v1/tracks/6uv3iLZGxc3UAqUWAjPBFP,audio_features,spotify:track:6uv3iLZGxc3UAqUWAjPBFP,0.26
8,Myon Late Night Alumni, Hearts & Silence ,Myon Club Mix,0.00683,https://api.spotify.com/v1/audio-analysis/6FZY1iTvQLq4q82nVdJPKi,12B,0.616,360000.0,0.732,6FZY1iTvQLq4q82nVdJPKi,0.0125,4.0,0.196,-11.34,1.0,0.0726,127.99,4.0,https://api.spotify.com/v1/tracks/6FZY1iTvQLq4q82nVdJPKi,audio_features,spotify:track:6FZY1iTvQLq4q82nVdJPKi,0.206
9,GXD Elle Vee, A Dream,unknown,3.22e-05,https://api.spotify.com/v1/audio-analysis/7KqBbw5OPx8LjBYO1Ycj6D,8B,0.462,205130.0,0.868,7KqBbw5OPx8LjBYO1Ycj6D,0.513,0.0,0.435,-11.764,1.0,0.0416,130.011,4.0,https://api.spotify.com/v1/tracks/7KqBbw5OPx8LjBYO1Ycj6D,audio_features,spotify:track:7KqBbw5OPx8LjBYO1Ycj6D,0.19
