,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Dario D'Attis Definition   Jinadu, Dreamcatcher,unknown,2.53e-05,https://api.spotify.com/v1/audio-analysis/74Nyyi6cgIi5iLPu3121ev,11B,0.804,444898.0,0.906,74Nyyi6cgIi5iLPu3121ev,0.319,9.0,0.147,-6.958,1.0,0.0547,123.004,4.0,https://api.spotify.com/v1/tracks/74Nyyi6cgIi5iLPu3121ev,audio_features,spotify:track:74Nyyi6cgIi5iLPu3121ev,0.65
1,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
2,Oscar House, Gorilla,unknown,0.00107,https://api.spotify.com/v1/audio-analysis/40Upkmb50tr0qvP6qHEI3g,5A,0.817,321336.0,0.649,40Upkmb50tr0qvP6qHEI3g,0.74,0.0,0.0615,-8.564,0.0,0.0947,123.991,4.0,https://api.spotify.com/v1/tracks/40Upkmb50tr0qvP6qHEI3g,audio_features,spotify:track:40Upkmb50tr0qvP6qHEI3g,0.0359
3,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
4,GUZ Ferreck Dawn, Black Cat,unknown,0.0053,https://api.spotify.com/v1/audio-analysis/05iLzzCrTYe1ZcpGs6ivW5,11B,0.825,142625.0,0.961,05iLzzCrTYe1ZcpGs6ivW5,0.556,9.0,0.0613,-5.957,1.0,0.11,123.009,4.0,https://api.spotify.com/v1/tracks/05iLzzCrTYe1ZcpGs6ivW5,audio_features,spotify:track:05iLzzCrTYe1ZcpGs6ivW5,0.531
5,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
6,Todd Terry   The Gypsymen, Babarabatiri ,David Penn Remix,0.0564,https://api.spotify.com/v1/audio-analysis/4sIQFhWHMgE4oZzEhKj5Sk,8A,0.802,402000.0,0.947,4sIQFhWHMgE4oZzEhKj5Sk,0.81,9.0,0.0725,-4.509,0.0,0.0598,124.004,4.0,https://api.spotify.com/v1/tracks/4sIQFhWHMgE4oZzEhKj5Sk,audio_features,spotify:track:4sIQFhWHMgE4oZzEhKj5Sk,0.565
7,CamelPhat, The Solution,unknown,0.0139,https://api.spotify.com/v1/audio-analysis/44C8CdnMBb5ECdDIPYoTbI,11A,0.748,436791.0,0.98,44C8CdnMBb5ECdDIPYoTbI,0.137,6.0,0.0525,-6.966,0.0,0.0722,123.999,4.0,https://api.spotify.com/v1/tracks/44C8CdnMBb5ECdDIPYoTbI,audio_features,spotify:track:44C8CdnMBb5ECdDIPYoTbI,0.715
8,MOGUAI AKA AKA, Home,unknown,0.0058,https://api.spotify.com/v1/audio-analysis/7bgV0jnM8BWfwGtCCh1H1b,12B,0.762,142927.0,0.719,7bgV0jnM8BWfwGtCCh1H1b,0.0206,4.0,0.0868,-5.696,1.0,0.0485,123.037,4.0,https://api.spotify.com/v1/tracks/7bgV0jnM8BWfwGtCCh1H1b,audio_features,spotify:track:7bgV0jnM8BWfwGtCCh1H1b,0.162
9,Oscar House, Panda,unknown,0.0403,https://api.spotify.com/v1/audio-analysis/5Ila7DXF5U8t5eaekD7okb,4B,0.817,317705.0,0.496,5Ila7DXF5U8t5eaekD7okb,0.73,8.0,0.0422,-6.681,1.0,0.0722,121.985,4.0,https://api.spotify.com/v1/tracks/5Ila7DXF5U8t5eaekD7okb,audio_features,spotify:track:5Ila7DXF5U8t5eaekD7okb,0.265
10,Billy Kenny Mija, Afterparty Planet,unknown,0.268,https://api.spotify.com/v1/audio-analysis/68cXV2njEfa1Ooz3ch5gD3,10A,0.76,205161.0,0.71,68cXV2njEfa1Ooz3ch5gD3,0.00205,11.0,0.173,-6.083,0.0,0.283,124.002,4.0,https://api.spotify.com/v1/tracks/68cXV2njEfa1Ooz3ch5gD3,audio_features,spotify:track:68cXV2njEfa1Ooz3ch5gD3,0.494
11,VALL, Kirby,unknown,0.108,https://api.spotify.com/v1/audio-analysis/7CwZ5ECjWJ9mQPIU8DnTbY,11A,0.62,238049.0,0.602,7CwZ5ECjWJ9mQPIU8DnTbY,0.859,6.0,0.607,-10.048,0.0,0.072,123.087,4.0,https://api.spotify.com/v1/tracks/7CwZ5ECjWJ9mQPIU8DnTbY,audio_features,spotify:track:7CwZ5ECjWJ9mQPIU8DnTbY,0.0562
12,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
13,VALL, The Mothership,unknown,0.0169,https://api.spotify.com/v1/audio-analysis/6UK7cr7oA9ccMBgtsPcaO5,6A,0.703,420000.0,0.485,6UK7cr7oA9ccMBgtsPcaO5,0.719,7.0,0.0434,-12.211,0.0,0.0413,123.99,4.0,https://api.spotify.com/v1/tracks/6UK7cr7oA9ccMBgtsPcaO5,audio_features,spotify:track:6UK7cr7oA9ccMBgtsPcaO5,0.0472
14,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
15,AKA AKA Thalstroem, What Matters ,Tube & Berger Remix,6.23e-05,https://api.spotify.com/v1/audio-analysis/1nrulKvbZsQuFhlp8NSM47,9A,0.896,414720.0,0.769,1nrulKvbZsQuFhlp8NSM47,0.878,4.0,0.326,-7.94,0.0,0.0544,125.004,4.0,https://api.spotify.com/v1/tracks/1nrulKvbZsQuFhlp8NSM47,audio_features,spotify:track:1nrulKvbZsQuFhlp8NSM47,0.801
16,Kölsch, Grey,unknown,0.053,https://api.spotify.com/v1/audio-analysis/1tNxprI7wf87blRuXUyEvC,10A,0.833,293579.0,0.582,1tNxprI7wf87blRuXUyEvC,0.0577,11.0,0.108,-6.987,0.0,0.0659,125.026,4.0,https://api.spotify.com/v1/tracks/1tNxprI7wf87blRuXUyEvC,audio_features,spotify:track:1tNxprI7wf87blRuXUyEvC,0.209
17,AKA AKA Thalstroem, First Contact,unknown,0.0568,https://api.spotify.com/v1/audio-analysis/2bp4V5tZxlpw9VE1HhjHWV,8A,0.806,393171.0,0.648,2bp4V5tZxlpw9VE1HhjHWV,0.863,9.0,0.143,-8.548,0.0,0.0515,123.016,4.0,https://api.spotify.com/v1/tracks/2bp4V5tZxlpw9VE1HhjHWV,audio_features,spotify:track:2bp4V5tZxlpw9VE1HhjHWV,0.288
18,Da Hool, Meet Her At The Love Parade ,TV Rock Remix,0.00353,https://api.spotify.com/v1/audio-analysis/0J7PwnJMg2I2fXfOEGSgMC,10B,0.811,373133.0,0.743,0J7PwnJMg2I2fXfOEGSgMC,0.907,2.0,0.0954,-7.947,1.0,0.0546,133.249,4.0,https://api.spotify.com/v1/tracks/0J7PwnJMg2I2fXfOEGSgMC,audio_features,spotify:track:0J7PwnJMg2I2fXfOEGSgMC,0.248
19,Joachim Pastor   Florence Bird, Wayfaring Stranger ,AKA AKA & Thalstroem Remix,0.0231,https://api.spotify.com/v1/audio-analysis/3XljlEIDhDNh3521mJJV4V,8B,0.78,393381.0,0.516,3XljlEIDhDNh3521mJJV4V,0.744,0.0,0.0936,-7.132,1.0,0.0391,123.999,4.0,https://api.spotify.com/v1/tracks/3XljlEIDhDNh3521mJJV4V,audio_features,spotify:track:3XljlEIDhDNh3521mJJV4V,0.542
