,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Grum, Shout ,Extended Mix,0.000557,https://api.spotify.com/v1/audio-analysis/4iEsD300EN2jj2SC9SAnjf,9B,0.642,325619.0,0.89,4iEsD300EN2jj2SC9SAnjf,0.583,7.0,0.0471,-6.299,1.0,0.0599,126.002,4.0,https://api.spotify.com/v1/tracks/4iEsD300EN2jj2SC9SAnjf,audio_features,spotify:track:4iEsD300EN2jj2SC9SAnjf,0.341
1,Fatum, Chocolate ,Extended Mix,0.000936,https://api.spotify.com/v1/audio-analysis/0wVRTnlfV8xLu87DdO2PWR,9B,0.586,302857.0,0.883,0wVRTnlfV8xLu87DdO2PWR,0.862,7.0,0.0523,-6.098,1.0,0.0503,125.986,4.0,https://api.spotify.com/v1/tracks/0wVRTnlfV8xLu87DdO2PWR,audio_features,spotify:track:0wVRTnlfV8xLu87DdO2PWR,0.0901
2,Above Beyond   Zoë Johnston, Always ,Club Mix,0.0073,https://api.spotify.com/v1/audio-analysis/1eOFIbrPbWFOXzvt0hfUiV,9B,0.567,377918.0,0.706,1eOFIbrPbWFOXzvt0hfUiV,0.652,7.0,0.145,-11.269,1.0,0.0352,126.989,4.0,https://api.spotify.com/v1/tracks/1eOFIbrPbWFOXzvt0hfUiV,audio_features,spotify:track:1eOFIbrPbWFOXzvt0hfUiV,0.071
3,Above Beyond   Alex Vargas, Sticky Fingers,unknown,0.0893,https://api.spotify.com/v1/audio-analysis/4TTdxJoLQi5JJm2WMXmeAg,4B,0.532,209987.0,0.708,4TTdxJoLQi5JJm2WMXmeAg,0.00989,8.0,0.11,-6.538,1.0,0.195,125.915,4.0,https://api.spotify.com/v1/tracks/4TTdxJoLQi5JJm2WMXmeAg,audio_features,spotify:track:4TTdxJoLQi5JJm2WMXmeAg,0.18
4,Gabriel Dresden   Sub Teal, Only Road ,Cosmic Gate Remix,0.00409,https://api.spotify.com/v1/audio-analysis/30r107ODEMiFUEpnFHSGW7,9B,0.495,225000.0,0.866,30r107ODEMiFUEpnFHSGW7,0.184,7.0,0.13,-5.383,1.0,0.0662,127.995,4.0,https://api.spotify.com/v1/tracks/30r107ODEMiFUEpnFHSGW7,audio_features,spotify:track:30r107ODEMiFUEpnFHSGW7,0.146
5,Virtual Self, Ghost Voices,unknown,0.00137,https://api.spotify.com/v1/audio-analysis/7ipGvvE90ROUNFw7ZBXBTO,10A,0.311,266365.0,0.857,7ipGvvE90ROUNFw7ZBXBTO,0.805,11.0,0.307,-8.332,0.0,0.0396,119.96,4.0,https://api.spotify.com/v1/tracks/7ipGvvE90ROUNFw7ZBXBTO,audio_features,spotify:track:7ipGvvE90ROUNFw7ZBXBTO,0.358
6,Above Beyond   Justine Suissa, Alright Now ,Above & Beyond Club Mix,0.0119,https://api.spotify.com/v1/audio-analysis/6OgWMSc22FiTrj9ZuIa9RB,11B,0.481,245625.0,0.759,6OgWMSc22FiTrj9ZuIa9RB,0.00784,9.0,0.67,-6.627,1.0,0.0479,127.976,4.0,https://api.spotify.com/v1/tracks/6OgWMSc22FiTrj9ZuIa9RB,audio_features,spotify:track:6OgWMSc22FiTrj9ZuIa9RB,0.121
7,Above Beyond, Red Rocks ,Extended Mix,0.00275,https://api.spotify.com/v1/audio-analysis/62AWQLF3BJiV64mlbDsbhM,10B,0.624,466875.0,0.669,62AWQLF3BJiV64mlbDsbhM,0.788,2.0,0.62,-6.382,1.0,0.0374,128.012,4.0,https://api.spotify.com/v1/tracks/62AWQLF3BJiV64mlbDsbhM,audio_features,spotify:track:62AWQLF3BJiV64mlbDsbhM,0.149
8,Above Beyond   Richard Bedford, Northern Soul ,Extended Mix,0.00759,https://api.spotify.com/v1/audio-analysis/7yzNpXnAFfqFkeOuEF3CUV,4A,0.707,435938.0,0.344,7yzNpXnAFfqFkeOuEF3CUV,0.000772,5.0,0.0532,-12.968,0.0,0.0511,128.019,4.0,https://api.spotify.com/v1/tracks/7yzNpXnAFfqFkeOuEF3CUV,audio_features,spotify:track:7yzNpXnAFfqFkeOuEF3CUV,0.154
9,Above Beyond   Zoë Johnston, My Own Hymn ,ALPHA 9 Remix,0.104,https://api.spotify.com/v1/audio-analysis/5olBxXW4nmHm54xh1nolCM,8A,0.632,228640.0,0.54,5olBxXW4nmHm54xh1nolCM,0.0241,9.0,0.128,-10.968,0.0,0.0335,127.968,4.0,https://api.spotify.com/v1/tracks/5olBxXW4nmHm54xh1nolCM,audio_features,spotify:track:5olBxXW4nmHm54xh1nolCM,0.154
10,Above Beyond pres. OceanLab, Satellite ,Ilan Bluestone Remix,0.0135,https://api.spotify.com/v1/audio-analysis/29xhHp7I079jDveVcoShIk,8A,0.505,209653.0,0.945,29xhHp7I079jDveVcoShIk,7.89e-05,9.0,0.0589,-5.712,0.0,0.071,139.975,4.0,https://api.spotify.com/v1/tracks/29xhHp7I079jDveVcoShIk,audio_features,spotify:track:29xhHp7I079jDveVcoShIk,0.208
11,Oliver Smith   Amy J Price, Lovingly ,Extended Mix,0.113,https://api.spotify.com/v1/audio-analysis/4D6hG0AHgyvN7Einfs72Vz,10A,0.579,195469.0,0.446,4D6hG0AHgyvN7Einfs72Vz,0.00295,11.0,0.175,-9.451,0.0,0.0341,128.025,4.0,https://api.spotify.com/v1/tracks/4D6hG0AHgyvN7Einfs72Vz,audio_features,spotify:track:4D6hG0AHgyvN7Einfs72Vz,0.244
12,Above Beyond   Richard Bedford, Happiness Amplified ,Club Mix,0.00134,https://api.spotify.com/v1/audio-analysis/570tjVx6HbL8tuGtFMHXac,3B,0.544,299200.0,0.717,570tjVx6HbL8tuGtFMHXac,0.0248,1.0,0.155,-10.697,1.0,0.0442,128.275,4.0,https://api.spotify.com/v1/tracks/570tjVx6HbL8tuGtFMHXac,audio_features,spotify:track:570tjVx6HbL8tuGtFMHXac,0.0943
13,Above Beyond, Is It Love? ,1001,0.202,https://api.spotify.com/v1/audio-analysis/5atCrwrn8zo69is3zRIM3Z,11A,0.657,344027.0,0.486,5atCrwrn8zo69is3zRIM3Z,0.916,6.0,0.0795,-12.415,0.0,0.0344,124.008,4.0,https://api.spotify.com/v1/tracks/5atCrwrn8zo69is3zRIM3Z,audio_features,spotify:track:5atCrwrn8zo69is3zRIM3Z,0.32
14,M.I.K.E. pres. Push, Strange World ,Andrew Bayer Remix,0.000296,https://api.spotify.com/v1/audio-analysis/5bRiDL7abJrHNWKbIeOjiJ,10A,0.488,173143.0,0.959,5bRiDL7abJrHNWKbIeOjiJ,0.954,11.0,0.351,-6.606,0.0,0.0511,140.039,4.0,https://api.spotify.com/v1/tracks/5bRiDL7abJrHNWKbIeOjiJ,audio_features,spotify:track:5bRiDL7abJrHNWKbIeOjiJ,0.476
15,Above Beyond   Richard Bedford, On My Way To Mariana Heaven ,Above & Beyond Mashup,0.000954,https://api.spotify.com/v1/audio-analysis/3ZQzNC8R0U3fGOOyLWzQby,3A,0.504,257920.0,0.929,3ZQzNC8R0U3fGOOyLWzQby,0.0997,10.0,0.11,-6.52,0.0,0.0559,130.31,4.0,https://api.spotify.com/v1/tracks/3ZQzNC8R0U3fGOOyLWzQby,audio_features,spotify:track:3ZQzNC8R0U3fGOOyLWzQby,0.111
16,Above Beyond   ARTY   Zoë Johnston, You Got To Believe,unknown,0.000749,https://api.spotify.com/v1/audio-analysis/4TgDe2O96iuzIAc7zeYloE,5B,0.579,280615.0,0.747,4TgDe2O96iuzIAc7zeYloE,0.0118,3.0,0.122,-7.675,1.0,0.0387,129.963,4.0,https://api.spotify.com/v1/tracks/4TgDe2O96iuzIAc7zeYloE,audio_features,spotify:track:4TgDe2O96iuzIAc7zeYloE,0.317
17,Above Beyond   Richard Bedford, Sun & Moon ,Acoustic Outro w/ Extra Ohh's Edit,0.0216,https://api.spotify.com/v1/audio-analysis/2CG1FmeprsyjgHIPNMYCf4,11A,0.691,326267.0,0.522,2CG1FmeprsyjgHIPNMYCf4,0.0141,6.0,0.125,-8.024,0.0,0.0908,133.995,4.0,https://api.spotify.com/v1/tracks/2CG1FmeprsyjgHIPNMYCf4,audio_features,spotify:track:2CG1FmeprsyjgHIPNMYCf4,0.187
