,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Adventure Club   ELEA, Dreams ,Intro Edit,0.261,https://api.spotify.com/v1/audio-analysis/2rmUQlv2HYzvLpU88PQ9qB,9B,0.756,210364.0,0.81,2rmUQlv2HYzvLpU88PQ9qB,0.0,7.0,0.241,-4.446,1.0,0.161,94.981,4.0,https://api.spotify.com/v1/tracks/2rmUQlv2HYzvLpU88PQ9qB,audio_features,spotify:track:2rmUQlv2HYzvLpU88PQ9qB,0.227
1,w/ Adventure Club   ELEA, Dreams ,Cahto Remix,0.229,https://api.spotify.com/v1/audio-analysis/6EnNv3Rl7q60zqz36rH30o,7A,0.44,420106.0,0.493,6EnNv3Rl7q60zqz36rH30o,0.923,2.0,0.11,-7.846,0.0,0.0318,143.953,4.0,https://api.spotify.com/v1/tracks/6EnNv3Rl7q60zqz36rH30o,audio_features,spotify:track:6EnNv3Rl7q60zqz36rH30o,0.237
2,Porter Robinson, Sad Machine ,Anamanaguchi Remix,0.0344,https://api.spotify.com/v1/audio-analysis/1JY6B9ILvmRla2IKKRZvnH,5A,0.475,350690.0,0.703,1JY6B9ILvmRla2IKKRZvnH,1.96e-06,0.0,0.0723,-4.9,0.0,0.034,88.518,4.0,https://api.spotify.com/v1/tracks/1JY6B9ILvmRla2IKKRZvnH,audio_features,spotify:track:1JY6B9ILvmRla2IKKRZvnH,0.299
3,w/ The Chainsmokers   Rozes, Roses ,Acapella,0.779,https://api.spotify.com/v1/audio-analysis/3aP3bkWVo8oTWMBHrV6pyl,10B,0.551,243080.0,0.224,3aP3bkWVo8oTWMBHrV6pyl,0.198,2.0,0.11,-15.225,1.0,0.0247,76.019,4.0,https://api.spotify.com/v1/tracks/3aP3bkWVo8oTWMBHrV6pyl,audio_features,spotify:track:3aP3bkWVo8oTWMBHrV6pyl,0.132
4,w/ Justin Bieber, Love Yourself ,Acapella,0.144,https://api.spotify.com/v1/audio-analysis/60UtyPW1P5QPMG07Srne1D,10B,0.711,259080.0,0.703,60UtyPW1P5QPMG07Srne1D,0.968,2.0,0.0857,-8.046,1.0,0.0953,180.006,4.0,https://api.spotify.com/v1/tracks/60UtyPW1P5QPMG07Srne1D,audio_features,spotify:track:60UtyPW1P5QPMG07Srne1D,0.421
5,Bryson Tiller, Exchange,unknown,0.108,https://api.spotify.com/v1/audio-analysis/43PuMrRfbyyuz4QpZ3oAwN,2B,0.53,194613.0,0.433,43PuMrRfbyyuz4QpZ3oAwN,0.0,6.0,0.135,-10.598,1.0,0.185,160.14,4.0,https://api.spotify.com/v1/tracks/43PuMrRfbyyuz4QpZ3oAwN,audio_features,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,0.274
6,w/ Havok Roth TYNVN, Vessel,unknown,0.00382,https://api.spotify.com/v1/audio-analysis/78nEKvVVkKTZnSWeZiz2jf,12A,0.575,213659.0,0.992,78nEKvVVkKTZnSWeZiz2jf,0.579,1.0,0.234,-1.709,0.0,0.177,164.071,4.0,https://api.spotify.com/v1/tracks/78nEKvVVkKTZnSWeZiz2jf,audio_features,spotify:track:78nEKvVVkKTZnSWeZiz2jf,0.521
7,DISKORD, Ur Luv,unknown,0.0372,https://api.spotify.com/v1/audio-analysis/5WR3iujt16qxrJ4OmlrMRZ,11A,0.448,207000.0,0.961,5WR3iujt16qxrJ4OmlrMRZ,0.788,6.0,0.2,-3.37,0.0,0.189,159.997,4.0,https://api.spotify.com/v1/tracks/5WR3iujt16qxrJ4OmlrMRZ,audio_features,spotify:track:5WR3iujt16qxrJ4OmlrMRZ,0.277
8,w/ Excision Dion Timmer, Final Boss,unknown,0.000424,https://api.spotify.com/v1/audio-analysis/4mcCRt9T9mW5MFldNdyF1I,4B,0.512,204000.0,0.975,4mcCRt9T9mW5MFldNdyF1I,0.685,8.0,0.0745,-3.481,1.0,0.0768,160.078,4.0,https://api.spotify.com/v1/tracks/4mcCRt9T9mW5MFldNdyF1I,audio_features,spotify:track:4mcCRt9T9mW5MFldNdyF1I,0.0391
9,w/ Cola Splash, Curry Drinker ,Djemba Djemba Remix,0.00277,https://api.spotify.com/v1/audio-analysis/4a6QXWDlY0OKfZdtdoIgWt,5A,0.377,265846.0,0.942,4a6QXWDlY0OKfZdtdoIgWt,6.58e-05,0.0,0.0956,-5.701,0.0,0.142,160.067,4.0,https://api.spotify.com/v1/tracks/4a6QXWDlY0OKfZdtdoIgWt,audio_features,spotify:track:4a6QXWDlY0OKfZdtdoIgWt,0.238
10,KRNE Jupe, Quartzz,unknown,,,,,,,,,,,,,,,,,,,
11,w/ Sigma, Nobody To Love ,Acapella,0.000502,https://api.spotify.com/v1/audio-analysis/5dzHlLBWdxdQySpvZLHcu9,4B,0.516,189667.0,0.908,5dzHlLBWdxdQySpvZLHcu9,1.62e-05,8.0,0.198,-3.312,1.0,0.0372,87.508,4.0,https://api.spotify.com/v1/tracks/5dzHlLBWdxdQySpvZLHcu9,audio_features,spotify:track:5dzHlLBWdxdQySpvZLHcu9,0.23
12,Tiësto The Chainsmokers   Kanye West Sultan + Shepard, Split Lockdown ,Fedde Le Grand Mashup,,,,,,,,,,,,,,,,,,,
13,w/ Chardy Kronic, S.W.A.T. Team ,Everybody Fucking *Beep* Jump Acapella,0.00718,https://api.spotify.com/v1/audio-analysis/5Itu9Nu2YJsj1GSssjRO6Y,9B,0.599,312000.0,0.981,5Itu9Nu2YJsj1GSssjRO6Y,0.844,7.0,0.814,-3.155,1.0,0.0824,128.027,4.0,https://api.spotify.com/v1/tracks/5Itu9Nu2YJsj1GSssjRO6Y,audio_features,spotify:track:5Itu9Nu2YJsj1GSssjRO6Y,0.445
14,w/ Flux Pavilion, I Can't Stop,unknown,0.621,https://api.spotify.com/v1/audio-analysis/6dbXPwUf90SECK0WYUb5Zi,10B,0.704,236490.0,0.384,6dbXPwUf90SECK0WYUb5Zi,0.0,2.0,0.109,-10.767,1.0,0.0383,109.74,4.0,https://api.spotify.com/v1/tracks/6dbXPwUf90SECK0WYUb5Zi,audio_features,spotify:track:6dbXPwUf90SECK0WYUb5Zi,0.475
15,GTA   Sam Bruno, Red Lips ,Skrillex Remix,0.000518,https://api.spotify.com/v1/audio-analysis/6mNMp0g3zkg1K7uBpn07zl,4B,0.528,223448.0,0.983,6mNMp0g3zkg1K7uBpn07zl,0.000324,8.0,0.18,-3.133,1.0,0.146,144.981,4.0,https://api.spotify.com/v1/tracks/6mNMp0g3zkg1K7uBpn07zl,audio_features,spotify:track:6mNMp0g3zkg1K7uBpn07zl,0.141
16,w/ Zeds Dead Hunter Siegel, Loud ,Acapella,0.0113,https://api.spotify.com/v1/audio-analysis/2ravugccZUnUl9s9lDCH6P,9B,0.74,206893.0,0.784,2ravugccZUnUl9s9lDCH6P,0.0,7.0,0.0907,-4.523,1.0,0.041,104.964,4.0,https://api.spotify.com/v1/tracks/2ravugccZUnUl9s9lDCH6P,audio_features,spotify:track:2ravugccZUnUl9s9lDCH6P,0.782
17,w/ Snails, Murda Sound,unknown,0.00122,https://api.spotify.com/v1/audio-analysis/5vrn0AJg6aN71GLrCiR5zO,9B,0.652,158400.0,0.983,5vrn0AJg6aN71GLrCiR5zO,0.136,7.0,0.129,-2.324,1.0,0.0993,149.98,4.0,https://api.spotify.com/v1/tracks/5vrn0AJg6aN71GLrCiR5zO,audio_features,spotify:track:5vrn0AJg6aN71GLrCiR5zO,0.46
18,Kill The Noise, FUK UR MGMT ,Snails Remix,0.00601,https://api.spotify.com/v1/audio-analysis/7nQi1rXRF3zjXQIho68MIN,4B,0.621,147200.0,0.998,7nQi1rXRF3zjXQIho68MIN,1.52e-06,8.0,0.644,-1.82,1.0,0.353,149.852,4.0,https://api.spotify.com/v1/tracks/7nQi1rXRF3zjXQIho68MIN,audio_features,spotify:track:7nQi1rXRF3zjXQIho68MIN,0.366
19,Getter, Rip N Dip,unknown,0.000969,https://api.spotify.com/v1/audio-analysis/0f2NObTVXsCN0fwqC32NvD,4A,0.78,217600.0,0.998,0f2NObTVXsCN0fwqC32NvD,0.89,5.0,0.351,-1.467,0.0,0.271,112.546,3.0,https://api.spotify.com/v1/tracks/0f2NObTVXsCN0fwqC32NvD,audio_features,spotify:track:0f2NObTVXsCN0fwqC32NvD,0.0314
20,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
21,w/ Wolvsun, Granada,unknown,,,,,,,,,,,,,,,,,,,
22,Dazkol, Vendetta,unknown,0.00671,https://api.spotify.com/v1/audio-analysis/5ZYcWJR06TAfOg1lj3438a,4A,0.606,256000.0,0.975,5ZYcWJR06TAfOg1lj3438a,0.0026,5.0,0.12,-3.385,0.0,0.0533,150.027,4.0,https://api.spotify.com/v1/tracks/5ZYcWJR06TAfOg1lj3438a,audio_features,spotify:track:5ZYcWJR06TAfOg1lj3438a,0.421
23,w/ Valentino Khan, Deep Down Low ,Wavedash Remix,0.00371,https://api.spotify.com/v1/audio-analysis/46rZgRYU1H5Xnv0n75OGis,4A,0.794,190476.0,0.896,46rZgRYU1H5Xnv0n75OGis,0.615,5.0,0.0876,-1.514,0.0,0.0677,125.999,4.0,https://api.spotify.com/v1/tracks/46rZgRYU1H5Xnv0n75OGis,audio_features,spotify:track:46rZgRYU1H5Xnv0n75OGis,0.5
24,Spag Heddy, Oh My,unknown,0.000417,https://api.spotify.com/v1/audio-analysis/6kjM8ywD4dRWCT5QF7EP5L,3B,0.588,203940.0,0.97,6kjM8ywD4dRWCT5QF7EP5L,0.51,1.0,0.953,-2.911,1.0,0.194,145.014,4.0,https://api.spotify.com/v1/tracks/6kjM8ywD4dRWCT5QF7EP5L,audio_features,spotify:track:6kjM8ywD4dRWCT5QF7EP5L,0.279
25,KAYZO, Whistle Wars,unknown,0.000303,https://api.spotify.com/v1/audio-analysis/5t5A0wgM4uot37SOFcksJM,10B,0.546,219200.0,0.972,5t5A0wgM4uot37SOFcksJM,0.854,2.0,0.109,-2.77,1.0,0.0939,150.013,4.0,https://api.spotify.com/v1/tracks/5t5A0wgM4uot37SOFcksJM,audio_features,spotify:track:5t5A0wgM4uot37SOFcksJM,0.293
26,Bro Safari, Follow ,Zomboy Remix,0.00417,https://api.spotify.com/v1/audio-analysis/337KbThNHTghPQrZndXEFN,11B,0.668,253200.0,0.962,337KbThNHTghPQrZndXEFN,0.0352,9.0,0.177,-1.326,1.0,0.0754,150.05,4.0,https://api.spotify.com/v1/tracks/337KbThNHTghPQrZndXEFN,audio_features,spotify:track:337KbThNHTghPQrZndXEFN,0.335
