,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Disciples, 48HRS,unknown,0.0558,https://api.spotify.com/v1/audio-analysis/2XapuT0KLcIYHMgfDdBTBE,4B,0.773,203036.0,0.728,2XapuT0KLcIYHMgfDdBTBE,0.245,8.0,0.0945,-7.334,1.0,0.057,119.97,4.0,https://api.spotify.com/v1/tracks/2XapuT0KLcIYHMgfDdBTBE,audio_features,spotify:track:2XapuT0KLcIYHMgfDdBTBE,0.482
1,Sofi Tukker   NERVO The Knocks Alisa Ueno, Best Friend ,Oliver Heldens Remix,0.0107,https://api.spotify.com/v1/audio-analysis/72KFD0CLxKVBtzN0nq42Fm,11A,0.695,205100.0,0.914,72KFD0CLxKVBtzN0nq42Fm,0.00212,6.0,0.332,-6.611,0.0,0.0534,120.995,4.0,https://api.spotify.com/v1/tracks/72KFD0CLxKVBtzN0nq42Fm,audio_features,spotify:track:72KFD0CLxKVBtzN0nq42Fm,0.289
2,StadiumX, Thinking Of You,unknown,0.0068,https://api.spotify.com/v1/audio-analysis/0K6Y5YYft5l91u1yz9fjRv,11A,0.613,176640.0,0.945,0K6Y5YYft5l91u1yz9fjRv,0.00283,6.0,0.287,-3.319,0.0,0.0775,124.991,4.0,https://api.spotify.com/v1/tracks/0K6Y5YYft5l91u1yz9fjRv,audio_features,spotify:track:0K6Y5YYft5l91u1yz9fjRv,0.676
3,Jakob Trice, Ogien,unknown,0.515,https://api.spotify.com/v1/audio-analysis/0j3WkPZPIwhHdg0kZTBXMU,11A,0.726,252222.0,0.86,0j3WkPZPIwhHdg0kZTBXMU,0.284,6.0,0.176,-6.534,0.0,0.18,124.034,4.0,https://api.spotify.com/v1/tracks/0j3WkPZPIwhHdg0kZTBXMU,audio_features,spotify:track:0j3WkPZPIwhHdg0kZTBXMU,0.464
4,MOGUAI Zonderling, Lee,unknown,0.0325,https://api.spotify.com/v1/audio-analysis/1wGu0hEQUVlG3j9qChNrJn,8A,0.724,193920.0,0.904,1wGu0hEQUVlG3j9qChNrJn,0.000356,9.0,0.103,-3.312,0.0,0.0368,125.013,4.0,https://api.spotify.com/v1/tracks/1wGu0hEQUVlG3j9qChNrJn,audio_features,spotify:track:1wGu0hEQUVlG3j9qChNrJn,0.586
5,Feenixpawl Watson, Fever,unknown,0.00909,https://api.spotify.com/v1/audio-analysis/6LtgPkmG49fs4iZTekEbka,5B,0.752,194286.0,0.898,6LtgPkmG49fs4iZTekEbka,0.55,3.0,0.0884,-3.802,1.0,0.221,125.979,4.0,https://api.spotify.com/v1/tracks/6LtgPkmG49fs4iZTekEbka,audio_features,spotify:track:6LtgPkmG49fs4iZTekEbka,0.427
6,Dr. Shiver   Jmi Sissoko, Brave Love ,Solberjum Remix,0.00287,https://api.spotify.com/v1/audio-analysis/4mPIU6c8e5wB4SNZJXBfqL,6A,0.657,207320.0,0.881,4mPIU6c8e5wB4SNZJXBfqL,5.5e-06,7.0,0.217,-4.524,0.0,0.0465,127.016,4.0,https://api.spotify.com/v1/tracks/4mPIU6c8e5wB4SNZJXBfqL,audio_features,spotify:track:4mPIU6c8e5wB4SNZJXBfqL,0.361
7,David Guetta Martin Garrix Brooks, Like I Do,unknown,0.00664,https://api.spotify.com/v1/audio-analysis/6RnkFd8Fqqgk1Uni8RgqCQ,5A,0.635,202500.0,0.9,6RnkFd8Fqqgk1Uni8RgqCQ,0.0145,0.0,0.37,-3.719,0.0,0.0377,127.978,4.0,https://api.spotify.com/v1/tracks/6RnkFd8Fqqgk1Uni8RgqCQ,audio_features,spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ,0.15
8,Dropgun, Dark Sky,unknown,0.0877,https://api.spotify.com/v1/audio-analysis/6I2YmQ9vLkT4lmxFXtcPyd,6A,0.617,152813.0,0.979,6I2YmQ9vLkT4lmxFXtcPyd,0.0683,7.0,0.229,-1.966,0.0,0.0815,127.959,4.0,https://api.spotify.com/v1/tracks/6I2YmQ9vLkT4lmxFXtcPyd,audio_features,spotify:track:6I2YmQ9vLkT4lmxFXtcPyd,0.437
9,Tom Jame We AM, Zone,unknown,0.0941,https://api.spotify.com/v1/audio-analysis/6a9j9Rz2hjm8ZznSnO6ICf,4A,0.697,170625.0,0.936,6a9j9Rz2hjm8ZznSnO6ICf,0.106,5.0,0.127,-3.936,0.0,0.0722,128.036,4.0,https://api.spotify.com/v1/tracks/6a9j9Rz2hjm8ZznSnO6ICf,audio_features,spotify:track:6a9j9Rz2hjm8ZznSnO6ICf,0.222
10,Quintino Alvaro, Dem Shots,unknown,0.0196,https://api.spotify.com/v1/audio-analysis/1xmeVbwQSWjOED2DHcFusr,6B,0.758,147187.0,0.979,1xmeVbwQSWjOED2DHcFusr,0.135,10.0,0.202,-3.916,1.0,0.0852,128.003,4.0,https://api.spotify.com/v1/tracks/1xmeVbwQSWjOED2DHcFusr,audio_features,spotify:track:1xmeVbwQSWjOED2DHcFusr,0.116
11,Ravitez   Afrojack, 2012,unknown,0.00368,https://api.spotify.com/v1/audio-analysis/6OgkigekZ6kxX2fcvivzaX,3B,0.545,174400.0,0.99,6OgkigekZ6kxX2fcvivzaX,0.738,1.0,0.283,-2.756,1.0,0.0347,127.993,4.0,https://api.spotify.com/v1/tracks/6OgkigekZ6kxX2fcvivzaX,audio_features,spotify:track:6OgkigekZ6kxX2fcvivzaX,0.142
12,Dirtcaps DJ Afrojack   Stush, Bad Company,unknown,0.00254,https://api.spotify.com/v1/audio-analysis/53mv62BIUbZqWpoTfUbFk9,8B,0.804,170182.0,0.958,53mv62BIUbZqWpoTfUbFk9,0.0017,0.0,0.0439,-2.178,1.0,0.0482,129.969,4.0,https://api.spotify.com/v1/tracks/53mv62BIUbZqWpoTfUbFk9,audio_features,spotify:track:53mv62BIUbZqWpoTfUbFk9,0.62
13,Mosimann, Babtoo,unknown,0.00546,https://api.spotify.com/v1/audio-analysis/257ucZPKKiNaTvRLk0IGDI,3B,0.791,182070.0,0.739,257ucZPKKiNaTvRLk0IGDI,0.842,1.0,0.116,-4.298,1.0,0.0918,127.943,4.0,https://api.spotify.com/v1/tracks/257ucZPKKiNaTvRLk0IGDI,audio_features,spotify:track:257ucZPKKiNaTvRLk0IGDI,0.401
14,Lost Frequencies Zonderling   David Benjamin, Crazy ,Dash Berlin Remix,0.435,https://api.spotify.com/v1/audio-analysis/64fwanXDvwmsQrLsDSVHMv,10A,0.764,153391.0,0.762,64fwanXDvwmsQrLsDSVHMv,8.3e-05,11.0,0.105,-5.092,0.0,0.125,114.966,4.0,https://api.spotify.com/v1/tracks/64fwanXDvwmsQrLsDSVHMv,audio_features,spotify:track:64fwanXDvwmsQrLsDSVHMv,0.447
15,U2, Get Out Of Your Own Way ,Afrojack Remix,0.0131,https://api.spotify.com/v1/audio-analysis/7uhEAEbq4ZVfwUrWmZ7ieU,10B,0.485,246248.0,0.751,7uhEAEbq4ZVfwUrWmZ7ieU,0.0,2.0,0.238,-5.345,1.0,0.0515,129.92,4.0,https://api.spotify.com/v1/tracks/7uhEAEbq4ZVfwUrWmZ7ieU,audio_features,spotify:track:7uhEAEbq4ZVfwUrWmZ7ieU,0.318
16,WILL K   Thayana Valle, Tasty,unknown,0.00244,https://api.spotify.com/v1/audio-analysis/5kVAp9lANGadGK1s7mxv0h,10A,0.731,202205.0,0.948,5kVAp9lANGadGK1s7mxv0h,0.756,11.0,0.129,-3.473,0.0,0.114,127.012,4.0,https://api.spotify.com/v1/tracks/5kVAp9lANGadGK1s7mxv0h,audio_features,spotify:track:5kVAp9lANGadGK1s7mxv0h,0.314
17,Afrojack   Stanaj, Bed Of Roses,unknown,0.661,https://api.spotify.com/v1/audio-analysis/0jb8yv9BI9BEOPDBXiwTnc,8B,0.534,201106.0,0.579,0jb8yv9BI9BEOPDBXiwTnc,0.0,0.0,0.524,-4.374,1.0,0.0303,136.073,4.0,https://api.spotify.com/v1/tracks/0jb8yv9BI9BEOPDBXiwTnc,audio_features,spotify:track:0jb8yv9BI9BEOPDBXiwTnc,0.342
18,Justin Prime NIVIRO   Kimberly Fransens, Unstoppable,unknown,0.0175,https://api.spotify.com/v1/audio-analysis/6bagB4DJt687ATB0BWuzeC,10A,0.552,171490.0,0.762,6bagB4DJt687ATB0BWuzeC,1.67e-06,11.0,0.1,-4.82,0.0,0.0607,137.988,4.0,https://api.spotify.com/v1/tracks/6bagB4DJt687ATB0BWuzeC,audio_features,spotify:track:6bagB4DJt687ATB0BWuzeC,0.397
19,Flosstradamus 24hrs, Too Much,unknown,,,,,,,,,,,,,,,,,,,
20,NERVO Wolfpack, Like Air ,EXODUS & Tha Boogie Bandit Remix,0.047,https://api.spotify.com/v1/audio-analysis/3WAplwps4oUzJ3hBfOefnB,8B,0.568,249453.0,0.895,3WAplwps4oUzJ3hBfOefnB,2.28e-05,0.0,0.343,-3.403,1.0,0.0678,149.887,4.0,https://api.spotify.com/v1/tracks/3WAplwps4oUzJ3hBfOefnB,audio_features,spotify:track:3WAplwps4oUzJ3hBfOefnB,0.23
21,Kanye West   T,Pain ,DJ DStar & Rick Wonder Remix,0.0939,https://api.spotify.com/v1/audio-analysis/78rEEd87kSo5nfvs4l9Bze,3B,0.738,226116.0,0.786,78rEEd87kSo5nfvs4l9Bze,0.000343,1.0,0.0707,-9.022,1.0,0.126,80.506,4.0,https://api.spotify.com/v1/tracks/78rEEd87kSo5nfvs4l9Bze,audio_features,spotify:track:78rEEd87kSo5nfvs4l9Bze,0.516
