,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Alison Wonderland   Buddy, Cry ,Rynx Remix,0.0271,https://api.spotify.com/v1/audio-analysis/0CqGCpNdOktUrsTUEkWozV,4B,0.653,199942.0,0.656,0CqGCpNdOktUrsTUEkWozV,0.0,8.0,0.0897,-6.27,1.0,0.0441,161.964,4.0,https://api.spotify.com/v1/tracks/0CqGCpNdOktUrsTUEkWozV,audio_features,spotify:track:0CqGCpNdOktUrsTUEkWozV,0.511
1,D.R.A.M.   Lil Yachty, Broccoli ,Chet Porter Remix,0.0989,https://api.spotify.com/v1/audio-analysis/7BPMGuDQ3gn6doR8WnDcjY,4A,0.775,166087.0,0.57,7BPMGuDQ3gn6doR8WnDcjY,0.0,5.0,0.277,-9.921,0.0,0.428,161.888,4.0,https://api.spotify.com/v1/tracks/7BPMGuDQ3gn6doR8WnDcjY,audio_features,spotify:track:7BPMGuDQ3gn6doR8WnDcjY,0.618
2,RL Grime   Daya, I Wanna Know ,Co-Prod. by MYRNE,0.501,https://api.spotify.com/v1/audio-analysis/7ykMO4py7Nvrgf2vUHBkzr,6B,0.432,206727.0,0.85,7ykMO4py7Nvrgf2vUHBkzr,6.59e-06,10.0,0.203,-4.417,1.0,0.0771,82.607,4.0,https://api.spotify.com/v1/tracks/7ykMO4py7Nvrgf2vUHBkzr,audio_features,spotify:track:7ykMO4py7Nvrgf2vUHBkzr,0.109
3,RL Grime, Pressure ,Co-Prod. by Boys Noize,0.243,https://api.spotify.com/v1/audio-analysis/11AZJufpf0EdlyGes9Jgrh,9B,0.518,209362.0,0.989,11AZJufpf0EdlyGes9Jgrh,0.755,7.0,0.239,-2.997,1.0,0.0771,94.005,4.0,https://api.spotify.com/v1/tracks/11AZJufpf0EdlyGes9Jgrh,audio_features,spotify:track:11AZJufpf0EdlyGes9Jgrh,0.0856
4,Alison Wonderland, Church ,Hex Cougar Remix,0.0255,https://api.spotify.com/v1/audio-analysis/1O8ZaFRNHEse7DgmPI1rZX,1A,0.575,209675.0,0.635,1O8ZaFRNHEse7DgmPI1rZX,0.0,8.0,0.0868,-3.178,0.0,0.0476,93.98,4.0,https://api.spotify.com/v1/tracks/1O8ZaFRNHEse7DgmPI1rZX,audio_features,spotify:track:1O8ZaFRNHEse7DgmPI1rZX,0.325
5,Lil Skies, No Rest,unknown,0.0186,https://api.spotify.com/v1/audio-analysis/0chpIFSjgfd1CPrAxM7PWp,11B,0.655,135535.0,0.498,0chpIFSjgfd1CPrAxM7PWp,4.47e-06,9.0,0.139,-13.147,1.0,0.0479,162.861,4.0,https://api.spotify.com/v1/tracks/0chpIFSjgfd1CPrAxM7PWp,audio_features,spotify:track:0chpIFSjgfd1CPrAxM7PWp,0.508
6,DROELOE, Limbo,unknown,0.0122,https://api.spotify.com/v1/audio-analysis/1W28cj9obtErz0gE0F5ffr,8B,0.802,197411.0,0.529,1W28cj9obtErz0gE0F5ffr,0.73,0.0,0.22,-8.75,1.0,0.065,98.012,4.0,https://api.spotify.com/v1/tracks/1W28cj9obtErz0gE0F5ffr,audio_features,spotify:track:1W28cj9obtErz0gE0F5ffr,0.0875
7,1788,L ,unknown,0.00954,https://api.spotify.com/v1/audio-analysis/002i2U25IxYf1gQ7hgbVOV,1B,0.385,240000.0,0.646,002i2U25IxYf1gQ7hgbVOV,0.000345,11.0,0.0994,-3.985,1.0,0.0529,89.927,4.0,https://api.spotify.com/v1/tracks/002i2U25IxYf1gQ7hgbVOV,audio_features,spotify:track:002i2U25IxYf1gQ7hgbVOV,0.0359
8,UFO Project, Awen,unknown,0.0431,https://api.spotify.com/v1/audio-analysis/5MyomEHmyXAtkk3gLEjFuH,8A,0.686,210000.0,0.651,5MyomEHmyXAtkk3gLEjFuH,0.000932,9.0,0.148,-5.337,0.0,0.0496,139.978,4.0,https://api.spotify.com/v1/tracks/5MyomEHmyXAtkk3gLEjFuH,audio_features,spotify:track:5MyomEHmyXAtkk3gLEjFuH,0.0711
9,Alison Wonderland   Wayne Coyne, U Don't Know ,Vincent Remix,0.00474,https://api.spotify.com/v1/audio-analysis/28QlLenBGFRjxMmKONi9x2,7A,0.413,217795.0,0.77,28QlLenBGFRjxMmKONi9x2,0.0,2.0,0.0996,-4.506,0.0,0.0666,137.953,4.0,https://api.spotify.com/v1/tracks/28QlLenBGFRjxMmKONi9x2,audio_features,spotify:track:28QlLenBGFRjxMmKONi9x2,0.151
