,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ALOK Sevenn, I Need The Bass,unknown,0.00412,https://api.spotify.com/v1/audio-analysis/48G4Lhz9e6SqtjgD4u47pF,10A,0.82,309677.0,0.767,48G4Lhz9e6SqtjgD4u47pF,0.343,11.0,0.0892,-6.224,0.0,0.0644,124.029,4.0,https://api.spotify.com/v1/tracks/48G4Lhz9e6SqtjgD4u47pF,audio_features,spotify:track:48G4Lhz9e6SqtjgD4u47pF,0.521
1,Benny Benassi pres. The Biz, Satisfaction ,Victor Ruiz & Alex Stein & Gabe Bootleg,0.165,https://api.spotify.com/v1/audio-analysis/5JZnjM9ijpit0d5zjT8MM7,1B,0.802,285413.0,0.725,5JZnjM9ijpit0d5zjT8MM7,0.0984,11.0,0.0782,-3.392,1.0,0.102,129.984,4.0,https://api.spotify.com/v1/tracks/5JZnjM9ijpit0d5zjT8MM7,audio_features,spotify:track:5JZnjM9ijpit0d5zjT8MM7,0.347
2,Boys Noize, Overthrow,unknown,0.0105,https://api.spotify.com/v1/audio-analysis/3bY3cy5r1ALCTHSHGasSlO,9B,0.679,257947.0,0.856,3bY3cy5r1ALCTHSHGasSlO,0.028,7.0,0.646,-6.035,1.0,0.0539,107.001,4.0,https://api.spotify.com/v1/tracks/3bY3cy5r1ALCTHSHGasSlO,audio_features,spotify:track:3bY3cy5r1ALCTHSHGasSlO,0.241
3,Victor Ruiz Tiga   Atha Simple Jack, Mind Dimension Vocal ,ALOK Mashup,,,,,,,,,,,,,,,,,,,
4,ALOK Cat Dealers, Sirene,unknown,0.163,https://api.spotify.com/v1/audio-analysis/6dyi1sRbwYcJ5wWXWIKTKD,9A,0.613,197573.0,0.735,6dyi1sRbwYcJ5wWXWIKTKD,0.00865,4.0,0.305,-6.337,0.0,0.0364,165.193,4.0,https://api.spotify.com/v1/tracks/6dyi1sRbwYcJ5wWXWIKTKD,audio_features,spotify:track:6dyi1sRbwYcJ5wWXWIKTKD,0.857
5,ALOK Liu, BOLUMBACK,unknown,,,,,,,,,,,,,,,,,,,
6,Depeche Mode, Enjoy The Silence ,Gabe & Alok Remake,0.155,https://api.spotify.com/v1/audio-analysis/1YwNlWLf8auhazSQUDQLFU,5A,0.641,257333.0,0.812,1YwNlWLf8auhazSQUDQLFU,4.43e-05,0.0,0.078,-7.945,0.0,0.0293,112.777,4.0,https://api.spotify.com/v1/tracks/1YwNlWLf8auhazSQUDQLFU,audio_features,spotify:track:1YwNlWLf8auhazSQUDQLFU,0.822
7,w/ ID, ID,unknown,0.948,https://api.spotify.com/v1/audio-analysis/2CHVX2nzAYl5omgRfAtkjC,5B,0.575,156373.0,0.125,2CHVX2nzAYl5omgRfAtkjC,0.0,3.0,0.438,-18.952,1.0,0.145,126.925,4.0,https://api.spotify.com/v1/tracks/2CHVX2nzAYl5omgRfAtkjC,audio_features,spotify:track:2CHVX2nzAYl5omgRfAtkjC,0.35
8,ZHU, Faded ,Bad Boss & Evoxx Bootleg,0.00843,https://api.spotify.com/v1/audio-analysis/2GQEM9JuHu30sGFvRYeCxz,8A,0.867,223480.0,0.477,2GQEM9JuHu30sGFvRYeCxz,0.175,9.0,0.113,-7.183,0.0,0.049,124.979,4.0,https://api.spotify.com/v1/tracks/2GQEM9JuHu30sGFvRYeCxz,audio_features,spotify:track:2GQEM9JuHu30sGFvRYeCxz,0.614
9,w/ Gustavo Mota KRAFT   Hola Vano, G,unknown,0.986,https://api.spotify.com/v1/audio-analysis/2CDYnNsZS44JaVDAZRDKOQ,9B,0.256,226247.0,0.266,2CDYnNsZS44JaVDAZRDKOQ,0.964,7.0,0.125,-17.057,1.0,0.036,117.475,4.0,https://api.spotify.com/v1/tracks/2CDYnNsZS44JaVDAZRDKOQ,audio_features,spotify:track:2CDYnNsZS44JaVDAZRDKOQ,0.48
10,ALOK   Stone Fox, This City,unknown,0.0296,https://api.spotify.com/v1/audio-analysis/3Xt2wVIJf8T8vXREh9fm3b,9A,0.485,268931.0,0.768,3Xt2wVIJf8T8vXREh9fm3b,0.0,4.0,0.454,-6.621,0.0,0.246,78.612,4.0,https://api.spotify.com/v1/tracks/3Xt2wVIJf8T8vXREh9fm3b,audio_features,spotify:track:3Xt2wVIJf8T8vXREh9fm3b,0.229
11,Pleasurekraft   Pink Floyd   Vintage Culture, Tarantula The Wall Intro ,ALOK Mashup,,,,,,,,,,,,,,,,,,,
12,The White Stripes, Seven Nation Army,unknown,0.00817,https://api.spotify.com/v1/audio-analysis/7i6r9KotUPQg3ozKKgEPIN,8B,0.737,231733.0,0.463,7i6r9KotUPQg3ozKKgEPIN,0.447,0.0,0.255,-7.828,1.0,0.0792,123.881,4.0,https://api.spotify.com/v1/tracks/7i6r9KotUPQg3ozKKgEPIN,audio_features,spotify:track:7i6r9KotUPQg3ozKKgEPIN,0.324
13,w/ ALOK, Jack ,Breach Bootleg,0.0572,https://api.spotify.com/v1/audio-analysis/08JDpVc2cZHb8qF8N0iIhF,4A,0.772,427826.0,0.794,08JDpVc2cZHb8qF8N0iIhF,0.218,5.0,0.0766,-5.429,0.0,0.0472,119.987,4.0,https://api.spotify.com/v1/tracks/08JDpVc2cZHb8qF8N0iIhF,audio_features,spotify:track:08JDpVc2cZHb8qF8N0iIhF,0.586
14,w/ ALOK, Massive,unknown,0.093,https://api.spotify.com/v1/audio-analysis/419Z2pWr8Z2rMNuvTjrcXn,12A,0.736,400615.0,0.705,419Z2pWr8Z2rMNuvTjrcXn,0.8,1.0,0.115,-8.768,0.0,0.255,129.998,4.0,https://api.spotify.com/v1/tracks/419Z2pWr8Z2rMNuvTjrcXn,audio_features,spotify:track:419Z2pWr8Z2rMNuvTjrcXn,0.291
15,Growling Machines, Rounders ,Gabe & Alex Stein Remix,0.00135,https://api.spotify.com/v1/audio-analysis/1pEC8IrdINAwIwVmCfryLn,11B,0.754,343333.0,0.663,1pEC8IrdINAwIwVmCfryLn,0.742,9.0,0.433,-8.2,1.0,0.0433,126.017,4.0,https://api.spotify.com/v1/tracks/1pEC8IrdINAwIwVmCfryLn,audio_features,spotify:track:1pEC8IrdINAwIwVmCfryLn,0.326
16,w/ Vini Vici, The Tribe ,Devochka Bootleg,0.00728,https://api.spotify.com/v1/audio-analysis/6fs4FmJFPisknFKnmSwTrn,11A,0.604,475652.0,0.956,6fs4FmJFPisknFKnmSwTrn,0.49,6.0,0.919,-6.513,0.0,0.12,138.029,4.0,https://api.spotify.com/v1/tracks/6fs4FmJFPisknFKnmSwTrn,audio_features,spotify:track:6fs4FmJFPisknFKnmSwTrn,0.181
17,Queen, We Will Rock You,unknown,0.688,https://api.spotify.com/v1/audio-analysis/54flyrjcdnQdco7300avMJ,10A,0.692,122067.0,0.488,54flyrjcdnQdco7300avMJ,0.0,11.0,0.4,-7.282,0.0,0.104,81.4,4.0,https://api.spotify.com/v1/tracks/54flyrjcdnQdco7300avMJ,audio_features,spotify:track:54flyrjcdnQdco7300avMJ,0.51
18,w/ Daft Punk, Harder Better Faster Stronger ,Acapella,0.0427,https://api.spotify.com/v1/audio-analysis/5W3cjX2J3tjhG8zb6u0qHn,11A,0.817,224693.0,0.716,5W3cjX2J3tjhG8zb6u0qHn,0.00263,6.0,0.358,-8.898,0.0,0.144,123.475,4.0,https://api.spotify.com/v1/tracks/5W3cjX2J3tjhG8zb6u0qHn,audio_features,spotify:track:5W3cjX2J3tjhG8zb6u0qHn,0.692
19,w/ ALOK Dazzo, Give To Receive,unknown,,,,,,,,,,,,,,,,,,,
20,deadmau5, Imaginary Friends ,ALOK Bootleg,0.0735,https://api.spotify.com/v1/audio-analysis/0WzpqM6GqbVm6zQ2qeqDEW,10B,0.643,466831.0,0.419,0WzpqM6GqbVm6zQ2qeqDEW,0.513,2.0,0.0496,-9.054,1.0,0.116,128.002,4.0,https://api.spotify.com/v1/tracks/0WzpqM6GqbVm6zQ2qeqDEW,audio_features,spotify:track:0WzpqM6GqbVm6zQ2qeqDEW,0.0339
21,Third Party, Power,unknown,0.00544,https://api.spotify.com/v1/audio-analysis/4jwl8NZV1r1rArYVjF7pVt,11B,0.76,328858.0,0.79,4jwl8NZV1r1rArYVjF7pVt,0.719,9.0,0.0603,-5.197,1.0,0.056,127.006,4.0,https://api.spotify.com/v1/tracks/4jwl8NZV1r1rArYVjF7pVt,audio_features,spotify:track:4jwl8NZV1r1rArYVjF7pVt,0.452
22,Infected Mushroom, I Wish ,ALOK & Fractall Remix,0.00101,https://api.spotify.com/v1/audio-analysis/22z9GL53FudbuFJqa43Nzj,2A,0.591,171436.0,0.871,22z9GL53FudbuFJqa43Nzj,0.00227,3.0,0.125,-5.8,0.0,0.0349,123.939,4.0,https://api.spotify.com/v1/tracks/22z9GL53FudbuFJqa43Nzj,audio_features,spotify:track:22z9GL53FudbuFJqa43Nzj,0.28
23,ALOK Sevenn, Byob,unknown,0.0507,https://api.spotify.com/v1/audio-analysis/3GjF8PNprVtiBtQnSgcHFU,2B,0.88,259694.0,0.694,3GjF8PNprVtiBtQnSgcHFU,0.675,6.0,0.366,-5.733,1.0,0.108,122.025,4.0,https://api.spotify.com/v1/tracks/3GjF8PNprVtiBtQnSgcHFU,audio_features,spotify:track:3GjF8PNprVtiBtQnSgcHFU,0.486
