,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Amari Nico Morano   Jinadu, Desire,unknown,0.00927,https://api.spotify.com/v1/audio-analysis/6GElvFOBjMbUmzyFBNZQIm,10A,0.667,212600.0,0.713,6GElvFOBjMbUmzyFBNZQIm,0.655,11.0,0.128,-7.871,0.0,0.0298,120.038,4.0,https://api.spotify.com/v1/tracks/6GElvFOBjMbUmzyFBNZQIm,audio_features,spotify:track:6GElvFOBjMbUmzyFBNZQIm,0.176
1,Emerge, It's Over,unknown,2.18e-05,https://api.spotify.com/v1/audio-analysis/6l1xS8AsfThXL7cMraXMDg,10B,0.543,323000.0,0.93,6l1xS8AsfThXL7cMraXMDg,0.306,2.0,0.486,-7.164,1.0,0.095,128.756,4.0,https://api.spotify.com/v1/tracks/6l1xS8AsfThXL7cMraXMDg,audio_features,spotify:track:6l1xS8AsfThXL7cMraXMDg,0.0604
2,Basil O'Glue, Hoax ,Tim Penner Remix,0.0121,https://api.spotify.com/v1/audio-analysis/7E9nhU1fyaHCg7TjiLvUoo,2B,0.71,534634.0,0.724,7E9nhU1fyaHCg7TjiLvUoo,0.906,6.0,0.104,-9.533,1.0,0.0522,123.001,4.0,https://api.spotify.com/v1/tracks/7E9nhU1fyaHCg7TjiLvUoo,audio_features,spotify:track:7E9nhU1fyaHCg7TjiLvUoo,0.0343
3,Wally Lopez, Sunday Trip ,Quivver Remix,0.00815,https://api.spotify.com/v1/audio-analysis/2npHFfQmtltzoBPKkIJSIB,9B,0.709,440976.0,0.722,2npHFfQmtltzoBPKkIJSIB,0.87,7.0,0.0487,-9.578,1.0,0.045,123.007,4.0,https://api.spotify.com/v1/tracks/2npHFfQmtltzoBPKkIJSIB,audio_features,spotify:track:2npHFfQmtltzoBPKkIJSIB,0.505
4,Steve Parry, Squidfist,unknown,0.31,https://api.spotify.com/v1/audio-analysis/0xhqzcEK1JQ2BjrcKabNIg,3A,0.722,445854.0,0.762,0xhqzcEK1JQ2BjrcKabNIg,0.873,10.0,0.128,-13.02,0.0,0.051,123.017,4.0,https://api.spotify.com/v1/tracks/0xhqzcEK1JQ2BjrcKabNIg,audio_features,spotify:track:0xhqzcEK1JQ2BjrcKabNIg,0.434
5,Maydan, White Gold ,Hernan Cattaneo & Lonya Remix,0.0108,https://api.spotify.com/v1/audio-analysis/3qFhRV6P5PJdAAi7PjuE55,3B,0.745,508608.0,0.913,3qFhRV6P5PJdAAi7PjuE55,0.881,1.0,0.0595,-6.001,1.0,0.0447,123.009,4.0,https://api.spotify.com/v1/tracks/3qFhRV6P5PJdAAi7PjuE55,audio_features,spotify:track:3qFhRV6P5PJdAAi7PjuE55,0.0655
6,Jeremy Olander, Crossed,unknown,0.00155,https://api.spotify.com/v1/audio-analysis/6bJliOsJqznrtk90KrF5Mb,3B,0.529,247742.0,0.868,6bJliOsJqznrtk90KrF5Mb,0.837,1.0,0.0935,-8.603,1.0,0.0399,123.991,4.0,https://api.spotify.com/v1/tracks/6bJliOsJqznrtk90KrF5Mb,audio_features,spotify:track:6bJliOsJqznrtk90KrF5Mb,0.101
7,Luttrell, What You Are,unknown,0.0041,https://api.spotify.com/v1/audio-analysis/02T3FgGqoAA7fI1daMwvcN,7B,0.539,238610.0,0.906,02T3FgGqoAA7fI1daMwvcN,0.159,5.0,0.235,-5.761,1.0,0.0333,122.041,4.0,https://api.spotify.com/v1/tracks/02T3FgGqoAA7fI1daMwvcN,audio_features,spotify:track:02T3FgGqoAA7fI1daMwvcN,0.255
8,Basil O'Glue, Everyone Has A Story ,Gai Barone Remix,0.0498,https://api.spotify.com/v1/audio-analysis/0L1kY0kK4acacXyl7mTjUp,5B,0.612,490773.0,0.913,0L1kY0kK4acacXyl7mTjUp,0.83,3.0,0.251,-8.96,1.0,0.0443,124.02,1.0,https://api.spotify.com/v1/tracks/0L1kY0kK4acacXyl7mTjUp,audio_features,spotify:track:0L1kY0kK4acacXyl7mTjUp,0.392
9,The Thrillseekers, In These Arms ,Stoneface & Terminal pres. Gundamea Remix,0.00378,https://api.spotify.com/v1/audio-analysis/6HQeEqaizkqagP5URiZRMY,4B,0.504,291667.0,0.914,6HQeEqaizkqagP5URiZRMY,0.903,8.0,0.197,-9.062,1.0,0.0456,130.902,4.0,https://api.spotify.com/v1/tracks/6HQeEqaizkqagP5URiZRMY,audio_features,spotify:track:6HQeEqaizkqagP5URiZRMY,0.22
