,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,DJ Mad Dog, That's The Sound,unknown,0.125,https://api.spotify.com/v1/audio-analysis/0tWK23GG5PdUlFkMO1OYGR,4A,0.876,255297.0,0.407,0tWK23GG5PdUlFkMO1OYGR,0.207,5.0,0.365,-10.787,0.0,0.0549,109.991,4.0,https://api.spotify.com/v1/tracks/0tWK23GG5PdUlFkMO1OYGR,audio_features,spotify:track:0tWK23GG5PdUlFkMO1OYGR,0.895
1,Miss K8 MC Nolz, Raiders Of Rampage ,Official Masters Of Hardcore 2016 Anthem,0.276,https://api.spotify.com/v1/audio-analysis/2f9aO6KDtMVctuyQ8YAfky,11B,0.429,240343.0,0.986,2f9aO6KDtMVctuyQ8YAfky,0.00194,9.0,0.359,-2.451,1.0,0.42,175.037,4.0,https://api.spotify.com/v1/tracks/2f9aO6KDtMVctuyQ8YAfky,audio_features,spotify:track:2f9aO6KDtMVctuyQ8YAfky,0.236
2,Angerfist Miss K8, Bogotá,unknown,0.0828,https://api.spotify.com/v1/audio-analysis/32lnsCHxZZJJ87rvDviEiy,12A,0.478,237257.0,0.945,32lnsCHxZZJJ87rvDviEiy,0.0396,1.0,0.698,-2.369,0.0,0.108,174.955,4.0,https://api.spotify.com/v1/tracks/32lnsCHxZZJJ87rvDviEiy,audio_features,spotify:track:32lnsCHxZZJJ87rvDviEiy,0.127
3,Angerfist   MC Da Mouth Of Madness, Raise Your Fist Again,unknown,0.00746,https://api.spotify.com/v1/audio-analysis/27hnGDcjpvwHUrkMXAbCYH,11B,0.477,286382.0,0.928,27hnGDcjpvwHUrkMXAbCYH,0.0878,9.0,0.122,-5.235,1.0,0.0822,173.02,4.0,https://api.spotify.com/v1/tracks/27hnGDcjpvwHUrkMXAbCYH,audio_features,spotify:track:27hnGDcjpvwHUrkMXAbCYH,0.291
4,Angerfist N,Vitral ,unknown,0.00413,https://api.spotify.com/v1/audio-analysis/5IVb69FI9Sq93UQEpEcrsN,10B,0.755,335094.0,0.911,5IVb69FI9Sq93UQEpEcrsN,0.323,2.0,0.425,-3.245,1.0,0.203,158.992,4.0,https://api.spotify.com/v1/tracks/5IVb69FI9Sq93UQEpEcrsN,audio_features,spotify:track:5IVb69FI9Sq93UQEpEcrsN,0.0748
5,Skrillex Damian Marley, Make It Bun Dem ,Angerfist & Kid Morbid Bootleg,0.00119,https://api.spotify.com/v1/audio-analysis/0mlf3yOGzVnIVxjybDQL3h,9B,0.556,213697.0,0.881,0mlf3yOGzVnIVxjybDQL3h,0.0,7.0,0.0709,-2.224,1.0,0.082,104.973,1.0,https://api.spotify.com/v1/tracks/0mlf3yOGzVnIVxjybDQL3h,audio_features,spotify:track:0mlf3yOGzVnIVxjybDQL3h,0.337
6,Angerfist, Pissin' Razorbladez ,Angerfist Remix,0.0608,https://api.spotify.com/v1/audio-analysis/4U5X2ObNDb9LOXCLJUzmhY,9B,0.523,150018.0,0.995,4U5X2ObNDb9LOXCLJUzmhY,0.0966,7.0,0.255,-1.899,1.0,0.185,190.038,4.0,https://api.spotify.com/v1/tracks/4U5X2ObNDb9LOXCLJUzmhY,audio_features,spotify:track:4U5X2ObNDb9LOXCLJUzmhY,0.304
7,Angerfist MC Nolz, Raise & Revolt ,Official Anthem,0.404,https://api.spotify.com/v1/audio-analysis/55NvcDDxxXhzBUUjFpsbVn,3B,0.385,206592.0,0.961,55NvcDDxxXhzBUUjFpsbVn,0.000586,1.0,0.348,-2.311,1.0,0.168,174.842,4.0,https://api.spotify.com/v1/tracks/55NvcDDxxXhzBUUjFpsbVn,audio_features,spotify:track:55NvcDDxxXhzBUUjFpsbVn,0.142
8,Paul Panic, Go!,unknown,0.15,https://api.spotify.com/v1/audio-analysis/0EbkIjwvVlxIO21aNFEqvD,7A,0.735,319507.0,0.956,0EbkIjwvVlxIO21aNFEqvD,0.664,2.0,0.101,-11.044,0.0,0.454,157.397,4.0,https://api.spotify.com/v1/tracks/0EbkIjwvVlxIO21aNFEqvD,audio_features,spotify:track:0EbkIjwvVlxIO21aNFEqvD,0.0387
9,The Clamps, In The Depths,unknown,0.0409,https://api.spotify.com/v1/audio-analysis/0fgfntSV6gQ7ohwkg0XZjp,9B,0.544,378667.0,0.986,0fgfntSV6gQ7ohwkg0XZjp,0.000291,7.0,0.34,-2.045,1.0,0.294,179.978,4.0,https://api.spotify.com/v1/tracks/0fgfntSV6gQ7ohwkg0XZjp,audio_features,spotify:track:0fgfntSV6gQ7ohwkg0XZjp,0.0733
