,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Apster, Photobomb,unknown,0.00383,https://api.spotify.com/v1/audio-analysis/0UOIfLARMulQX4WMhEW3Gj,12B,0.728,297099.0,0.828,0UOIfLARMulQX4WMhEW3Gj,0.542,4.0,0.248,-6.042,1.0,0.0565,128.005,4.0,https://api.spotify.com/v1/tracks/0UOIfLARMulQX4WMhEW3Gj,audio_features,spotify:track:0UOIfLARMulQX4WMhEW3Gj,0.0399
1,Apster Ravitez, ID,unknown,,,,,,,,,,,,,,,,,,,
2,Deorro MAKJ, Ante Up,unknown,,,,,,,,,,,,,,,,,,,
3,David Guetta GLOWINTHEDARK   Harrison, Ain't A Party,unknown,,,,,,,,,,,,,,,,,,,
4,w/ Hard Rock Sofa, Rasputin,unknown,0.167,https://api.spotify.com/v1/audio-analysis/2veHsC4clbrr1YzVWHfFul,8B,0.637,358125.0,0.961,2veHsC4clbrr1YzVWHfFul,0.844,0.0,0.0732,-3.82,1.0,0.0458,128.024,4.0,https://api.spotify.com/v1/tracks/2veHsC4clbrr1YzVWHfFul,audio_features,spotify:track:2veHsC4clbrr1YzVWHfFul,0.285
5,Alesso Calvin Harris   Theo Hutchcraft, Under Control,unknown,0.0735,https://api.spotify.com/v1/audio-analysis/4mR9yGadQ7oqp0SWNwqIFR,4A,0.646,98125.0,0.71,4mR9yGadQ7oqp0SWNwqIFR,0.554,5.0,0.151,-5.93,0.0,0.0375,137.035,4.0,https://api.spotify.com/v1/tracks/4mR9yGadQ7oqp0SWNwqIFR,audio_features,spotify:track:4mR9yGadQ7oqp0SWNwqIFR,0.53
6,w/ Julian Calor, Typhoon,unknown,0.0002,https://api.spotify.com/v1/audio-analysis/0Gr9YToMv7BgG9OLGPuWAR,4A,0.515,178500.0,0.819,0Gr9YToMv7BgG9OLGPuWAR,0.000473,5.0,0.0418,-4.333,0.0,0.0397,128.016,4.0,https://api.spotify.com/v1/tracks/0Gr9YToMv7BgG9OLGPuWAR,audio_features,spotify:track:0Gr9YToMv7BgG9OLGPuWAR,0.0872
7,Bassjackers Joe Ghost   MOTi, On The Floor Like,unknown,0.0018,https://api.spotify.com/v1/audio-analysis/3N4wfiegL667hWajWjCHZi,8A,0.654,183765.0,0.832,3N4wfiegL667hWajWjCHZi,0.75,9.0,0.102,-3.794,0.0,0.0406,127.958,4.0,https://api.spotify.com/v1/tracks/3N4wfiegL667hWajWjCHZi,audio_features,spotify:track:3N4wfiegL667hWajWjCHZi,0.407
8,Katy Perry   Juicy J, Dark Horse ,Acapella,0.00314,https://api.spotify.com/v1/audio-analysis/5jrdCoLpJSvHHorevXBATy,2B,0.645,215672.0,0.585,5jrdCoLpJSvHHorevXBATy,0.0,6.0,0.165,-6.122,1.0,0.0513,131.931,4.0,https://api.spotify.com/v1/tracks/5jrdCoLpJSvHHorevXBATy,audio_features,spotify:track:5jrdCoLpJSvHHorevXBATy,0.353
9,w/ Stadiumx Taylr Renee, Howl At The Moon,unknown,0.0525,https://api.spotify.com/v1/audio-analysis/6oFd2c2UiVfFBTIJiFVfz6,3A,0.514,183750.0,0.934,6oFd2c2UiVfFBTIJiFVfz6,0.00089,10.0,0.137,-3.201,0.0,0.0992,127.953,4.0,https://api.spotify.com/v1/tracks/6oFd2c2UiVfFBTIJiFVfz6,audio_features,spotify:track:6oFd2c2UiVfFBTIJiFVfz6,0.182
10,Calvin Harris Disciples, How Deep Is Your Love ,Calvin Harris & R3hab Remix,0.00426,https://api.spotify.com/v1/audio-analysis/6rMwYjoFvxKiaEH4If8ZpZ,10A,0.673,256560.0,0.859,6rMwYjoFvxKiaEH4If8ZpZ,0.015,11.0,0.128,-3.007,0.0,0.056,127.978,4.0,https://api.spotify.com/v1/tracks/6rMwYjoFvxKiaEH4If8ZpZ,audio_features,spotify:track:6rMwYjoFvxKiaEH4If8ZpZ,0.111
