,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Vini Vici, Ravers Army,unknown,0.000557,https://api.spotify.com/v1/audio-analysis/5MntPFCZArMWM5UTZgVLsI,9A,0.684,445217.0,0.979,5MntPFCZArMWM5UTZgVLsI,0.843,4.0,0.106,-6.352,0.0,0.0686,138.032,4.0,https://api.spotify.com/v1/tracks/5MntPFCZArMWM5UTZgVLsI,audio_features,spotify:track:5MntPFCZArMWM5UTZgVLsI,0.0426
1,Lostly, Nothing Left,unknown,0.000556,https://api.spotify.com/v1/audio-analysis/6Z2GBs8zuV8agqovAOU15N,11A,0.596,418052.0,0.983,6Z2GBs8zuV8agqovAOU15N,0.896,6.0,0.386,-6.298,0.0,0.0483,140.003,4.0,https://api.spotify.com/v1/tracks/6Z2GBs8zuV8agqovAOU15N,audio_features,spotify:track:6Z2GBs8zuV8agqovAOU15N,0.249
2,Sam Jones, Good Love,unknown,0.00326,https://api.spotify.com/v1/audio-analysis/3FyiKL0hEkxii16tQakTnZ,11A,0.549,185143.0,0.97,3FyiKL0hEkxii16tQakTnZ,0.291,6.0,0.566,-4.496,0.0,0.208,139.997,4.0,https://api.spotify.com/v1/tracks/3FyiKL0hEkxii16tQakTnZ,audio_features,spotify:track:3FyiKL0hEkxii16tQakTnZ,0.317
3,Bryan Kearney   Plumb, All Over Again,unknown,0.00677,https://api.spotify.com/v1/audio-analysis/58dImvxUBo5tgxcjiW4gdC,12B,0.562,250435.0,0.983,58dImvxUBo5tgxcjiW4gdC,0.153,4.0,0.199,-5.185,1.0,0.0632,138.012,4.0,https://api.spotify.com/v1/tracks/58dImvxUBo5tgxcjiW4gdC,audio_features,spotify:track:58dImvxUBo5tgxcjiW4gdC,0.12
4,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
5,Richard Durand, Sunhump ,Psywork Remix,0.014,https://api.spotify.com/v1/audio-analysis/32fhRUvJgtgj0PcOXIPaoo,3A,0.737,336429.0,0.985,32fhRUvJgtgj0PcOXIPaoo,0.7,10.0,0.736,-5.467,0.0,0.0999,140.002,4.0,https://api.spotify.com/v1/tracks/32fhRUvJgtgj0PcOXIPaoo,audio_features,spotify:track:32fhRUvJgtgj0PcOXIPaoo,0.24
6,Andrew Rayel Digital X   Sylvia Tosun, Winterburn ,Arctic Moon Remix,0.00399,https://api.spotify.com/v1/audio-analysis/71if1cQQ8esgQi5SLuXwDC,2A,0.452,203109.0,0.939,71if1cQQ8esgQi5SLuXwDC,2.63e-05,3.0,0.141,-2.344,0.0,0.0989,129.895,4.0,https://api.spotify.com/v1/tracks/71if1cQQ8esgQi5SLuXwDC,audio_features,spotify:track:71if1cQQ8esgQi5SLuXwDC,0.0762
7,Alex Di Stefano, Split,unknown,5.1e-06,https://api.spotify.com/v1/audio-analysis/5BMWknF1e4F99L5qhLNaiO,3A,0.378,162358.0,0.912,5BMWknF1e4F99L5qhLNaiO,0.847,10.0,0.181,-12.086,0.0,0.11,136.035,4.0,https://api.spotify.com/v1/tracks/5BMWknF1e4F99L5qhLNaiO,audio_features,spotify:track:5BMWknF1e4F99L5qhLNaiO,0.0387
8,RAM, RAMbassador,unknown,0.000538,https://api.spotify.com/v1/audio-analysis/4ZdydQGA49JdlcXpuUHhae,4A,0.525,241714.0,0.914,4ZdydQGA49JdlcXpuUHhae,0.0321,5.0,0.52,-5.01,0.0,0.0461,140.063,4.0,https://api.spotify.com/v1/tracks/4ZdydQGA49JdlcXpuUHhae,audio_features,spotify:track:4ZdydQGA49JdlcXpuUHhae,0.132
9,Ummet Ozcan, Timewave Zero ,Brian Flinn Remix,6.4e-05,https://api.spotify.com/v1/audio-analysis/5AboMEj0MrIT7SkOZWxn3F,3B,0.692,418468.0,0.685,5AboMEj0MrIT7SkOZWxn3F,0.842,1.0,0.0819,-8.639,1.0,0.0709,137.988,4.0,https://api.spotify.com/v1/tracks/5AboMEj0MrIT7SkOZWxn3F,audio_features,spotify:track:5AboMEj0MrIT7SkOZWxn3F,0.163
10,Chris Schweizer, Atom,unknown,0.00354,https://api.spotify.com/v1/audio-analysis/5cXRWnFBedZKbm1Ju7fATC,9B,0.558,203492.0,0.99,5cXRWnFBedZKbm1Ju7fATC,0.914,7.0,0.181,-4.909,1.0,0.0596,138.039,4.0,https://api.spotify.com/v1/tracks/5cXRWnFBedZKbm1Ju7fATC,audio_features,spotify:track:5cXRWnFBedZKbm1Ju7fATC,0.164
11,Arctic Moon, Starships Over Alice ,Paul Webster Remix,0.0106,https://api.spotify.com/v1/audio-analysis/2iKIw72MQAV59TKzTKjt7m,11B,0.507,487015.0,0.996,2iKIw72MQAV59TKzTKjt7m,0.86,9.0,0.35,-4.937,1.0,0.116,139.979,4.0,https://api.spotify.com/v1/tracks/2iKIw72MQAV59TKzTKjt7m,audio_features,spotify:track:2iKIw72MQAV59TKzTKjt7m,0.0537
