,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Goldhouse, Sex On Me,unknown,0.0516,https://api.spotify.com/v1/audio-analysis/6RZ4OlTCDlc7ZpMTNoxRNJ,6A,0.742,205078.0,0.839,6RZ4OlTCDlc7ZpMTNoxRNJ,0.000673,7.0,0.185,-5.571,0.0,0.0578,109.983,4.0,https://api.spotify.com/v1/tracks/6RZ4OlTCDlc7ZpMTNoxRNJ,audio_features,spotify:track:6RZ4OlTCDlc7ZpMTNoxRNJ,0.451
1,Eelke Kleijn, The Terminal,unknown,0.000713,https://api.spotify.com/v1/audio-analysis/6zHY6H0oeb1fhxJADT1LEZ,2B,0.783,457220.0,0.513,6zHY6H0oeb1fhxJADT1LEZ,0.89,6.0,0.0855,-8.445,1.0,0.0573,121.99,4.0,https://api.spotify.com/v1/tracks/6zHY6H0oeb1fhxJADT1LEZ,audio_features,spotify:track:6zHY6H0oeb1fhxJADT1LEZ,0.519
2,MOWE   Bright Sparks, Your Skin ,De Hofnar Remix,0.17,https://api.spotify.com/v1/audio-analysis/4WXnB1Rq1VlCTIx4zMYECf,8B,0.801,188902.0,0.74,4WXnB1Rq1VlCTIx4zMYECf,0.000149,0.0,0.0875,-4.649,1.0,0.0389,124.055,4.0,https://api.spotify.com/v1/tracks/4WXnB1Rq1VlCTIx4zMYECf,audio_features,spotify:track:4WXnB1Rq1VlCTIx4zMYECf,0.774
3,Michael Woods, Tut Tut,unknown,0.00253,https://api.spotify.com/v1/audio-analysis/7pf8TQ2TaUR8SoQLETv779,9B,0.675,158271.0,0.705,7pf8TQ2TaUR8SoQLETv779,0.846,7.0,0.0924,-5.355,1.0,0.0374,123.987,4.0,https://api.spotify.com/v1/tracks/7pf8TQ2TaUR8SoQLETv779,audio_features,spotify:track:7pf8TQ2TaUR8SoQLETv779,0.483
4,Walkabout, In My Head,unknown,0.104,https://api.spotify.com/v1/audio-analysis/1UEnkCAFczvnRbr9MLvPGA,11A,0.714,195429.0,0.785,1UEnkCAFczvnRbr9MLvPGA,0.0686,6.0,0.194,-5.217,0.0,0.0338,140.021,4.0,https://api.spotify.com/v1/tracks/1UEnkCAFczvnRbr9MLvPGA,audio_features,spotify:track:1UEnkCAFczvnRbr9MLvPGA,0.463
5,Lost Frequencies   Axel Ehnström, All Or Nothing ,Sultan + Shepard Remix,0.382,https://api.spotify.com/v1/audio-analysis/52DNTZvyZREUZC6dEjq3J6,9B,0.733,215357.0,0.864,52DNTZvyZREUZC6dEjq3J6,0.117,7.0,0.266,-2.003,1.0,0.0385,125.895,4.0,https://api.spotify.com/v1/tracks/52DNTZvyZREUZC6dEjq3J6,audio_features,spotify:track:52DNTZvyZREUZC6dEjq3J6,0.387
6,Two Friends   James Delaney, Emily,unknown,0.0261,https://api.spotify.com/v1/audio-analysis/3lhmj5XfT5poIR5ozhiDmH,9B,0.663,206490.0,0.824,3lhmj5XfT5poIR5ozhiDmH,0.0,7.0,0.136,-4.053,1.0,0.0585,126.055,4.0,https://api.spotify.com/v1/tracks/3lhmj5XfT5poIR5ozhiDmH,audio_features,spotify:track:3lhmj5XfT5poIR5ozhiDmH,0.588
7,Thomas Mengel, Calatheas,unknown,0.00254,https://api.spotify.com/v1/audio-analysis/3tHBtxQ1B4llfxsHD0vmK5,6B,0.654,229344.0,0.678,3tHBtxQ1B4llfxsHD0vmK5,0.833,10.0,0.139,-6.418,1.0,0.0336,127.993,4.0,https://api.spotify.com/v1/tracks/3tHBtxQ1B4llfxsHD0vmK5,audio_features,spotify:track:3tHBtxQ1B4llfxsHD0vmK5,0.46
8,APEK Husman   Happy Sometimes, Beaten Hearts,unknown,0.0196,https://api.spotify.com/v1/audio-analysis/1Hlj4eJ3MPbiBjzI2Qkd8J,8A,0.486,190792.0,0.864,1Hlj4eJ3MPbiBjzI2Qkd8J,2.28e-06,9.0,0.605,-6.397,0.0,0.0896,128.059,4.0,https://api.spotify.com/v1/tracks/1Hlj4eJ3MPbiBjzI2Qkd8J,audio_features,spotify:track:1Hlj4eJ3MPbiBjzI2Qkd8J,0.162
9,Sunnery James Ryan Marciano   Clara Mae, The One That Got Away ,DYNA Remix,0.0484,https://api.spotify.com/v1/audio-analysis/0dcXRu2pLnBKuxkqNG3R3d,3B,0.711,207216.0,0.764,0dcXRu2pLnBKuxkqNG3R3d,0.00722,1.0,0.072,-7.263,1.0,0.325,150.019,4.0,https://api.spotify.com/v1/tracks/0dcXRu2pLnBKuxkqNG3R3d,audio_features,spotify:track:0dcXRu2pLnBKuxkqNG3R3d,0.15
