,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Skytech, The Other Side,unknown,0.106,https://api.spotify.com/v1/audio-analysis/3jveqKvvpIiHcwRArpoaoI,9B,0.49,85813.0,0.981,3jveqKvvpIiHcwRArpoaoI,0.943,7.0,0.396,-7.003,1.0,0.0721,134.001,4.0,https://api.spotify.com/v1/tracks/3jveqKvvpIiHcwRArpoaoI,audio_features,spotify:track:3jveqKvvpIiHcwRArpoaoI,0.106
1,Ronski Speed   Lucy Saunders, Rise Again ,Omnia Remix,0.00284,https://api.spotify.com/v1/audio-analysis/5RIn3GCwfG8N11Hc9pZrqZ,7A,0.505,231046.0,0.954,5RIn3GCwfG8N11Hc9pZrqZ,0.611,2.0,0.347,-4.249,0.0,0.04,133.001,4.0,https://api.spotify.com/v1/tracks/5RIn3GCwfG8N11Hc9pZrqZ,audio_features,spotify:track:5RIn3GCwfG8N11Hc9pZrqZ,0.28
2,Dash Berlin   Jonathan Mendelsohn, World Falls Apart ,Jorn Van Deynhoven Remix,0.00143,https://api.spotify.com/v1/audio-analysis/5ZWIdosjfWNa4OtBRpWU1m,10B,0.425,196010.0,0.967,5ZWIdosjfWNa4OtBRpWU1m,0.000471,2.0,0.107,-3.563,1.0,0.122,133.045,4.0,https://api.spotify.com/v1/tracks/5ZWIdosjfWNa4OtBRpWU1m,audio_features,spotify:track:5ZWIdosjfWNa4OtBRpWU1m,0.0619
3,Eximinds, Euphoria,unknown,0.00419,https://api.spotify.com/v1/audio-analysis/5t8HVOKpAFHkz5TgxgTbfz,9B,0.599,207030.0,0.973,5t8HVOKpAFHkz5TgxgTbfz,0.00199,7.0,0.369,-4.511,1.0,0.0819,131.034,4.0,https://api.spotify.com/v1/tracks/5t8HVOKpAFHkz5TgxgTbfz,audio_features,spotify:track:5t8HVOKpAFHkz5TgxgTbfz,0.205
4,Max Graham, The Evil ID,unknown,0.00118,https://api.spotify.com/v1/audio-analysis/44WmG6moxgAse8K8IQCjeq,9B,0.646,225455.0,0.927,44WmG6moxgAse8K8IQCjeq,0.933,7.0,0.668,-6.004,1.0,0.0588,131.964,3.0,https://api.spotify.com/v1/tracks/44WmG6moxgAse8K8IQCjeq,audio_features,spotify:track:44WmG6moxgAse8K8IQCjeq,0.122
5,Andrew Rayel Jwaydan, Until The End ,Club Mix,0.00175,https://api.spotify.com/v1/audio-analysis/4vRQwBbZ4Cpp15k05eiK8g,12A,0.55,128147.0,0.939,4vRQwBbZ4Cpp15k05eiK8g,0.0515,1.0,0.562,-5.873,0.0,0.106,134.03,4.0,https://api.spotify.com/v1/tracks/4vRQwBbZ4Cpp15k05eiK8g,audio_features,spotify:track:4vRQwBbZ4Cpp15k05eiK8g,0.481
6,Andrew Rayel, Dark Warrior,unknown,0.000357,https://api.spotify.com/v1/audio-analysis/4cMOoVwR1HghXS5NHwVnMh,3B,0.477,151818.0,0.818,4cMOoVwR1HghXS5NHwVnMh,0.316,1.0,0.246,-6.598,1.0,0.0659,132.135,4.0,https://api.spotify.com/v1/tracks/4cMOoVwR1HghXS5NHwVnMh,audio_features,spotify:track:4cMOoVwR1HghXS5NHwVnMh,0.188
7,Ralphie B,,unknown,,,,,,,,,,,,,,,,,,,
8,Alex M.O.R.P.H., Eternal Flame ,Solarstone Pure Mix,0.000227,https://api.spotify.com/v1/audio-analysis/2tIoZObV2OVzV5b32NPhcY,9B,0.468,228610.0,0.899,2tIoZObV2OVzV5b32NPhcY,0.966,7.0,0.134,-7.355,1.0,0.054,135.986,4.0,https://api.spotify.com/v1/tracks/2tIoZObV2OVzV5b32NPhcY,audio_features,spotify:track:2tIoZObV2OVzV5b32NPhcY,0.0366
9,Craig Connelly Christina Novelli, Black Hole ,Jorn van Deynhoven Remix,0.00024,https://api.spotify.com/v1/audio-analysis/4WZa71jH7z2wuZGkqe4rh5,12A,0.5,507950.0,0.977,4WZa71jH7z2wuZGkqe4rh5,0.669,1.0,0.494,-5.499,0.0,0.0991,137.99,4.0,https://api.spotify.com/v1/tracks/4WZa71jH7z2wuZGkqe4rh5,audio_features,spotify:track:4WZa71jH7z2wuZGkqe4rh5,0.201
10,Wach, The Queen,unknown,0.000741,https://api.spotify.com/v1/audio-analysis/1Gmt1fz1OrMUzEFUFESjhS,10A,0.409,209665.0,0.98,1Gmt1fz1OrMUzEFUFESjhS,0.961,11.0,0.316,-5.637,0.0,0.0479,137.985,4.0,https://api.spotify.com/v1/tracks/1Gmt1fz1OrMUzEFUFESjhS,audio_features,spotify:track:1Gmt1fz1OrMUzEFUFESjhS,0.0857
11,Simon Patterson   Lucy Pullin, The One﻿,unknown,,,,,,,,,,,,,,,,,,,
