,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Armin van Buuren   Miri Ben,Ari ,Andrew Rayel Intro Remix,0.0861,https://api.spotify.com/v1/audio-analysis/5BVL85S0bc2phqA9f9jVgg,9B,0.499,231999.0,0.622,5BVL85S0bc2phqA9f9jVgg,0.000112,7.0,0.0815,-9.677,1.0,0.0563,130.106,4.0,https://api.spotify.com/v1/tracks/5BVL85S0bc2phqA9f9jVgg,audio_features,spotify:track:5BVL85S0bc2phqA9f9jVgg,0.313
1,Andrew Rayel, Dark Warrior,unknown,0.000357,https://api.spotify.com/v1/audio-analysis/4cMOoVwR1HghXS5NHwVnMh,3B,0.477,151818.0,0.818,4cMOoVwR1HghXS5NHwVnMh,0.316,1.0,0.246,-6.598,1.0,0.0659,132.135,4.0,https://api.spotify.com/v1/tracks/4cMOoVwR1HghXS5NHwVnMh,audio_features,spotify:track:4cMOoVwR1HghXS5NHwVnMh,0.188
2,Tiësto BlasterJaxx   Armin van Buuren W&W, Adagio Fat Strings ,Sandro Vanniel Mashup,,,,,,,,,,,,,,,,,,,
3,Estiva   Armin Van Buuren Protoculture   Cindy Alma, Teddylife ,Armin van Buuren Mashup,,,,,,,,,,,,,,,,,,,
4,Armin van Buuren   Trevor Guthrie, This Is What It Feels Like ,W&W Remix,0.0014,https://api.spotify.com/v1/audio-analysis/5ScnlX18hRpXLKDsjk0jt1,4B,0.55,206505.0,0.816,5ScnlX18hRpXLKDsjk0jt1,0.00117,8.0,0.277,-6.559,1.0,0.0415,129.923,4.0,https://api.spotify.com/v1/tracks/5ScnlX18hRpXLKDsjk0jt1,audio_features,spotify:track:5ScnlX18hRpXLKDsjk0jt1,0.296
5,Cosmic Gate Mark Sixma   Riva Starr Fatboy Slim   Fedde Le Grand Sultan Ned Shepard, Crushed ,Armin van Buuren Mashup,0.0181,https://api.spotify.com/v1/audio-analysis/3UviS9TOLT2ciSjWGCGF8T,4A,0.547,275500.0,0.897,3UviS9TOLT2ciSjWGCGF8T,0.696,5.0,0.633,-7.077,0.0,0.0582,131.974,4.0,https://api.spotify.com/v1/tracks/3UviS9TOLT2ciSjWGCGF8T,audio_features,spotify:track:3UviS9TOLT2ciSjWGCGF8T,0.241
6,Armin Van Buuren pres. Gaia, Empire Of Hearts,unknown,0.00205,https://api.spotify.com/v1/audio-analysis/4nJmh25Z2XNex6zk6h96wd,6A,0.499,196364.0,0.975,4nJmh25Z2XNex6zk6h96wd,0.901,7.0,0.175,-4.936,0.0,0.0968,132.012,4.0,https://api.spotify.com/v1/tracks/4nJmh25Z2XNex6zk6h96wd,audio_features,spotify:track:4nJmh25Z2XNex6zk6h96wd,0.274
7,Kat Krazy   Elkka, Siren ,Armin van Buuren Remix,3.49e-05,https://api.spotify.com/v1/audio-analysis/48nORE1iToGfOknmru2RLV,8B,0.561,436373.0,0.975,48nORE1iToGfOknmru2RLV,0.249,0.0,0.267,-7.411,1.0,0.0384,132.003,4.0,https://api.spotify.com/v1/tracks/48nORE1iToGfOknmru2RLV,audio_features,spotify:track:48nORE1iToGfOknmru2RLV,0.0548
8,Dash Berlin   Jonathan Mendelsohn, World Falls Apart ,Jorn Van Deynhoven Remix,0.00143,https://api.spotify.com/v1/audio-analysis/5ZWIdosjfWNa4OtBRpWU1m,10B,0.425,196010.0,0.967,5ZWIdosjfWNa4OtBRpWU1m,0.000471,2.0,0.107,-3.563,1.0,0.122,133.045,4.0,https://api.spotify.com/v1/tracks/5ZWIdosjfWNa4OtBRpWU1m,audio_features,spotify:track:5ZWIdosjfWNa4OtBRpWU1m,0.0619
9,Armin van Buuren   Richard Bedford, Love Never Came ,Armin van Buuren & W&W Remix,0.00258,https://api.spotify.com/v1/audio-analysis/3tIkaUy9YBQfC8ziCAgaKH,8A,0.628,300106.0,0.932,3tIkaUy9YBQfC8ziCAgaKH,0.112,9.0,0.0855,-5.568,0.0,0.184,132.04,4.0,https://api.spotify.com/v1/tracks/3tIkaUy9YBQfC8ziCAgaKH,audio_features,spotify:track:3tIkaUy9YBQfC8ziCAgaKH,0.25
10,MaRLo, Visions,unknown,0.0101,https://api.spotify.com/v1/audio-analysis/5krNxVnci4xYeV6AJPHXp1,8B,0.6,201210.0,0.938,5krNxVnci4xYeV6AJPHXp1,0.00254,0.0,0.224,-3.528,1.0,0.314,134.074,4.0,https://api.spotify.com/v1/tracks/5krNxVnci4xYeV6AJPHXp1,audio_features,spotify:track:5krNxVnci4xYeV6AJPHXp1,0.225
11,Ferry Corsten   KhoMha, The Dark Knight ,KhoMha Mashup,0.00025,https://api.spotify.com/v1/audio-analysis/7eZ8UBi6TZAyreMffCuWTF,3B,0.657,476255.0,0.765,7eZ8UBi6TZAyreMffCuWTF,0.919,1.0,0.0669,-7.365,1.0,0.0855,127.997,4.0,https://api.spotify.com/v1/tracks/7eZ8UBi6TZAyreMffCuWTF,audio_features,spotify:track:7eZ8UBi6TZAyreMffCuWTF,0.143
12,Armin van Buuren, Ping Pong,unknown,0.00377,https://api.spotify.com/v1/audio-analysis/1NM2NUzlN9SY8z5k4ZfRJB,2B,0.577,180923.0,0.985,1NM2NUzlN9SY8z5k4ZfRJB,0.142,6.0,0.0471,-3.494,1.0,0.0749,129.956,4.0,https://api.spotify.com/v1/tracks/1NM2NUzlN9SY8z5k4ZfRJB,audio_features,spotify:track:1NM2NUzlN9SY8z5k4ZfRJB,0.0748
13,Faithless, Insomnia ,Andrew Rayel Remix,0.0352,https://api.spotify.com/v1/audio-analysis/7gWc0QEt2hoIkMv3XxPY1T,9B,0.711,213547.0,0.756,7gWc0QEt2hoIkMv3XxPY1T,0.00313,7.0,0.138,-10.637,1.0,0.0302,127.108,4.0,https://api.spotify.com/v1/tracks/7gWc0QEt2hoIkMv3XxPY1T,audio_features,spotify:track:7gWc0QEt2hoIkMv3XxPY1T,0.493
14,Jorn Van Deynhoven, The New Horizons ,ASOT 650 Anthem,8.2e-05,https://api.spotify.com/v1/audio-analysis/5viJxOksvVWvPW4PnnWLwN,12A,0.49,152347.0,0.972,5viJxOksvVWvPW4PnnWLwN,0.182,1.0,0.175,-7.191,0.0,0.0713,138.64,4.0,https://api.spotify.com/v1/tracks/5viJxOksvVWvPW4PnnWLwN,audio_features,spotify:track:5viJxOksvVWvPW4PnnWLwN,0.0536
15,Armin van Buuren   Aruna, Won't Let You Go ,Standerwick Remix,,,,,,,,,,,,,,,,,,,
16,Jase Thirlwall   Shogun, Freaked ,Armin van Buuren Mashup,0.00157,https://api.spotify.com/v1/audio-analysis/4bRq2LqgCIo1d7H0ZSSwRA,10A,0.542,508552.0,0.998,4bRq2LqgCIo1d7H0ZSSwRA,0.86,11.0,0.187,-7.449,0.0,0.0675,139.991,4.0,https://api.spotify.com/v1/tracks/4bRq2LqgCIo1d7H0ZSSwRA,audio_features,spotify:track:4bRq2LqgCIo1d7H0ZSSwRA,0.374
17,RAM   Susana, RAMelia ,Tribute To Amelia,0.000658,https://api.spotify.com/v1/audio-analysis/5jBqjVBEPOBcd51FF6l02M,5A,0.381,378827.0,0.922,5jBqjVBEPOBcd51FF6l02M,0.0123,0.0,0.34,-7.609,0.0,0.0496,137.008,4.0,https://api.spotify.com/v1/tracks/5jBqjVBEPOBcd51FF6l02M,audio_features,spotify:track:5jBqjVBEPOBcd51FF6l02M,0.0388
18,John O'Callaghan John Askew   Nadia Ali, Stressed Rapture ,Alex Vlasov Mashup,,,,,,,,,,,,,,,,,,,
19,Photographer   Armin Van Buuren, Airport Shivers ,Armin van Buuren Mashup,,,,,,,,,,,,,,,,,,,
