,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Armin Van Buuren Andrew Rayel, Eiforya ,Intro Edit,0.0114,https://api.spotify.com/v1/audio-analysis/4SAiG8QNV0AB4uBId7jI4J,8A,0.4,184761.0,0.904,4SAiG8QNV0AB4uBId7jI4J,0.47,9.0,0.415,-6.561,0.0,0.078,131.995,4.0,https://api.spotify.com/v1/tracks/4SAiG8QNV0AB4uBId7jI4J,audio_features,spotify:track:4SAiG8QNV0AB4uBId7jI4J,0.0708
1,MaRLo, Visions,unknown,0.0101,https://api.spotify.com/v1/audio-analysis/5krNxVnci4xYeV6AJPHXp1,8B,0.6,201210.0,0.938,5krNxVnci4xYeV6AJPHXp1,0.00254,0.0,0.224,-3.528,1.0,0.314,134.074,4.0,https://api.spotify.com/v1/tracks/5krNxVnci4xYeV6AJPHXp1,audio_features,spotify:track:5krNxVnci4xYeV6AJPHXp1,0.225
2,Cosmic Gate Mark Sixma   Riva Starr Fatboy Slim   Fedde Le Grand Sultan Ned Shepard, Crushed ,Armin van Buuren Mashup,0.0181,https://api.spotify.com/v1/audio-analysis/3UviS9TOLT2ciSjWGCGF8T,4A,0.547,275500.0,0.897,3UviS9TOLT2ciSjWGCGF8T,0.696,5.0,0.633,-7.077,0.0,0.0582,131.974,4.0,https://api.spotify.com/v1/tracks/3UviS9TOLT2ciSjWGCGF8T,audio_features,spotify:track:3UviS9TOLT2ciSjWGCGF8T,0.241
3,Ørjan Nilsen, The Late Anthem ,Way Too Late Mix,0.00295,https://api.spotify.com/v1/audio-analysis/1IlI8PWXlqtUmXoqGUlH0R,8B,0.632,145930.0,0.993,1IlI8PWXlqtUmXoqGUlH0R,0.917,0.0,0.133,-2.209,1.0,0.0458,128.015,4.0,https://api.spotify.com/v1/tracks/1IlI8PWXlqtUmXoqGUlH0R,audio_features,spotify:track:1IlI8PWXlqtUmXoqGUlH0R,0.682
4,W&W, Bigfoot,unknown,0.00108,https://api.spotify.com/v1/audio-analysis/4sKxpfxfS5AdVczPBtv4QX,4A,0.661,270000.0,0.887,4sKxpfxfS5AdVczPBtv4QX,0.757,5.0,0.0756,-3.996,0.0,0.0736,127.992,4.0,https://api.spotify.com/v1/tracks/4sKxpfxfS5AdVczPBtv4QX,audio_features,spotify:track:4sKxpfxfS5AdVczPBtv4QX,0.159
5,Armin Van Buuren pres. Gaia, Empire Of Hearts,unknown,0.00205,https://api.spotify.com/v1/audio-analysis/4nJmh25Z2XNex6zk6h96wd,6A,0.499,196364.0,0.975,4nJmh25Z2XNex6zk6h96wd,0.901,7.0,0.175,-4.936,0.0,0.0968,132.012,4.0,https://api.spotify.com/v1/tracks/4nJmh25Z2XNex6zk6h96wd,audio_features,spotify:track:4nJmh25Z2XNex6zk6h96wd,0.274
6,Ferry Corsten   KhoMha, The Dark Knight ,W&W Mashup,0.00025,https://api.spotify.com/v1/audio-analysis/7eZ8UBi6TZAyreMffCuWTF,3B,0.657,476255.0,0.765,7eZ8UBi6TZAyreMffCuWTF,0.919,1.0,0.0669,-7.365,1.0,0.0855,127.997,4.0,https://api.spotify.com/v1/tracks/7eZ8UBi6TZAyreMffCuWTF,audio_features,spotify:track:7eZ8UBi6TZAyreMffCuWTF,0.143
7,Max Graham, The Evil ID ,Mark Sherry Remix,8.21e-05,https://api.spotify.com/v1/audio-analysis/2qYkK15vwDv78El6Jn9UZP,9B,0.652,451404.0,0.872,2qYkK15vwDv78El6Jn9UZP,0.807,7.0,0.147,-5.686,1.0,0.0462,131.977,4.0,https://api.spotify.com/v1/tracks/2qYkK15vwDv78El6Jn9UZP,audio_features,spotify:track:2qYkK15vwDv78El6Jn9UZP,0.113
8,Armin van Buuren   Aruna, Won't Let You Go ,Standerwick Remix,,,,,,,,,,,,,,,,,,,
9,Gareth Emery   Bo Bruce, U ,Bryan Kearney Remix,0.00536,https://api.spotify.com/v1/audio-analysis/2Kt8mSfp68vrdoxdvJT0Dt,9B,0.475,252826.0,0.979,2Kt8mSfp68vrdoxdvJT0Dt,0.0134,7.0,0.336,-6.958,1.0,0.0777,137.997,4.0,https://api.spotify.com/v1/tracks/2Kt8mSfp68vrdoxdvJT0Dt,audio_features,spotify:track:2Kt8mSfp68vrdoxdvJT0Dt,0.108
10,Estiva   Paul Van Dyk Plumb, I Don't Deserve Dinodrums ,Armin van Buuren Mashup,,,,,,,,,,,,,,,,,,,
11,Ferry Corsten   KhoMha, The Dark Knight ,unknown,0.00025,https://api.spotify.com/v1/audio-analysis/7eZ8UBi6TZAyreMffCuWTF,3B,0.657,476255.0,0.765,7eZ8UBi6TZAyreMffCuWTF,0.919,1.0,0.0669,-7.365,1.0,0.0855,127.997,4.0,https://api.spotify.com/v1/tracks/7eZ8UBi6TZAyreMffCuWTF,audio_features,spotify:track:7eZ8UBi6TZAyreMffCuWTF,0.143
12,Armin van Buuren, Ping Pong,unknown,0.00377,https://api.spotify.com/v1/audio-analysis/1NM2NUzlN9SY8z5k4ZfRJB,2B,0.577,180923.0,0.985,1NM2NUzlN9SY8z5k4ZfRJB,0.142,6.0,0.0471,-3.494,1.0,0.0749,129.956,4.0,https://api.spotify.com/v1/tracks/1NM2NUzlN9SY8z5k4ZfRJB,audio_features,spotify:track:1NM2NUzlN9SY8z5k4ZfRJB,0.0748
13,Armin Van Buuren pres. Gaia, Empire Of Hearts,unknown,0.00205,https://api.spotify.com/v1/audio-analysis/4nJmh25Z2XNex6zk6h96wd,6A,0.499,196364.0,0.975,4nJmh25Z2XNex6zk6h96wd,0.901,7.0,0.175,-4.936,0.0,0.0968,132.012,4.0,https://api.spotify.com/v1/tracks/4nJmh25Z2XNex6zk6h96wd,audio_features,spotify:track:4nJmh25Z2XNex6zk6h96wd,0.274
14,Dart Rayne Yura Moonlight Sarah Lynn, Silhouette ,Allen & Envy Remix,0.00256,https://api.spotify.com/v1/audio-analysis/69TJZao8WqC2LX64xEw6HT,7A,0.349,222609.0,0.908,69TJZao8WqC2LX64xEw6HT,0.137,2.0,0.365,-9.658,0.0,0.105,138.018,4.0,https://api.spotify.com/v1/tracks/69TJZao8WqC2LX64xEw6HT,audio_features,spotify:track:69TJZao8WqC2LX64xEw6HT,0.134
15,Martin Garrix, Animals ,Broning Bootleg,0.00181,https://api.spotify.com/v1/audio-analysis/6JEntXLt4z98CcDtIH9sU7,3B,0.675,303827.0,0.866,6JEntXLt4z98CcDtIH9sU7,0.746,1.0,0.415,-6.454,1.0,0.039,128.007,4.0,https://api.spotify.com/v1/tracks/6JEntXLt4z98CcDtIH9sU7,audio_features,spotify:track:6JEntXLt4z98CcDtIH9sU7,0.0379
16,Gareth Emery Bryan Kearney Christina Novelli Bo Bruce, U Concrete Angel ,Armin van Buuren Mashup,,,,,,,,,,,,,,,,,,,
17,Armin van Buuren   Trevor Guthrie, This Is What It Feels Like ,John Ewbank Classical Remix,0.417,https://api.spotify.com/v1/audio-analysis/77Rx3xMZWX1NxEUnFwQavQ,9B,0.484,192724.0,0.359,77Rx3xMZWX1NxEUnFwQavQ,2.1e-06,7.0,0.131,-10.048,1.0,0.0351,121.557,3.0,https://api.spotify.com/v1/tracks/77Rx3xMZWX1NxEUnFwQavQ,audio_features,spotify:track:77Rx3xMZWX1NxEUnFwQavQ,0.175
18,w/ Armin van Buuren   Trevor Guthrie, This Is What It Feels Like ,W&W Remix,0.0391,https://api.spotify.com/v1/audio-analysis/5GjnIpUlLGEIYk052ISOw9,4B,0.552,204360.0,0.831,5GjnIpUlLGEIYk052ISOw9,2.93e-06,8.0,0.0632,-5.217,1.0,0.0298,129.889,5.0,https://api.spotify.com/v1/tracks/5GjnIpUlLGEIYk052ISOw9,audio_features,spotify:track:5GjnIpUlLGEIYk052ISOw9,0.144
