,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,OneRepublic, If I Lose Myself ,Kastra Remix,0.219,https://api.spotify.com/v1/audio-analysis/1hZk9dktp4yRFTm0TrycuH,10B,0.523,214813.0,0.782,1hZk9dktp4yRFTm0TrycuH,1.03e-05,2.0,0.133,-4.846,1.0,0.041,125.998,4.0,https://api.spotify.com/v1/tracks/1hZk9dktp4yRFTm0TrycuH,audio_features,spotify:track:1hZk9dktp4yRFTm0TrycuH,0.164
1,Norman Doray, Filtré ,Audrio Remix,0.00204,https://api.spotify.com/v1/audio-analysis/6r5gIMYwSiVvtriUViy6DH,9B,0.827,315938.0,0.86,6r5gIMYwSiVvtriUViy6DH,0.502,7.0,0.0691,-1.855,1.0,0.0698,128.013,4.0,https://api.spotify.com/v1/tracks/6r5gIMYwSiVvtriUViy6DH,audio_features,spotify:track:6r5gIMYwSiVvtriUViy6DH,0.389
2,Daft Punk   Pharrell Williams Nile Rodgers, Get Lucky ,LifeLike Remix,0.0378,https://api.spotify.com/v1/audio-analysis/69kOkLUCkxIZYexIgSG8rq,11A,0.81,369627.0,0.793,69kOkLUCkxIZYexIgSG8rq,1.82e-06,6.0,0.072,-9.404,0.0,0.0403,116.049,4.0,https://api.spotify.com/v1/tracks/69kOkLUCkxIZYexIgSG8rq,audio_features,spotify:track:69kOkLUCkxIZYexIgSG8rq,0.863
3,Avicii Nicky Romero, I Could Be The One ,DubVision Remix,0.328,https://api.spotify.com/v1/audio-analysis/591nHHHzZl1NLt9PMKpinM,11A,0.511,208320.0,0.807,591nHHHzZl1NLt9PMKpinM,0.000146,6.0,0.316,-3.699,0.0,0.0374,127.929,4.0,https://api.spotify.com/v1/tracks/591nHHHzZl1NLt9PMKpinM,audio_features,spotify:track:591nHHHzZl1NLt9PMKpinM,0.586
4,Daddy's Groove Rob Adans, Unbelievable,unknown,0.00579,https://api.spotify.com/v1/audio-analysis/39XOn8SXiQm0o8luC8XAdd,9B,0.624,316523.0,0.925,39XOn8SXiQm0o8luC8XAdd,0.947,7.0,0.0896,-5.67,1.0,0.0474,127.999,4.0,https://api.spotify.com/v1/tracks/39XOn8SXiQm0o8luC8XAdd,audio_features,spotify:track:39XOn8SXiQm0o8luC8XAdd,0.0924
5,Martin Garrix TV Noise, Just Some Loops,unknown,0.00022,https://api.spotify.com/v1/audio-analysis/17a6cgkneKMhzEN6g8pBn7,9B,0.814,303760.0,0.813,17a6cgkneKMhzEN6g8pBn7,0.893,7.0,0.371,-6.344,1.0,0.147,128.012,4.0,https://api.spotify.com/v1/tracks/17a6cgkneKMhzEN6g8pBn7,audio_features,spotify:track:17a6cgkneKMhzEN6g8pBn7,0.223
6,Knife Party, Power Glove,unknown,0.000105,https://api.spotify.com/v1/audio-analysis/6qpaTfe6rCl55xEPT4F7Hp,3B,0.674,261245.0,0.953,6qpaTfe6rCl55xEPT4F7Hp,0.151,1.0,0.498,-2.895,1.0,0.0835,127.977,4.0,https://api.spotify.com/v1/tracks/6qpaTfe6rCl55xEPT4F7Hp,audio_features,spotify:track:6qpaTfe6rCl55xEPT4F7Hp,0.38
7,Vicetone Nico Vega, Beast,unknown,0.00256,https://api.spotify.com/v1/audio-analysis/0GrcPg89CPjXEkPAsAooGP,10B,0.422,240987.0,0.91,0GrcPg89CPjXEkPAsAooGP,2.35e-05,2.0,0.0765,-3.669,1.0,0.0548,139.984,4.0,https://api.spotify.com/v1/tracks/0GrcPg89CPjXEkPAsAooGP,audio_features,spotify:track:0GrcPg89CPjXEkPAsAooGP,0.159
8,Fehrplay, Phantom,unknown,,,,,,,,,,,,,,,,,,,
9,Cazzette, KAV ,Instrumental Mix,,,,,,,,,,,,,,,,,,,
10,Sub Focus   Alex Clare, Endorphins ,Sub Focus vs. Fred V & Grafix Remix,0.00305,https://api.spotify.com/v1/audio-analysis/5dQumDzmxOm8R71YEfWpA3,10A,0.468,275282.0,0.862,5dQumDzmxOm8R71YEfWpA3,0.00147,11.0,0.0758,-5.03,0.0,0.0432,174.016,4.0,https://api.spotify.com/v1/tracks/5dQumDzmxOm8R71YEfWpA3,audio_features,spotify:track:5dQumDzmxOm8R71YEfWpA3,0.102
11,Kaskade   Joslyn," It's You, It's Me ",Shoe Scene Symphony Remix,0.00282,https://api.spotify.com/v1/audio-analysis/5FzQRhvJxgD0vOJDfu1h7x,12B,0.788,411765.0,0.871,5FzQRhvJxgD0vOJDfu1h7x,0.0623,4.0,0.101,-4.601,1.0,0.0512,123.017,4.0,https://api.spotify.com/v1/tracks/5FzQRhvJxgD0vOJDfu1h7x,audio_features,spotify:track:5FzQRhvJxgD0vOJDfu1h7x,0.709
12,Avicii   Aloe Blacc, Wake Me Up ,PANG! Slow Things Down Mix,0.00346,https://api.spotify.com/v1/audio-analysis/4h8VwCb1MTGoLKueQ1WgbD,10B,0.518,247427.0,0.784,4h8VwCb1MTGoLKueQ1WgbD,0.00187,2.0,0.171,-5.659,1.0,0.0524,124.102,4.0,https://api.spotify.com/v1/tracks/4h8VwCb1MTGoLKueQ1WgbD,audio_features,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,0.588
