,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Oliver Heldens, I Don't Wanna Go Home ,Moksi Remix,0.127,https://api.spotify.com/v1/audio-analysis/5LYlarrWTkVFo5Z2UPpc5r,3A,0.823,211875.0,0.721,5LYlarrWTkVFo5Z2UPpc5r,0.412,10.0,0.0257,-6.342,0.0,0.169,127.986,4.0,https://api.spotify.com/v1/tracks/5LYlarrWTkVFo5Z2UPpc5r,audio_features,spotify:track:5LYlarrWTkVFo5Z2UPpc5r,0.813
1,Chocolate Puma Moksi   BrEaCh, Hippo ,Moksi Mashup,0.000992,https://api.spotify.com/v1/audio-analysis/2SSZwKZUkOxcYdIRdxJdkQ,3B,0.846,204094.0,0.916,2SSZwKZUkOxcYdIRdxJdkQ,0.897,1.0,0.107,-7.168,1.0,0.243,127.001,4.0,https://api.spotify.com/v1/tracks/2SSZwKZUkOxcYdIRdxJdkQ,audio_features,spotify:track:2SSZwKZUkOxcYdIRdxJdkQ,0.322
2,Moksi, In The Rave,unknown,0.00184,https://api.spotify.com/v1/audio-analysis/7zNN7Vvo0ZTnIGDi1SWPaU,10A,0.726,271875.0,0.889,7zNN7Vvo0ZTnIGDi1SWPaU,0.286,11.0,0.0341,-6.228,0.0,0.0534,128.005,4.0,https://api.spotify.com/v1/tracks/7zNN7Vvo0ZTnIGDi1SWPaU,audio_features,spotify:track:7zNN7Vvo0ZTnIGDi1SWPaU,0.615
3,Moksi, Brace Yourself ,VIP,0.0069,https://api.spotify.com/v1/audio-analysis/5vVeRtyZAbMcc76MAqDOxo,8B,0.802,240234.0,0.739,5vVeRtyZAbMcc76MAqDOxo,0.00134,0.0,0.0433,-8.188,1.0,0.0689,127.997,4.0,https://api.spotify.com/v1/tracks/5vVeRtyZAbMcc76MAqDOxo,audio_features,spotify:track:5vVeRtyZAbMcc76MAqDOxo,0.701
4,DJ Snake Yellow Claw   Wiwek Skrillex feat. Eliphant, Ocho Cinco ,Moksi Switch Up,0.0017,https://api.spotify.com/v1/audio-analysis/7LWPWw7PtYHrDn194kNCPA,3B,0.556,222000.0,0.943,7LWPWw7PtYHrDn194kNCPA,0.0676,1.0,0.0747,-2.115,1.0,0.15,150.031,4.0,https://api.spotify.com/v1/tracks/7LWPWw7PtYHrDn194kNCPA,audio_features,spotify:track:7LWPWw7PtYHrDn194kNCPA,0.396
5,Moksi Chace   Yade Lauren, Lucky,unknown,0.0127,https://api.spotify.com/v1/audio-analysis/3ItxfrDWn5XBVAD47u47r4,4B,0.688,192889.0,0.775,3ItxfrDWn5XBVAD47u47r4,0.0,8.0,0.217,-4.988,1.0,0.0484,122.997,4.0,https://api.spotify.com/v1/tracks/3ItxfrDWn5XBVAD47u47r4,audio_features,spotify:track:3ItxfrDWn5XBVAD47u47r4,0.502
6,Moksi Mightyfools, Throwback,unknown,0.0188,https://api.spotify.com/v1/audio-analysis/5y8HrpAZy3D6WHmchWlnmx,12A,0.764,225469.0,0.955,5y8HrpAZy3D6WHmchWlnmx,0.106,1.0,0.0633,-4.15,0.0,0.105,127.985,4.0,https://api.spotify.com/v1/tracks/5y8HrpAZy3D6WHmchWlnmx,audio_features,spotify:track:5y8HrpAZy3D6WHmchWlnmx,0.482
7,Moksi   Tchami, I Get U There ,Moksi Switch Up,,,,,,,,,,,,,,,,,,,
8,Katy Perry, Swish Swish ,Valentino Khan Remix,0.0377,https://api.spotify.com/v1/audio-analysis/60jMCb9jnlhICNbD3wqmGR,3B,0.885,200625.0,0.746,60jMCb9jnlhICNbD3wqmGR,0.00332,1.0,0.123,-4.07,1.0,0.0491,128.028,4.0,https://api.spotify.com/v1/tracks/60jMCb9jnlhICNbD3wqmGR,audio_features,spotify:track:60jMCb9jnlhICNbD3wqmGR,0.586
9,Moksi D.O.D, Higher,unknown,0.00815,https://api.spotify.com/v1/audio-analysis/3ScJJURDW1iX5HxQINL9PO,11A,0.744,183452.0,0.947,3ScJJURDW1iX5HxQINL9PO,0.283,6.0,0.141,-2.259,0.0,0.0738,126.052,4.0,https://api.spotify.com/v1/tracks/3ScJJURDW1iX5HxQINL9PO,audio_features,spotify:track:3ScJJURDW1iX5HxQINL9PO,0.766
