,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Axwell Λ Ingrosso   Kinnda, How Do You Feel Right Now ,Intro Edit,0.0103,https://api.spotify.com/v1/audio-analysis/5P9lfNxIoCTCcInZRSdjW4,1A,0.707,179387.0,0.921,5P9lfNxIoCTCcInZRSdjW4,0.17,8.0,0.0995,-4.077,0.0,0.111,127.982,4.0,https://api.spotify.com/v1/tracks/5P9lfNxIoCTCcInZRSdjW4,audio_features,spotify:track:5P9lfNxIoCTCcInZRSdjW4,0.0397
1,Tom Swoon Teamworx   The Game Skrillex   Axwell, Atom ,Axwell Λ Ingrosso Mashup,2.45e-05,https://api.spotify.com/v1/audio-analysis/5N4dAK7oIBhH9ghhJQhsv4,3B,0.564,152812.0,0.937,5N4dAK7oIBhH9ghhJQhsv4,0.776,1.0,0.253,-5.327,1.0,0.0439,127.967,4.0,https://api.spotify.com/v1/tracks/5N4dAK7oIBhH9ghhJQhsv4,audio_features,spotify:track:5N4dAK7oIBhH9ghhJQhsv4,0.175
2,w/ Syndicate Of L.A.W., Right On Time ,2000 Countdown The Holly Digit,0.638,https://api.spotify.com/v1/audio-analysis/2OUJWx6W103MDdK0xrwPeO,10B,0.267,301053.0,0.701,2OUJWx6W103MDdK0xrwPeO,0.0,2.0,0.0964,-4.959,1.0,0.0366,201.759,3.0,https://api.spotify.com/v1/tracks/2OUJWx6W103MDdK0xrwPeO,audio_features,spotify:track:2OUJWx6W103MDdK0xrwPeO,0.671
3,D.O.D, Sixes,unknown,0.000641,https://api.spotify.com/v1/audio-analysis/1NQcFF1frcwdZZGhaMEYH4,8B,0.729,153214.0,0.998,1NQcFF1frcwdZZGhaMEYH4,0.244,0.0,0.0586,0.042,1.0,0.0693,126.016,4.0,https://api.spotify.com/v1/tracks/1NQcFF1frcwdZZGhaMEYH4,audio_features,spotify:track:1NQcFF1frcwdZZGhaMEYH4,0.732
4,Zombie Nation, Kernkraft 400 ,W&W Bootleg,0.00415,https://api.spotify.com/v1/audio-analysis/7g8cjrj0sXScNE727685JE,2B,0.714,207267.0,0.528,7g8cjrj0sXScNE727685JE,0.854,6.0,0.0819,-8.789,1.0,0.0692,139.983,4.0,https://api.spotify.com/v1/tracks/7g8cjrj0sXScNE727685JE,audio_features,spotify:track:7g8cjrj0sXScNE727685JE,0.297
5,w/ Axel E, Take It To The Top ,Albin Myers Remix,0.000459,https://api.spotify.com/v1/audio-analysis/3dzeAaeGYUJVZQ0h7C1uPN,10B,0.781,183750.0,0.987,3dzeAaeGYUJVZQ0h7C1uPN,0.673,2.0,0.529,-4.841,1.0,0.095,127.963,4.0,https://api.spotify.com/v1/tracks/3dzeAaeGYUJVZQ0h7C1uPN,audio_features,spotify:track:3dzeAaeGYUJVZQ0h7C1uPN,0.601
6,w/ Valentino Khan, Deep Down Low,unknown,0.00371,https://api.spotify.com/v1/audio-analysis/46rZgRYU1H5Xnv0n75OGis,4A,0.794,190476.0,0.896,46rZgRYU1H5Xnv0n75OGis,0.615,5.0,0.0876,-1.514,0.0,0.0677,125.999,4.0,https://api.spotify.com/v1/tracks/46rZgRYU1H5Xnv0n75OGis,audio_features,spotify:track:46rZgRYU1H5Xnv0n75OGis,0.5
7,Axwell Λ Ingrosso   Ed Sheeran, Dream Bigger ,Axwell Λ Ingrosso Mashup,0.00652,https://api.spotify.com/v1/audio-analysis/76BFt6hGCrZhGHrGh0N3uC,9B,0.642,196800.0,0.908,76BFt6hGCrZhGHrGh0N3uC,1.5e-05,7.0,0.0863,-3.0,1.0,0.166,125.001,4.0,https://api.spotify.com/v1/tracks/76BFt6hGCrZhGHrGh0N3uC,audio_features,spotify:track:76BFt6hGCrZhGHrGh0N3uC,0.735
8,D.O.D Afrojack   Sebastian Ingrosso   The Weeknd feat. Daft Punk   The Temper Trap Axwell Dirty South, Taking You Back ,Axwell Λ Ingrosso Mashup,0.0115,https://api.spotify.com/v1/audio-analysis/2VyADHzUVopqVvFHaz1o7K,3B,0.697,146887.0,0.995,2VyADHzUVopqVvFHaz1o7K,0.00276,1.0,0.331,-1.442,1.0,0.211,126.093,4.0,https://api.spotify.com/v1/tracks/2VyADHzUVopqVvFHaz1o7K,audio_features,spotify:track:2VyADHzUVopqVvFHaz1o7K,0.163
9,J Balvin Willy William, Mi Gente ,Moska Bootleg,0.0179,https://api.spotify.com/v1/audio-analysis/4ipnJyDU3Lq15qBAYNqlqK,10A,0.774,189440.0,0.687,4ipnJyDU3Lq15qBAYNqlqK,1.17e-05,11.0,0.128,-4.818,0.0,0.0584,104.959,4.0,https://api.spotify.com/v1/tracks/4ipnJyDU3Lq15qBAYNqlqK,audio_features,spotify:track:4ipnJyDU3Lq15qBAYNqlqK,0.308
10,Sebastian Ingrosso   The Source Candi Staton   Alesso Ryan Tedder   Gotye Kimbra, Laktos ,Axwell Λ Ingrosso Mashup,0.124,https://api.spotify.com/v1/audio-analysis/166mDtYJGWWPV2Ozh2L1EW,7B,0.679,461103.0,0.892,166mDtYJGWWPV2Ozh2L1EW,0.881,5.0,0.0724,-7.767,1.0,0.0421,125.01,4.0,https://api.spotify.com/v1/tracks/166mDtYJGWWPV2Ozh2L1EW,audio_features,spotify:track:166mDtYJGWWPV2Ozh2L1EW,0.0613
11,Swedish House Mafia Knife Party feat. ADL   Axwell Λ Ingrosso feat. Pharrell Williams   Skrillex Rick Ross   Garmiani, Antidote ,Axwell Λ Ingrosso Mashup,0.000643,https://api.spotify.com/v1/audio-analysis/14epucTZd8dLIYipdByNZS,9B,0.733,374125.0,0.821,14epucTZd8dLIYipdByNZS,0.373,7.0,0.0617,-6.021,1.0,0.0991,128.013,4.0,https://api.spotify.com/v1/tracks/14epucTZd8dLIYipdByNZS,audio_features,spotify:track:14epucTZd8dLIYipdByNZS,0.63
12,Federico Scavo, Balada ,Nicola Fasano & Miami Rockets Remix,0.00907,https://api.spotify.com/v1/audio-analysis/1HwYTeyYhEAXq1QmhCghaJ,3B,0.758,242860.0,0.987,1HwYTeyYhEAXq1QmhCghaJ,0.855,1.0,0.342,-3.487,1.0,0.0596,128.167,4.0,https://api.spotify.com/v1/tracks/1HwYTeyYhEAXq1QmhCghaJ,audio_features,spotify:track:1HwYTeyYhEAXq1QmhCghaJ,0.437
13,w/ Quintino   Kendrick Lemar, Carnival ,Axwell Λ Ingrosso Mashup,0.494,https://api.spotify.com/v1/audio-analysis/6ydgp8s3RrT0vuGAym29U4,7B,0.648,188267.0,0.667,6ydgp8s3RrT0vuGAym29U4,4.79e-06,5.0,0.482,-10.576,1.0,0.0292,116.016,4.0,https://api.spotify.com/v1/tracks/6ydgp8s3RrT0vuGAym29U4,audio_features,spotify:track:6ydgp8s3RrT0vuGAym29U4,0.668
14,Axwell Λ Ingrosso   Coldplay, Dawn ,Axwell Λ Ingrosso Mashup,0.0159,https://api.spotify.com/v1/audio-analysis/3g66v3lFNy6cLk22PgJOUS,2A,0.523,332187.0,0.681,3g66v3lFNy6cLk22PgJOUS,0.789,3.0,0.0679,-6.752,0.0,0.0311,128.001,4.0,https://api.spotify.com/v1/tracks/3g66v3lFNy6cLk22PgJOUS,audio_features,spotify:track:3g66v3lFNy6cLk22PgJOUS,0.147
15,Axwell Shapov, Belong,unknown,0.0265,https://api.spotify.com/v1/audio-analysis/0zqW3PH8IqXu1ososgokBX,2B,0.535,217500.0,0.882,0zqW3PH8IqXu1ososgokBX,0.0,6.0,0.104,-3.104,1.0,0.0389,127.957,4.0,https://api.spotify.com/v1/tracks/0zqW3PH8IqXu1ososgokBX,audio_features,spotify:track:0zqW3PH8IqXu1ososgokBX,0.228
16,w/ Axwell Shapov, Belong ,Axwell & Years Remode,0.706,https://api.spotify.com/v1/audio-analysis/4K0eRQ1S4QIQHHVRb4c3MB,4B,0.332,219160.0,0.257,4K0eRQ1S4QIQHHVRb4c3MB,0.000881,8.0,0.0995,-10.968,1.0,0.0297,127.346,4.0,https://api.spotify.com/v1/tracks/4K0eRQ1S4QIQHHVRb4c3MB,audio_features,spotify:track:4K0eRQ1S4QIQHHVRb4c3MB,0.195
17,Ivan Gough Feenixpawl   Georgi Kay, In My Mind ,Axwell Mix,0.0393,https://api.spotify.com/v1/audio-analysis/4S7J46CLuda7ayjLc2dL9v,6A,0.668,399790.0,0.896,4S7J46CLuda7ayjLc2dL9v,0.00223,7.0,0.298,-5.188,0.0,0.0886,127.997,4.0,https://api.spotify.com/v1/tracks/4S7J46CLuda7ayjLc2dL9v,audio_features,spotify:track:4S7J46CLuda7ayjLc2dL9v,0.302
18,Hans Zimmer   Sebastian Ingrosso Tommy Trash John Martin   Green Velvet Nicky Romero   The Weeknd Daft Punk, Cornfield Chase ,Axwell Λ Ingrosso Mashup,0.948,https://api.spotify.com/v1/audio-analysis/15WRWc3qqlyAzTne9q5tQK,8A,0.33,126960.0,0.229,15WRWc3qqlyAzTne9q5tQK,0.973,9.0,0.0998,-16.442,0.0,0.0375,96.158,4.0,https://api.spotify.com/v1/tracks/15WRWc3qqlyAzTne9q5tQK,audio_features,spotify:track:15WRWc3qqlyAzTne9q5tQK,0.0593
19,w/ Guru Josh Project, Infinity,unknown,0.011,https://api.spotify.com/v1/audio-analysis/6LLHJNnxemcAf75bRBFkFU,6A,0.638,264173.0,0.931,6LLHJNnxemcAf75bRBFkFU,0.00808,7.0,0.371,-5.438,0.0,0.0447,125.604,4.0,https://api.spotify.com/v1/tracks/6LLHJNnxemcAf75bRBFkFU,audio_features,spotify:track:6LLHJNnxemcAf75bRBFkFU,0.647
20,Axwell Λ Ingrosso Salem Al Fakir   Swedish House Mafia John Martin   Europe, On My Way ,Axwell Λ Ingrosso Mashup,0.0583,https://api.spotify.com/v1/audio-analysis/5zATs59c3mikRxLK6ODE0p,8B,0.646,264800.0,0.814,5zATs59c3mikRxLK6ODE0p,6.42e-05,0.0,0.118,-4.547,1.0,0.0433,127.978,4.0,https://api.spotify.com/v1/tracks/5zATs59c3mikRxLK6ODE0p,audio_features,spotify:track:5zATs59c3mikRxLK6ODE0p,0.326
21,The Fugees, Killing Me Softly,unknown,0.464,https://api.spotify.com/v1/audio-analysis/005JbbnopcIromKSuaCbOq,8B,0.665,231293.0,0.737,005JbbnopcIromKSuaCbOq,0.0145,0.0,0.0459,-7.103,1.0,0.0276,98.001,4.0,https://api.spotify.com/v1/tracks/005JbbnopcIromKSuaCbOq,audio_features,spotify:track:005JbbnopcIromKSuaCbOq,0.594
22,w/ Axwell Λ Ingrosso   Salem Al Fakir Vincent Pontare, Sun Is Shining,unknown,0.0866,https://api.spotify.com/v1/audio-analysis/4b2tcjrG1qUkSdsqEFP2dB,10B,0.467,254653.0,0.757,4b2tcjrG1qUkSdsqEFP2dB,0.0,2.0,0.0742,-3.01,1.0,0.0517,131.993,4.0,https://api.spotify.com/v1/tracks/4b2tcjrG1qUkSdsqEFP2dB,audio_features,spotify:track:4b2tcjrG1qUkSdsqEFP2dB,0.383
23,w/ Swedish House Mafia   John Martin, Don't You Worry Child,unknown,,,,,,,,,,,,,,,,,,,
