,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Alec Empire, Civilisation Virus,unknown,0.136,https://api.spotify.com/v1/audio-analysis/2wyRr7VowLjwAH4wfWwmYO,3B,0.298,810227.0,0.33,2wyRr7VowLjwAH4wfWwmYO,0.853,1.0,0.105,-20.087,1.0,0.0549,165.994,4.0,https://api.spotify.com/v1/tracks/2wyRr7VowLjwAH4wfWwmYO,audio_features,spotify:track:2wyRr7VowLjwAH4wfWwmYO,0.0319
1,Tim Hecker," Analog Paralysis, 1978",unknown,0.752,https://api.spotify.com/v1/audio-analysis/3guEVTjNJHoR5D7GJRZMs5,9B,0.0885,231907.0,0.175,3guEVTjNJHoR5D7GJRZMs5,0.934,7.0,0.111,-18.707,1.0,0.0316,70.198,4.0,https://api.spotify.com/v1/tracks/3guEVTjNJHoR5D7GJRZMs5,audio_features,spotify:track:3guEVTjNJHoR5D7GJRZMs5,0.0766
2,Oneohtrix Point Never, Bullet Hell Abstraction,unknown,0.0179,https://api.spotify.com/v1/audio-analysis/1Fv1kk5REkifYbdBJcF1y1,6B,0.269,376176.0,0.837,1Fv1kk5REkifYbdBJcF1y1,0.647,10.0,0.204,-9.94,1.0,0.271,94.832,3.0,https://api.spotify.com/v1/tracks/1Fv1kk5REkifYbdBJcF1y1,audio_features,spotify:track:1Fv1kk5REkifYbdBJcF1y1,0.0365
3,Slayer, Criminally Insane ,Remix,0.000418,https://api.spotify.com/v1/audio-analysis/3PXiaxuWezNPoy2cfjMEsU,3A,0.314,197533.0,0.907,3PXiaxuWezNPoy2cfjMEsU,0.158,10.0,0.0992,-5.827,0.0,0.0954,105.207,4.0,https://api.spotify.com/v1/tracks/3PXiaxuWezNPoy2cfjMEsU,audio_features,spotify:track:3PXiaxuWezNPoy2cfjMEsU,0.0644
4,The Sea Cake, I Took The Opportunity To Antique My End Table ,Jim O'Rourke Remix,0.864,https://api.spotify.com/v1/audio-analysis/7ExGUS0rBtPoT95rlhkHIQ,8A,0.459,448840.0,0.221,7ExGUS0rBtPoT95rlhkHIQ,0.927,9.0,0.192,-18.438,0.0,0.0355,118.231,4.0,https://api.spotify.com/v1/tracks/7ExGUS0rBtPoT95rlhkHIQ,audio_features,spotify:track:7ExGUS0rBtPoT95rlhkHIQ,0.0669
5,Squarepusher, Mutilation Colony,Live,0.126,https://api.spotify.com/v1/audio-analysis/2CuS7praFOcuVII06vWlli,4B,0.293,163120.0,0.268,2CuS7praFOcuVII06vWlli,0.0646,8.0,0.836,-20.754,1.0,0.139,120.029,3.0,https://api.spotify.com/v1/tracks/2CuS7praFOcuVII06vWlli,audio_features,spotify:track:2CuS7praFOcuVII06vWlli,0.0782
6,Sculpture, Multi,unknown,0.247,https://api.spotify.com/v1/audio-analysis/4h4e2PKwFHUfr5zy2cbV7r,4B,0.519,250787.0,0.749,4h4e2PKwFHUfr5zy2cbV7r,0.304,8.0,0.0753,-11.059,1.0,0.341,104.296,4.0,https://api.spotify.com/v1/tracks/4h4e2PKwFHUfr5zy2cbV7r,audio_features,spotify:track:4h4e2PKwFHUfr5zy2cbV7r,0.383
7,Deru, 1979,unknown,0.949,https://api.spotify.com/v1/audio-analysis/3wC6d6o50UvL8tbqSeZFlu,7B,0.344,291147.0,0.128,3wC6d6o50UvL8tbqSeZFlu,0.876,5.0,0.118,-16.762,1.0,0.036,69.843,4.0,https://api.spotify.com/v1/tracks/3wC6d6o50UvL8tbqSeZFlu,audio_features,spotify:track:3wC6d6o50UvL8tbqSeZFlu,0.0369
8,Martin Hannett Steve Hopkins, Scandinavian Wastes,unknown,0.00328,https://api.spotify.com/v1/audio-analysis/2e8Wo43f3Xo5GfJCxS6UR2,10A,0.674,336120.0,0.701,2e8Wo43f3Xo5GfJCxS6UR2,0.906,11.0,0.349,-9.599,0.0,0.0403,130.278,4.0,https://api.spotify.com/v1/tracks/2e8Wo43f3Xo5GfJCxS6UR2,audio_features,spotify:track:2e8Wo43f3Xo5GfJCxS6UR2,0.806
9,19.94, Franchaise,unknown,,,,,,,,,,,,,,,,,,,
10,ID, Funny Kids Talk To Robot,unknown,,,,,,,,,,,,,,,,,,,
11,Bohren Der Club Of Gore, Piano Nights,unknown,0.0213,https://api.spotify.com/v1/audio-analysis/23lbsvSOwYVRz59swylL0P,6A,0.866,350694.0,0.451,23lbsvSOwYVRz59swylL0P,0.826,7.0,0.0374,-13.025,0.0,0.0716,121.999,4.0,https://api.spotify.com/v1/tracks/23lbsvSOwYVRz59swylL0P,audio_features,spotify:track:23lbsvSOwYVRz59swylL0P,0.234
12,Deutsch Amerikanische Freundschaft, Absolute Körperkontrolle,unknown,,,,,,,,,,,,,,,,,,,
13,Modeselektor, The Black Block ,Marcel Dettmann Redefinition,0.000788,https://api.spotify.com/v1/audio-analysis/2EIysD4Lbv9A40y6fc9bok,3A,0.592,343080.0,0.415,2EIysD4Lbv9A40y6fc9bok,0.867,10.0,0.28,-13.114,0.0,0.121,190.358,3.0,https://api.spotify.com/v1/tracks/2EIysD4Lbv9A40y6fc9bok,audio_features,spotify:track:2EIysD4Lbv9A40y6fc9bok,0.0429
14,Ant Orange, Omi,unknown,0.269,https://api.spotify.com/v1/audio-analysis/1zFE1i0pfhGEy0GFgh7q7A,10A,0.818,312000.0,0.753,1zFE1i0pfhGEy0GFgh7q7A,0.885,11.0,0.114,-15.925,0.0,0.112,104.04,4.0,https://api.spotify.com/v1/tracks/1zFE1i0pfhGEy0GFgh7q7A,audio_features,spotify:track:1zFE1i0pfhGEy0GFgh7q7A,0.567
15,Moderat, Finder,unknown,0.0385,https://api.spotify.com/v1/audio-analysis/1e8N6JN3AJcDS4DU8dal4X,8B,0.698,319555.0,0.582,1e8N6JN3AJcDS4DU8dal4X,0.89,0.0,0.181,-11.074,1.0,0.0609,111.982,4.0,https://api.spotify.com/v1/tracks/1e8N6JN3AJcDS4DU8dal4X,audio_features,spotify:track:1e8N6JN3AJcDS4DU8dal4X,0.296
16,Randomer, Juju,unknown,0.00275,https://api.spotify.com/v1/audio-analysis/51yl8EqGCu7yiyTsTExupD,10B,0.787,340000.0,0.974,51yl8EqGCu7yiyTsTExupD,0.928,2.0,0.0758,-6.805,1.0,0.0779,132.028,4.0,https://api.spotify.com/v1/tracks/51yl8EqGCu7yiyTsTExupD,audio_features,spotify:track:51yl8EqGCu7yiyTsTExupD,0.115
17,Jonny D, ID,unknown,0.315,https://api.spotify.com/v1/audio-analysis/70Nsv4tYLHhpOyv8h8r22o,4A,0.777,312133.0,0.422,70Nsv4tYLHhpOyv8h8r22o,0.00509,5.0,0.0725,-11.799,0.0,0.0335,107.018,4.0,https://api.spotify.com/v1/tracks/70Nsv4tYLHhpOyv8h8r22o,audio_features,spotify:track:70Nsv4tYLHhpOyv8h8r22o,0.369
18,Abayomi, Abayomi 001,unknown,,,,,,,,,,,,,,,,,,,
19,Basic Soul Unit, Restless In Thought,unknown,6.7e-05,https://api.spotify.com/v1/audio-analysis/1dH8yD2puPxt91Al1SV4TD,3A,0.399,342000.0,0.878,1dH8yD2puPxt91Al1SV4TD,0.924,10.0,0.159,-8.98,0.0,0.0525,159.424,5.0,https://api.spotify.com/v1/tracks/1dH8yD2puPxt91Al1SV4TD,audio_features,spotify:track:1dH8yD2puPxt91Al1SV4TD,0.0388
20,Dario Zenker, Mörsin,unknown,,,,,,,,,,,,,,,,,,,
