,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Bass Modulators, Dragonblood ,Defqon.1 Anthem 2016,0.00156,https://api.spotify.com/v1/audio-analysis/16rxAzhFBF7M6oeBywzYJU,3A,0.446,319000.0,0.95,16rxAzhFBF7M6oeBywzYJU,0.0279,10.0,0.328,-3.764,0.0,0.0995,149.856,4.0,https://api.spotify.com/v1/tracks/16rxAzhFBF7M6oeBywzYJU,audio_features,spotify:track:16rxAzhFBF7M6oeBywzYJU,0.349
1,Bass Modulators, Mantra,unknown,0.00111,https://api.spotify.com/v1/audio-analysis/3P0uKnNjU90Rrl0Ygg3QfH,4A,0.448,232000.0,0.949,3P0uKnNjU90Rrl0Ygg3QfH,0.00461,5.0,0.308,-2.124,0.0,0.0772,150.086,4.0,https://api.spotify.com/v1/tracks/3P0uKnNjU90Rrl0Ygg3QfH,audio_features,spotify:track:3P0uKnNjU90Rrl0Ygg3QfH,0.114
2,Audiotricz, Let There Be Light,unknown,0.019,https://api.spotify.com/v1/audio-analysis/6DUXTNrILvMUEPtj8PIYyO,11B,0.518,189200.0,0.77,6DUXTNrILvMUEPtj8PIYyO,0.194,9.0,0.355,-6.15,1.0,0.0634,150.008,4.0,https://api.spotify.com/v1/tracks/6DUXTNrILvMUEPtj8PIYyO,audio_features,spotify:track:6DUXTNrILvMUEPtj8PIYyO,0.068
3,D,Block & S,The Prophet Remix,0.129,https://api.spotify.com/v1/audio-analysis/1oBFJdXZustB4XE7wIaKjF,8B,0.544,171142.0,0.973,1oBFJdXZustB4XE7wIaKjF,0.000107,0.0,0.212,-4.18,1.0,0.0842,148.002,4.0,https://api.spotify.com/v1/tracks/1oBFJdXZustB4XE7wIaKjF,audio_features,spotify:track:1oBFJdXZustB4XE7wIaKjF,0.255
4,Bass Modulators, Radiance,unknown,0.00472,https://api.spotify.com/v1/audio-analysis/61dC768pb90xPVCIQ2QJgD,3A,0.513,364933.0,0.938,61dC768pb90xPVCIQ2QJgD,0.957,10.0,0.423,-3.342,0.0,0.0675,150.011,4.0,https://api.spotify.com/v1/tracks/61dC768pb90xPVCIQ2QJgD,audio_features,spotify:track:61dC768pb90xPVCIQ2QJgD,0.0394
5,The Prophet, Caramba,unknown,0.0103,https://api.spotify.com/v1/audio-analysis/2wZL0Yt6qeFxDN45yBs9Bm,11B,0.647,159800.0,0.86,2wZL0Yt6qeFxDN45yBs9Bm,2e-05,9.0,0.141,-5.314,1.0,0.247,149.918,3.0,https://api.spotify.com/v1/tracks/2wZL0Yt6qeFxDN45yBs9Bm,audio_features,spotify:track:2wZL0Yt6qeFxDN45yBs9Bm,0.517
6,Noisecontrollers Bass Modulators, Mumbai,unknown,0.00556,https://api.spotify.com/v1/audio-analysis/2HeBvkzAUegVTH2woVdBIq,9B,0.453,179300.0,0.978,2HeBvkzAUegVTH2woVdBIq,0.0122,7.0,0.119,-1.837,1.0,0.0767,150.097,4.0,https://api.spotify.com/v1/tracks/2HeBvkzAUegVTH2woVdBIq,audio_features,spotify:track:2HeBvkzAUegVTH2woVdBIq,0.435
7,Bass Modulators, Oxygen,unknown,0.00544,https://api.spotify.com/v1/audio-analysis/39zVBBroMkbkYQYy9HkUV5,3A,0.479,186530.0,0.835,39zVBBroMkbkYQYy9HkUV5,0.000229,10.0,0.0669,-2.837,0.0,0.0384,148.231,4.0,https://api.spotify.com/v1/tracks/39zVBBroMkbkYQYy9HkUV5,audio_features,spotify:track:39zVBBroMkbkYQYy9HkUV5,0.205
8,Bass Modulators, Sun Goes Down,unknown,0.00534,https://api.spotify.com/v1/audio-analysis/7nPfWKdn76oiFwD0aUCmWA,10B,0.571,237000.0,0.894,7nPfWKdn76oiFwD0aUCmWA,0.0218,2.0,0.35,-3.336,1.0,0.0422,150.043,4.0,https://api.spotify.com/v1/tracks/7nPfWKdn76oiFwD0aUCmWA,audio_features,spotify:track:7nPfWKdn76oiFwD0aUCmWA,0.443
9,Noisecontrollers Bass Modulators, Destination ,Decibel Anthem 2017,0.000654,https://api.spotify.com/v1/audio-analysis/5Y2ijl0kXJXlwW9k1jjXz4,8B,0.546,287300.0,0.96,5Y2ijl0kXJXlwW9k1jjXz4,9.91e-05,0.0,0.219,-3.848,1.0,0.2,150.073,4.0,https://api.spotify.com/v1/tracks/5Y2ijl0kXJXlwW9k1jjXz4,audio_features,spotify:track:5Y2ijl0kXJXlwW9k1jjXz4,0.216
