,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Blasterjaxx, Paella,unknown,,,,,,,,,,,,,,,,,,,
1,Blasterjaxx, Gravity,unknown,0.0407,https://api.spotify.com/v1/audio-analysis/70Sh2Mp3ZQsz9bHxMrjd0n,3B,0.803,360010.0,0.718,70Sh2Mp3ZQsz9bHxMrjd0n,0.525,1.0,0.0609,-5.637,1.0,0.144,127.994,4.0,https://api.spotify.com/v1/tracks/70Sh2Mp3ZQsz9bHxMrjd0n,audio_features,spotify:track:70Sh2Mp3ZQsz9bHxMrjd0n,0.229
2,W&W Blasterjaxx, Rocket,unknown,0.000885,https://api.spotify.com/v1/audio-analysis/60bhhX6Jxyldf26yuQKfnP,4B,0.674,315000.0,0.956,60bhhX6Jxyldf26yuQKfnP,0.599,8.0,0.071,-2.938,1.0,0.0559,128.034,4.0,https://api.spotify.com/v1/tracks/60bhhX6Jxyldf26yuQKfnP,audio_features,spotify:track:60bhhX6Jxyldf26yuQKfnP,0.107
3,Willy William, Ego ,Blasterjaxx Remix,0.301,https://api.spotify.com/v1/audio-analysis/5udBYaQfxUr1SvPVkyeVTz,3A,0.745,207600.0,0.88,5udBYaQfxUr1SvPVkyeVTz,0.000544,10.0,0.361,-3.701,0.0,0.0319,100.018,4.0,https://api.spotify.com/v1/tracks/5udBYaQfxUr1SvPVkyeVTz,audio_features,spotify:track:5udBYaQfxUr1SvPVkyeVTz,0.538
4,Milk Inc., Wicked Game ,Blasterjaxx Bootleg,0.00325,https://api.spotify.com/v1/audio-analysis/36mUWjUvsJTZedRITYYlr6,5B,0.6,225000.0,0.823,36mUWjUvsJTZedRITYYlr6,4.5e-05,3.0,0.372,-6.935,1.0,0.0469,128.027,4.0,https://api.spotify.com/v1/tracks/36mUWjUvsJTZedRITYYlr6,audio_features,spotify:track:36mUWjUvsJTZedRITYYlr6,0.499
5,Blasterjaxx   INNA, Hot 2016,unknown,,,,,,,,,,,,,,,,,,,
6,Blasterjaxx, Snake,unknown,0.000839,https://api.spotify.com/v1/audio-analysis/1fV2rHtDwUpXqMxDZ8SGhG,10B,0.743,311312.0,0.796,1fV2rHtDwUpXqMxDZ8SGhG,0.588,2.0,0.0431,-4.306,1.0,0.0366,127.974,4.0,https://api.spotify.com/v1/tracks/1fV2rHtDwUpXqMxDZ8SGhG,audio_features,spotify:track:1fV2rHtDwUpXqMxDZ8SGhG,0.216
7,The Weeknd   Daft Punk, Starboy ,Blasterjaxx Bootleg,0.141,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,9B,0.678,230453.0,0.588,7MXVkk9YMctZqd1Srtv4MB,6.35e-06,7.0,0.137,-7.015,1.0,0.276,186.005,4.0,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,audio_features,spotify:track:7MXVkk9YMctZqd1Srtv4MB,0.486
8,ANG REGGIO, Shift,unknown,0.00659,https://api.spotify.com/v1/audio-analysis/3Lukkhco1eZjiSIPVWwGkn,9A,0.546,179062.0,0.937,3Lukkhco1eZjiSIPVWwGkn,0.0,4.0,0.917,-3.429,0.0,0.29,128.002,4.0,https://api.spotify.com/v1/tracks/3Lukkhco1eZjiSIPVWwGkn,audio_features,spotify:track:3Lukkhco1eZjiSIPVWwGkn,0.113
9,3 Doors Down, Kryptonite ,Blasterjaxx Bootleg,0.00664,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,10A,0.545,233933.0,0.865,6ZOBP3NvffbU4SZcrnt1k6,1.12e-05,11.0,0.168,-5.708,0.0,0.0286,99.01,4.0,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,audio_features,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,0.543
10,Blasterjaxx, Savage,unknown,0.0624,https://api.spotify.com/v1/audio-analysis/6ny5iqTgkhAaWz6DYUrbe0,9B,0.698,172783.0,0.916,6ny5iqTgkhAaWz6DYUrbe0,0.0041,7.0,0.11,-2.914,1.0,0.0699,129.989,4.0,https://api.spotify.com/v1/tracks/6ny5iqTgkhAaWz6DYUrbe0,audio_features,spotify:track:6ny5iqTgkhAaWz6DYUrbe0,0.325
11,Daddy Yankee, Shaky Shaky ,Blasterjaxx Bootleg,0.076,https://api.spotify.com/v1/audio-analysis/7gcMKL3lnDxsp4bIXyv6Zk,11A,0.899,234320.0,0.626,7gcMKL3lnDxsp4bIXyv6Zk,0.0,6.0,0.0631,-4.228,0.0,0.292,88.007,4.0,https://api.spotify.com/v1/tracks/7gcMKL3lnDxsp4bIXyv6Zk,audio_features,spotify:track:7gcMKL3lnDxsp4bIXyv6Zk,0.873
12,Nay Jay EpicFail   Amy Kirkpatrick, Sixteen,unknown,0.00585,https://api.spotify.com/v1/audio-analysis/37YnF3NB1jtkKMrVJcYOOY,1A,0.645,303000.0,0.799,37YnF3NB1jtkKMrVJcYOOY,0.000285,8.0,0.357,-5.166,0.0,0.0887,129.986,4.0,https://api.spotify.com/v1/tracks/37YnF3NB1jtkKMrVJcYOOY,audio_features,spotify:track:37YnF3NB1jtkKMrVJcYOOY,0.405
13,Blasterjaxx MOTi   Jonathan Mendelsohn, Ghost In The Machine,unknown,0.00352,https://api.spotify.com/v1/audio-analysis/2xn0r9TJPUpiA4vZDrAORb,11B,0.64,289846.0,0.955,2xn0r9TJPUpiA4vZDrAORb,0.0389,9.0,0.0924,-4.71,1.0,0.0549,130.013,4.0,https://api.spotify.com/v1/tracks/2xn0r9TJPUpiA4vZDrAORb,audio_features,spotify:track:2xn0r9TJPUpiA4vZDrAORb,0.0993
14,Kraantje Pappie, Pompen ,Prod. by Nightwatch,,,,,,,,,,,,,,,,,,,
15,Dannic DBSTF, Noise,unknown,0.00277,https://api.spotify.com/v1/audio-analysis/3ZVdVSmlF2lpbvikpvaJnI,2A,0.575,150000.0,0.98,3ZVdVSmlF2lpbvikpvaJnI,0.0458,3.0,0.176,-2.284,0.0,0.112,127.964,4.0,https://api.spotify.com/v1/tracks/3ZVdVSmlF2lpbvikpvaJnI,audio_features,spotify:track:3ZVdVSmlF2lpbvikpvaJnI,0.218
16,Blasterjaxx   Jonathan Mendelsohn, Black Rose,unknown,0.141,https://api.spotify.com/v1/audio-analysis/6QJSg3nHYtm7QJJW2Sokmz,1A,0.632,202072.0,0.885,6QJSg3nHYtm7QJJW2Sokmz,0.0483,8.0,0.207,-4.113,0.0,0.0412,130.022,4.0,https://api.spotify.com/v1/tracks/6QJSg3nHYtm7QJJW2Sokmz,audio_features,spotify:track:6QJSg3nHYtm7QJJW2Sokmz,0.358
17,w/ Blasterjaxx   Jonathan Mendelsohn, Black Rose ,Blasterjaxx Psy Trance Edit,0.141,https://api.spotify.com/v1/audio-analysis/6QJSg3nHYtm7QJJW2Sokmz,1A,0.632,202072.0,0.885,6QJSg3nHYtm7QJJW2Sokmz,0.0483,8.0,0.207,-4.113,0.0,0.0412,130.022,4.0,https://api.spotify.com/v1/tracks/6QJSg3nHYtm7QJJW2Sokmz,audio_features,spotify:track:6QJSg3nHYtm7QJJW2Sokmz,0.358
18,Blasterjaxx DBSTF   Ryder, Beautiful World ,D-Block & S-te-Fan Hardstyle Remix,0.00814,https://api.spotify.com/v1/audio-analysis/7xFzJKSGHcfvxRuAD82yob,4A,0.567,234860.0,0.952,7xFzJKSGHcfvxRuAD82yob,0.00105,5.0,0.362,-1.369,0.0,0.0451,129.901,4.0,https://api.spotify.com/v1/tracks/7xFzJKSGHcfvxRuAD82yob,audio_features,spotify:track:7xFzJKSGHcfvxRuAD82yob,0.156
