,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Borgeous David Solano, Big Bang ,Life In Color Anthem 2015,0.00041,https://api.spotify.com/v1/audio-analysis/2w6M0lfuDVB5eWxm5L3rnC,4A,0.637,190430.0,0.904,2w6M0lfuDVB5eWxm5L3rnC,0.762,5.0,0.135,-5.378,0.0,0.0422,128.007,4.0,https://api.spotify.com/v1/tracks/2w6M0lfuDVB5eWxm5L3rnC,audio_features,spotify:track:2w6M0lfuDVB5eWxm5L3rnC,0.343
1,Borgeous David Solano   Corona, Rhythm Of The Big Bang ,Borgeous Edit,,,,,,,,,,,,,,,,,,,
2,DVBBS Borgeous, Tsunami ,Jay Cosmic Remix / Borgeous Edit,0.049,https://api.spotify.com/v1/audio-analysis/3felG0BIvmmOoCIeE2A5vq,9A,0.698,236827.0,0.838,3felG0BIvmmOoCIeE2A5vq,0.758,4.0,0.0892,-5.371,0.0,0.0499,128.004,4.0,https://api.spotify.com/v1/tracks/3felG0BIvmmOoCIeE2A5vq,audio_features,spotify:track:3felG0BIvmmOoCIeE2A5vq,0.289
3,Dimitri Vegas Like Mike DVBBS Borgeous Neon Hitch, Stampede Wrong Places ,Borgeous Edit,,,,,,,,,,,,,,,,,,,
4,The White Stripes   Thomas Gold Borgeous, Seven Nation Army ,BeatBreaker Edit,0.00817,https://api.spotify.com/v1/audio-analysis/7i6r9KotUPQg3ozKKgEPIN,8B,0.737,231733.0,0.463,7i6r9KotUPQg3ozKKgEPIN,0.447,0.0,0.255,-7.828,1.0,0.0792,123.881,4.0,https://api.spotify.com/v1/tracks/7i6r9KotUPQg3ozKKgEPIN,audio_features,spotify:track:7i6r9KotUPQg3ozKKgEPIN,0.324
5,Borgeous feat. Fatman Scoop   Red Hot Chili Peppers, Explode Under The Bridge ,Borgeous Edit,,,,,,,,,,,,,,,,,,,
6,Mr. Belt Wezol Freejak   Bassjackers Thomas Newson   Henry Fong, Somebody Dem Wave Your Hands ,Borgeous Edit,,,,,,,,,,,,,,,,,,,
7,Keys N Krates   Bro Safari   Autoerotique Max Styler, Badman Scumbag Dum Dee Dum Sandstorm ,Borgeous Edit,,,,,,,,,,,,,,,,,,,
8,Borgeous   DJ Whoo Kid Waka Flocka Flame Wiz Khalifa, Toast,unknown,0.163,https://api.spotify.com/v1/audio-analysis/5ByYOwHe5hNiFuZSqojtZN,3B,0.582,233337.0,0.68,5ByYOwHe5hNiFuZSqojtZN,0.0,1.0,0.179,-5.46,1.0,0.142,140.147,4.0,https://api.spotify.com/v1/tracks/5ByYOwHe5hNiFuZSqojtZN,audio_features,spotify:track:5ByYOwHe5hNiFuZSqojtZN,0.314
9,w/ R3hab Sander van Doorn, Phoenix,unknown,0.887,https://api.spotify.com/v1/audio-analysis/7GSbwLz7MknYr7XtTXFR2x,7B,0.262,268573.0,0.276,7GSbwLz7MknYr7XtTXFR2x,0.000112,5.0,0.0978,-13.678,1.0,0.0402,83.771,4.0,https://api.spotify.com/v1/tracks/7GSbwLz7MknYr7XtTXFR2x,audio_features,spotify:track:7GSbwLz7MknYr7XtTXFR2x,0.129
10,Dirty Heads, My Sweet Summer ,Borgeous Remix,0.229,https://api.spotify.com/v1/audio-analysis/6KEdjhTORrn8HOVeuABlUg,4A,0.661,202632.0,0.833,6KEdjhTORrn8HOVeuABlUg,0.0,5.0,0.346,-4.466,0.0,0.0822,93.989,4.0,https://api.spotify.com/v1/tracks/6KEdjhTORrn8HOVeuABlUg,audio_features,spotify:track:6KEdjhTORrn8HOVeuABlUg,0.635
11,Deorro Riggi Piros   Borgeous Lauren Dyson, Oceans Tick Tock ,Borgeous Edit,,,,,,,,,,,,,,,,,,,
12,Borgeous RVSSIAN M.R.I   Sean Paul, Ride It,unknown,0.159,https://api.spotify.com/v1/audio-analysis/2HrYDWxXQKIvOvwS293bX4,2A,0.749,223500.0,0.702,2HrYDWxXQKIvOvwS293bX4,0.0024,3.0,0.066,-4.949,0.0,0.0862,130.051,4.0,https://api.spotify.com/v1/tracks/2HrYDWxXQKIvOvwS293bX4,audio_features,spotify:track:2HrYDWxXQKIvOvwS293bX4,0.36
13,Kid Cudi MGMT Steve Aoki   Borgeous, Pursuit Of Celebration ,Borgeous Edit,,,,,,,,,,,,,,,,,,,
14,Borgeous Dzeko Torres, Tutankhamun ,Borgeous Edit,8.75e-05,https://api.spotify.com/v1/audio-analysis/5G704aGDpvefJ6whgkmeR0,10A,0.648,203438.0,0.891,5G704aGDpvefJ6whgkmeR0,0.497,11.0,0.105,-3.464,0.0,0.0655,128.002,4.0,https://api.spotify.com/v1/tracks/5G704aGDpvefJ6whgkmeR0,audio_features,spotify:track:5G704aGDpvefJ6whgkmeR0,0.183
15,Borgeous   Dzeko Torres ODESZA   Shy Girls, Wildfire All We Need ,Borgeous Edit,,,,,,,,,,,,,,,,,,,
16,Borgeous Shaun Frank   Delaney Jane, This Could Be Love ,Ryos Remix,0.023,https://api.spotify.com/v1/audio-analysis/3YLd8c9lOFNQox4n51F9Vf,1A,0.676,190833.0,0.722,3YLd8c9lOFNQox4n51F9Vf,0.0697,8.0,0.336,-6.432,0.0,0.037,126.03,4.0,https://api.spotify.com/v1/tracks/3YLd8c9lOFNQox4n51F9Vf,audio_features,spotify:track:3YLd8c9lOFNQox4n51F9Vf,0.479
17,Borgeous   Lights, Zero Gravity,unknown,0.0327,https://api.spotify.com/v1/audio-analysis/7uxihFY5wEZdZyguZ8UQou,9A,0.49,227077.0,0.809,7uxihFY5wEZdZyguZ8UQou,0.0,4.0,0.121,-6.269,0.0,0.0569,130.08,4.0,https://api.spotify.com/v1/tracks/7uxihFY5wEZdZyguZ8UQou,audio_features,spotify:track:7uxihFY5wEZdZyguZ8UQou,0.142
18,w/ Zedd Lucky Date   Ellie Goulding, Fall Into The Sky ,Everybody Fuckin Jump Acapella,0.0362,https://api.spotify.com/v1/audio-analysis/6xzCQrXrn0uOOKBQZK1zsF,9B,0.656,217413.0,0.956,6xzCQrXrn0uOOKBQZK1zsF,0.0384,7.0,0.138,-3.635,1.0,0.0699,128.001,4.0,https://api.spotify.com/v1/tracks/6xzCQrXrn0uOOKBQZK1zsF,audio_features,spotify:track:6xzCQrXrn0uOOKBQZK1zsF,0.54
19,Borgeous   Julia Michaels, They Don't Know Us ,Ryos Remix,0.148,https://api.spotify.com/v1/audio-analysis/1VbsTAaQqZQaFX2WiwWP0H,5A,0.571,197268.0,0.847,1VbsTAaQqZQaFX2WiwWP0H,0.0,0.0,0.1,-3.753,0.0,0.121,128.048,4.0,https://api.spotify.com/v1/tracks/1VbsTAaQqZQaFX2WiwWP0H,audio_features,spotify:track:1VbsTAaQqZQaFX2WiwWP0H,0.344
20,w/ Borgeous   Julia Michaels, They Don't Know Us,unknown,0.148,https://api.spotify.com/v1/audio-analysis/1VbsTAaQqZQaFX2WiwWP0H,5A,0.571,197268.0,0.847,1VbsTAaQqZQaFX2WiwWP0H,0.0,0.0,0.1,-3.753,0.0,0.121,128.048,4.0,https://api.spotify.com/v1/tracks/1VbsTAaQqZQaFX2WiwWP0H,audio_features,spotify:track:1VbsTAaQqZQaFX2WiwWP0H,0.344
21,Borgeous   M. Bronx, Souls ,Thomas Gold Remix,0.00212,https://api.spotify.com/v1/audio-analysis/3YsVbGQbqghjqr4QRPPPUl,1B,0.562,199392.0,0.823,3YsVbGQbqghjqr4QRPPPUl,0.0,11.0,0.136,-5.471,1.0,0.0644,128.144,4.0,https://api.spotify.com/v1/tracks/3YsVbGQbqghjqr4QRPPPUl,audio_features,spotify:track:3YsVbGQbqghjqr4QRPPPUl,0.365
22,w/ Borgeous   M. Bronx, Souls ,Andres Fresko Remix,0.217,https://api.spotify.com/v1/audio-analysis/65HLfUUXRVETX6pGgDbpgz,3A,0.823,253400.0,0.887,65HLfUUXRVETX6pGgDbpgz,0.0,10.0,0.0514,-4.517,0.0,0.247,89.426,4.0,https://api.spotify.com/v1/tracks/65HLfUUXRVETX6pGgDbpgz,audio_features,spotify:track:65HLfUUXRVETX6pGgDbpgz,0.757
23,Borgeous 7 Skies Sissa, Satellite,unknown,0.000597,https://api.spotify.com/v1/audio-analysis/08OUKuV8oRKp0MjJLdS1DD,1A,0.579,271750.0,0.956,08OUKuV8oRKp0MjJLdS1DD,5.08e-05,8.0,0.0912,-3.24,0.0,0.0864,127.994,4.0,https://api.spotify.com/v1/tracks/08OUKuV8oRKp0MjJLdS1DD,audio_features,spotify:track:08OUKuV8oRKp0MjJLdS1DD,0.416
24,Borgeous Jay Cosmic   Ragga Twins, Spitfire,unknown,0.00227,https://api.spotify.com/v1/audio-analysis/3Pk9pWstnDqK7AEoTwg2KM,1B,0.53,194846.0,0.922,3Pk9pWstnDqK7AEoTwg2KM,0.000158,11.0,0.109,-2.201,1.0,0.0647,169.974,4.0,https://api.spotify.com/v1/tracks/3Pk9pWstnDqK7AEoTwg2KM,audio_features,spotify:track:3Pk9pWstnDqK7AEoTwg2KM,0.0971
