,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,JDX   Erna, Forever Young ,Sub Sonik Bootleg,,,,,,,,,,,,,,,,,,,
1,Brennan Heart, Don't Speak 2017,unknown,,,,,,,,,,,,,,,,,,,
2,Brennan Heart, Just Get In,unknown,0.00659,https://api.spotify.com/v1/audio-analysis/6M6h4xwzgcmXFVidWfgwFm,10A,0.606,194333.0,0.977,6M6h4xwzgcmXFVidWfgwFm,0.000899,11.0,0.249,-5.259,0.0,0.147,149.975,4.0,https://api.spotify.com/v1/tracks/6M6h4xwzgcmXFVidWfgwFm,audio_features,spotify:track:6M6h4xwzgcmXFVidWfgwFm,0.0918
3,Toneshifterz, ID,unknown,,,,,,,,,,,,,,,,,,,
4,TNT aka Technoboy 'N' Tuneboy Brennan Heart, It's My Style,unknown,,,,,,,,,,,,,,,,,,,
5,TNT aka Technoboy 'N' Tuneboy Brennan Heart, Hard Knockin' Beats,unknown,0.0108,https://api.spotify.com/v1/audio-analysis/22WYAGua10HHuVd9FODJOW,5A,0.316,208653.0,0.973,22WYAGua10HHuVd9FODJOW,0.0277,0.0,0.353,-3.646,0.0,0.108,112.439,5.0,https://api.spotify.com/v1/tracks/22WYAGua10HHuVd9FODJOW,audio_features,spotify:track:22WYAGua10HHuVd9FODJOW,0.289
6,Blademasterz, Time & Space ,Kick 'n Bass,,,,,,,,,,,,,,,,,,,
7,w/ Brennan Heart The Prophet, Wake Up!,unknown,0.00265,https://api.spotify.com/v1/audio-analysis/2GBL481iwUyNiMMrfbXGTH,9B,0.81,198937.0,0.62,2GBL481iwUyNiMMrfbXGTH,0.0122,7.0,0.0678,-5.919,1.0,0.0731,124.019,4.0,https://api.spotify.com/v1/tracks/2GBL481iwUyNiMMrfbXGTH,audio_features,spotify:track:2GBL481iwUyNiMMrfbXGTH,0.903
8,w/ Brennan Heart The Prophet, Wake Up! ,Dailucia Remix,0.00265,https://api.spotify.com/v1/audio-analysis/2GBL481iwUyNiMMrfbXGTH,9B,0.81,198937.0,0.62,2GBL481iwUyNiMMrfbXGTH,0.0122,7.0,0.0678,-5.919,1.0,0.0731,124.019,4.0,https://api.spotify.com/v1/tracks/2GBL481iwUyNiMMrfbXGTH,audio_features,spotify:track:2GBL481iwUyNiMMrfbXGTH,0.903
9,Carnage Timmy Trumpet, PSY Or DIE,unknown,0.00209,https://api.spotify.com/v1/audio-analysis/0y3VbJU7mDnaUboUrVj1I4,11A,0.484,187093.0,0.756,0y3VbJU7mDnaUboUrVj1I4,0.314,6.0,0.3,-4.379,0.0,0.0579,139.9,4.0,https://api.spotify.com/v1/tracks/0y3VbJU7mDnaUboUrVj1I4,audio_features,spotify:track:0y3VbJU7mDnaUboUrVj1I4,0.239
10,w/ Brennan Heart Toneshifterz, Don't Stop Rockin',unknown,,,,,,,,,,,,,,,,,,,
11,Brennan Heart Jonathan Mendelsohn, Imaginary ,Brennan Heart XQ Live Edit,0.298,https://api.spotify.com/v1/audio-analysis/2TgDK4TC5KsywTYafAE4Gd,10B,0.552,192500.0,0.594,2TgDK4TC5KsywTYafAE4Gd,6.17e-05,2.0,0.262,-6.449,1.0,0.0306,149.907,4.0,https://api.spotify.com/v1/tracks/2TgDK4TC5KsywTYafAE4Gd,audio_features,spotify:track:2TgDK4TC5KsywTYafAE4Gd,0.287
12,Brennan Heart, ID,unknown,0.599,https://api.spotify.com/v1/audio-analysis/4aGHCWyd3U3GqTaEcSoOft,8A,0.624,43168.0,0.0242,4aGHCWyd3U3GqTaEcSoOft,0.932,9.0,0.118,-27.324,0.0,0.0472,113.939,4.0,https://api.spotify.com/v1/tracks/4aGHCWyd3U3GqTaEcSoOft,audio_features,spotify:track:4aGHCWyd3U3GqTaEcSoOft,0.244
