,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
1,Charlotte de Witte, Closer,unknown,0.00219,https://api.spotify.com/v1/audio-analysis/2eY0yUG1SFyIAnEdM60ynV,11A,0.897,456094.0,0.847,2eY0yUG1SFyIAnEdM60ynV,0.682,6.0,0.104,-11.4,0.0,0.0536,128.008,4.0,https://api.spotify.com/v1/tracks/2eY0yUG1SFyIAnEdM60ynV,audio_features,spotify:track:2eY0yUG1SFyIAnEdM60ynV,0.0778
2,Charlotte De Witte, I'll See You Tonight,unknown,,,,,,,,,,,,,,,,,,,
3,Slam, Vapour,unknown,4.01e-05,https://api.spotify.com/v1/audio-analysis/3ZN97quqp9HHFgAsxbEivz,1A,0.719,363978.0,0.79,3ZN97quqp9HHFgAsxbEivz,0.798,8.0,0.108,-8.552,0.0,0.0395,128.981,4.0,https://api.spotify.com/v1/tracks/3ZN97quqp9HHFgAsxbEivz,audio_features,spotify:track:3ZN97quqp9HHFgAsxbEivz,0.219
4,Emmanuel Top, Acid Phase,unknown,0.00685,https://api.spotify.com/v1/audio-analysis/3096gFW9ESHwrlesPicxBu,3A,0.663,320836.0,0.755,3096gFW9ESHwrlesPicxBu,0.947,10.0,0.0844,-8.236,0.0,0.0595,134.865,4.0,https://api.spotify.com/v1/tracks/3096gFW9ESHwrlesPicxBu,audio_features,spotify:track:3096gFW9ESHwrlesPicxBu,0.208
5,Charlotte De Witte, Voices Of The Ancient,unknown,0.0613,https://api.spotify.com/v1/audio-analysis/55yTdlNTHDTSX2pvuHgvWl,9A,0.694,427905.0,0.915,55yTdlNTHDTSX2pvuHgvWl,0.918,4.0,0.111,-9.92,0.0,0.0652,127.017,4.0,https://api.spotify.com/v1/tracks/55yTdlNTHDTSX2pvuHgvWl,audio_features,spotify:track:55yTdlNTHDTSX2pvuHgvWl,0.16
6,Charlotte De Witte, Voices Of The Ancient ,Keith Carnal Remix,0.0613,https://api.spotify.com/v1/audio-analysis/55yTdlNTHDTSX2pvuHgvWl,9A,0.694,427905.0,0.915,55yTdlNTHDTSX2pvuHgvWl,0.918,4.0,0.111,-9.92,0.0,0.0652,127.017,4.0,https://api.spotify.com/v1/tracks/55yTdlNTHDTSX2pvuHgvWl,audio_features,spotify:track:55yTdlNTHDTSX2pvuHgvWl,0.16
7,2000 And One, Kawasaki,unknown,1.59e-05,https://api.spotify.com/v1/audio-analysis/3nAFxUytZXe4FjI54aXDn4,9B,0.794,413849.0,0.945,3nAFxUytZXe4FjI54aXDn4,0.951,7.0,0.102,-7.897,1.0,0.0532,128.001,4.0,https://api.spotify.com/v1/tracks/3nAFxUytZXe4FjI54aXDn4,audio_features,spotify:track:3nAFxUytZXe4FjI54aXDn4,0.031
8,Charlotte De Witte, Wisdom,unknown,0.00614,https://api.spotify.com/v1/audio-analysis/08DRVj2OaVZ1tcpSEJtUgs,10A,0.768,407560.0,0.664,08DRVj2OaVZ1tcpSEJtUgs,0.932,11.0,0.183,-10.831,0.0,0.0935,124.99,4.0,https://api.spotify.com/v1/tracks/08DRVj2OaVZ1tcpSEJtUgs,audio_features,spotify:track:08DRVj2OaVZ1tcpSEJtUgs,0.318
9,Gary Beck, Video Siren,unknown,0.00505,https://api.spotify.com/v1/audio-analysis/4MR9rZXwzQLCVP0EJ4UEva,3B,0.742,383326.0,0.744,4MR9rZXwzQLCVP0EJ4UEva,0.253,1.0,0.101,-10.183,1.0,0.0608,125.988,4.0,https://api.spotify.com/v1/tracks/4MR9rZXwzQLCVP0EJ4UEva,audio_features,spotify:track:4MR9rZXwzQLCVP0EJ4UEva,0.473
