,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
1,Cheat Codes Dante Klein, Let Me Hold You ,Turn Me On,0.0992,https://api.spotify.com/v1/audio-analysis/3aLWuWKHaTV4Ok7LKvXRYn,12A,0.681,162425.0,0.774,3aLWuWKHaTV4Ok7LKvXRYn,0.0,1.0,0.35,-3.167,0.0,0.0787,102.924,4.0,https://api.spotify.com/v1/tracks/3aLWuWKHaTV4Ok7LKvXRYn,audio_features,spotify:track:3aLWuWKHaTV4Ok7LKvXRYn,0.267
2,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
3,Thomas Gold Borgeous, Beast,unknown,0.000891,https://api.spotify.com/v1/audio-analysis/69JBtHvvmGPdMOZEKXxLci,10A,0.654,296360.0,0.954,69JBtHvvmGPdMOZEKXxLci,0.435,11.0,0.158,-1.744,0.0,0.312,127.986,4.0,https://api.spotify.com/v1/tracks/69JBtHvvmGPdMOZEKXxLci,audio_features,spotify:track:69JBtHvvmGPdMOZEKXxLci,0.133
4,Dimitri Vegas Like Mike Steve Aoki   Ummet Ozcan, Melody,unknown,0.0375,https://api.spotify.com/v1/audio-analysis/7zT9HWMkkziq1ZogqdBrnw,2A,0.461,223385.0,0.975,7zT9HWMkkziq1ZogqdBrnw,0.562,3.0,0.366,-3.245,0.0,0.174,129.978,4.0,https://api.spotify.com/v1/tracks/7zT9HWMkkziq1ZogqdBrnw,audio_features,spotify:track:7zT9HWMkkziq1ZogqdBrnw,0.0784
5,heRobust, Move Mint,unknown,0.00272,https://api.spotify.com/v1/audio-analysis/5RRpWmpLVnZPukWYaedmsa,1B,0.527,217226.0,0.983,5RRpWmpLVnZPukWYaedmsa,0.564,11.0,0.192,-1.398,1.0,0.252,128.225,4.0,https://api.spotify.com/v1/tracks/5RRpWmpLVnZPukWYaedmsa,audio_features,spotify:track:5RRpWmpLVnZPukWYaedmsa,0.339
6,w/ DJ Snake   G4SHI, 4 Life ,Habstrakt Remix,0.875,https://api.spotify.com/v1/audio-analysis/4gTerlXIQp2Gokb0CmgmAO,10A,0.675,225320.0,0.162,4gTerlXIQp2Gokb0CmgmAO,0.0,11.0,0.2,-21.444,0.0,0.735,109.258,3.0,https://api.spotify.com/v1/tracks/4gTerlXIQp2Gokb0CmgmAO,audio_features,spotify:track:4gTerlXIQp2Gokb0CmgmAO,0.112
7,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
8,Maggie Lindemann, Pretty Girl ,Cheat Codes & CADE Remix,0.15,https://api.spotify.com/v1/audio-analysis/1NDxZ7cFAo481dtYWdrUnR,6A,0.703,193613.0,0.868,1NDxZ7cFAo481dtYWdrUnR,0.132,7.0,0.104,-4.661,0.0,0.0291,121.03,4.0,https://api.spotify.com/v1/tracks/1NDxZ7cFAo481dtYWdrUnR,audio_features,spotify:track:1NDxZ7cFAo481dtYWdrUnR,0.733
9,Robin Schulz David Guetta   Cheat Codes, Shed A Light ,Mdzn Remix,0.014,https://api.spotify.com/v1/audio-analysis/4CiS1MAheYESOEoknLAOt9,4A,0.611,207118.0,0.954,4CiS1MAheYESOEoknLAOt9,0.000525,5.0,0.156,-4.187,0.0,0.0341,137.968,4.0,https://api.spotify.com/v1/tracks/4CiS1MAheYESOEoknLAOt9,audio_features,spotify:track:4CiS1MAheYESOEoknLAOt9,0.464
