,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Sam Paganini, The Beat,unknown,0.00877,https://api.spotify.com/v1/audio-analysis/1wkDPTi5PdTMx9kZEy0oQ3,9B,0.7,469603.0,0.817,1wkDPTi5PdTMx9kZEy0oQ3,0.921,7.0,0.0924,-10.042,1.0,0.0471,128.019,4.0,https://api.spotify.com/v1/tracks/1wkDPTi5PdTMx9kZEy0oQ3,audio_features,spotify:track:1wkDPTi5PdTMx9kZEy0oQ3,0.0386
1,Cirez D, The Tournament,unknown,6.42e-05,https://api.spotify.com/v1/audio-analysis/7C73O6l6imOMq1aJmxwAZk,9B,0.798,399096.0,0.841,7C73O6l6imOMq1aJmxwAZk,0.872,7.0,0.0775,-8.574,1.0,0.0549,125.002,4.0,https://api.spotify.com/v1/tracks/7C73O6l6imOMq1aJmxwAZk,audio_features,spotify:track:7C73O6l6imOMq1aJmxwAZk,0.163
2,Kamera, Consignia,unknown,0.0109,https://api.spotify.com/v1/audio-analysis/67CzRxcpfRc27HXjUTEbf8,9A,0.792,325924.0,0.727,67CzRxcpfRc27HXjUTEbf8,0.917,4.0,0.109,-13.485,0.0,0.0709,130.011,4.0,https://api.spotify.com/v1/tracks/67CzRxcpfRc27HXjUTEbf8,audio_features,spotify:track:67CzRxcpfRc27HXjUTEbf8,0.0516
3,Slam, Significs,unknown,0.00542,https://api.spotify.com/v1/audio-analysis/5YdjmLA2X2M1hmSC2k3VaX,9B,0.74,397141.0,0.806,5YdjmLA2X2M1hmSC2k3VaX,0.926,7.0,0.112,-12.122,1.0,0.0445,126.002,4.0,https://api.spotify.com/v1/tracks/5YdjmLA2X2M1hmSC2k3VaX,audio_features,spotify:track:5YdjmLA2X2M1hmSC2k3VaX,0.0591
4,Cirez D, Soundcheck ID ,Working Title,,,,,,,,,,,,,,,,,,,
5,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
6,Monika Kruse meets Pig&Dan, Boogie Man,unknown,0.000121,https://api.spotify.com/v1/audio-analysis/5JCXNtomUzQrKixePLPM8O,2B,0.696,503333.0,0.892,5JCXNtomUzQrKixePLPM8O,0.9,6.0,0.106,-7.946,1.0,0.0539,126.008,4.0,https://api.spotify.com/v1/tracks/5JCXNtomUzQrKixePLPM8O,audio_features,spotify:track:5JCXNtomUzQrKixePLPM8O,0.0875
7,ID, Ushuaia ID,unknown,,,,,,,,,,,,,,,,,,,
8,Jel Ford, Overcast,unknown,0.00061,https://api.spotify.com/v1/audio-analysis/5Fd95tZZ2maLNyyVLg8HVY,9B,0.705,417650.0,0.917,5Fd95tZZ2maLNyyVLg8HVY,0.904,7.0,0.0963,-5.918,1.0,0.0555,126.002,4.0,https://api.spotify.com/v1/tracks/5Fd95tZZ2maLNyyVLg8HVY,audio_features,spotify:track:5Fd95tZZ2maLNyyVLg8HVY,0.113
9,Pryda, EPIC Radio 005 ID 01 ,Working Title,,,,,,,,,,,,,,,,,,,
10,Cirez D, In The Reds,unknown,0.000229,https://api.spotify.com/v1/audio-analysis/261xchspxFgcYfQvYWu7s9,9B,0.729,543458.0,0.815,261xchspxFgcYfQvYWu7s9,0.912,7.0,0.114,-7.303,1.0,0.0443,125.981,4.0,https://api.spotify.com/v1/tracks/261xchspxFgcYfQvYWu7s9,audio_features,spotify:track:261xchspxFgcYfQvYWu7s9,0.166
11,Sam Paganini, Surrender,unknown,5.35e-05,https://api.spotify.com/v1/audio-analysis/6KGiYxpD3xFu8s5qL0GaWR,10A,0.703,364293.0,0.748,6KGiYxpD3xFu8s5qL0GaWR,0.868,11.0,0.11,-10.798,0.0,0.0425,127.0,4.0,https://api.spotify.com/v1/tracks/6KGiYxpD3xFu8s5qL0GaWR,audio_features,spotify:track:6KGiYxpD3xFu8s5qL0GaWR,0.153
